Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Chris Martin,TEX,AA,40,0,0,0.00,1,1,0,0,0,0,0,1.0,4,1,0,0,0,0,0,0,0,0,2,11847
Josh Hader,HOU,AA,32,0,0,1.80,5,1,0,0,0,0,1,5.0,18,3,1,1,1,0,0,1,0,0,8,14212
José Leclerc,SDP,AA,32,0,2,9.72,6,0,0,0,0,0,1,8.1,41,14,9,9,3,3,0,0,1,2,11,14524
Lucas Giolito,SDP,AA,31,0,0,3.60,2,2,0,0,0,0,0,10.0,44,11,6,4,1,2,0,0,1,0,5,15474
Jordan Montgomery,TEX,AA,33,0,0,0.00,2,2,0,0,0,0,0,3.0,10,1,0,0,0,0,0,0,0,0,4,16511
Cristian Javier,HOU,AA,29,0,1,27.00,1,1,0,0,0,0,0,0.2,6,2,2,2,0,2,0,0,0,0,2,17606
Josh Sborz,TEX,AA,32,1,0,0.00,2,0,0,0,0,0,1,2.0,9,1,0,0,0,3,0,0,0,0,0,18323
Enyel De Los Santos,HOU,AA,30,0,0,0.00,2,0,0,0,0,0,0,2.0,6,1,0,0,0,0,0,0,0,0,2,18403
Ronel Blanco,HOU,AA,32,0,0,2.35,2,2,0,0,0,0,0,7.2,31,7,3,2,1,3,0,0,0,0,6,19407
CD Pelham,OAK,AA,31,0,2,3.95,16,0,0,0,0,1,3,13.2,53,10,6,6,1,5,1,0,1,0,15,19820
Nate Pearson,HOU,AA,29,0,1,18.00,1,1,0,0,0,0,0,2.0,13,4,4,4,0,3,0,0,0,1,3,20160
Blake Cederlind,ARI,AA,30,0,1,3.52,9,0,0,0,3,0,1,7.2,37,5,3,3,1,9,1,1,1,0,7,20344
Bennett Sousa,HOU,AA,31,1,0,0.00,2,0,0,0,0,0,1,2.2,8,0,0,0,0,0,0,0,0,0,7,21345
Eduarniel Núñez,OAK,AA,27,0,0,0.00,3,0,0,0,0,0,0,2.1,8,0,0,0,0,0,0,1,0,0,2,23162
Omar Cruz,SDP,AA,27,3,2,3.45,15,2,0,0,1,0,0,28.2,118,21,15,11,4,10,1,2,5,0,45,23875
Chris Vallimont,MIN,AA,29,2,4,4.05,17,15,0,0,0,0,0,66.2,287,67,32,30,7,21,0,4,1,0,65,24935
Jhony Brito,SDP,AA,28,2,0,1.96,4,4,0,0,0,0,0,18.1,70,12,6,4,1,5,0,0,0,0,8,25386
Hunter Brown,HOU,AA,27,0,0,0.00,1,1,0,0,0,0,0,2.0,7,1,0,0,0,0,0,0,0,0,5,25880
Nick Robertson,LAD,AA,27,6,1,0.59,22,0,0,0,4,1,1,30.2,113,13,4,2,2,6,0,0,2,0,37,26226
Hancel Rincon,STL,AA,24,0,0,3.86,1,0,0,0,0,0,0,2.1,9,2,1,1,1,0,0,0,0,0,2,27144
Hayden Wesneski,HOU,AA,28,0,0,2.25,1,1,0,0,0,0,0,4.0,16,2,1,1,0,1,0,1,2,0,3,27581
Cody Bradford,TEX,AA,28,0,0,1.50,3,3,0,0,0,0,0,6.0,24,4,1,1,0,2,0,0,0,0,9,27597
Nick Davila,SEA,AA,27,0,0,2.00,8,0,0,0,2,1,2,9.0,34,6,2,2,0,1,0,0,0,0,10,27741
Beck Way,KCR,AA,26,0,0,27.00,1,0,0,0,0,0,0,0.2,6,4,2,2,0,0,0,0,1,0,2,27877
Winston Santos,TEX,AA,24,1,3,7.44,11,11,0,0,0,0,0,42.1,199,54,36,35,10,21,0,3,1,1,58,28489
Bradgley Rodriguez,SDP,AA,22,0,0,0.00,1,0,0,0,0,0,1,1.0,3,0,0,0,0,0,0,0,0,0,1,29107
Nick Nastrini,LAD,AA,26,0,0,9.00,1,0,0,0,0,0,0,0.0,3,0,1,1,0,3,0,0,0,0,0,29833
Jack Leiter,TEX,AA,26,0,1,12.00,1,1,0,0,0,0,0,3.0,15,3,5,4,1,2,0,0,0,0,5,30146
Mike Paredes,MIN,AA,25,1,1,7.07,4,3,0,0,0,0,0,14.0,59,17,12,11,3,1,0,1,1,0,21,30187
Jose Cabrera,ARI,AA,24,2,1,3.60,9,9,0,0,0,0,0,45.0,171,33,18,18,7,11,0,0,0,1,49,30412
Cooper Hjerpe,STL,AA,25,0,1,5.02,5,5,0,0,0,0,0,14.1,63,8,8,8,2,12,0,1,0,0,25,31853
Tatsuya Imai,HOU,AA,28,0,0,22.50,1,1,0,0,0,0,0,2.0,14,6,5,5,1,3,0,0,1,0,2,37124
Kade Anderson,SEA,AA,21,10,1,1.06,18,18,0,0,0,0,0,93.1,333,47,11,11,4,13,0,1,1,0,135,37238
Adam Leverett,SEA,AA,27,4,6,5.06,21,20,0,0,0,0,0,96.0,401,98,56,54,20,28,0,5,6,1,86,sa1169991
Luis Quiñones,MIN,AA,28,1,1,3.32,16,0,0,0,3,1,1,19.0,83,10,8,7,1,19,0,0,1,0,31,sa1170867
Sadrac Franco,SDP,AA,26,5,3,5.46,41,0,0,0,3,4,8,57.2,266,56,38,35,8,34,1,6,4,1,67,sa3005073
Jesus Valdez,ARI,AA,28,0,0,34.71,3,0,0,0,0,0,0,2.1,17,8,9,9,5,2,0,0,0,0,1,sa3005492
Michael Flynn,SDP,AA,29,1,2,4.15,13,0,0,0,2,1,0,13.0,57,12,8,6,1,7,2,1,1,0,17,sa3006803
Frainyer Chavez,TEX,AA,27,0,0,18.00,1,0,0,0,0,0,0,1.0,6,3,2,2,0,0,0,0,0,0,0,sa3007019
Jake Higginbotham,MIN,AA,30,0,1,4.76,4,0,0,0,0,0,0,5.2,25,4,4,3,1,2,0,1,0,0,7,sa3007590
Julio Rodriguez,HOU,AA,26,0,4,5.20,21,0,0,0,0,2,3,27.2,124,27,20,16,2,13,0,2,10,1,37,sa3007992
Connor Scott,KCR,AA,26,0,0,0.00,2,0,0,0,0,0,0,2.0,6,1,0,0,0,0,0,0,0,0,0,sa3008080
Euribiel Angeles,OAK,AA,24,0,0,36.00,1,0,0,0,0,0,0,1.0,8,5,4,4,1,1,0,0,0,0,0,sa3008877
Christian Suarez,LAD,AA,25,7,3,4.77,47,1,0,0,2,5,1,66.0,289,68,38,35,8,31,0,0,18,4,78,sa3009222
Jonatan Bernal,ARI,AA,24,2,1,2.51,13,2,0,0,2,0,2,32.1,123,19,11,9,4,9,0,2,0,0,37,sa3009271
Joel Ibarra,LAD,AA,23,0,0,8.38,12,0,0,0,0,0,0,9.2,59,7,10,9,1,23,0,2,1,0,12,sa3009326
