Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Gabe Speier,SEA,A+,31,0,1,27.00,1,1,0,0,0,0,0,1.0,6,3,3,3,2,0,0,0,0,0,2,17170
Carlos Vargas,SEA,A+,26,0,0,0.00,1,0,0,0,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,22915
Tommy Henry,ARI,A+,28,0,1,23.14,1,1,0,0,0,0,0,2.1,16,7,7,6,1,2,0,0,0,0,4,26285
Jeff Criswell,COL,A+,27,0,1,9.00,2,2,0,0,0,0,0,2.0,9,3,2,2,0,0,0,0,1,0,4,27608
Bryce Miller,SEA,A+,27,1,0,0.00,2,2,0,0,0,0,0,8.0,30,3,0,0,0,4,0,0,1,0,8,29837
Yunior Marte,SFG,A+,22,6,1,3.74,9,7,0,0,0,0,0,43.1,180,34,20,18,3,19,0,1,1,1,41,31097
Max Scherzer,TOR,A+,41,0,0,6.00,1,1,0,0,0,0,0,3.0,14,3,2,2,0,2,0,0,0,0,3,3137
Gabriel Hughes,COL,A+,24,0,0,0.00,2,2,0,0,0,0,0,6.0,23,2,0,0,0,3,0,0,0,0,10,31614
Brayan Castillo,COL,A+,25,0,0,9.00,2,0,0,0,0,0,1,3.0,16,4,3,3,0,3,0,0,0,0,4,sa3006544
Teofilo Mendez,ARI,A+,24,1,1,13.94,8,0,0,0,0,0,1,10.1,62,23,20,16,4,7,0,0,0,1,11,sa3008795
Francis Rivera,COL,A+,25,5,3,4.03,28,0,0,0,6,1,2,51.1,215,36,27,23,8,24,0,4,6,1,44,sa3009217
Jonatan Bernal,ARI,A+,24,0,0,2.08,2,0,0,0,0,0,1,4.1,15,3,1,1,0,0,0,0,0,0,7,sa3009271
Jose Atencio,LAA,A+,24,2,5,3.26,11,10,0,0,0,0,0,49.2,200,44,20,18,7,12,0,1,0,0,40,sa3010304
Lucas Knowles,LAA,A+,28,5,1,3.13,17,6,0,0,2,0,2,54.2,225,50,19,19,7,11,0,5,1,1,54,sa3011676
Gabriel Sosa,SEA,A+,25,0,1,12.57,21,0,0,0,0,1,0,19.1,115,35,33,27,3,19,0,5,7,0,19,sa3011682
Ben Hernandez,SEA,A+,24,3,1,5.90,20,0,0,0,0,2,2,29.0,129,30,21,19,3,14,0,1,3,1,20,sa3014541
Adrian Placencia,LAA,A+,23,0,0,9.00,1,0,0,0,0,0,0,1.0,5,2,1,1,0,0,0,0,0,1,0,sa3014688
Esmerlin Vinicio,SFG,A+,23,6,0,3.14,23,2,0,0,5,1,3,51.2,227,43,22,18,3,23,0,6,1,0,60,sa3014708
Taylor Dollard,SEA,A+,27,5,9,5.59,21,20,0,0,0,0,0,93.1,413,105,72,58,16,30,0,8,4,1,81,sa3014982
Case Williams,COL,A+,24,0,0,4.26,11,0,0,0,1,0,1,19.0,87,20,9,9,1,13,0,3,2,0,18,sa3015013
Alex Martinez,LAA,A+,23,2,0,8.72,19,0,0,0,1,1,1,32.0,152,37,31,31,7,22,0,1,2,0,44,sa3015284
Nicolo Pinazzi,LAA,A+,26,2,1,0.00,12,0,0,0,2,0,2,16.0,65,9,1,0,0,7,0,2,1,0,29,sa3015335
Yujanyer Herrera,COL,A+,22,2,5,7.13,22,21,0,0,0,0,0,82.0,395,103,72,65,16,49,0,6,6,0,83,sa3015370
Alberto Pacheco,COL,A+,23,0,0,6.43,5,0,0,0,0,0,0,7.0,33,8,6,5,0,5,0,0,2,0,3,sa3015421
