Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
Julio Dilone,SDP,DSL,26,1,2,7.71,8,0,0,0,1,1,0,9.1,46,10,9,8,1,6,0,2,0,0,12,sa3015085
Junior Pina,MIA,DSL,23,1,4,7.76,18,0,0,0,0,4,1,29.0,148,22,29,25,2,34,0,8,13,2,45,sa3016911
Brayan Cabello,SFG,DSL,22,7,1,1.24,19,0,0,0,0,0,1,36.1,140,17,6,5,0,16,0,3,4,0,26,sa3018304
Andy Encarnacion,ARI,DSL,21,3,0,3.16,20,2,0,0,2,0,1,37.0,162,34,18,13,3,22,0,2,4,0,31,sa3018498
Joldelanio De Los Santos,LAD,DSL,22,0,0,54.00,3,0,0,0,0,0,0,1.1,15,1,11,8,1,8,0,1,6,0,3,sa3018804
Edgar Leon,DET,DSL,21,0,1,6.10,5,2,0,0,0,0,0,10.1,52,12,8,7,0,6,0,1,2,0,15,sa3019161
Fernando Estrella,SFG,DSL,23,0,2,8.50,15,0,0,0,1,1,1,18.0,90,19,20,17,2,12,0,3,1,2,21,sa3019252
Donal Montas,DET,DSL,24,4,1,6.12,14,0,0,0,0,1,0,25.0,118,32,20,17,2,13,0,2,4,0,13,sa3019394
Alfonso Perez,SFG,DSL,20,0,0,2.25,3,2,0,0,0,0,1,4.0,17,2,1,1,0,4,0,0,0,0,2,sa3019659
Carlos Hampshire,NYY,DSL,21,0,0,18.78,4,1,0,0,1,0,0,7.2,45,10,17,16,2,13,0,1,7,0,8,sa3020971
Luis Vasquez,DET,DSL,21,4,4,5.29,19,0,0,0,2,1,1,34.0,150,37,27,20,1,14,0,2,3,0,25,sa3021001
Luis Porfirio,MIA,DSL,20,2,4,5.15,20,1,0,0,0,3,0,36.2,180,27,32,21,3,40,1,7,16,3,55,sa3021015
Rainy Mota,PHI,DSL,20,0,0,0.00,2,0,0,0,0,0,0,2.2,10,2,0,0,0,0,0,0,0,0,4,sa3021024
Junior Suarez,KCR,DSL,21,3,1,3.20,13,0,0,0,3,0,0,25.1,109,14,10,9,0,22,0,1,7,0,36,sa3021031
Abelardo Medrano,DET,DSL,20,2,5,7.30,18,1,0,0,1,2,1,24.2,121,25,25,20,3,20,1,3,8,0,26,sa3021184
Moises Semerite,ATL,DSL,20,1,2,7.20,16,0,0,0,1,1,0,25.0,121,24,22,20,2,25,0,1,10,1,20,sa3021246
Pedro Tovar,BAL,DSL,20,0,0,5.84,9,2,0,0,1,1,0,12.1,54,11,8,8,1,8,0,0,2,1,12,sa3021248
Osvaldo Heredia,MIA,DSL,20,1,4,15.14,18,0,0,0,1,3,0,22.0,138,26,43,37,3,37,2,7,11,0,24,sa3021282
Ismael Cabral,TBR,DSL,22,4,0,0.00,8,0,0,0,2,0,0,14.2,51,3,2,0,0,6,0,0,3,0,15,sa3021481
Jesus Lopez,SFG,DSL,21,1,3,5.18,16,4,0,0,1,1,1,40.0,181,50,26,23,4,13,0,7,0,0,29,sa3021529
Frainer Mejias,SFG,DSL,20,6,0,4.37,16,0,0,0,0,1,2,22.2,114,18,13,11,1,21,0,8,10,0,21,sa3021535
Eddy Peralta,TEX,DSL,23,1,3,5.63,18,0,0,0,2,3,0,32.0,150,28,27,20,1,22,0,6,12,2,48,sa3021757
Andersson Barvosa,TBR,DSL,20,0,1,0.00,1,0,0,0,0,0,0,0.1,3,1,2,0,0,1,0,0,1,0,1,sa3021759
Stiveen Rojas,MIA,DSL,19,3,2,7.34,17,8,0,0,0,0,0,34.1,179,38,35,28,3,38,1,3,11,0,36,sa3021775
Daiher Hernandez,CLE,DSL,20,1,2,6.59,15,0,0,0,0,1,1,28.2,140,28,26,21,2,28,0,2,8,0,29,sa3021811
Ericksson De Los Santos,DET,DSL,20,4,0,6.26,16,0,0,0,0,0,2,23.0,114,17,16,16,0,28,0,3,10,0,38,sa3021823
Greudis De Los Santos,ARI,DSL,20,1,2,4.68,11,6,0,0,0,0,0,25.0,106,20,16,13,1,14,0,2,7,2,31,sa3022012
Randry De Leon,SFG,DSL,20,3,1,5.21,12,12,0,0,0,0,0,48.1,210,53,28,28,6,20,0,5,3,1,50,sa3022025
Bayant Melo,MIA,DSL,21,3,1,4.83,13,0,0,0,1,0,0,31.2,150,23,19,17,2,28,0,7,6,0,38,sa3022028
Esteban Dicent,BAL,DSL,23,2,2,6.00,21,0,0,0,1,1,2,30.0,138,17,21,20,0,28,0,7,12,0,41,sa3022033
Carlos Gonzalez,KCR,DSL,20,0,2,6.23,11,10,0,0,0,0,0,34.2,154,40,28,24,1,12,0,0,8,0,26,sa3022036
Kevin Tejada,DET,DSL,21,2,4,7.20,14,0,0,0,0,1,0,20.0,97,28,18,16,2,7,0,1,5,0,16,sa3022046
Alvin Veras,OAK,DSL,20,3,4,3.81,12,11,0,0,0,0,0,49.2,209,48,24,21,2,16,0,3,4,1,30,sa3022216
Richard Jimenez,MIA,DSL,21,4,1,9.30,19,0,0,0,0,1,1,30.0,160,35,37,31,2,30,0,7,4,0,34,sa3022335
Bryan Landaez,CHC,DSL,21,2,2,4.56,18,0,0,0,4,1,0,25.2,120,21,19,13,3,18,0,5,5,2,33,sa3022421
Samuel Carmona,KCR,DSL,21,1,1,3.07,10,7,0,0,0,0,1,29.1,126,23,12,10,1,12,0,4,6,0,33,sa3023050
Yolvin Mesa,TBR,DSL,20,2,1,4.80,17,0,0,0,1,2,2,30.0,134,28,19,16,2,14,0,3,6,1,29,sa3023690
Alejandro De La Cruz,MIA,DSL,19,1,1,15.95,8,0,0,0,0,0,0,7.1,48,8,13,13,1,16,0,3,12,0,6,sa3023692
Angel Herrera,PIT,DSL,18,3,1,2.85,11,9,0,0,0,0,0,41.0,169,34,13,13,1,19,0,2,5,0,27,sa3023694
Frank Chessman,TBR,DSL,19,0,0,9.64,7,0,0,0,0,0,1,4.2,30,5,5,5,1,10,0,3,0,0,3,sa3023697
Mathias Sato,SEA,DSL,19,0,1,18.00,3,0,0,0,0,1,0,3.0,19,6,6,6,1,2,0,2,1,0,3,sa3023699
Dariel Morillo,DET,DSL,19,4,1,3.90,19,0,0,0,3,3,1,30.0,129,27,16,13,3,14,1,2,5,1,16,sa3023700
Ronald Tejada,NYY,DSL,19,2,2,4.26,18,0,0,0,3,0,2,25.1,116,24,13,12,0,20,0,1,8,0,23,sa3023705
Gregori Arias,MIA,DSL,19,0,0,17.55,4,0,0,0,1,0,0,6.2,39,10,14,13,3,7,0,1,3,0,4,sa3023734
Jesus Lizardo,PIT,DSL,19,0,1,27.00,1,0,0,0,0,1,0,0.2,6,3,3,2,0,1,0,0,0,0,1,sa3023753
