Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Julio Dilone,SDP,DSL,26,9.1,11.57,5.79,2.00,0.96,26.1%,13.0%,13.0%,.263,1.71,.360,54.2%,7.71,5.86,1.85,5.26,sa3015085
Junior Pina,MIA,DSL,23,29.0,13.97,10.55,1.32,0.62,30.4%,23.0%,7.4%,.208,1.93,.339,57.2%,7.76,6.61,1.15,6.30,sa3016911
Brayan Cabello,SFG,DSL,22,36.1,6.44,3.96,1.63,0.00,18.6%,11.4%,7.1%,.140,0.91,.179,83.3%,1.24,4.61,-3.37,5.35,sa3018304
Andy Encarnacion,ARI,DSL,21,37.0,7.54,5.35,1.41,0.73,19.1%,13.6%,5.6%,.246,1.51,.298,74.3%,3.16,5.79,-2.63,5.80,sa3018498
Joldelanio De Los Santos,LAD,DSL,22,1.1,20.25,54.00,0.38,6.75,20.0%,53.3%,-33.3%,.167,6.75,.000,-11.6%,54.00,29.97,24.03,20.83,sa3018804
Edgar Leon,DET,DSL,21,10.1,13.06,5.23,2.50,0.00,28.8%,11.5%,17.3%,.267,1.74,.400,57.9%,6.10,3.60,2.50,4.31,sa3019161
Fernando Estrella,SFG,DSL,23,18.0,10.50,6.00,1.75,1.00,23.3%,13.3%,10.0%,.253,1.72,.327,44.9%,8.50,6.08,2.42,5.23,sa3019252
Donal Montas,DET,DSL,24,25.0,4.68,4.68,1.00,0.72,11.0%,11.0%,0.0%,.311,1.80,.341,61.1%,6.12,6.27,-0.15,6.27,sa3019394
Alfonso Perez,SFG,DSL,20,4.0,4.50,9.00,0.50,0.00,11.8%,23.5%,-11.8%,.154,1.50,.182,83.3%,2.25,6.47,-4.22,7.29,sa3019659
Carlos Hampshire,NYY,DSL,21,7.2,9.39,15.26,0.62,2.35,17.8%,28.9%,-11.1%,.323,3.00,.381,33.0%,18.78,11.25,7.53,8.93,sa3020971
Luis Vasquez,DET,DSL,21,34.0,6.62,3.71,1.79,0.26,16.7%,9.3%,7.3%,.276,1.50,.333,50.4%,5.29,4.79,0.50,5.54,sa3021001
Luis Porfirio,MIA,DSL,20,36.2,13.50,9.82,1.38,0.74,30.6%,22.2%,8.3%,.203,1.83,.320,60.2%,5.15,6.38,-1.22,5.89,sa3021015
Rainy Mota,PHI,DSL,20,2.2,13.50,0.00,4.00,0.00,40.0%,0.0%,40.0%,.200,0.75,.333,100.0%,0.00,1.47,-1.47,2.08,sa3021024
Junior Suarez,KCR,DSL,21,25.1,12.79,7.82,1.64,0.00,33.0%,20.2%,12.8%,.163,1.42,.280,73.0%,3.20,4.35,-1.15,5.09,sa3021031
