Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Gerrit Cole,NYY,A+,35,8.2,8.31,0.00,8.00,3.12,21.1%,0.0%,21.1%,.324,1.38,.346,68.2%,6.23,6.62,-0.39,3.88,13125
Clay Holmes,NYM,A+,33,5.1,5.06,0.00,3.00,0.00,13.0%,0.0%,13.0%,.304,1.31,.350,42.9%,5.06,2.49,2.57,4.64,13649
Kevin Herget,NYM,A+,35,6.0,4.50,1.50,3.00,0.00,12.0%,4.0%,8.0%,.261,1.17,.300,75.0%,3.00,3.62,-0.62,5.53,15369
Erick Mejia,WSN,A+,31,2.0,9.00,0.00,2.00,0.00,33.3%,0.0%,33.3%,.000,0.00,.000,100.0%,0.00,1.62,-1.62,3.53,15817
Carlos Rodón,NYY,A+,33,4.1,8.31,2.08,4.00,0.00,25.0%,6.3%,18.8%,.071,0.46,.100,100.0%,0.00,3.16,-3.16,4.48,16137
Trevor Williams,WSN,A+,34,3.1,8.10,5.40,1.50,0.00,17.6%,11.8%,5.9%,.400,2.40,.500,62.5%,8.10,3.62,4.48,4.19,16977
Adbert Alzolay,NYM,A+,31,3.0,3.00,6.00,0.50,0.00,8.3%,16.7%,-8.3%,.200,1.33,.222,75.0%,0.00,4.95,-4.95,7.50,17859
A.J. Minter,NYM,A+,32,1.2,5.40,0.00,1.00,0.00,14.3%,0.0%,14.3%,.286,1.20,.333,50.0%,0.00,2.42,-2.42,3.56,18655
Kodi Whitley,TBR,A+,31,3.0,9.00,6.00,1.50,3.00,21.4%,14.3%,7.1%,.333,2.00,.375,87.0%,6.00,7.95,-1.95,4.26,19731
Luis Gil,NYY,A+,28,3.0,9.00,3.00,3.00,0.00,25.0%,8.3%,16.7%,.182,1.00,.250,100.0%,0.00,2.62,-2.62,5.16,21052
Bryce Montes de Oca,WSN,A+,30,1.1,13.50,33.75,0.40,0.00,16.7%,41.7%,-25.0%,.000,3.75,.000,14.3%,33.75,16.37,17.38,17.80,21319
Yerry Rodríguez,NYY,A+,28,3.2,9.82,0.00,4.00,0.00,28.6%,0.0%,28.6%,.214,0.82,.300,100.0%,0.00,1.44,-1.44,2.48,21955
Hans Crouse,BAL,A+,27,6.0,15.00,7.50,2.00,1.50,33.3%,16.7%,16.7%,.320,2.17,.500,69.0%,4.50,4.95,-0.45,4.06,22192
Michael Mercado,PHI,A+,27,5.0,1.80,3.60,0.50,0.00,5.3%,10.5%,-5.3%,.118,0.80,.125,75.0%,1.80,4.42,-2.62,6.33,23223
Max Lazar,PHI,A+,27,1.1,6.75,6.75,1.00,0.00,12.5%,12.5%,0.0%,.333,2.25,.400,75.0%,6.75,6.62,0.13,9.48,23426
