Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Chris Martin,TEX,AA,40,1.0,18.00,0.00,2.00,0.00,50.0%,0.0%,50.0%,.250,1.00,.500,100.0%,0.00,-0.30,0.30,1.67,11847
Josh Hader,HOU,AA,32,5.0,14.40,0.00,8.00,1.80,44.4%,0.0%,44.4%,.176,0.60,.250,100.0%,1.80,3.70,-1.90,2.68,14212
José Leclerc,SDP,AA,32,8.1,11.88,3.24,3.67,3.24,26.8%,7.3%,19.5%,.368,2.04,.458,62.5%,9.72,6.82,2.90,4.74,14524
Lucas Giolito,SDP,AA,31,10.0,4.50,1.80,2.50,0.90,11.4%,4.5%,6.8%,.262,1.30,.278,60.3%,3.60,4.60,-1.00,5.47,15474
Jordan Montgomery,TEX,AA,33,3.0,12.00,0.00,4.00,0.00,40.0%,0.0%,40.0%,.100,0.33,.167,100.0%,0.00,1.03,-1.03,2.35,16511
Cristian Javier,HOU,AA,29,0.2,27.00,27.00,1.00,0.00,33.3%,33.3%,0.0%,.500,6.00,1.000,50.0%,27.00,6.70,20.30,6.70,17606
Josh Sborz,TEX,AA,32,2.0,0.00,13.50,0.00,0.00,0.0%,33.3%,-33.3%,.167,2.00,.167,100.0%,0.00,8.20,-8.20,12.15,18323
Enyel De Los Santos,HOU,AA,30,2.0,9.00,0.00,2.00,0.00,33.3%,0.0%,33.3%,.167,0.50,.250,100.0%,0.00,1.70,-1.70,3.67,18403
Ronel Blanco,HOU,AA,32,7.2,7.04,3.52,2.00,1.17,19.4%,9.7%,9.7%,.250,1.30,.286,81.4%,2.35,5.00,-2.66,6.14,19407
CD Pelham,OAK,AA,31,13.2,9.88,3.29,3.00,0.66,28.3%,9.4%,18.9%,.208,1.10,.281,66.2%,3.95,3.55,0.40,3.18,19820
Nate Pearson,HOU,AA,29,2.0,13.50,13.50,1.00,0.00,23.1%,23.1%,0.0%,.400,3.50,.571,42.9%,18.00,5.20,12.80,7.17,20160
Blake Cederlind,ARI,AA,30,7.2,8.22,10.57,0.78,1.17,18.9%,24.3%,-5.4%,.185,1.83,.211,88.2%,3.52,7.48,-3.96,6.56,20344
Bennett Sousa,HOU,AA,31,2.2,23.62,0.00,7.00,0.00,87.5%,0.0%,87.5%,.000,0.00,.000,100.0%,0.00,-1.55,1.55,-0.81,21345
Eduarniel Núñez,OAK,AA,27,2.1,7.71,0.00,2.00,0.00,25.0%,0.0%,25.0%,.000,0.00,.000,100.0%,0.00,3.27,-3.27,4.12,23162
Omar Cruz,SDP,AA,27,28.2,14.13,3.14,4.50,1.26,38.1%,8.5%,29.7%,.198,1.08,.298,65.7%,3.45,3.63,-0.18,3.47,23875
Chris Vallimont,MIN,AA,29,66.2,8.78,2.84,3.10,0.95,22.6%,7.3%,15.3%,.256,1.32,.316,73.0%,4.05,4.24,-0.19,5.24,24935
Jhony Brito,SDP,AA,28,18.1,3.93,2.45,1.60,0.49,11.4%,7.1%,4.3%,.185,0.93,.196,70.5%,1.96,4.36,-2.39,4.72,25386
Hunter Brown,HOU,AA,27,2.0,22.50,0.00,5.00,0.00,71.4%,0.0%,71.4%,.143,0.50,.500,100.0%,0.00,-1.30,1.30,-1.30,25880
Nick Robertson,LAD,AA,27,30.2,10.86,1.76,6.17,0.59,32.7%,5.3%,27.4%,.121,0.62,.162,92.6%,0.59,2.72,-2.14,3.23,26226
Hancel Rincon,STL,AA,24,2.1,7.71,0.00,2.00,3.86,22.2%,0.0%,22.2%,.222,0.86,.167,100.0%,3.86,7.56,-3.70,4.52,27144
Hayden Wesneski,HOU,AA,28,4.0,6.75,2.25,3.00,0.00,18.8%,6.3%,12.5%,.143,0.75,.182,75.0%,2.25,3.70,-1.45,4.69,27581
Cody Bradford,TEX,AA,28,6.0,13.50,3.00,4.50,0.00,37.5%,8.3%,29.2%,.182,1.00,.308,83.3%,1.50,1.70,-0.20,3.34,27597
Nick Davila,SEA,AA,27,9.0,10.00,1.00,10.00,0.00,29.4%,2.9%,26.5%,.182,0.78,.261,71.4%,2.00,1.81,0.19,2.69,27741
Beck Way,KCR,AA,26,0.2,27.00,0.00,2.00,0.00,33.3%,0.0%,33.3%,.667,6.00,1.000,50.0%,27.00,-2.30,29.30,-2.30,27877
Winston Santos,TEX,AA,24,42.1,12.33,4.46,2.76,2.13,29.1%,10.6%,18.6%,.309,1.77,.411,65.6%,7.44,5.73,1.71,4.48,28489
Bradgley Rodriguez,SDP,AA,22,1.0,9.00,0.00,1.00,0.00,33.3%,0.0%,33.3%,.000,0.00,.000,100.0%,0.00,1.70,-1.70,1.70,29107
Nick Nastrini,LAD,AA,26,0.0,0.00,27.00,0.00,0.00,0.0%,100.0%,-100.0%,.000,3.00,.000,66.7%,9.00,12.70,-3.70,12.70,29833
Jack Leiter,TEX,AA,26,3.0,15.00,6.00,2.50,3.00,33.3%,13.3%,20.0%,.231,1.67,.286,0.0%,12.00,6.70,5.30,5.00,30146
Mike Paredes,MIN,AA,25,14.0,13.50,0.64,21.00,1.93,35.6%,1.7%,33.9%,.298,1.29,.424,47.3%,7.07,3.91,3.16,2.96,30187
Jose Cabrera,ARI,AA,24,45.0,9.80,2.20,4.45,1.40,28.7%,6.4%,22.2%,.206,0.98,.250,76.0%,3.60,4.28,-0.68,3.92,30412
Cooper Hjerpe,STL,AA,25,14.1,15.70,7.53,2.08,1.26,39.7%,19.0%,20.6%,.160,1.40,.261,71.4%,5.02,4.75,0.28,4.45,31853
Tatsuya Imai,HOU,AA,28,2.0,9.00,13.50,0.67,4.50,14.3%,21.4%,-7.1%,.545,4.50,.625,52.6%,22.50,12.70,9.80,7.19,37124
Kade Anderson,SEA,AA,21,93.1,13.02,1.25,10.38,0.39,40.5%,3.9%,36.6%,.147,0.64,.239,90.3%,1.06,1.81,-0.75,2.63,37238
Adam Leverett,SEA,AA,27,96.0,8.06,2.63,3.07,1.88,21.4%,7.0%,14.5%,.266,1.31,.298,72.8%,5.06,5.65,-0.59,4.83,sa1169991
Luis Quiñones,MIN,AA,28,19.0,14.68,9.00,1.63,0.47,37.3%,22.9%,14.5%,.156,1.53,.281,76.1%,3.32,4.12,-0.81,4.79,sa1170867
Sadrac Franco,SDP,AA,26,57.2,10.46,5.31,1.97,1.25,25.2%,12.8%,12.4%,.248,1.56,.318,68.4%,5.46,5.26,0.20,5.00,sa3005073
Jesus Valdez,ARI,AA,28,2.1,3.86,7.71,0.50,19.29,5.9%,11.8%,-5.9%,.533,4.29,.333,33.3%,34.71,33.27,1.44,15.56,sa3005492
Michael Flynn,SDP,AA,29,13.0,11.77,4.85,2.43,0.69,29.8%,12.3%,17.5%,.245,1.46,.355,64.5%,4.15,3.93,0.22,4.15,sa3006803
Frainyer Chavez,TEX,AA,27,1.0,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.500,3.00,.500,33.3%,18.00,3.70,14.30,9.62,sa3007019
Jake Higginbotham,MIN,AA,30,5.2,11.12,3.18,3.50,1.59,28.0%,8.0%,20.0%,.182,1.06,.214,53.6%,4.76,5.11,-0.35,4.91,sa3007590
Julio Rodriguez,HOU,AA,26,27.2,12.04,4.23,2.85,0.65,29.8%,10.5%,19.4%,.248,1.45,.357,56.1%,5.20,3.59,1.61,3.65,sa3007992
Connor Scott,KCR,AA,26,2.0,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.167,0.50,.167,100.0%,0.00,3.70,-3.70,5.67,sa3008080
Euribiel Angeles,OAK,AA,24,1.0,0.00,9.00,0.00,9.00,0.0%,12.5%,-12.5%,.714,6.00,.667,43.5%,36.00,19.70,16.30,10.65,sa3008877
Christian Suarez,LAD,AA,25,66.0,10.64,4.23,2.52,1.09,27.0%,10.7%,16.3%,.264,1.50,.349,69.5%,4.77,4.32,0.45,4.30,sa3009222
Jonatan Bernal,ARI,AA,24,32.1,10.30,2.51,4.11,1.11,30.1%,7.3%,22.8%,.170,0.87,.211,77.9%,2.51,4.04,-1.54,3.53,sa3009271
Joel Ibarra,LAD,AA,23,9.2,11.17,21.41,0.52,0.93,20.3%,39.0%,-18.6%,.206,3.10,.286,71.9%,8.38,10.32,-1.94,11.02,sa3009326
Frank Rodriguez,LAD,AA,24,3.0,3.00,3.00,1.00,0.00,7.7%,7.7%,0.0%,.333,1.67,.364,100.0%,0.00,4.03,-4.03,4.69,sa3009330
Railin Perez,HOU,AA,24,48.1,11.92,5.40,2.21,0.56,29.8%,13.5%,16.3%,.229,1.45,.339,74.2%,3.72,4.09,-0.37,4.67,sa3009622
J.T. Arruda,SEA,AA,28,1.1,0.00,6.75,0.00,0.00,0.0%,12.5%,-12.5%,.429,3.00,.429,50.0%,13.50,5.95,7.55,8.91,sa3010036
Blake Townsend,TEX,AA,25,90.2,7.64,4.27,1.79,1.49,19.4%,10.8%,8.6%,.235,1.37,.262,69.9%,5.06,5.91,-0.84,5.87,sa3010125
Fernando Sanchez,SDP,AA,25,44.1,10.56,6.50,1.63,0.61,25.7%,15.8%,9.9%,.236,1.60,.327,68.2%,5.08,4.74,0.34,5.19,sa3010134
Austin Roberts,TEX,AA,27,47.1,13.69,4.94,2.77,1.52,36.0%,13.0%,23.0%,.182,1.20,.256,74.3%,3.04,4.76,-1.71,4.06,sa3010254
Nick Mikolajchak,MIN,AA,28,11.2,3.09,2.31,1.33,3.86,7.3%,5.5%,1.8%,.353,1.80,.310,80.0%,7.71,9.61,-1.90,7.43,sa3010303
Zach Vennaro,MIN,AA,30,7.2,12.91,10.57,1.22,0.00,26.8%,22.0%,4.9%,.281,2.35,.429,50.0%,10.57,4.35,6.21,5.12,sa3010326
Ben Anderson,TEX,AA,28,67.0,5.91,4.16,1.42,1.34,14.3%,10.1%,4.2%,.327,1.81,.362,61.1%,6.85,5.76,1.09,5.59,sa3010560
Sam Ryan,MIN,AA,27,38.0,7.58,5.21,1.45,1.18,17.6%,12.1%,5.5%,.301,1.82,.353,57.6%,7.34,5.78,1.56,5.94,sa3010627
Andrew Schultz,STL,AA,28,19.1,13.03,4.19,3.11,0.47,33.3%,10.7%,22.6%,.174,1.09,.275,74.2%,3.26,3.80,-0.55,3.95,sa3010782
Austin Bergner,TEX,AA,29,4.1,6.23,14.54,0.43,0.00,12.0%,28.0%,-16.0%,.278,2.77,.333,66.7%,8.31,7.16,1.15,11.26,sa3011122
Grant Gambrell,KCR,AA,28,34.2,8.83,2.86,3.09,1.82,22.2%,7.2%,15.0%,.273,1.41,.316,66.4%,6.23,5.58,0.66,5.23,sa3011129
Josh Hejka,TEX,AA,29,8.2,9.35,3.12,3.00,4.15,20.9%,7.0%,14.0%,.342,1.85,.360,80.6%,8.31,9.35,-1.05,5.86,sa3011152
Aidan Anderson,TEX,AA,29,0.2,13.50,0.00,1.00,0.00,20.0%,0.0%,20.0%,.600,4.50,.750,33.3%,27.00,0.70,26.30,3.66,sa3011250
Zach Bryant,TEX,AA,28,53.1,6.75,4.56,1.48,1.18,16.6%,11.2%,5.4%,.280,1.61,.317,66.9%,5.40,5.59,-0.19,5.81,sa3011368
JJ Goss,OAK,AA,25,51.2,6.27,4.35,1.44,0.87,15.6%,10.8%,4.8%,.275,1.55,.314,65.8%,5.23,5.37,-0.14,5.60,sa3011420
Michael Cuevas,HOU,AA,25,12.1,8.76,10.95,0.80,1.46,17.9%,22.4%,-4.5%,.250,2.19,.294,78.0%,5.84,8.48,-2.65,7.82,sa3011437
Yehizon Sanchez,MIN,AA,25,4.1,8.31,14.54,0.57,0.00,16.7%,29.2%,-12.5%,.294,2.77,.385,58.3%,10.38,6.70,3.68,8.07,sa3011574
James Gonzalez,OAK,AA,25,18.0,9.00,5.50,1.64,0.50,21.4%,13.1%,8.3%,.306,1.83,.396,64.4%,6.00,4.42,1.58,5.02,sa3011609
