Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Trevor Williams,WSN,A,34,0.2,.667,3.00,20.0%,60.0%,20.0%,0.0%,0.0%,66.7%,33.3%,0.0%,11.5%,8,18,26,16977
Alex Young,WSN,A,32,3.1,.444,3.00,55.6%,33.3%,11.1%,0.0%,0.0%,77.8%,11.1%,11.1%,14.6%,16,32,48,18333
Richard Lovelady,WSN,A,30,1.0,.000,0.00,0.0%,0.0%,100.0%,0.0%,33.3%,33.3%,33.3%,33.3%,18.2%,2,9,11,19337
Manuel Rodríguez,TBR,A,29,1.0,.000,2.00,0.0%,100.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,1,7,8,20794
Bryce Montes de Oca,WSN,A,30,2.0,.000,0.00,0.0%,0.0%,100.0%,33.3%,0.0%,33.3%,33.3%,33.3%,13.3%,26,19,45,21319
Max Kranick,WSN,A,28,2.2,.200,0.50,40.0%,20.0%,40.0%,50.0%,50.0%,33.3%,50.0%,16.7%,26.9%,16,36,52,22175
Josiah Gray,WSN,A,28,3.0,.444,0.20,33.3%,11.1%,55.6%,40.0%,0.0%,33.3%,22.2%,44.4%,14.6%,14,27,41,24580
DJ Herz,WSN,A,25,3.2,.545,0.50,45.5%,18.2%,36.4%,25.0%,0.0%,27.3%,36.4%,36.4%,19.0%,17,46,63,26389
AJ Smith-Shawver,ATL,A,23,7.0,.286,3.67,6.7%,73.3%,20.0%,0.0%,33.3%,40.0%,20.0%,40.0%,21.8%,25,62,87,29960
Ethan Pecko,HOU,A,23,8.0,.357,4.50,21.4%,64.3%,14.3%,0.0%,50.0%,40.0%,26.7%,33.3%,19.5%,40,83,123,33515
Johan Otanez,WSN,A,24,22.1,.356,1.00,16.7%,41.7%,41.7%,32.0%,4.0%,31.7%,28.3%,40.0%,10.8%,196,241,437,sa3009782
Blake Brown,WSN,A,27,3.2,.143,2.00,14.3%,57.1%,28.6%,0.0%,0.0%,28.6%,28.6%,42.9%,19.0%,27,36,63,sa3014847
Ettore Giulianelli,CLE,A,23,24.2,.397,3.55,19.4%,62.9%,17.7%,27.3%,9.1%,37.5%,18.8%,43.8%,14.3%,269,305,574,sa3015281
Juan Nuñez,BAL,A,25,1.0,.000,0.00,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,27.3%,2,9,11,sa3015464
Fidel Montero,CHW,A,22,10.2,.303,1.17,18.8%,43.8%,37.5%,8.3%,8.3%,39.4%,24.2%,36.4%,10.2%,63,103,166,sa3015856
Gabriel Silva,KCR,A,22,0.2,.333,0.00,33.3%,0.0%,66.7%,100.0%,0.0%,33.3%,0.0%,66.7%,9.1%,13,9,22,sa3015865
Gabriel Rodriguez,CHW,A,22,65.2,.258,0.74,13.8%,36.7%,49.5%,16.1%,12.9%,44.7%,26.6%,28.7%,10.0%,421,688,1109,sa3016784
Eric Martinez,MIL,A,22,4.1,.381,0.71,40.0%,25.0%,35.0%,28.6%,0.0%,71.4%,23.8%,4.8%,3.7%,35,47,82,sa3017023
Alvaro Mejias,TBR,A,22,9.1,.348,1.13,26.1%,39.1%,34.8%,37.5%,12.5%,34.8%,30.4%,34.8%,15.4%,58,104,162,sa3017657
Keagan Gillies,BAL,A,28,5.1,.286,6.00,50.0%,42.9%,7.1%,0.0%,0.0%,42.9%,14.3%,42.9%,15.9%,29,53,82,sa3017686
Cesar De Jesus,TBR,A,22,26.2,.351,2.33,31.5%,47.9%,20.5%,20.0%,0.0%,32.5%,33.8%,33.8%,9.9%,210,307,517,sa3017767
Mason Auer,TBR,A,25,14.2,.349,1.13,25.6%,39.5%,34.9%,13.3%,13.3%,33.3%,24.4%,42.2%,10.9%,146,167,313,sa3017791
Adam Shoemaker,HOU,A,23,26.0,.218,1.56,18.0%,50.0%,32.0%,31.3%,6.3%,44.6%,23.2%,32.1%,14.7%,210,272,482,sa3017888
Caden Vire,BOS,A,22,13.2,.375,0.92,25.8%,35.5%,38.7%,25.0%,8.3%,45.5%,12.1%,42.4%,8.9%,185,163,348,sa3017967
Pablo Aldonis,WSN,A,24,4.1,.267,1.33,12.5%,50.0%,37.5%,0.0%,33.3%,35.3%,23.5%,41.2%,11.5%,34,53,87,sa3018289
Raimy Rodriguez,HOU,A,20,3.1,.000,4.00,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,18.2%,16,28,44,sa3018326
Frankeli Arias,CHW,A,23,8.1,.350,1.13,19.0%,42.9%,38.1%,12.5%,12.5%,52.4%,23.8%,23.8%,13.2%,52,92,144,sa3018352
Rafael Ramirez Jr.,WSN,A,20,3.2,.267,0.38,31.3%,18.8%,50.0%,62.5%,12.5%,37.5%,12.5%,50.0%,4.0%,40,35,75,sa3018476
Alfredo Velásquez,BAL,A,21,0.2,.667,1.00,66.7%,16.7%,16.7%,0.0%,0.0%,16.7%,50.0%,33.3%,2.9%,19,16,35,sa3018556
Anfernny Reyes,MIL,A,22,22.0,.293,1.67,20.0%,50.0%,30.0%,25.0%,8.3%,38.1%,23.8%,38.1%,18.3%,109,208,317,sa3018807
Luis A. Reyes,CHC,A,22,13.2,.324,2.00,31.4%,45.7%,22.9%,25.0%,37.5%,35.1%,24.3%,40.5%,7.7%,205,186,391,sa3019049
David Bracho,CHC,A,21,71.0,.333,1.76,23.2%,49.0%,27.8%,23.6%,14.5%,43.1%,29.2%,27.7%,12.1%,558,819,1377,sa3019080
Jeremy Gonzalez,CHW,A,21,7.0,.280,0.64,25.0%,29.2%,45.8%,36.4%,0.0%,33.3%,16.7%,50.0%,6.9%,74,71,145,sa3019086
Clarence Martina,WSN,A,21,2.2,.533,0.43,33.3%,20.0%,46.7%,0.0%,0.0%,13.3%,26.7%,60.0%,4.1%,54,43,97,sa3019099
Leomar Rosario,HOU,A,23,48.0,.260,1.10,15.5%,44.3%,40.2%,25.6%,7.7%,41.6%,21.8%,36.6%,14.6%,501,533,1034,sa3019127
Jose Meneses,MIL,A,21,38.1,.274,2.61,21.7%,56.6%,21.7%,22.2%,5.6%,36.5%,32.9%,30.6%,12.0%,212,406,618,sa3019158
Andy Basora,KCR,A,21,59.0,.352,1.11,28.0%,37.8%,34.1%,33.9%,8.9%,40.1%,32.9%,26.9%,11.7%,394,657,1051,sa3019168
Henson Leal,KCR,A,22,57.0,.315,1.27,28.8%,39.9%,31.3%,11.8%,5.9%,47.6%,26.2%,26.2%,11.7%,300,569,869,sa3019175
Cesar Espinal,MIL,A,20,8.1,.133,1.00,14.3%,42.9%,42.9%,33.3%,0.0%,53.3%,20.0%,26.7%,15.6%,89,90,179,sa3019192
Cesar Rojas,WSN,A,24,33.2,.352,1.45,31.9%,40.3%,27.8%,15.0%,15.0%,39.7%,21.9%,38.4%,14.2%,322,387,709,sa3019244
Luis Cohen,BOS,A,23,26.1,.250,0.89,21.5%,36.9%,41.5%,25.9%,11.1%,38.8%,29.9%,31.3%,13.3%,151,254,405,sa3019269
Luis Valdez,KCR,A,21,13.0,.351,1.00,23.1%,38.5%,38.5%,26.7%,20.0%,47.5%,27.5%,25.0%,11.9%,116,152,268,sa3019288
Jesus Mendez,CHW,A,21,18.0,.227,0.50,26.7%,24.4%,48.9%,50.0%,9.1%,30.4%,30.4%,39.1%,15.6%,111,178,289,sa3019295
Jhon Cabral,CHC,A,20,5.1,.400,0.83,31.3%,31.3%,37.5%,16.7%,33.3%,35.3%,17.6%,47.1%,9.4%,62,76,138,sa3019299
Adrián Delgado,BAL,A,21,5.2,.571,2.50,50.0%,35.7%,14.3%,50.0%,0.0%,42.9%,14.3%,42.9%,4.9%,97,86,183,sa3019379
Yeri Perez,KCR,A,21,49.0,.216,2.31,15.2%,59.2%,25.6%,18.8%,9.4%,38.6%,31.5%,29.9%,9.8%,483,496,979,sa3019566
Geury Rodriguez,TEX,A,21,48.0,.257,1.86,21.6%,51.0%,27.5%,35.7%,14.3%,45.1%,28.4%,26.5%,13.3%,317,466,783,sa3019581
Jose Serrano,HOU,A,22,42.0,.297,2.50,28.7%,50.9%,20.4%,27.3%,13.6%,44.2%,23.9%,31.9%,11.6%,330,449,779,sa3019597
Davis Polo,ATL,A,21,99.2,.264,1.79,18.1%,52.6%,29.3%,24.7%,11.0%,54.9%,18.8%,26.3%,15.5%,553,916,1469,sa3019637
