Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Nate Snead,LAA,A+,22,35.1,.315,2.75,16.7%,61.1%,22.2%,20.0%,5.0%,47.8%,15.6%,36.7%,15.4%,141,352,493,sa3042668
Nolan Perry,TOR,A+,22,30.2,.369,1.13,27.9%,38.2%,33.8%,13.0%,13.0%,38.2%,23.5%,38.2%,15.3%,179,311,490,sa3021476
Jose Atencio,LAA,A+,24,32.0,.259,1.35,18.9%,46.7%,34.4%,16.1%,16.1%,42.2%,25.6%,32.2%,12.1%,164,315,479,sa3010304
Juanmi Vasquez,TOR,A+,22,23.0,.385,0.95,27.8%,35.2%,37.0%,30.0%,15.0%,45.5%,23.6%,30.9%,14.8%,181,279,460,sa3020344
Austin Emener,COL,A+,24,29.1,.203,0.89,13.6%,40.7%,45.7%,21.6%,18.9%,30.5%,30.5%,39.0%,12.9%,183,276,459,sa3022799
Jack Eshleman,TOR,A+,22,28.0,.232,1.00,23.8%,38.1%,38.1%,18.8%,12.5%,38.4%,30.2%,31.4%,9.6%,162,285,447,sa3067088
Nick Jones,LAA,A+,27,23.0,.339,0.87,23.2%,35.7%,41.1%,21.7%,4.3%,36.8%,14.0%,49.1%,10.7%,150,272,422,sa3017419
Ryan Vanderhei,SFG,A+,25,26.1,.183,1.15,25.9%,39.7%,34.5%,25.0%,5.0%,45.0%,18.3%,36.7%,14.5%,153,255,408,sa3023671
Adam Smith,SEA,A+,26,27.0,.273,1.57,11.9%,53.7%,34.3%,13.0%,13.0%,49.3%,20.3%,30.4%,13.3%,132,275,407,sa3017147
Carson Pierce,TOR,A+,24,21.1,.264,1.33,20.8%,45.3%,34.0%,27.8%,5.6%,37.0%,29.6%,33.3%,9.1%,192,214,406,sa3023179
Brody Brecht,COL,A+,23,20.2,.318,2.00,28.6%,47.6%,23.8%,30.0%,0.0%,54.5%,13.6%,31.8%,13.1%,154,234,388,sa3027632
Bryan Perez,COL,A+,22,18.1,.403,1.58,24.6%,46.2%,29.2%,15.8%,26.3%,49.3%,25.4%,25.4%,8.4%,170,213,383,sa3016515
Sam Whiting,SEA,A+,25,20.2,.352,1.28,29.3%,39.7%,31.0%,16.7%,27.8%,37.3%,39.0%,23.7%,12.0%,146,237,383,sa3023078
Austin Cates,TOR,A+,23,24.0,.279,0.70,29.2%,29.2%,41.5%,25.9%,18.5%,37.9%,33.3%,28.8%,11.8%,144,238,382,sa3028648
Ryan Slater,SFG,A+,24,21.1,.313,1.17,20.4%,42.9%,36.7%,11.1%,5.6%,36.7%,34.7%,28.6%,13.6%,143,231,374,sa3042417
Luke Cooper,LAA,A+,25,18.1,.423,1.60,25.0%,46.2%,28.8%,6.7%,6.7%,45.3%,34.0%,20.8%,12.6%,139,233,372,sa3076427
Chris Cortez,LAA,A+,23,17.1,.244,1.85,19.6%,52.2%,28.3%,7.7%,7.7%,32.6%,34.8%,32.6%,8.7%,190,178,368,sa3029417
Gabriel Sosa,SEA,A+,25,17.0,.448,3.70,20.3%,62.7%,16.9%,10.0%,30.0%,51.7%,21.7%,26.7%,9.3%,147,217,364,sa3011682
