Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Luke Jackson,NYM,A,34,3.0,.667,3.00,50.0%,50.0%,0.0%,0.0%,0.0%,33.3%,16.7%,50.0%,23.5%,15,36,51,11752
Yimi García,TOR,A,35,3.0,.143,1.00,14.3%,42.9%,42.9%,0.0%,0.0%,16.7%,33.3%,50.0%,4.4%,19,26,45,12095
Chris Devenski,PIT,A,35,6.2,.188,0.44,18.8%,25.0%,56.3%,11.1%,0.0%,31.3%,43.8%,25.0%,11.9%,30,54,84,12763
Burch Smith,DET,A,36,1.0,.250,1.00,0.0%,50.0%,50.0%,0.0%,0.0%,50.0%,25.0%,25.0%,12.5%,6,10,16,12784
Mike Clevinger,PIT,A,35,3.0,.167,4.00,16.7%,66.7%,16.7%,100.0%,0.0%,33.3%,33.3%,33.3%,13.3%,18,27,45,12808
Clay Holmes,NYM,A,33,4.0,.200,8.00,10.0%,80.0%,10.0%,100.0%,0.0%,50.0%,10.0%,40.0%,8.5%,22,37,59,13649
José Berríos,TOR,A,32,6.2,.389,3.00,15.8%,63.2%,21.1%,50.0%,25.0%,36.8%,15.8%,47.4%,14.7%,26,76,102,14168
Joe Mantiply,TOR,A,35,1.2,.500,6.00,12.5%,75.0%,12.5%,0.0%,0.0%,62.5%,12.5%,25.0%,16.1%,8,23,31,14857
Kevin Herget,NYM,A,35,2.0,.200,1.00,20.0%,40.0%,40.0%,0.0%,0.0%,80.0%,0.0%,20.0%,15.4%,9,17,26,15369
Julian Merryweather,MIN,A,34,4.1,.556,2.00,33.3%,44.4%,22.2%,50.0%,50.0%,30.0%,40.0%,30.0%,26.4%,23,49,72,16703
Adbert Alzolay,NYM,A,31,2.0,.286,1.00,0.0%,50.0%,50.0%,25.0%,25.0%,37.5%,12.5%,50.0%,6.9%,7,22,29,17859
Scott Effross,DET,A,32,2.1,.000,1.00,33.3%,33.3%,33.3%,0.0%,0.0%,33.3%,33.3%,33.3%,3.0%,12,21,33,18384
A.J. Minter,NYM,A,32,2.0,.000,1.00,50.0%,50.0%,0.0%,0.0%,0.0%,50.0%,50.0%,0.0%,14.3%,0,7,7,18655
Shane Bieber,TOR,A,31,2.1,.500,0.75,36.4%,27.3%,36.4%,25.0%,25.0%,45.5%,27.3%,27.3%,18.4%,14,35,49,19427
Jorge Alcala,TOR,A,30,3.0,.143,0.33,33.3%,16.7%,50.0%,100.0%,0.0%,50.0%,0.0%,50.0%,15.9%,13,31,44,19459
Connor Seabold,DET,A,30,1.0,.500,1.00,50.0%,50.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,17.6%,7,10,17,19695
Casey Mize,DET,A,29,5.0,.182,1.50,16.7%,50.0%,33.3%,75.0%,25.0%,66.7%,0.0%,33.3%,12.7%,19,36,55,20492
Peter Strzelecki,STL,A,31,1.0,.000,2.00,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,3,5,8,21367
Justin Hagenman,NYM,A,29,2.1,.429,1.50,28.6%,42.9%,28.6%,0.0%,0.0%,42.9%,14.3%,42.9%,20.9%,18,25,43,21546
José Marte,NYM,A,30,2.0,.400,1.00,33.3%,33.3%,33.3%,0.0%,100.0%,0.0%,33.3%,66.7%,16.7%,1,11,12,21761
Yerry Rodríguez,NYY,A,28,8.0,.333,2.00,25.0%,50.0%,25.0%,50.0%,0.0%,37.5%,29.2%,33.3%,8.7%,32,83,115,21955
Josh Winckowski,TOR,A,28,6.1,.214,5.00,14.3%,71.4%,14.3%,0.0%,50.0%,73.3%,6.7%,20.0%,10.9%,36,65,101,22387
Dedniel Núñez,NYM,A,30,1.2,.571,0.25,16.7%,16.7%,66.7%,25.0%,0.0%,28.6%,57.1%,14.3%,20.0%,7,28,35,23055
Eduardo Salazar,MIN,A,28,2.2,.455,1.67,27.3%,45.5%,27.3%,0.0%,0.0%,33.3%,25.0%,41.7%,0.0%,12,20,32,23135
Michael Mercado,PHI,A,27,2.1,.000,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,66.7%,0.0%,33.3%,30.6%,14,22,36,23223
Joey Gerber,NYM,A,29,1.0,.000,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,4,7,11,24591
Lazaro Estrada,TOR,A,27,2.0,.429,1.00,42.9%,28.6%,28.6%,0.0%,0.0%,85.7%,14.3%,0.0%,15.8%,11,27,38,24914
Austin Warren,NYM,A,30,1.0,.000,1.00,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,7.7%,5,8,13,24937
Cole Waites,DET,A,28,2.0,.143,2.50,0.0%,71.4%,28.6%,50.0%,0.0%,57.1%,0.0%,42.9%,4.0%,10,15,25,25665
Tyler Owens,DET,A,25,5.1,.250,2.67,31.3%,50.0%,18.8%,33.3%,0.0%,37.5%,12.5%,50.0%,12.9%,28,57,85,26030
Sawyer Gipson-Long,DET,A,28,1.2,.333,1.50,16.7%,50.0%,33.3%,0.0%,0.0%,42.9%,28.6%,28.6%,10.3%,14,25,39,26048
Beau Brieske,DET,A,28,2.0,.000,0.33,0.0%,25.0%,75.0%,33.3%,0.0%,75.0%,0.0%,25.0%,7.4%,11,16,27,26079
Jackson Rutledge,PHI,A,27,3.0,.375,2.50,0.0%,71.4%,28.6%,50.0%,0.0%,62.5%,25.0%,12.5%,11.3%,23,30,53,26215
Nick Lodolo,CIN,A,28,2.2,.000,3.00,0.0%,75.0%,25.0%,0.0%,0.0%,50.0%,0.0%,50.0%,16.2%,10,27,37,26378
Garrett Acton,MIN,A,28,3.0,.000,0.50,14.3%,28.6%,57.1%,0.0%,0.0%,42.9%,28.6%,28.6%,2.9%,12,22,34,27583
Bailey Horn,DET,A,28,1.2,.250,0.00,25.0%,0.0%,75.0%,66.7%,0.0%,75.0%,0.0%,25.0%,16.7%,6,24,30,27753
Jared Jones,PIT,A,24,3.0,.000,0.33,0.0%,25.0%,75.0%,0.0%,0.0%,50.0%,25.0%,25.0%,19.5%,11,30,41,27863
Noah Murdock,PIT,A,27,4.1,.333,2.00,25.0%,50.0%,25.0%,0.0%,0.0%,33.3%,33.3%,33.3%,8.1%,20,54,74,27908
Kendry Rojas,MIN,A,23,1.1,.667,1.00,66.7%,33.3%,0.0%,0.0%,0.0%,0.0%,66.7%,33.3%,11.4%,15,20,35,29423
Andrew Hoffmann,PHI,A,26,1.0,.000,0.50,0.0%,33.3%,66.7%,50.0%,0.0%,0.0%,33.3%,66.7%,8.3%,4,8,12,29633
Grant Holman,PHI,A,26,2.0,.500,1.00,20.0%,40.0%,40.0%,0.0%,50.0%,60.0%,40.0%,0.0%,22.2%,9,27,36,30002
Nate Lavender,NYM,A,26,7.0,.357,1.50,16.7%,50.0%,33.3%,0.0%,0.0%,30.8%,23.1%,46.2%,14.8%,46,62,108,30109
Brant Hurter,DET,A,27,0.1,.500,1.00,50.0%,50.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,11.8%,9,8,17,30133
Ricky Tiedemann,TOR,A,23,2.0,.250,3.00,25.0%,75.0%,0.0%,0.0%,0.0%,25.0%,25.0%,50.0%,20.0%,7,18,25,30165
Travis Adams,MIN,A,26,2.0,.000,2.00,0.0%,66.7%,33.3%,0.0%,0.0%,66.7%,0.0%,33.3%,29.6%,9,18,27,30180
Jackson Jobe,DET,A,23,1.1,.400,3.00,20.0%,60.0%,20.0%,0.0%,0.0%,40.0%,0.0%,60.0%,9.4%,8,24,32,30203
Michael Darrell-Hicks,PIT,A,28,2.2,.333,2.00,33.3%,44.4%,22.2%,100.0%,0.0%,66.7%,11.1%,22.2%,13.2%,14,24,38,31501
Troy Melton,DET,A,25,9.2,.190,4.67,15.0%,70.0%,15.0%,0.0%,0.0%,38.1%,14.3%,47.6%,17.2%,34,88,122,31807
Kodai Senga,NYM,A,33,3.1,.333,6.00,36.4%,54.5%,9.1%,0.0%,0.0%,72.7%,9.1%,18.2%,9.4%,27,37,64,31838
Cooper Hjerpe,STL,A,25,4.2,.182,1.25,25.0%,41.7%,33.3%,50.0%,25.0%,50.0%,8.3%,41.7%,6.1%,27,39,66,31853
Jake Bloss,TOR,A,25,11.1,.333,2.43,20.0%,56.7%,23.3%,28.6%,42.9%,50.0%,26.7%,23.3%,13.6%,54,115,169,33168
Dylan Ross,NYM,A,25,2.0,.167,1.00,0.0%,50.0%,50.0%,0.0%,0.0%,40.0%,20.0%,40.0%,6.1%,11,22,33,35309
Trey Yesavage,TOR,A,22,5.1,.364,1.00,0.0%,50.0%,50.0%,0.0%,33.3%,66.7%,16.7%,16.7%,11.4%,14,30,44,35456
Craig Kimbrel,NYM,A,38,1.0,.000,,,,,,,,,,,,,,6655
