Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Julio Dilone,SDP,DSL,26,9.1,.360,1.33,19.2%,46.2%,34.6%,33.3%,11.1%,57.7%,15.4%,26.9%,16.4%,70,101,171,sa3015085
Junior Pina,MIA,DSL,23,29.0,.339,1.24,19.0%,44.8%,36.2%,23.8%,9.5%,44.3%,24.6%,31.1%,17.9%,281,323,604,sa3016911
Brayan Cabello,SFG,DSL,22,36.1,.179,1.58,4.5%,58.4%,37.1%,27.3%,0.0%,50.0%,20.8%,29.2%,15.2%,181,280,461,sa3018304
Andy Encarnacion,ARI,DSL,21,37.0,.298,0.81,14.7%,38.2%,47.1%,25.0%,6.3%,43.9%,24.3%,31.8%,15.4%,224,334,558,sa3018498
Joldelanio De Los Santos,LAD,DSL,22,1.1,.000,1.00,0.0%,50.0%,50.0%,0.0%,100.0%,0.0%,33.3%,66.7%,5.7%,44,26,70,sa3018804
Edgar Leon,DET,DSL,21,10.1,.400,1.33,25.0%,42.9%,32.1%,0.0%,0.0%,53.3%,30.0%,16.7%,16.2%,68,130,198,sa3019161
Fernando Estrella,SFG,DSL,23,18.0,.327,2.00,20.4%,53.1%,26.5%,38.5%,15.4%,63.0%,20.4%,16.7%,12.8%,150,202,352,sa3019252
Donal Montas,DET,DSL,24,25.0,.341,1.19,19.5%,43.7%,36.8%,28.1%,6.3%,52.8%,18.0%,29.2%,8.1%,171,234,405,sa3019394
Alfonso Perez,SFG,DSL,20,4.0,.182,1.50,9.1%,54.5%,36.4%,50.0%,0.0%,63.6%,18.2%,18.2%,4.5%,30,37,67,sa3019659
Carlos Hampshire,NYY,DSL,21,7.2,.381,0.80,21.7%,34.8%,43.5%,30.0%,20.0%,52.2%,13.0%,34.8%,12.5%,95,89,184,sa3020971
Luis Vasquez,DET,DSL,21,34.0,.333,0.85,17.1%,38.1%,44.8%,21.3%,2.1%,38.2%,25.5%,36.4%,9.4%,169,289,458,sa3021001
Luis Porfirio,MIA,DSL,20,36.2,.320,1.31,16.7%,47.2%,36.1%,19.2%,11.5%,37.2%,28.2%,34.6%,12.2%,358,395,753,sa3021015
Rainy Mota,PHI,DSL,20,2.2,.333,1.50,16.7%,50.0%,33.3%,0.0%,0.0%,33.3%,33.3%,33.3%,30.0%,8,22,30,sa3021024
Junior Suarez,KCR,DSL,21,25.1,.280,1.05,8.5%,46.8%,44.7%,19.0%,0.0%,33.3%,25.0%,41.7%,13.8%,190,260,450,sa3021031
