Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Daniel Guerra,TOR,CPX,22,2.2,.200,,,,,,,,,,,,,,sa3019786
T.J. Brock,TOR,CPX,26,1.0,.000,,,,,,,,,,,,,,sa3020079
Landon Harmon,WSN,CPX,19,1.2,.333,,,,,,,,,,,,,,sa3069265
Xavier Lopez,TBR,CPX,21,56.1,.353,1.49,16.0%,50.3%,33.7%,11.5%,4.9%,51.9%,22.5%,25.7%,10.6%,335,534,869,sa3024539
Luis Gonzalez,PHI,CPX,20,53.0,.337,0.83,24.0%,34.4%,41.6%,21.9%,17.2%,47.0%,25.6%,27.4%,12.6%,307,547,854,sa3019164
Jeremy Pilon,TBR,CPX,20,48.2,.342,1.97,23.9%,50.4%,25.6%,23.3%,0.0%,42.1%,22.3%,35.5%,11.6%,350,501,851,sa3023614
Cristian Hernandez,MIN,CPX,21,47.1,.350,1.19,19.5%,43.8%,36.7%,17.0%,14.9%,36.4%,30.3%,33.3%,13.5%,332,495,827,sa3021788
Gensi Angeles,ATL,CPX,18,55.2,.244,1.25,18.2%,45.5%,36.4%,26.8%,3.6%,53.2%,21.5%,25.3%,11.1%,333,488,821,sa3068154
Adrian Ardines,HOU,CPX,19,52.2,.284,1.20,21.2%,43.1%,35.8%,22.4%,10.2%,37.4%,21.6%,41.0%,14.4%,294,482,776,sa3024257
Juan Lopez,WSN,CPX,21,37.0,.300,0.58,16.5%,30.6%,52.9%,42.2%,11.1%,45.9%,22.4%,31.8%,13.1%,291,403,694,sa3068105
Angel Liranzo,PHI,CPX,19,39.1,.427,0.98,21.1%,39.0%,39.8%,24.5%,12.2%,45.1%,24.6%,30.3%,14.3%,246,434,680,sa3022217
Camden Lohman,NYM,CPX,19,43.0,.354,1.34,31.3%,39.4%,29.3%,41.4%,13.8%,51.4%,17.8%,30.8%,18.3%,275,398,673,sa3069289
Connor Gehr,BAL,CPX,20,46.1,.292,0.87,18.2%,38.0%,43.8%,20.8%,11.3%,45.3%,25.0%,29.7%,12.9%,261,412,673,sa3069409
Pedro Peralta,PHI,CPX,19,35.0,.424,0.93,22.1%,37.5%,40.4%,11.9%,19.0%,48.6%,30.8%,20.6%,10.3%,298,365,663,sa3022182
Aleiman Cruz,DET,CPX,20,39.1,.250,0.38,24.0%,21.0%,55.0%,29.1%,5.5%,46.6%,28.2%,25.2%,13.9%,244,419,663,sa3069120
Eris Albino,NYM,CPX,22,38.0,.275,1.68,23.5%,48.0%,28.6%,14.3%,10.7%,47.6%,20.0%,32.4%,12.1%,299,362,661,sa3018894
Sadbiel Delzine,BOS,CPX,18,39.2,.245,0.95,18.8%,39.6%,41.7%,30.0%,0.0%,42.9%,24.5%,32.7%,13.8%,242,418,660,sa3068089
Carlos Rodriguez,DET,CPX,20,38.1,.395,1.86,28.4%,46.6%,25.0%,24.1%,20.7%,48.3%,28.3%,23.3%,13.7%,235,424,659,sa3024277
Wuilinyer Tovar,ATL,CPX,18,41.2,.302,1.28,18.0%,45.9%,36.0%,17.5%,7.5%,39.5%,28.1%,32.5%,6.0%,277,368,645,sa3068652
Jhonan Coba,DET,CPX,19,39.1,.294,0.75,29.2%,30.3%,40.4%,22.2%,16.7%,42.9%,25.3%,31.9%,18.8%,274,366,640,sa3025048
Gabriel Chinchilla,STL,CPX,19,42.0,.349,1.46,28.1%,42.7%,29.2%,17.9%,14.3%,34.3%,21.2%,44.4%,15.2%,233,404,637,sa3024773
Jan Cabrera,STL,CPX,21,42.2,.370,2.00,20.7%,52.9%,26.4%,28.1%,12.5%,43.1%,26.0%,30.9%,14.9%,217,420,637,sa3068371
Brody Fowler,ATL,CPX,22,40.1,.283,1.28,25.5%,41.8%,32.7%,19.4%,25.0%,50.4%,23.5%,26.1%,14.1%,227,410,637,sa3069402
Miguel Toscano,TBR,CPX,20,42.2,.382,1.23,21.3%,43.4%,35.2%,25.6%,9.3%,40.3%,23.4%,36.3%,8.4%,235,399,634,sa3022031
Jhoster Baez,HOU,CPX,21,33.0,.318,2.24,20.0%,55.3%,24.7%,19.0%,9.5%,46.6%,19.3%,34.1%,14.9%,263,355,618,sa3024611
Angelo Ladera,BOS,CPX,19,30.1,.464,1.67,22.6%,48.4%,29.0%,22.2%,0.0%,49.0%,17.7%,33.3%,12.5%,255,363,618,sa3068143
Yordanis Guerra,PHI,CPX,19,36.2,.385,1.24,20.4%,44.1%,35.5%,21.2%,0.0%,36.1%,34.0%,29.9%,15.2%,230,388,618,sa3068469
Manuel Cruz,NYY,CPX,20,38.0,.283,1.77,23.9%,48.7%,27.4%,16.1%,12.9%,49.1%,20.7%,30.2%,11.8%,261,351,612,sa3067567
Owen Hall,DET,CPX,20,39.2,.291,1.02,18.6%,41.2%,40.2%,24.4%,17.1%,53.6%,20.9%,25.5%,17.2%,242,368,610,sa3066594
Hamlet Garcia,MIA,CPX,20,31.2,.379,1.18,24.7%,40.7%,34.6%,35.7%,14.3%,50.0%,27.4%,22.6%,12.0%,281,328,609,sa3021022
Sabier Marte,NYY,CPX,22,34.1,.333,1.80,24.7%,48.4%,26.9%,32.0%,16.0%,46.3%,15.8%,37.9%,16.2%,220,385,605,sa3019431
Miguel Pantoja,TOR,CPX,18,37.0,.218,1.03,14.8%,43.2%,42.0%,21.6%,16.2%,54.9%,24.2%,20.9%,15.9%,247,352,599,sa3068501
Juan Reyes,WSN,CPX,21,41.0,.313,1.11,20.4%,41.9%,37.6%,28.6%,5.7%,36.8%,34.7%,28.4%,16.1%,223,372,595,sa3025021
Berny Ortiz,BOS,CPX,20,30.0,.371,0.95,16.3%,40.7%,43.0%,24.3%,0.0%,51.7%,25.8%,22.5%,13.5%,253,339,592,sa3067578
Jean Brito,NYM,CPX,20,32.0,.214,0.68,20.0%,32.5%,47.5%,31.6%,2.6%,51.2%,17.4%,31.4%,10.8%,240,344,584,sa3025348
Deiry Gonzalez,PHI,CPX,18,40.2,.405,1.59,22.1%,47.8%,30.1%,20.6%,14.7%,53.9%,30.4%,15.7%,14.5%,213,367,580,sa3068468
Jose Guevara,NYM,CPX,21,32.0,.282,0.75,29.1%,30.4%,40.5%,12.5%,18.8%,46.4%,26.2%,27.4%,12.6%,235,344,579,sa3023823
Earle Zulueta,STL,CPX,19,36.1,.327,1.00,19.6%,40.2%,40.2%,20.5%,12.8%,46.6%,20.4%,33.0%,14.4%,233,345,578,sa3067563
Yohanfer Santana,MIA,CPX,20,29.2,.300,3.10,22.6%,58.5%,18.9%,20.0%,40.0%,54.7%,17.0%,28.3%,14.4%,272,297,569,sa3022143
Jorge Nunez,ATL,CPX,18,27.2,.296,2.00,22.9%,51.4%,25.7%,16.7%,5.6%,47.3%,24.3%,28.4%,9.1%,283,276,559,sa3024840
Wifrailyn Jaquez,PIT,CPX,19,33.1,.374,1.50,23.8%,45.7%,30.5%,15.6%,3.1%,45.9%,22.9%,31.2%,7.2%,237,319,556,sa3024278
Angel Peralta,HOU,CPX,19,38.2,.315,1.17,26.1%,39.8%,34.1%,43.3%,10.0%,56.8%,21.1%,22.1%,15.6%,226,327,553,sa3024549
Yander Pinero,ATL,CPX,19,36.0,.276,0.89,25.3%,35.2%,39.6%,22.2%,2.8%,38.7%,31.2%,30.1%,10.0%,226,323,549,sa3024870
Edwin Marte,BAL,CPX,19,31.0,.256,0.84,31.3%,31.3%,37.3%,22.6%,9.7%,47.1%,25.9%,27.1%,7.3%,229,306,535,sa3067635
Francisco Morao,BAL,CPX,20,34.1,.292,1.21,15.1%,46.6%,38.4%,32.1%,7.1%,52.7%,14.9%,32.4%,16.7%,206,322,528,sa3022130
Jose Lopez,NYM,CPX,22,27.1,.308,1.18,22.8%,41.8%,35.4%,32.1%,17.9%,48.2%,20.5%,31.3%,10.5%,224,300,524,sa3025068
Stanly Alcantara,NYY,CPX,22,29.2,.356,1.52,15.0%,51.2%,33.8%,11.1%,11.1%,47.6%,24.4%,28.0%,11.5%,243,272,515,sa3022151
Seojun Moon,TOR,CPX,19,30.1,.349,0.71,31.8%,28.2%,40.0%,26.5%,8.8%,41.9%,27.9%,30.2%,14.1%,215,295,510,sa3069439
Jonathan Rosario,MIA,CPX,19,27.1,.262,2.62,14.5%,61.8%,23.6%,23.1%,15.4%,52.6%,19.3%,28.1%,11.9%,237,269,506,sa3024540
Angel Rivero,TOR,CPX,19,42.0,.317,1.13,18.1%,43.4%,38.6%,21.9%,9.4%,54.7%,18.6%,26.7%,16.7%,181,322,503,sa3024548
