Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Mikey Cascino,LAA,CPX,19,48.1,.412,1.55,27.2%,44.2%,28.6%,19.0%,9.5%,39.3%,32.0%,28.7%,13.5%,348,565,913,sa3069304
Franco Zabaleta,OAK,CPX,19,50.0,.397,1.63,22.4%,48.1%,29.5%,15.2%,13.0%,50.6%,20.4%,29.0%,12.9%,331,547,878,sa3024242
Johnny Slawinski,LAA,CPX,19,54.0,.364,1.34,20.0%,45.8%,34.2%,22.0%,9.8%,43.2%,24.0%,32.8%,20.1%,297,577,874,sa3069264
Carlos De La Rosa,SFG,CPX,18,44.0,.400,1.76,24.8%,47.9%,27.3%,15.2%,6.1%,44.9%,21.3%,33.9%,11.0%,326,480,806,sa3068459
Jhon Almonte,LAA,CPX,19,47.2,.346,2.74,20.5%,58.3%,21.3%,22.2%,14.8%,40.0%,26.2%,33.8%,8.9%,339,449,788,sa3067577
Leandro Rodriguez,SFG,CPX,20,47.1,.313,0.85,14.8%,39.1%,46.1%,22.6%,5.7%,40.7%,26.3%,33.1%,15.9%,274,508,782,sa3067623
Eliezer Pena,COL,CPX,20,40.0,.430,2.04,25.5%,50.0%,24.5%,13.0%,13.0%,47.9%,27.1%,25.0%,16.6%,343,428,771,sa3022119
Jose Parra,OAK,CPX,20,39.2,.280,1.83,6.6%,60.4%,33.0%,11.4%,8.6%,46.8%,27.5%,25.7%,10.2%,367,401,768,sa3024574
Ma'Kale Holden,MIL,CPX,19,37.2,.323,1.18,20.4%,43.0%,36.6%,26.5%,8.8%,51.1%,20.2%,28.7%,12.0%,343,410,753,sa3069244
Luke LaCourse,LAA,CPX,19,41.0,.402,1.04,22.6%,39.5%,37.9%,29.8%,4.3%,44.5%,23.4%,32.0%,14.0%,286,465,751,sa3069283
Luke Mensik,SFG,CPX,18,40.1,.384,1.49,19.2%,48.3%,32.5%,23.1%,12.8%,45.7%,22.5%,31.8%,10.2%,297,451,748,sa3069311
Ben Abeldt,TEX,CPX,22,40.2,.250,1.22,10.9%,48.9%,40.2%,24.3%,13.5%,44.9%,13.3%,41.8%,11.3%,323,413,736,sa3025700
Ryjeteri Merite,CIN,CPX,20,42.1,.393,3.00,18.1%,61.4%,20.5%,17.6%,17.6%,46.6%,17.0%,36.4%,17.8%,290,440,730,sa3025117
Dylan Wilson,SEA,CPX,20,45.1,.319,1.61,23.2%,47.3%,29.5%,30.3%,9.1%,30.5%,32.2%,37.3%,14.7%,261,467,728,sa3021017
Roberto Urdaneta,OAK,CPX,20,36.1,.387,1.44,23.9%,45.0%,31.2%,20.6%,11.8%,47.4%,26.3%,26.3%,11.7%,316,412,728,sa3021504
Cameron Nohos,SDP,CPX,23,37.2,.412,1.15,22.8%,41.3%,35.9%,36.4%,3.0%,44.9%,20.4%,34.7%,16.6%,268,457,725,sa3069180
Enyel Lopez,TEX,CPX,20,31.2,.458,1.52,24.1%,45.8%,30.1%,8.0%,12.0%,43.2%,20.5%,36.4%,11.7%,335,389,724,sa3067495
Po-Chun Lin,SEA,CPX,19,45.0,.351,1.32,22.5%,44.1%,33.3%,21.6%,10.8%,43.0%,24.6%,32.5%,14.0%,259,464,723,sa3069437
Alejandro Rivera,CLE,CPX,19,48.0,.302,1.45,26.2%,43.7%,30.1%,19.4%,6.5%,44.9%,29.9%,25.2%,20.9%,248,473,721,sa3023840
Iker Redona,CIN,CPX,18,47.0,.350,1.75,22.8%,49.1%,28.1%,18.8%,3.1%,44.2%,26.7%,29.2%,23.2%,216,504,720,sa3068467
Joan Pena,MIL,CPX,18,39.0,.343,0.73,26.4%,31.1%,42.5%,22.2%,4.4%,43.6%,21.8%,34.5%,14.6%,301,416,717,sa3068485
Keisther Castillo,KCR,CPX,18,34.0,.395,0.78,20.2%,34.8%,44.9%,22.5%,25.0%,32.6%,33.7%,33.7%,16.2%,301,415,716,sa3068594
Adler Cecil,SDP,CPX,21,41.1,.325,0.84,15.0%,38.8%,46.3%,35.1%,13.5%,38.3%,23.5%,38.3%,19.0%,295,420,715,sa3023600
Derek Munoz,CLE,CPX,18,39.0,.379,1.17,26.4%,39.6%,34.0%,19.4%,11.1%,36.4%,23.4%,40.2%,11.6%,268,436,704,sa3069320
Erick Batista,SDP,CPX,20,35.2,.393,1.42,24.1%,44.6%,31.3%,23.1%,7.7%,34.9%,23.3%,41.9%,12.4%,291,401,692,sa3022026
David Sanchez,ARI,CPX,19,47.0,.318,1.48,17.3%,49.3%,33.3%,18.0%,10.0%,46.8%,25.0%,28.2%,11.0%,248,441,689,sa3024845
Orlando Suarez,CHW,CPX,19,38.1,.313,0.80,12.0%,39.0%,49.0%,18.4%,12.2%,51.9%,23.6%,24.5%,12.2%,314,372,686,sa3023863
Justin Fuson,CHW,CPX,26,44.0,.377,1.32,18.7%,46.3%,35.1%,6.4%,17.0%,48.6%,18.8%,32.6%,14.3%,228,458,686,sa3076406
Luis Gamez,LAD,CPX,19,43.0,.279,1.30,19.8%,45.3%,34.9%,30.0%,10.0%,43.8%,23.6%,32.6%,15.3%,241,438,679,sa3068502
Luis Mata,CHC,CPX,20,30.1,.344,1.28,24.1%,42.5%,33.3%,10.3%,10.3%,47.4%,17.9%,34.7%,9.5%,320,355,675,sa3068096
Dariel Polanco,SDP,CPX,20,42.2,.358,1.11,17.7%,43.4%,38.9%,20.5%,18.2%,44.3%,26.1%,29.6%,16.4%,226,439,665,sa3022419
Jeury Espinal,ARI,CPX,19,38.0,.350,1.50,21.5%,47.1%,31.4%,21.1%,10.5%,56.7%,27.6%,15.7%,10.7%,237,424,661,sa3024105
Fidel Montero,CHW,CPX,22,40.2,.352,1.17,14.4%,46.2%,39.4%,22.0%,9.8%,42.6%,23.1%,34.3%,16.2%,259,394,653,sa3015856
Will Hynes,CLE,CPX,18,38.0,.364,2.10,25.0%,50.8%,24.2%,17.2%,13.8%,33.3%,25.2%,41.5%,12.7%,237,401,638,sa3069263
Fabian Ysalla,CHW,CPX,21,36.0,.352,1.87,13.8%,56.2%,30.0%,5.1%,17.9%,47.4%,27.4%,25.2%,12.8%,228,406,634,sa3021020
Julio Valdez,CHC,CPX,21,34.0,.327,1.24,25.2%,41.4%,33.3%,16.2%,18.9%,38.5%,32.5%,29.1%,12.8%,249,382,631,sa3019687
Jesus Oliveira,KCR,CPX,21,32.1,.382,0.65,29.2%,27.8%,43.1%,29.0%,16.1%,34.2%,37.0%,28.8%,16.5%,270,361,631,sa3023051
Erick Matos,OAK,CPX,19,29.2,.484,1.00,21.7%,39.1%,39.1%,19.4%,5.6%,44.1%,28.0%,28.0%,11.4%,279,352,631,sa3024094
Anderson Cardenas,ARI,CPX,20,38.0,.287,1.17,11.6%,47.7%,40.7%,28.6%,2.9%,43.2%,22.7%,34.1%,15.8%,244,382,626,sa3020991
Lazaro Mena,CHC,CPX,19,36.1,.324,1.09,14.3%,44.8%,41.0%,14.0%,11.6%,45.8%,29.9%,24.3%,10.2%,274,352,626,sa3076311
Freddy Rodriguez,CHC,CPX,22,38.1,.301,1.05,22.3%,39.8%,37.9%,30.8%,2.6%,43.3%,26.0%,30.8%,13.5%,222,395,617,sa3040979
Juan Cazarez,SEA,CPX,20,38.1,.398,1.65,21.2%,49.0%,29.8%,19.4%,22.6%,47.7%,20.2%,32.1%,18.9%,198,417,615,sa3024207
Chaily Ramirez,CHC,CPX,21,31.0,.417,0.70,20.0%,32.9%,47.1%,37.5%,5.0%,40.2%,29.9%,29.9%,16.7%,242,370,612,sa3068111
Dariel Jaquez,MIL,CPX,19,28.0,.347,1.67,25.3%,46.7%,28.0%,23.8%,9.5%,56.4%,19.2%,24.4%,9.5%,309,299,608,sa3024570
