Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Christian Bethancourt,CHC,AAA,34,3.2,.231,0.33,38.5%,15.4%,46.2%,16.7%,0.0%,53.8%,30.8%,15.4%,3.0%,37,29,66,10028
Shelby Miller,CHC,AAA,35,7.2,.500,0.38,42.1%,15.8%,42.1%,0.0%,12.5%,47.4%,26.3%,26.3%,16.8%,60,101,161,10197
Zack Wheeler,PHI,AAA,36,10.1,.308,1.44,18.5%,48.1%,33.3%,22.2%,11.1%,44.4%,18.5%,37.0%,10.1%,52,96,148,10310
Scott Alexander,KCR,AAA,36,10.2,.294,3.67,17.6%,64.7%,17.6%,16.7%,0.0%,50.0%,26.5%,23.5%,14.3%,59,102,161,10591
Casey Lawrence,PHI,AAA,38,16.2,.397,1.81,28.6%,46.0%,25.4%,18.8%,25.0%,46.9%,23.4%,29.7%,8.6%,86,159,245,11121
Vince Velasquez,CHC,AAA,34,75.0,.292,0.82,23.9%,34.3%,41.8%,28.1%,14.6%,47.0%,22.3%,30.7%,9.6%,544,812,1356,11189
Tommy Kahnle,BOS,AAA,36,25.1,.262,1.82,25.0%,48.4%,26.6%,23.5%,5.9%,45.5%,34.8%,19.7%,11.8%,173,258,431,11384
Drew Pomeranz,CHC,AAA,37,2.0,.250,1.00,50.0%,25.0%,25.0%,0.0%,0.0%,75.0%,0.0%,25.0%,10.3%,15,24,39,11426
Aaron Sanchez,KCR,AAA,33,42.0,.362,1.04,28.9%,36.3%,34.8%,19.1%,23.4%,38.1%,31.7%,30.2%,9.7%,333,513,846,11490
Jameson Taillon,CHC,AAA,34,8.0,.182,1.14,28.6%,38.1%,33.3%,28.6%,0.0%,40.9%,31.8%,27.3%,11.9%,33,68,101,11674
Tyron Guerrero,BOS,AAA,35,19.2,.277,5.33,17.4%,69.6%,13.0%,33.3%,0.0%,44.7%,17.0%,38.3%,10.5%,92,185,277,11691
Luke Jackson,KCR,AAA,34,18.1,.327,1.21,38.0%,34.0%,28.0%,28.6%,7.1%,46.0%,22.0%,32.0%,10.8%,106,182,288,11752
Yimi García,TOR,AAA,35,3.1,.545,1.00,9.1%,45.5%,45.5%,20.0%,0.0%,36.4%,45.5%,18.2%,16.4%,27,40,67,12095
Aaron Brooks,TBR,AAA,36,18.2,.323,1.30,28.1%,40.6%,31.3%,10.0%,20.0%,42.4%,31.8%,25.8%,8.9%,112,213,325,12272
Chris Bassitt,BAL,AAA,37,13.2,.219,2.00,18.2%,54.5%,27.3%,33.3%,11.1%,36.4%,15.2%,48.5%,12.2%,70,126,196,12304
Rafael Montero,NYY,AAA,35,27.0,.385,1.43,24.3%,44.6%,31.1%,21.7%,13.0%,52.6%,15.8%,31.6%,11.8%,163,305,468,12760
Chris Devenski,NYM,AAA,35,16.1,.242,0.88,9.1%,42.4%,48.5%,43.8%,12.5%,41.2%,29.4%,29.4%,16.1%,105,180,285,12763
John Brebbia,MIN,AAA,36,33.0,.348,0.71,24.7%,31.2%,44.1%,29.3%,12.2%,40.9%,31.2%,28.0%,9.8%,197,394,591,12777
Burch Smith,DET,AAA,36,10.0,.167,2.67,38.9%,44.4%,16.7%,33.3%,33.3%,47.4%,15.8%,36.8%,13.8%,48,112,160,12784
Mike Clevinger,PIT,AAA,35,24.2,.319,0.72,21.4%,32.9%,45.7%,34.4%,6.3%,50.7%,19.7%,29.6%,14.3%,163,256,419,12808
Andrew Kittredge,BAL,AAA,36,5.1,.591,2.75,31.8%,50.0%,18.2%,50.0%,25.0%,52.2%,21.7%,26.1%,15.0%,36,71,107,12828
Andrew Chafin,CIN,AAA,36,9.1,.136,1.57,18.2%,50.0%,31.8%,28.6%,14.3%,52.2%,17.4%,30.4%,8.7%,62,76,138,12988
Gerrit Cole,NYY,AAA,35,5.1,.400,1.40,20.0%,46.7%,33.3%,20.0%,0.0%,40.0%,13.3%,46.7%,15.5%,30,54,84,13125
Jesse Hahn,TOR,AAA,36,21.2,.371,2.71,21.2%,57.6%,21.2%,14.3%,28.6%,42.4%,24.2%,33.3%,10.1%,166,248,414,13287
Danny Coulombe,BOS,AAA,36,0.2,.000,1.00,0.0%,50.0%,50.0%,0.0%,100.0%,50.0%,50.0%,0.0%,22.2%,4,14,18,13293
Hoby Milner,CHC,AAA,35,10.2,.303,3.80,27.3%,57.6%,15.2%,0.0%,20.0%,55.9%,20.6%,23.5%,6.8%,57,104,161,13346
Steven Matz,TBR,AAA,35,6.0,.450,0.40,33.3%,19.0%,47.6%,0.0%,10.0%,28.6%,23.8%,47.6%,6.6%,45,77,122,13361
Pierce Johnson,CIN,AAA,35,1.0,.667,0.00,66.7%,0.0%,33.3%,100.0%,0.0%,50.0%,25.0%,25.0%,11.8%,4,13,17,13435
Lucas Sims,CHW,AAA,32,13.1,.370,1.22,31.0%,37.9%,31.0%,44.4%,22.2%,41.4%,17.2%,41.4%,11.0%,125,157,282,13470
Matt Bowman,MIN,AAA,35,56.1,.318,1.90,20.3%,52.3%,27.5%,9.5%,19.0%,40.1%,32.5%,27.4%,7.7%,389,610,999,13528
Carl Edwards Jr.,DET,AAA,34,80.0,.336,1.69,24.2%,47.6%,28.2%,15.6%,20.3%,42.1%,28.9%,28.9%,13.5%,510,863,1373,13607
Clay Holmes,NYM,AAA,33,2.1,.375,0.67,37.5%,25.0%,37.5%,0.0%,0.0%,62.5%,12.5%,25.0%,7.8%,23,28,51,13649
Tayler Scott,ATL,AAA,34,14.2,.465,2.00,37.2%,41.9%,20.9%,0.0%,22.2%,52.3%,18.2%,29.5%,12.1%,142,212,354,13652
Max Fried,NYY,AAA,32,3.0,.400,4.00,9.1%,72.7%,18.2%,0.0%,50.0%,63.6%,18.2%,18.2%,5.8%,20,32,52,13743
Dietrich Enns,BAL,AAA,35,46.2,.273,0.96,21.5%,38.5%,40.0%,13.0%,24.1%,43.3%,30.5%,26.2%,9.8%,328,557,885,13932
José Berríos,TOR,AAA,32,7.2,.250,0.57,24.1%,27.6%,48.3%,0.0%,35.7%,34.5%,41.4%,24.1%,10.0%,59,81,140,14168
Joel Payamps,ATL,AAA,32,36.2,.273,2.09,23.6%,51.7%,24.7%,27.3%,18.2%,53.3%,23.9%,22.8%,16.4%,190,352,542,14332
Ty Blach,CHC,AAA,35,58.0,.359,1.59,29.6%,43.2%,27.1%,18.5%,14.8%,51.0%,26.2%,22.8%,7.0%,366,653,1019,14361
Yunior Marte,PIT,AAA,31,26.0,.414,1.52,25.4%,45.1%,29.6%,9.5%,14.3%,39.7%,20.5%,39.7%,11.8%,200,298,498,14416
Carlos Estévez,KCR,AAA,33,0.2,.000,1.00,0.0%,50.0%,50.0%,100.0%,0.0%,0.0%,0.0%,100.0%,7.1%,7,7,14,14542
Emilio Pagán,CIN,AAA,35,2.0,.167,3.00,33.3%,50.0%,16.7%,0.0%,0.0%,83.3%,16.7%,0.0%,0.0%,3,12,15,14771
Joe Mantiply,TOR,AAA,35,6.2,.400,3.00,20.0%,60.0%,20.0%,25.0%,0.0%,40.0%,25.0%,35.0%,18.3%,38,71,109,14857
Ben Lively,CLE,AAA,34,18.0,.241,1.26,20.4%,44.4%,35.2%,10.5%,5.3%,34.5%,18.2%,47.3%,7.7%,102,171,273,14932
Scott Barlow,KCR,AAA,33,14.1,.250,1.45,27.0%,43.2%,29.7%,9.1%,45.5%,59.5%,18.9%,21.6%,10.6%,129,136,265,14993
Yacksel Ríos,CHC,AAA,33,17.0,.233,0.42,27.7%,21.3%,51.1%,25.0%,20.8%,37.5%,35.4%,27.1%,11.2%,107,169,276,15007
Germán Márquez,MIN,AAA,31,19.0,.273,1.12,21.4%,41.4%,37.1%,11.5%,19.2%,43.5%,29.0%,27.5%,6.5%,125,198,323,15038
Lou Trivino III,PHI,AAA,34,40.1,.324,1.33,22.2%,44.4%,33.3%,19.4%,8.3%,46.2%,24.5%,29.2%,11.3%,242,414,656,15043
Trevor Gott,WSN,AAA,33,33.0,.272,0.97,19.8%,39.6%,40.6%,23.1%,10.3%,44.8%,20.8%,34.4%,9.0%,228,349,577,15046
Austin Voth,TOR,AAA,34,44.1,.290,0.88,20.7%,37.0%,42.2%,19.3%,12.3%,44.9%,23.2%,31.9%,11.5%,244,489,733,15047
Rob Zastryzny,MIL,AAA,34,6.2,.200,1.40,20.0%,46.7%,33.3%,80.0%,0.0%,80.0%,6.7%,13.3%,17.4%,32,54,86,15094
Justin Topa,TOR,AAA,35,28.0,.284,1.92,26.3%,48.4%,25.3%,16.7%,12.5%,49.0%,25.5%,25.5%,10.1%,166,299,465,15145
Cole Sulser,TBR,AAA,36,7.0,.400,0.75,33.3%,28.6%,38.1%,37.5%,12.5%,33.3%,33.3%,33.3%,13.8%,48,75,123,15256
Mike Tauchman,NYM,AAA,35,2.0,.125,1.00,42.9%,28.6%,28.6%,0.0%,0.0%,25.0%,25.0%,50.0%,0.0%,11,14,25,15274
Kevin Herget,NYM,AAA,35,14.0,.295,1.21,29.5%,38.6%,31.8%,21.4%,14.3%,41.3%,28.3%,30.4%,6.2%,68,143,211,15369
Matthew Boyd,CHC,AAA,35,12.2,.333,0.76,23.1%,33.3%,43.6%,17.6%,17.6%,46.2%,28.2%,25.6%,9.2%,64,143,207,15440
Brad Keller,PHI,AAA,30,2.0,.167,1.00,14.3%,42.9%,42.9%,33.3%,33.3%,42.9%,28.6%,28.6%,7.1%,9,19,28,15734
Erick Mejia,WSN,AAA,31,4.0,.125,6.00,12.5%,75.0%,12.5%,0.0%,0.0%,37.5%,12.5%,50.0%,17.4%,16,30,46,15817
Kent Emanuel,CIN,AAA,34,22.2,.234,1.43,15.2%,50.0%,34.8%,21.7%,17.4%,55.9%,16.2%,27.9%,9.3%,125,240,365,15849
Cam Booser,TBR,AAA,34,20.0,.265,1.57,25.0%,45.8%,29.2%,42.9%,7.1%,56.0%,14.0%,30.0%,16.0%,105,207,312,16061
Nick Burdi,NYM,AAA,33,4.1,.200,2.00,10.0%,60.0%,30.0%,0.0%,0.0%,50.0%,0.0%,50.0%,12.7%,26,37,63,16074
Brandon Leibrandt,CIN,AAA,33,79.0,.322,0.82,23.7%,34.4%,41.9%,16.0%,16.0%,48.8%,26.2%,25.0%,10.6%,447,798,1245,16135
Carlos Rodón,NYY,AAA,33,9.0,.280,1.00,18.5%,40.7%,40.7%,18.2%,27.3%,50.0%,21.4%,28.6%,11.6%,52,77,129,16137
Tejay Antone,CIN,AAA,32,12.0,.222,2.43,7.7%,65.4%,26.9%,28.6%,0.0%,40.7%,22.2%,37.0%,8.4%,68,123,191,16233
Aaron Bummer,CHC,AAA,32,8.1,.300,2.17,13.6%,59.1%,27.3%,0.0%,33.3%,45.5%,22.7%,31.8%,13.8%,45,100,145,16258
John Means,KCR,AAA,33,3.0,.375,1.00,11.1%,44.4%,44.4%,25.0%,25.0%,44.4%,33.3%,22.2%,13.6%,17,27,44,16269
Ryan Borucki,CLE,AAA,32,8.2,.231,1.67,30.4%,43.5%,26.1%,0.0%,0.0%,57.7%,15.4%,26.9%,13.4%,51,76,127,16350
Reynaldo López,ATL,AAA,32,14.0,.302,1.25,14.3%,47.6%,38.1%,37.5%,0.0%,41.9%,23.3%,34.9%,9.9%,80,133,213,16400
Scott Blewett,STL,AAA,30,48.2,.425,1.67,28.9%,44.4%,26.7%,19.4%,13.9%,53.7%,25.7%,20.6%,14.9%,306,535,841,16427
Dan Altavilla,MIN,AAA,33,44.1,.323,1.26,16.3%,46.7%,37.0%,22.0%,12.0%,40.0%,23.7%,36.3%,9.7%,326,440,766,16507
Austin Gomber,DET,AAA,32,71.0,.275,1.46,20.5%,47.3%,32.3%,12.7%,18.3%,50.2%,25.6%,24.2%,11.0%,375,703,1078,16561
Julian Merryweather,MIN,AAA,34,15.0,.300,1.86,31.0%,44.8%,24.1%,28.6%,0.0%,40.0%,30.0%,30.0%,20.3%,76,155,231,16703
Cam Hill,TBR,AAA,32,54.1,.240,0.83,20.7%,36.0%,43.3%,29.2%,12.3%,57.1%,20.8%,22.1%,13.2%,304,567,871,16840
Elieser Hernández,ATL,AAA,31,81.1,.333,0.83,22.3%,35.1%,42.6%,19.4%,12.6%,44.2%,19.8%,36.0%,10.2%,464,868,1332,16933
Trevor Williams,WSN,AAA,34,7.0,.263,0.80,21.7%,34.8%,43.5%,10.0%,40.0%,47.8%,39.1%,13.0%,15.7%,33,69,102,16977
Tyler Beede,CHC,AAA,33,22.2,.444,0.74,23.4%,32.5%,44.2%,14.7%,14.7%,42.9%,31.2%,26.0%,9.1%,221,265,486,16981
Tanner Banks,PHI,AAA,34,11.0,.280,1.00,20.0%,40.0%,40.0%,0.0%,0.0%,47.6%,9.5%,42.9%,12.9%,53,102,155,16990
Thomas Pannone,MIL,AAA,32,95.2,.285,1.05,21.2%,40.3%,38.5%,29.4%,10.1%,41.8%,25.3%,33.0%,9.3%,532,977,1509,17281
Javy Guerra,ATL,AAA,30,37.0,.297,1.17,25.0%,40.4%,34.6%,13.9%,13.9%,48.1%,26.4%,25.5%,8.6%,251,401,652,17292
Justin Steele,CHC,AAA,30,3.2,.429,1.25,30.8%,38.5%,30.8%,0.0%,0.0%,71.4%,7.1%,21.4%,9.5%,19,44,63,17312
Jonathan Hernández,PHI,AAA,29,15.0,.436,2.40,19.0%,57.1%,23.8%,10.0%,30.0%,48.8%,29.3%,22.0%,17.3%,116,167,283,17464
