Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
Zack Wheeler,PHI,AA,36,9.2,.364,2.50,41.7%,41.7%,16.7%,0.0%,50.0%,37.5%,33.3%,29.2%,15.4%,52,97,149,10310
Shawn Armstrong,CLE,AA,35,2.0,.400,2.00,50.0%,50.0%,0.0%,0.0%,0.0%,25.0%,25.0%,50.0%,14.3%,9,19,28,12857
Gerrit Cole,NYY,AA,35,15.0,.189,2.10,22.5%,52.5%,25.0%,10.0%,30.0%,50.0%,20.0%,30.0%,9.0%,48,130,178,13125
Danny Coulombe,BOS,AA,36,1.0,.250,3.00,25.0%,75.0%,0.0%,0.0%,0.0%,25.0%,0.0%,75.0%,0.0%,4,5,9,13293
Erick Mejia,WSN,AA,31,24.0,.305,1.47,17.5%,49.1%,33.3%,10.5%,10.5%,45.0%,26.7%,28.3%,17.6%,160,278,438,15817
Carlos Rodón,NYY,AA,33,9.2,.316,1.00,30.0%,35.0%,35.0%,14.3%,14.3%,40.0%,35.0%,25.0%,21.7%,39,90,129,16137
Trevor Williams,WSN,AA,34,2.1,.167,4.00,16.7%,66.7%,16.7%,0.0%,0.0%,50.0%,33.3%,16.7%,16.7%,13,23,36,16977
Jack Flaherty,DET,AA,30,5.2,.083,0.22,15.4%,15.4%,69.2%,0.0%,22.2%,28.6%,28.6%,42.9%,13.3%,25,58,83,17479
Alex Young,WSN,AA,32,2.1,.667,2.00,33.3%,66.7%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,19.4%,12,24,36,18333
Richard Lovelady,WSN,AA,30,1.1,.333,0.00,80.0%,0.0%,20.0%,0.0%,0.0%,50.0%,16.7%,33.3%,3.8%,11,15,26,19337
Patrick Sandoval,BOS,AA,29,8.0,.077,3.33,7.1%,71.4%,21.4%,0.0%,33.3%,57.1%,14.3%,28.6%,21.4%,42,70,112,19447
Guillo Zuñiga,NYM,AA,27,9.1,.286,1.13,19.0%,42.9%,38.1%,37.5%,0.0%,42.9%,19.0%,38.1%,13.8%,74,107,181,19588
Clarke Schmidt,NYY,AA,30,0.2,1.000,0.00,50.0%,0.0%,50.0%,0.0%,100.0%,0.0%,100.0%,0.0%,25.0%,4,16,20,19899
Félix Bautista,BAL,AA,31,0.1,.500,0.00,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,9.1%,12,10,22,20666
Jose Espada,BAL,AA,29,1.1,.250,2.00,25.0%,50.0%,25.0%,0.0%,100.0%,40.0%,60.0%,0.0%,21.4%,10,18,28,21131
Ryan Feltner,COL,AA,29,3.2,.273,1.67,20.0%,50.0%,30.0%,100.0%,0.0%,54.5%,9.1%,36.4%,14.9%,10,37,47,21446
Jake Irvin,WSN,AA,29,8.1,.056,2.50,17.6%,58.8%,23.5%,25.0%,0.0%,61.1%,16.7%,22.2%,11.0%,39,70,109,21504
Justin Hagenman,NYM,AA,29,3.0,.300,1.00,9.1%,45.5%,45.5%,20.0%,20.0%,54.5%,27.3%,18.2%,17.6%,13,38,51,21546
Yerry Rodríguez,NYY,AA,28,6.0,.526,1.60,38.1%,38.1%,23.8%,0.0%,40.0%,52.4%,23.8%,23.8%,12.2%,43,80,123,21955
Max Kranick,WSN,AA,28,3.0,.300,1.67,20.0%,50.0%,30.0%,66.7%,0.0%,60.0%,10.0%,30.0%,5.3%,12,26,38,22175
Dedniel Núñez,NYM,AA,30,2.0,.167,1.00,0.0%,50.0%,50.0%,66.7%,0.0%,66.7%,16.7%,16.7%,16.7%,4,20,24,23055
Max Lazar,PHI,AA,27,3.0,.250,6.00,25.0%,75.0%,0.0%,0.0%,0.0%,62.5%,0.0%,37.5%,18.9%,7,30,37,23426
Wilkin Ramos,SFG,AA,25,1.1,.500,3.00,25.0%,75.0%,0.0%,0.0%,0.0%,75.0%,25.0%,0.0%,2.6%,20,19,39,23988
Josiah Gray,WSN,AA,28,2.2,.000,1.33,12.5%,50.0%,37.5%,66.7%,0.0%,44.4%,0.0%,55.6%,3.8%,9,17,26,24580
Erik Sabrowski,CLE,AA,28,0.2,.000,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,25.0%,6,14,20,24978
Tim Herrin,CLE,AA,29,0.1,1.000,1.00,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,12.5%,12,12,24,25139
Justin Slaten,BOS,AA,28,1.0,.500,0.00,50.0%,0.0%,50.0%,0.0%,0.0%,0.0%,50.0%,50.0%,12.5%,7,9,16,25648
Levi Stoudt,PHI,AA,28,11.2,.185,0.83,15.4%,38.5%,46.2%,16.7%,0.0%,33.3%,22.2%,44.4%,13.0%,71,113,184,25650
Tyler Owens,DET,AA,25,45.0,.320,2.23,21.9%,53.9%,24.2%,12.9%,19.4%,37.3%,29.1%,33.6%,12.6%,274,498,772,26030
Caleb Freeman,TOR,AA,28,27.0,.261,1.00,19.4%,40.3%,40.3%,14.8%,11.1%,52.9%,18.6%,28.6%,13.5%,216,326,542,26255
DJ Herz,WSN,AA,25,4.0,.111,0.60,11.1%,33.3%,55.6%,60.0%,0.0%,33.3%,22.2%,44.4%,10.7%,23,33,56,26389
Jeff Criswell,COL,AA,27,2.0,.250,4.00,0.0%,80.0%,20.0%,0.0%,100.0%,40.0%,60.0%,0.0%,25.7%,15,20,35,27608
Jared Jones,PIT,AA,24,8.1,.316,1.80,26.3%,47.4%,26.3%,0.0%,0.0%,36.8%,21.1%,42.1%,15.1%,38,81,119,27863
Jefry Yan,NYM,AA,29,26.2,.367,1.50,18.4%,49.0%,32.7%,12.5%,6.3%,45.1%,21.6%,33.3%,18.3%,195,280,475,27902
Noah Murdock,PIT,AA,27,13.2,.250,4.80,12.1%,72.7%,15.2%,20.0%,20.0%,39.4%,15.2%,45.5%,11.6%,77,138,215,27908
Eiberson Castellano,COL,AA,25,53.0,.317,1.57,22.1%,47.6%,30.3%,20.5%,13.6%,43.4%,26.9%,29.7%,10.6%,324,525,849,28040
Wilber Dotel,PIT,AA,23,3.0,.200,2.00,40.0%,40.0%,20.0%,0.0%,0.0%,40.0%,20.0%,40.0%,17.3%,19,33,52,28901
Jedixson Paez,BOS,AA,22,49.0,.301,1.43,21.5%,46.2%,32.3%,23.8%,19.0%,49.6%,22.9%,27.5%,19.3%,166,475,641,29114
Cade Povich,BAL,AA,26,7.0,.263,1.00,15.8%,42.1%,42.1%,12.5%,12.5%,42.1%,26.3%,31.6%,13.8%,31,78,109,30055
Seth Lonsway,SFG,AA,27,3.2,.273,4.00,9.1%,72.7%,18.2%,0.0%,0.0%,36.4%,18.2%,45.5%,8.0%,20,30,50,30064
Dom Hamel,NYY,AA,27,14.2,.386,1.12,20.0%,42.2%,37.8%,0.0%,17.6%,37.0%,34.8%,28.3%,12.3%,122,187,309,30153
Jackson Jobe,DET,AA,23,7.0,.263,1.60,31.6%,42.1%,26.3%,20.0%,0.0%,42.1%,31.6%,26.3%,10.2%,38,60,98,30203
Cesar Perdomo,SFG,AA,24,72.1,.286,1.10,27.5%,37.9%,34.6%,17.5%,12.7%,48.9%,21.2%,29.9%,17.2%,376,767,1143,30334
Luis De León,BAL,AA,23,81.0,.299,2.81,21.2%,58.1%,20.7%,7.1%,21.4%,49.0%,21.9%,29.0%,14.7%,546,851,1397,30944
Yunior Marte,SFG,AA,22,64.1,.327,1.28,24.1%,42.5%,33.3%,12.1%,13.8%,53.4%,19.7%,27.0%,14.7%,418,670,1088,31097
Eduardo Rivera,BOS,AA,23,10.0,.300,2.50,26.3%,52.6%,21.1%,50.0%,0.0%,50.0%,25.0%,25.0%,16.7%,51,99,150,31280
Blake Adams,COL,AA,25,27.1,.247,1.27,18.1%,45.8%,36.1%,23.3%,10.0%,51.2%,17.9%,31.0%,10.2%,116,267,383,31492
Alex McFarlane,PHI,AA,25,35.0,.280,1.90,23.7%,50.0%,26.3%,25.0%,10.0%,45.5%,22.1%,32.5%,14.4%,210,358,568,31773
Kodai Senga,NYM,AA,33,6.0,.000,1.17,7.1%,50.0%,42.9%,50.0%,16.7%,28.6%,35.7%,35.7%,12.0%,24,51,75,31838
Shawn Ross,PIT,AA,26,1.2,.167,0.20,14.3%,14.3%,71.4%,0.0%,20.0%,42.9%,14.3%,42.9%,0.0%,6,19,25,32054
Jake Bloss,TOR,AA,25,3.2,.429,0.75,12.5%,37.5%,50.0%,25.0%,25.0%,62.5%,25.0%,12.5%,7.8%,23,41,64,33168
Jared Simpson,WSN,AA,26,39.2,.250,3.00,20.9%,59.3%,19.8%,38.9%,16.7%,38.3%,20.2%,41.5%,12.4%,300,418,718,33458
Andrew Sears,DET,AA,23,35.0,.277,0.92,24.5%,36.2%,39.4%,24.3%,5.4%,40.6%,22.9%,36.5%,13.8%,194,365,559,33664
Matt Wilkinson,SFG,AA,23,43.1,.212,0.88,18.2%,38.4%,43.4%,30.2%,4.7%,42.6%,18.8%,38.6%,11.4%,262,424,686,33760
Woo-Suk Go,DET,AA,27,13.2,.174,1.38,17.4%,47.8%,34.8%,37.5%,12.5%,37.5%,16.7%,45.8%,12.6%,65,133,198,33827
Khristian Curtis,PIT,AA,24,53.1,.279,1.15,25.0%,40.2%,34.8%,30.4%,15.2%,48.1%,20.7%,31.1%,15.9%,321,559,880,33865
Zac Thornton,NYM,AA,24,25.0,.338,1.07,18.8%,42.0%,39.1%,22.2%,3.7%,40.6%,23.2%,36.2%,14.8%,133,252,385,33891
Shinnosuke Ogasawara,WSN,AA,28,46.0,.243,1.81,23.7%,49.2%,27.1%,15.6%,15.6%,48.7%,21.8%,29.4%,13.8%,233,439,672,35324
Jackson Kent,WSN,AA,23,30.2,.235,1.68,15.7%,52.9%,31.4%,9.1%,13.6%,45.8%,23.6%,30.6%,16.2%,159,293,452,35462
Beau Philip,TOR,AA,27,15.1,.244,1.13,30.4%,37.0%,32.6%,33.3%,20.0%,57.4%,17.0%,25.5%,11.2%,95,154,249,sa1169595
Marco Jimenez,DET,AA,26,7.2,.593,2.00,17.2%,55.2%,27.6%,37.5%,25.0%,44.8%,27.6%,27.6%,14.6%,51,100,151,sa3002926
Danis Correa,NYM,AA,26,18.1,.366,0.84,18.6%,37.2%,44.2%,10.5%,10.5%,37.2%,18.6%,44.2%,14.2%,134,217,351,sa3002980
Max Green,NYM,AA,30,35.0,.324,0.93,22.7%,37.3%,40.0%,27.3%,9.1%,43.8%,25.9%,30.4%,10.9%,180,361,541,sa3004092
Bryce Conley,NYM,AA,31,88.1,.328,0.87,23.6%,35.5%,40.9%,33.3%,17.2%,44.9%,25.9%,29.1%,13.4%,506,906,1412,sa3004704
Sam Carlson,PHI,AA,27,4.0,.200,0.67,44.4%,22.2%,33.3%,0.0%,0.0%,40.0%,20.0%,40.0%,13.0%,21,48,69,sa3005015
Gerald Ogando,BAL,AA,25,21.1,.327,1.67,16.7%,52.1%,31.3%,26.7%,0.0%,40.0%,24.0%,36.0%,13.5%,141,229,370,sa3005026
Matt Turner,NYM,AA,26,14.2,.294,3.83,19.4%,63.9%,16.7%,50.0%,33.3%,47.2%,19.4%,33.3%,17.0%,81,149,230,sa3005029
Felix Cepeda,NYM,AA,25,1.0,.000,0.50,0.0%,33.3%,66.7%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,4,6,10,sa3005445
Jorge Juan,BOS,AA,27,1.2,.200,1.00,60.0%,20.0%,20.0%,0.0%,0.0%,60.0%,20.0%,20.0%,8.2%,36,25,61,sa3005826
Yeuris Jimenez,WSN,AA,25,1.2,.500,6.00,12.5%,75.0%,12.5%,0.0%,0.0%,62.5%,25.0%,12.5%,12.0%,25,25,50,sa3006386
Jeisson Cabrera,BAL,AA,27,49.1,.299,1.12,26.3%,39.0%,34.7%,36.6%,7.3%,44.2%,19.2%,36.7%,13.0%,333,522,855,sa3006501
Valentin Linarez,WSN,AA,26,13.2,.273,0.53,23.5%,26.5%,50.0%,17.6%,17.6%,36.1%,30.6%,33.3%,14.3%,139,147,286,sa3006557
Angel Obando,TOR,AA,27,26.1,.226,1.12,16.7%,43.9%,39.4%,26.9%,15.4%,59.1%,15.2%,25.8%,14.6%,184,267,451,sa3006637
Aaron Shortridge,WSN,AA,29,22.2,.271,0.96,18.2%,40.0%,41.8%,39.1%,13.0%,37.5%,23.2%,39.3%,12.9%,100,217,317,sa3006759
Gabriel Rodriguez,NYM,AA,27,46.1,.269,0.89,25.0%,35.4%,39.6%,36.8%,18.4%,46.0%,22.0%,32.0%,15.0%,403,552,955,sa3007219
Dominic Pipkin,PIT,AA,26,38.1,.247,1.03,19.8%,40.6%,39.6%,21.1%,7.9%,39.6%,27.1%,33.3%,9.2%,308,380,688,sa3007896
Joander Suarez,NYM,AA,26,15.1,.311,0.82,29.5%,31.8%,38.6%,11.8%,0.0%,44.4%,20.0%,35.6%,14.9%,86,163,249,sa3008263
Lenny Torres Jr.,PHI,AA,25,5.0,.250,4.00,37.5%,50.0%,12.5%,0.0%,0.0%,50.0%,12.5%,37.5%,7.1%,24,46,70,sa3008329
Brian Metoyer,NYM,AA,29,39.0,.329,2.58,18.1%,59.0%,22.9%,26.3%,5.3%,41.9%,27.9%,30.2%,15.1%,266,391,657,sa3008361
Richard Guasch,BAL,AA,28,21.1,.244,1.18,21.3%,42.6%,36.2%,17.6%,35.3%,56.9%,17.6%,25.5%,15.6%,140,218,358,sa3008434
Carlos Peña,DET,AA,27,99.0,.316,1.26,27.8%,40.2%,32.0%,24.7%,18.8%,40.1%,29.4%,30.5%,14.5%,514,1023,1537,sa3009519
Gabriel Barbosa,PHI,AA,24,21.1,.333,0.73,27.8%,30.6%,41.7%,16.7%,30.0%,44.4%,27.8%,27.8%,12.0%,111,223,334,sa3009593
Reidis Sena,BOS,AA,25,41.2,.354,1.81,24.7%,48.5%,26.8%,15.4%,19.2%,44.4%,29.3%,26.3%,17.3%,302,469,771,sa3009626
Richard Gallardo,TOR,AA,24,38.0,.269,1.73,17.4%,52.3%,30.3%,15.2%,15.2%,46.4%,27.7%,25.9%,12.0%,184,339,523,sa3009990
Luis Velasquez,NYY,AA,24,13.1,.270,2.00,22.9%,51.4%,25.7%,55.6%,0.0%,41.7%,11.1%,47.2%,14.0%,93,136,229,sa3010135
