Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Jose Gonzalez,LAD,CPX,21,0.1,0.00,135.00,0.00,0.00,0.0%,62.5%,-62.5%,.667,21.00,.667,42.9%,108.00,49.90,58.10,49.90,sa3022196
Gian Zapata,ARI,CPX,20,0.1,27.00,54.00,0.50,27.00,14.3%,28.6%,-14.3%,.750,15.00,1.000,43.5%,108.00,64.90,43.10,30.38,sa3021079
Jo Oyama,SEA,CPX,25,0.1,0.00,54.00,0.00,0.00,0.0%,33.3%,-33.3%,.750,15.00,.750,80.0%,0.00,22.90,-22.90,27.38,sa3068964
Edwardo Espinal,LAA,CPX,20,1.0,0.00,36.00,0.00,9.00,0.0%,33.3%,-33.3%,.571,8.00,.500,13.2%,72.00,32.90,39.10,27.36,sa3022414
Nick Putnam,LAD,CPX,23,0.1,27.00,81.00,0.33,0.00,25.0%,75.0%,-50.0%,.000,9.00,.000,100.0%,0.00,25.90,-25.90,25.90,sa3077864
Ethan Long,SDP,CPX,25,0.1,0.00,54.00,0.00,0.00,0.0%,50.0%,-50.0%,.500,9.00,.500,66.7%,27.00,22.90,4.10,22.90,sa3022961
Angel Beltran,ARI,CPX,18,0.1,27.00,54.00,0.50,0.00,20.0%,40.0%,-20.0%,.667,12.00,1.000,50.0%,54.00,16.90,37.10,21.38,sa3024556
Tyler Dietz,SDP,CPX,23,1.0,9.00,54.00,0.17,0.00,11.1%,66.7%,-55.6%,.000,6.00,.000,100.0%,0.00,20.90,-20.90,20.90,sa3077845
Aiden Moffett,CHC,CPX,22,1.1,6.75,33.75,0.20,0.00,10.0%,50.0%,-40.0%,.250,4.50,.333,14.3%,40.50,16.90,23.60,18.02,sa3076144
David Morgan,SDP,CPX,26,0.1,27.00,54.00,0.50,0.00,25.0%,50.0%,-25.0%,.500,9.00,1.000,100.0%,0.00,16.90,-16.90,16.90,31616
Alvaro Benua,LAD,CPX,23,10.0,12.60,32.40,0.39,0.00,18.4%,47.4%,-28.9%,.171,4.20,.286,38.3%,23.40,14.40,9.00,15.74,sa3018032
Jairon Digon,ARI,CPX,20,2.1,3.86,27.00,0.14,0.00,5.3%,36.8%,-31.6%,.333,4.71,.364,72.7%,11.57,13.04,-1.47,15.60,sa3022148
Ariel Ramos,CHC,CPX,20,0.0,0.00,27.00,0.00,9.00,0.0%,42.9%,-42.9%,.750,6.00,.667,-21.7%,54.00,26.90,27.10,15.39,sa3068355
Reynaldo De La Paz,OAK,CPX,20,1.0,0.00,9.00,0.00,9.00,0.0%,16.7%,-16.7%,.250,2.00,.000,100.0%,9.00,23.90,-14.90,15.38,sa3021119
Paul Chacon,OAK,CPX,20,2.2,6.75,23.62,0.29,6.75,9.1%,31.8%,-22.7%,.467,5.25,.455,71.4%,20.25,21.03,-0.78,15.19,sa3021499
Cesar Maiz,CIN,CPX,18,6.0,4.50,21.00,0.21,3.00,7.1%,33.3%,-26.2%,.462,4.33,.476,35.7%,28.50,16.23,12.27,14.14,sa3067593
Ryan Reckley,SFG,CPX,21,1.2,0.00,16.20,0.00,0.00,0.0%,37.5%,-37.5%,.000,1.80,.000,100.0%,0.00,12.10,-12.10,13.89,sa3018404
Martin Gonzalez,SEA,CPX,21,3.0,0.00,9.00,0.00,0.00,0.0%,15.0%,-15.0%,.438,3.33,.438,45.5%,18.00,8.90,9.10,13.87,sa3018434
Leandro Alsinois,CHW,CPX,21,1.0,0.00,9.00,0.00,0.00,0.0%,20.0%,-20.0%,.250,2.00,.250,100.0%,0.00,7.90,-7.90,13.87,sa3018624
Luis Garcia,TEX,CPX,22,11.1,10.32,23.82,0.43,1.59,17.3%,40.0%,-22.7%,.135,3.09,.136,47.3%,15.88,14.96,0.92,13.85,sa3021753
Cole Raymond,LAA,CPX,19,5.2,11.12,25.41,0.44,3.18,16.7%,38.1%,-21.4%,.304,4.06,.357,56.0%,20.65,17.08,3.57,13.54,sa3069307
Diego Perez,CHW,CPX,17,8.0,9.00,19.13,0.47,0.00,14.0%,29.8%,-15.8%,.353,3.63,.462,48.6%,19.13,11.53,7.60,13.20,sa3068688
Javier Sanchez,TEX,CPX,18,1.2,0.00,5.40,0.00,5.40,0.0%,11.1%,-11.1%,.286,1.80,.167,100.0%,5.40,16.30,-10.90,12.98,sa3023975
Jared Davis,OAK,CPX,22,2.2,0.00,13.50,0.00,3.37,0.0%,30.8%,-30.8%,.444,3.00,.375,75.8%,10.12,14.28,-4.15,12.76,sa3059003
Aneudy Almonte,LAD,CPX,18,14.1,6.91,18.21,0.38,1.26,11.1%,29.3%,-18.2%,.354,3.63,.404,40.6%,18.84,12.30,6.54,12.46,sa3068079
Wes Burton,CLE,CPX,25,0.2,27.00,40.50,0.67,0.00,33.3%,50.0%,-16.7%,.333,6.00,1.000,75.0%,13.50,12.40,1.10,12.40,sa3076039
Freider Rojas,MIL,CPX,20,1.2,0.00,16.20,0.00,0.00,0.0%,33.3%,-33.3%,.333,3.00,.333,60.0%,10.80,10.30,0.50,12.09,sa3021611
Marco Corcho,LAD,CPX,21,7.1,11.05,27.00,0.41,0.00,16.4%,40.0%,-23.6%,.273,4.23,.375,41.9%,18.41,11.45,6.96,12.06,sa3021484
Miguel Alvarez,SDP,CPX,21,6.1,8.53,15.63,0.55,2.84,15.4%,28.2%,-12.8%,.333,3.16,.368,60.4%,14.21,12.80,1.42,11.99,sa3068602
Diorland Zambrano,CIN,CPX,19,2.2,6.75,13.50,0.50,0.00,11.1%,22.2%,-11.1%,.385,3.37,.455,20.0%,16.87,9.03,7.85,11.82,sa3024121
Jefrank Silva,CHW,CPX,18,4.1,0.00,6.23,0.00,2.08,0.0%,12.5%,-12.5%,.333,2.31,.300,58.1%,6.23,9.98,-3.75,11.45,sa3068733
Christian Oppor,CHW,CPX,21,11.0,15.55,22.91,0.68,0.00,27.1%,40.0%,-12.9%,.167,3.09,.353,65.0%,10.64,10.72,-0.08,11.40,sa3022950
Case Williams,COL,CPX,24,6.2,9.45,18.90,0.50,0.00,15.9%,31.8%,-15.9%,.321,3.45,.429,56.0%,14.85,10.00,4.85,11.12,sa3015013
Luke Hayden,CIN,CPX,23,0.2,13.50,27.00,0.50,0.00,14.3%,28.6%,-14.3%,.600,7.50,.750,20.0%,54.00,10.90,43.10,10.90,sa3025504
Yohandri Contreras,OAK,CPX,19,17.1,10.38,17.13,0.61,0.00,18.7%,30.8%,-12.1%,.310,3.17,.431,39.7%,16.10,8.82,7.27,10.63,sa3024545
Carlos De La Rosa,KCR,CPX,21,12.1,10.95,19.70,0.56,1.46,20.3%,36.5%,-16.2%,.239,3.08,.310,60.8%,12.41,11.39,1.02,10.49,sa3068843
Roderick Flores,MIL,CPX,19,5.1,1.69,6.75,0.25,0.00,4.3%,17.4%,-13.0%,.158,1.31,.167,85.7%,1.69,6.78,-5.09,10.41,sa3021205
Madison Jeffrey,CHW,CPX,26,1.0,9.00,18.00,0.50,0.00,16.7%,33.3%,-16.7%,.000,2.00,.000,0.0%,9.00,8.90,0.10,10.39,sa3018206
Andry Batista,TEX,CPX,19,3.0,3.00,6.00,0.50,0.00,7.7%,15.4%,-7.7%,.182,1.33,.200,50.0%,3.00,6.23,-3.23,10.21,sa3023956
Alejandro Pereira,OAK,CPX,19,2.0,0.00,4.50,0.00,0.00,0.0%,9.1%,-9.1%,.500,3.00,.500,33.3%,18.00,6.40,11.60,10.13,sa3024325
Ayendy Bravo,MIL,CPX,19,11.0,4.91,13.09,0.38,0.82,9.7%,25.8%,-16.1%,.318,2.73,.351,58.8%,9.00,9.90,-0.90,10.07,sa3024090
Edwin Cervantes,CIN,CPX,21,3.0,6.00,9.00,0.67,0.00,12.5%,18.8%,-6.2%,.182,1.67,.222,57.1%,9.00,8.57,0.43,10.06,sa3020965
Oliver Sirotti,OAK,CPX,19,5.1,5.06,8.44,0.60,0.00,8.8%,14.7%,-5.9%,.407,3.00,.458,66.7%,10.13,7.71,2.41,9.95,sa3024082
Frank Cairone,MIL,CPX,18,5.1,11.81,11.81,1.00,0.00,23.3%,23.3%,0.0%,.100,1.69,.154,41.7%,5.06,7.90,-2.84,9.86,sa3069241
Alison Zacarias,COL,CPX,20,25.0,7.20,11.88,0.61,1.44,14.4%,23.7%,-9.4%,.240,2.28,.263,57.5%,9.00,10.06,-1.06,9.83,sa3022388
Owen Pote,CIN,CPX,20,3.0,12.00,9.00,1.33,9.00,21.1%,15.8%,5.3%,.400,3.00,.375,17.2%,27.00,19.23,7.77,9.71,sa3077761
Bryan Regalado,MIL,CPX,19,28.1,5.40,9.53,0.57,1.59,10.9%,19.2%,-8.3%,.331,2.47,.354,50.0%,9.85,9.70,0.15,9.67,sa3069070
Griff McGarry,LAD,CPX,27,2.1,7.71,7.71,1.00,0.00,18.2%,18.2%,0.0%,.125,1.29,.167,100.0%,0.00,7.04,-7.04,9.60,sa3017130
Tristan Smith,CIN,CPX,23,3.0,6.00,9.00,0.67,0.00,15.4%,23.1%,-7.7%,.000,1.00,.000,100.0%,0.00,7.57,-7.57,9.56,sa3042648
Dale Stanavich,SFG,CPX,27,1.1,0.00,13.50,0.00,0.00,0.0%,50.0%,-50.0%,.000,1.50,.000,100.0%,0.00,9.40,-9.40,9.40,sa3019833
Gregory Sanchez,COL,CPX,19,1.0,0.00,9.00,0.00,0.00,0.0%,25.0%,-25.0%,.000,1.00,.000,100.0%,0.00,7.90,-7.90,9.39,sa3024267
Jan Luis Reyes,CHC,CPX,20,0.1,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.000,0.00,.000,100.0%,0.00,4.90,-4.90,9.38,sa3067399
Santiago Almao,TEX,CPX,18,0.1,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,.500,3.00,.500,100.0%,0.00,4.90,-4.90,9.38,sa3067839
Edinson Salgado,KCR,CPX,21,10.0,8.10,12.60,0.64,0.90,17.0%,26.4%,-9.4%,.162,2.00,.185,38.8%,9.90,9.20,0.70,9.24,sa3019598
Hayden Vucinovich,MIL,CPX,19,27.1,9.88,13.17,0.75,0.99,19.2%,25.6%,-6.4%,.297,2.67,.385,47.4%,9.88,9.07,0.81,9.23,sa3069288
Dariel Jaquez,MIL,CPX,19,28.0,8.36,13.50,0.62,0.64,17.3%,28.0%,-10.7%,.272,2.50,.347,60.9%,9.00,9.01,-0.01,9.20,sa3024570
Cesar Familia,CHW,CPX,18,19.0,8.05,6.63,1.21,2.37,17.7%,14.6%,3.1%,.205,1.53,.196,67.7%,5.68,10.16,-4.48,9.18,sa3068893
Jose Vasquez,LAD,CPX,21,14.2,10.43,12.89,0.81,0.00,19.8%,24.4%,-4.7%,.302,2.73,.413,45.2%,13.50,7.29,6.21,9.12,sa3022116
Hayden Robinson,MIL,CPX,20,4.2,5.79,7.71,0.75,5.79,10.7%,14.3%,-3.6%,.391,2.79,.353,61.2%,15.43,15.19,0.24,9.07,sa3023574
Alan Carpinteiro,SEA,CPX,19,21.1,9.70,12.23,0.79,0.84,20.4%,25.7%,-5.3%,.244,2.30,.316,64.3%,8.02,8.32,-0.31,9.06,sa3068626
Spencer Green,LAD,CPX,21,19.1,14.43,16.29,0.89,0.93,25.2%,28.5%,-3.3%,.284,3.00,.438,54.7%,10.71,9.56,1.15,9.06,sa3076274
Carlos Rodriguez,MIL,CPX,24,1.1,6.75,6.75,1.00,0.00,12.5%,12.5%,0.0%,.333,2.25,.400,25.0%,20.25,7.90,12.35,9.02,30161
Jhosep Ospino,MIL,CPX,21,16.0,7.31,10.13,0.72,2.25,15.7%,21.7%,-6.0%,.238,2.06,.239,61.2%,8.44,10.28,-1.84,8.98,sa3024452
Diomer Gonzalez,OAK,CPX,21,3.2,0.00,4.91,0.00,0.00,0.0%,10.5%,-10.5%,.353,2.18,.353,62.5%,7.36,6.54,0.83,8.98,sa3025109
Cesar Nunez,CHW,CPX,19,21.1,7.59,9.70,0.78,1.27,15.8%,20.2%,-4.4%,.261,2.16,.299,55.8%,8.44,8.70,-0.26,8.97,sa3067621
Walvin Mena,ARI,CPX,20,4.2,1.93,7.71,0.25,0.00,3.8%,15.4%,-11.5%,.381,2.57,.400,84.6%,3.86,7.69,-3.83,8.96,sa3021505
Jhocsuanth Vargas,TEX,CPX,19,2.0,9.00,13.50,0.67,0.00,11.1%,16.7%,-5.6%,.600,6.00,.692,50.0%,27.00,7.40,19.60,8.89,sa3021631
Blake Shepardson,CHW,CPX,22,2.2,10.12,10.12,1.00,0.00,23.1%,23.1%,0.0%,.444,2.62,.667,62.5%,10.12,7.15,2.97,8.83,sa3042141
Ayendy Pena,CIN,CPX,22,17.1,8.83,12.46,0.71,1.56,18.3%,25.8%,-7.5%,.273,2.42,.326,53.9%,9.35,9.86,-0.52,8.82,sa3024095
Kaemyn Franklin,CHC,CPX,20,3.2,12.27,14.73,0.83,4.91,22.7%,27.3%,-4.5%,.375,3.27,.444,32.6%,22.09,14.17,7.92,8.71,sa3069303
Case Matter,TEX,CPX,24,5.1,13.50,11.81,1.14,0.00,29.6%,25.9%,3.7%,.158,1.88,.273,27.3%,11.81,6.40,5.41,8.64,sa3023085
Dominic Castellano,SEA,CPX,22,10.1,13.94,11.32,1.23,1.74,26.2%,21.3%,4.9%,.318,2.61,.462,46.1%,15.68,9.26,6.42,8.62,sa3076358
Fenuel James,CHC,CPX,23,9.0,8.00,10.00,0.80,1.00,14.5%,18.2%,-3.6%,.341,2.78,.400,44.7%,12.00,8.23,3.77,8.61,sa3077205
Haminton Mendez,LAA,CPX,22,11.1,7.15,11.12,0.64,0.79,12.9%,20.0%,-7.1%,.418,3.26,.489,46.4%,16.68,8.43,8.25,8.60,sa3017150
Deivid Burgos,CIN,CPX,21,8.2,8.31,13.50,0.62,0.00,16.7%,27.1%,-10.4%,.294,2.65,.385,62.5%,5.19,7.90,-2.71,8.59,sa3024229
Zach Jacobs,CLE,CPX,24,4.2,9.64,9.64,1.00,1.93,21.7%,21.7%,0.0%,.118,1.50,.091,30.3%,5.79,9.40,-3.61,8.53,sa3020600
Nick Margevicius,SFG,CPX,30,4.0,2.25,4.50,0.50,0.00,6.7%,13.3%,-6.7%,.083,0.75,.091,100.0%,0.00,6.65,-6.65,8.51,20395
Reudis Diaz,CHW,CPX,20,16.1,7.71,6.06,1.27,0.00,17.7%,13.9%,3.8%,.169,1.29,.222,53.3%,6.06,6.86,-0.80,8.50,sa3021566
Edgar Leon,LAD,CPX,21,4.0,11.25,13.50,0.83,2.25,19.2%,23.1%,-3.8%,.350,3.25,.429,34.5%,15.75,10.15,5.60,8.39,sa3019161
J.B. Bukauskas,MIL,CPX,29,1.0,18.00,0.00,2.00,0.00,28.6%,0.0%,28.6%,.500,3.00,.750,0.0%,36.00,3.90,32.10,8.38,20491
Michael Ramirez,LAD,CPX,21,18.1,9.82,12.27,0.80,0.49,18.9%,23.6%,-4.7%,.309,2.73,.400,57.6%,9.33,7.52,1.81,8.36,sa3024985
Michael Valverde,TEX,CPX,23,19.1,10.71,11.64,0.92,0.47,21.1%,22.9%,-1.8%,.293,2.53,.397,62.5%,7.91,7.38,0.53,8.33,sa3022157
Cal Riehl,SDP,CPX,23,2.1,7.71,7.71,1.00,0.00,15.4%,15.4%,0.0%,.300,2.14,.375,50.0%,0.00,7.04,-7.04,8.32,sa3076276
Diovel Mariano,CLE,CPX,22,12.1,7.30,8.76,0.83,1.46,14.3%,17.1%,-2.9%,.386,2.76,.444,43.5%,13.86,8.55,5.32,8.26,sa3018363
Luis Mata,CHC,CPX,20,30.1,10.09,10.98,0.92,0.89,19.8%,21.5%,-1.7%,.269,2.37,.344,54.9%,6.23,8.10,-1.87,8.24,sa3068096
Yuliangel De La Cruz,LAD,CPX,21,11.2,10.03,11.57,0.87,0.77,18.8%,21.7%,-2.9%,.358,2.91,.462,53.6%,13.11,7.90,5.21,8.19,sa3018858
Modesto Vargas,ARI,CPX,21,20.1,8.41,11.95,0.70,0.00,17.4%,24.8%,-7.3%,.228,2.21,.300,66.7%,5.75,7.46,-1.70,8.19,sa3024243
Yander Maria,CHC,CPX,19,26.1,10.59,10.59,1.00,2.05,20.9%,20.9%,0.0%,.277,2.35,.333,39.2%,12.30,9.61,2.69,8.18,sa3023842
Cole Cheatham,SEA,CPX,22,3.2,14.73,14.73,1.00,0.00,25.0%,25.0%,0.0%,.333,3.27,.500,58.3%,7.36,6.54,0.83,8.16,sa3076357
Amilcar Medina,OAK,CPX,21,16.1,14.33,13.22,1.08,0.55,29.2%,27.0%,2.2%,.237,2.33,.406,61.0%,9.37,8.02,1.34,8.14,sa3024199
Josue Toledo,MIL,CPX,20,13.2,11.20,11.85,0.94,0.66,24.3%,25.7%,-1.4%,.167,1.90,.233,52.4%,7.90,8.19,-0.29,8.12,sa3024562
Victor Garcia,LAA,CPX,22,2.2,13.50,6.75,2.00,0.00,33.3%,16.7%,16.7%,.111,1.12,.200,100.0%,0.00,5.28,-5.28,8.07,sa3023615
Dane Lais,SDP,CPX,21,3.2,9.82,9.82,1.00,2.45,18.2%,18.2%,0.0%,.389,3.00,.462,31.3%,17.18,9.54,7.64,8.03,sa3068892
Hector Castillo,CLE,CPX,19,21.1,7.17,6.75,1.06,1.27,15.2%,14.3%,0.9%,.319,2.16,.365,45.7%,10.97,7.67,3.30,7.94,sa3024872
Kendal Meza,SEA,CPX,20,16.1,9.92,8.82,1.13,1.65,21.7%,19.3%,2.4%,.262,1.96,.325,71.0%,7.71,9.13,-1.41,7.92,sa3022125
Jose Parra,OAK,CPX,20,39.2,9.08,9.53,0.95,0.68,20.1%,21.1%,-1.0%,.220,1.89,.280,48.8%,9.30,7.57,1.73,7.91,sa3024574
Bryan Perez,COL,CPX,22,0.1,27.00,27.00,1.00,0.00,25.0%,25.0%,0.0%,.667,9.00,1.000,0.0%,81.00,7.90,73.10,7.90,sa3016515
Jordan Romano,COL,CPX,33,1.0,0.00,9.00,0.00,0.00,0.0%,25.0%,-25.0%,.000,1.00,.000,100.0%,0.00,7.90,-7.90,7.90,16122
Prelander Berroa,CHW,CPX,26,0.0,0.00,9.00,0.00,0.00,0.0%,100.0%,-100.0%,.000,1.00,.000,100.0%,0.00,7.90,-7.90,7.90,22932
Yael Romero,CIN,CPX,20,0.0,0.00,0.00,0.00,0.00,0.0%,0.0%,0.0%,1.000,1.00,1.000,100.0%,0.00,7.90,-7.90,7.90,sa3021062
Aiden Moffett,OAK,CPX,22,1.0,0.00,9.00,0.00,0.00,0.0%,33.3%,-33.3%,.000,1.00,.000,100.0%,0.00,7.90,-7.90,7.90,sa3076144
