Metric,2026 Count,2026 P95,2026 P99,2026 Max,2026 Max Player,2026 Max League,2026 Max AB
Age+,1741,113.93737221863132,119.11634368311456,134.31456629664078,Colt Emerson,Pacific Coast League,145
FG/G+,1741,165.79703178986932,197.3262259226163,262.220660984731,Ronny Cruz,Carolina League,51
Approach+,1741,210.30580600235783,324.4352565597254,562.5653244714194,Caden Bodine,Carolina League,132
Speed+,1741,164.0142526498678,179.05880626725056,205.73293547345992,Duke Ellis,International League,94
LD%+,1741,141.16514591333197,165.7395723375629,219.2959493828085,Miguel Hernandez,Florida Complex League,63
HR/FB+,1741,261.33165454723576,352.0992286591333,807.3362752668768,Conor Essenburg,Carolina League,58
wRC+,1741,155.6368952104801,180.47646801879165,237.37547927324164,Royce Lewis,International League,53
5 Tool+,1741,139.6879787681804,157.25898661625587,235.77571069094577,Conor Essenburg,Carolina League,58
Hitter+,1741,161.16497684569927,197.02640429246568,322.6802759962375,Conor Essenburg,Carolina League,58
