Source League ID,League Name,League Level,Players,Total G,Total PA,Total AB,Average Age,FGPts_per_game,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,LD%,HR_FB_pct,wRC+
2,International League,AAA,547.0,18850.0,75285.0,64855.0,26.085209537092382,6.922228764117111,0.53662351548471,0.11402277946910218,0.23137321350226678,0.3543223574945242,4.918007571229329,0.23716722430317652,0.1478483005316928,100.0689513183237
4,Pacific Coast League,AAA,295.0,9411.0,39426.0,33798.0,27.018591792218334,7.618514967508256,0.6257956771168597,0.11510988955056753,0.20666948485540915,0.4330747678249606,5.140397199817379,0.2528603332061554,0.137709887285481,99.56954801400092
5,Eastern League,AA,285.0,10622.0,42431.0,36793.0,23.758572741627585,6.7567721699458225,0.46166784500464875,0.10752168261845681,0.2477674429579293,0.29889094223524865,5.268975513186113,0.23176754303007377,0.15063309316013804,100.01678018429922
6,Southern League,AA,180.0,6959.0,27663.0,23918.0,23.874308643314173,6.825999424791487,0.4996411385398988,0.10999633433745873,0.24251373556770062,0.3278138269212527,5.4168347612334165,0.22867332294422496,0.15008901194108562,99.45089108195062
7,Texas League,AA,228.0,8754.0,35822.0,30629.0,23.992490648205013,7.2978047371461585,0.5252209851238522,0.11698802563525972,0.24145984300360368,0.3407899152376527,5.513818323935012,0.23853083829822944,0.1556259320509473,99.89101669365195
8,California League,A,166.0,7115.0,30130.0,25724.0,21.161301028874874,7.773317341611401,0.505508124538118,0.1151840122674845,0.24533906633906633,0.32622082346969034,6.041954862263524,0.2263840707376259,0.12910405344594827,99.6159309658148
9,Carolina League,A,271.0,10456.0,42823.0,36069.0,20.33787917707774,6.9272736012305325,0.5931556619623755,0.13005479965340389,0.24552615844544096,0.3778786573761178,5.8042080190551815,0.23482325015785413,0.12321201718920843,99.89683114214324
10,Florida State League,A,284.0,8768.0,35624.0,30099.0,21.086402425331237,6.845176793683488,0.5682238302760053,0.12447801314416268,0.25023963898104934,0.3635256785824315,5.592611722434314,0.2348774894217207,0.1348528052600564,100.11116101504604
11,Midwest League,A+,254.0,10248.0,42523.0,35891.0,22.190884932859863,7.474401726167124,0.5730113867861173,0.12763036155929808,0.24064284706214426,0.3639129922073392,5.4999929449944736,0.22588020735155512,0.14272552146618064,100.14340474566706
13,Northwest League,A+,123.0,5290.0,21792.0,18786.0,22.53877569750367,6.893548387096774,0.484223538178822,0.11154533327199961,0.2463640827940704,0.3124050682141197,4.742492657856093,0.2262124621177335,0.14944173493063118,99.7070943465492
14,South Atlantic League,A+,280.0,10284.0,42876.0,36462.0,22.06045340050378,7.421265206812652,0.5244989800647367,0.1192405283036573,0.24720814279048064,0.3354175289567876,5.550436141431102,0.23144404678362573,0.1575852952006874,99.95167459651087
16,Arizona Complex League,CPX,395.0,8888.0,32054.0,26527.0,19.604823111000186,6.952046253259268,0.6114819886628252,0.1364062803597731,0.25501359290044373,0.3798621778345145,6.104052536344917,0.20130694602452281,0.14419834161223452,100.2134834965995
17,Florida Complex League,CPX,420.0,8422.0,29539.0,23999.0,19.36812349774874,6.923391953746085,0.7779122080981009,0.1531565844817563,0.23046014271151885,0.48507870266634,6.1619012153424295,0.21771561891088093,0.13460236150568183,100.00517959308033
30,Dominican Summer League,R,883.0,18777.0,70291.0,55493.0,17.633423909177562,7.649884538961388,1.0162470797417762,0.16820648664094873,0.19477253752680487,0.6586530384757844,6.29007838841388,0.18327606562074647,0.09813863621125093,103.33536299099458
