Source League ID,League Name,League Level,Age,Players,Total G,Total PA,Total AB,FGPts_per_game,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,LD%,HR_FB_pct,wRC+,Average Age
2,International League,AAA,20,1.0,5.0,21.0,16.0,10.2,1.25,0.238095238,0.19047619,0.7142857150000002,4.918295199696139,0.083333333,,221.5287334174944,20
2,International League,AAA,21,10.0,266.0,1175.0,982.0,8.056390977443609,0.936504223807371,0.14297872293276598,0.1605465409974381,0.6545192096763068,6.488718337355644,0.21383975240051234,0.10268224614271845,114.17861793277248,21
2,International League,AAA,22,19.0,624.0,2684.0,2314.0,7.341346153846154,0.5328267828237326,0.11231343239962688,0.22764530501378538,0.35419341300232027,5.523426207831807,0.2370866956555722,0.1666877762227256,100.17698216897524,22
2,International League,AAA,23,39.0,1017.0,4427.0,3855.0,8.101970443349753,0.5039331809156297,0.10796740564373021,0.23153376960740912,0.3319447278930246,5.092235119125433,0.24089034555241115,0.17811247613476158,108.10451840847693,23
2,International League,AAA,24,53.0,1435.0,5900.0,5027.0,7.052613240418118,0.5555554877605962,0.12440272989880548,0.2387425653315208,0.3561767312880153,5.024000788814584,0.24031929774481822,0.1532366521297491,101.4607696024596,24
2,International League,AAA,25,51.0,1478.0,6039.0,5115.0,7.038331071913161,0.596763063932727,0.12919939784171822,0.23961448935094717,0.38572081349915494,5.044402617248111,0.23680459030778184,0.13748202805552656,101.41874884408155,25
2,International League,AAA,26,54.0,1580.0,6259.0,5424.0,6.596835443037975,0.4910212548774013,0.10988306855486145,0.24588592382601057,0.316851703422226,4.7675910818073675,0.2324005396740527,0.14283666875835035,97.73800498238018,26
2,International League,AAA,27,49.0,1300.0,5146.0,4462.0,6.881538461538462,0.5152439001027932,0.10587777294978591,0.23571706131966574,0.3337759389593788,4.8931769020898175,0.23881654272044475,0.16982306115140028,103.48694673811718,27
2,International League,AAA,28,47.0,1182.0,4677.0,3966.0,6.621827411167513,0.5960290834502556,0.12658772823186223,0.23198631558798374,0.385295999838315,4.69653989386461,0.24069233822803257,0.1457796431814516,100.79015077720037,28
2,International League,AAA,29,32.0,880.0,3286.0,2820.0,5.940571428571428,0.5045619487974653,0.11746522360216385,0.2461959825413877,0.32042425245054096,4.96616068730154,0.23625880100000002,0.13433456919206818,87.29780517036451,29
2,International League,AAA,30,18.0,426.0,1666.0,1436.0,7.4939024390243905,0.5318319618916928,0.11757575699939393,0.23409363694897958,0.34479011324786163,4.729586772558927,0.23736835617090912,0.1907477384240305,113.46117043763005,30
2,International League,AAA,31,17.0,429.0,1602.0,1406.0,6.061743341404358,0.44552309434165965,0.09849435342910914,0.22784019918227214,0.2964740954019835,3.5770466392878273,0.20706416122659177,0.12008309879421433,85.53413306383345,31
2,International League,AAA,32,8.0,219.0,826.0,696.0,5.552380952380952,0.6152138195969493,0.1307506049576271,0.21428571386319611,0.38618444795496887,2.9110102232313206,0.26200448704756096,0.13133267473289903,88.90070999326238,32
2,International League,AAA,33,8.0,127.0,509.0,446.0,5.921259842519685,0.541874824586023,0.10805500951866406,0.25736738665815323,0.34201749494134853,3.6211329408750292,0.23600763936542238,0.20322768645609754,92.31297789973709,33
2,International League,AAA,34,3.0,76.0,293.0,259.0,4.934210526315789,0.3359123146357189,0.09790209730769231,0.2730375423412969,0.1957422013256956,4.717532844190003,0.2707807654545455,0.1381118881118881,69.43362393760513,34
2,International League,AAA,35,2.0,27.0,99.0,87.0,3.2037037037037037,0.3484105763517528,0.0909090907070707,0.2525252523232323,0.2182115270855615,1.3565566349494949,0.1904572030707071,0.066666666,41.45448575220906,35
2,International League,AAA,37,1.0,10.0,41.0,34.0,2.9,0.4666666666666667,0.170731707,0.365853658,0.21626016299999995,5.05096184427127,0.10526315699999998,,21.654927600992057,37
2,International League,AAA,38,1.0,9.0,40.0,35.0,4.333333333333333,0.4166666666666667,0.125,0.3,0.23958333333333331,2.64285714,0.217391304,0.166666666,33.293768127184265,38
4,Pacific Coast League,AAA,20,2.0,88.0,399.0,334.0,8.619318181818182,0.623917313848664,0.11779448545112782,0.20802004995238094,0.42941372287642726,8.098487169982706,0.22302128375438593,0.15153598273182958,90.38805284986573,20
4,Pacific Coast League,AAA,21,2.0,37.0,152.0,128.0,7.324324324324325,0.45376398312855304,0.13815789425657893,0.31578947272368424,0.2504813870502476,1.951990081200658,0.3245184876710526,0.208333333,136.01967104791166,21
4,Pacific Coast League,AAA,22,6.0,147.0,652.0,575.0,9.275510204081632,0.5313457157535119,0.09360374352574104,0.18027734937904466,0.3898899706475893,5.2927588112054575,0.23001650817331287,0.28516313879166666,108.10521580620464,22
4,Pacific Coast League,AAA,23,18.0,525.0,2373.0,2010.0,8.852380952380953,0.708061844470034,0.12751390627000428,0.19047618996080912,0.4819490040122637,5.8474709279295265,0.24609830250232165,0.1320485624869936,105.90890320624777,23
4,Pacific Coast League,AAA,24,22.0,567.0,2453.0,2122.0,8.173721340388006,0.591319788557792,0.10801963955400982,0.20547385580147057,0.4130557982248744,5.48255419726744,0.2393667863723969,0.13840116081378423,102.47033166094924,24
4,Pacific Coast League,AAA,25,20.0,410.0,1783.0,1515.0,8.241463414634147,0.617437957526573,0.11721817109871005,0.2142456528620303,0.4224821686249576,5.433721390170142,0.26750307846382504,0.17010745557549362,105.53805163877027,25
4,Pacific Coast League,AAA,26,28.0,535.0,2234.0,1914.0,6.701869158878504,0.5821664194009563,0.11416967460785199,0.22352410951013968,0.389403650529521,4.290923500287595,0.24415495976961682,0.12962842706656344,89.33638397415093,26
4,Pacific Coast League,AAA,27,32.0,933.0,3793.0,3252.0,7.090032154340836,0.6160144368743811,0.12245975158405911,0.2256788816403902,0.40891621231784486,4.75417872963806,0.26683947920854206,0.14029126947086248,99.21773471643613,27
4,Pacific Coast League,AAA,28,21.0,420.0,1774.0,1492.0,8.002457002457003,0.6323376720618558,0.12443181758352273,0.22209631684192635,0.40928925324894416,4.285078382072116,0.2301537920536723,0.17353492891855482,106.08785656962176,28
4,Pacific Coast League,AAA,29,13.0,419.0,1772.0,1524.0,7.321002386634845,0.7308492907181735,0.12076749395598195,0.21331828397404068,0.5236280027572354,5.131868753235068,0.2593098900479684,0.10868587566823527,90.34500257616229,29
4,Pacific Coast League,AAA,30,16.0,440.0,1768.0,1496.0,6.346590909090909,0.6679296315309896,0.11851851814928774,0.19683257871380092,0.4652251040016955,4.52766278859309,0.23153382027658373,0.0950982037724222,82.96826429037836,30
4,Pacific Coast League,AAA,31,15.0,406.0,1592.0,1361.0,7.269704433497537,0.6284323148474468,0.11313639169578879,0.1891891886781898,0.43709135920830955,4.526211488140571,0.22977401273455234,0.14456024740251158,98.17158539837608,31
4,Pacific Coast League,AAA,32,8.0,258.0,1129.0,959.0,8.912790697674419,0.9172226125446066,0.1284322402462356,0.1647475638928255,0.6562946716106611,4.843856738122261,0.2588659503666962,0.14162943587156776,121.15393736451156,32
4,Pacific Coast League,AAA,33,5.0,62.0,250.0,212.0,6.887096774193548,0.4257853192559075,0.099999999376,0.247999999644,0.2761950734069879,4.228074828446009,0.22094668519200003,0.19571956150877193,95.60629710911181,33
4,Pacific Coast League,AAA,34,7.0,219.0,824.0,703.0,7.273972602739726,0.6117074450458412,0.11907654857715674,0.20509708672451457,0.41990316365064895,3.7259599664171636,0.2526990076014581,0.15356071085974754,106.24560844442797,34
4,Pacific Coast League,AAA,35,3.0,89.0,368.0,320.0,6.264044943820225,0.5003493788819876,0.11141304291032607,0.2173913041222826,0.3301630438643634,2.985861018316437,0.2719643945869565,0.14697245331355932,85.20571574457875,35
4,Pacific Coast League,AAA,40,1.0,7.0,28.0,25.0,5.285714285714286,0.6,0.107142857,0.178571428,0.42857142899999995,2.64285714,0.25,0.166666666,1.9956021231793424,40
5,Eastern League,AA,20,5.0,74.0,297.0,265.0,7.601351351351352,0.5943884459154506,0.08650518977162629,0.15824915772727272,0.4546205061700617,4.404589297081008,0.2251869736348123,0.21311475399999996,129.83793021395658,20
5,Eastern League,AA,21,15.0,420.0,1787.0,1581.0,7.164285714285715,0.4787211429010498,0.09848908736317852,0.2115276995758254,0.3250132503362348,5.730776225860023,0.2378508909646663,0.1345742943660494,95.44781295466994,21
5,Eastern League,AA,22,33.0,930.0,3787.0,3255.0,6.733046286329387,0.5002223903747629,0.1202886923940123,0.2584656079888889,0.3087553938036204,5.15896307539437,0.2377802578242312,0.14630335150326798,96.79805581135946,22
5,Eastern League,AA,23,44.0,1537.0,6256.0,5365.0,6.726415094339623,0.5151341688831547,0.11636828598081841,0.2426470583390345,0.3301435933771975,5.356233514015432,0.2300167798451809,0.15338021782555783,98.60773172666765,23
5,Eastern League,AA,24,39.0,1147.0,4623.0,3984.0,7.270962047661077,0.5041128405313401,0.11273440860859135,0.24594419160609993,0.3300714000464977,5.228760167559146,0.23511952336664504,0.16379259773565427,107.52785770590651,24
5,Eastern League,AA,25,27.0,797.0,3100.0,2691.0,6.398241206030151,0.3863235492991064,0.10422716957147467,0.28202645966569856,0.23769228779435703,5.865472398153027,0.22990741913262341,0.1540464365376766,86.76806007305593,25
5,Eastern League,AA,26,22.0,534.0,2072.0,1802.0,6.73689138576779,0.418191323229356,0.10304789505273344,0.2509652506085907,0.2675939240600019,4.535285582001172,0.2345931460454765,0.16203983799625465,110.0041414058757,26
5,Eastern League,AA,27,16.0,382.0,1482.0,1262.0,6.572178477690288,0.5175324379248564,0.11405295271147317,0.24847250467345555,0.3384449158174269,5.338301522132137,0.24465526891383987,0.13832971492417862,103.98056129111393,27
5,Eastern League,AA,28,5.0,36.0,134.0,113.0,3.8333333333333335,0.3715506715506715,0.12307692271538462,0.32835820886567163,0.20240130257142855,3.059512003531783,0.2341591589153846,0.13132022471910113,63.00426176196907,28
5,Eastern League,AA,29,3.0,60.0,231.0,197.0,6.391666666666667,0.5431260658533386,0.1125541118917749,0.21645021548484847,0.369146006384232,5.352807725044577,0.2620660505281385,0.14684287785462555,109.03525826366476,29
5,Eastern League,AA,32,1.0,3.0,7.0,5.0,9.166666666666666,0.6666666666666666,0.285714285,0.428571428,0.1904761913333333,1.60119047125,0.5,1.0,283.0408273686316,32
5,Eastern League,AA,33,1.0,15.0,59.0,52.0,8.433333333333334,0.6,0.101694915,0.169491525,0.43728813600000005,5.535410282052634,0.3,0.09090909,151.5308764484538,33
6,Southern League,AA,19,1.0,46.0,218.0,193.0,11.25,0.71875,0.105504587,0.14678899,0.53741399153125,8.635333174203977,0.222222222,0.133333333,111.17540126568288,19
6,Southern League,AA,21,4.0,187.0,802.0,688.0,6.251336898395722,0.5086070338794789,0.12718204449625933,0.25311720659850373,0.31006127370144115,3.5301368871811185,0.21702640721072317,0.12989134138902744,86.05507900294114,21
6,Southern League,AA,22,15.0,437.0,1800.0,1533.0,8.005720823798628,0.593588721544466,0.12680756349221356,0.21930803520870534,0.3861226565372208,6.086515017004184,0.22110006147942157,0.15866538182694473,113.1491653515655,22
6,Southern League,AA,23,31.0,914.0,3720.0,3243.0,7.201859956236324,0.41851264400072186,0.10080645118870969,0.25006729424441454,0.27226691421299726,5.932130227799794,0.22334876973277493,0.15018653236223345,102.00399522837354,23
6,Southern League,AA,24,22.0,637.0,2463.0,2150.0,6.2982731554160125,0.48306104501518726,0.1065573765217213,0.25740966247137637,0.3156121574794423,6.210824771460779,0.22246690572016295,0.1269943648334098,86.26571567703787,24
6,Southern League,AA,25,34.0,876.0,3352.0,2846.0,6.397260273972603,0.5427161859397288,0.12246749272996675,0.2658114553690334,0.33587315557165043,5.575875742114972,0.23378054442989538,0.14380781934971282,95.96600828024629,25
6,Southern League,AA,26,16.0,354.0,1392.0,1193.0,7.057909604519774,0.48471967779772496,0.11709770049928163,0.2600574706968391,0.30526130087841846,4.675869832271111,0.2357740670929395,0.227588971104019,116.89112118281882,26
6,Southern League,AA,27,12.0,308.0,1215.0,1023.0,6.14935064935065,0.6458464088357934,0.12499999938410598,0.2312757196814815,0.4336071080889582,4.513335203169241,0.2465797072213992,0.1267160423045375,89.69206845094823,27
6,Southern League,AA,28,4.0,102.0,404.0,353.0,7.063725490196078,0.5448693229646852,0.08663366286633663,0.17574257361881185,0.3970236908162937,5.458890585994759,0.2179465658811881,0.11244105190886075,108.67151630063972,28
6,Southern League,AA,29,3.0,37.0,116.0,106.0,6.5625,0.23584041312676998,0.07758620612931036,0.2758620683793103,0.10982009007271364,2.7138360383836204,0.2480295557413793,0.31420145132758626,104.94889499871628,29
6,Southern League,AA,30,1.0,4.0,13.0,9.0,6.625,,0.307692307,,,5.903444538840477,0.22222222200000002,,164.73652700979963,30
6,Southern League,AA,31,1.0,5.0,17.0,14.0,6.6,0.6666666666666666,0.117647058,0.176470588,0.47058823599999994,2.64285714,0.166666666,,176.88519869802786,31
7,Texas League,AA,18,1.0,2.0,2.0,2.0,-1.0,,,1.0,,0.14285714,,,-100.0,18
7,Texas League,AA,19,2.0,64.0,285.0,247.0,7.5546875,0.40942028985507245,0.0947368412,0.23508771846666668,0.27613203038768114,5.792146865138511,0.2191469302,0.08908730093333334,93.26826401335732,19
7,Texas League,AA,20,1.0,46.0,192.0,168.0,8.891304347826088,0.5625,0.09375,0.166666666,0.416015625375,5.201534281399981,0.241134751,0.155555555,127.47109700184622,20
7,Texas League,AA,21,10.0,337.0,1523.0,1335.0,9.178041543026707,0.5461814308405217,0.10013175195718049,0.20682862724031514,0.3834950442157917,5.91464040484074,0.25662296751449276,0.17985472785188086,113.01666345962062,21
7,Texas League,AA,22,16.0,397.0,1630.0,1427.0,6.6313775510204085,0.385243036654388,0.10073710034213759,0.26289926243611794,0.2427907186143949,5.089269765652345,0.22351810873435587,0.1577751970575954,79.47436457085993,22
7,Texas League,AA,23,27.0,813.0,3406.0,2883.0,7.41389913899139,0.49972145416771124,0.12419260080328832,0.25484439184820906,0.3068950883512651,5.6350366998803505,0.22877749001879036,0.16805629300293637,98.18250840268372,23
7,Texas League,AA,24,43.0,1263.0,5138.0,4385.0,6.89034045922407,0.5422221298472176,0.1167996880073973,0.23413779636920984,0.35718107018320444,5.220481280841905,0.2313652986194864,0.13700125418768086,96.98344476820634,24
7,Texas League,AA,25,34.0,968.0,3866.0,3287.0,6.805785123966942,0.5329376605098741,0.12408948958012488,0.2700465591890843,0.33296150865042917,5.6050792385371215,0.2520477755108921,0.1574912520219201,102.7386739844959,25
7,Texas League,AA,26,17.0,500.0,1960.0,1634.0,6.547,0.562393302283842,0.12987679621971254,0.24285714232040817,0.34932512403313404,4.5116675141635545,0.2219222311147959,0.1465190731226899,99.69412645261575,26
