Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,AB/G,Age+,FG/G+,Approach+,Speed+,LD%+,HR/FB+,wRC+,5 Tool+,Hitter+,Est FB,AB,H,HR,R,RBI,SB,CS,BA,OBP,SLP,OPS,BABIP,BB%,K%,LD%,GB%,FB%,IFFB%,HR/FB%
Ethan Anderson,Available,BAL,Eastern League,AA,Yes,22.0,,78.0,8.1,3.6,106.9,128.9,131.0,85.7,95.1,203.8,122.0,110.4,114.6,72.7,284.0,76.0,19.0,57.0,40.0,6.0,1.0,0.268,0.364,0.507,0.871,0.288,0.121,0.202,0.219,0.414,0.367,0.234,0.247
Luis Cruz,Available,PIT,Dominican Summer League,R,Yes,18.0,,29.0,9.7,3.2,97.9,129.6,248.7,130.3,111.8,0.0,117.0,110.4,114.6,30.0,94.0,28.0,0.0,22.0,18.0,10.0,2.0,0.298,0.433,0.394,0.827,0.326,0.174,0.083,0.205,0.446,0.349,0.31,0.0
Luis Peña,Cant Park Here (MINORS),MIL,Midwest League,A+,No,19.0,,51.0,9.4,3.7,116.0,126.8,101.4,171.1,98.0,37.3,110.0,110.4,96.2,38.9,188.0,56.0,2.0,40.0,23.0,27.0,6.0,0.298,0.384,0.42,0.804,0.375,0.11,0.205,0.22,0.511,0.27,0.237,0.053
Kaeden Kent,Available,SF,South Atlantic League,A+,Yes,22.0,,76.0,9.0,4.2,99.9,121.3,113.7,117.0,143.8,52.8,108.0,110.4,115.1,71.5,321.0,97.0,6.0,55.0,43.0,20.0,4.0,0.302,0.359,0.433,0.792,0.349,0.082,0.161,0.335,0.392,0.274,0.208,0.083
Alexander Frias,Lászlaró Tóth (MINORS),STL,Florida State League,A,Yes,18.0,,25.0,7.2,3.7,116.3,102.9,71.9,136.1,113.2,66.6,101.0,110.4,100.9,21.7,93.0,23.0,2.0,15.0,11.0,6.0,1.0,0.247,0.355,0.376,0.731,0.339,0.118,0.273,0.267,0.383,0.35,0.19,0.095
Breyson Guedez,Available,ATH,California League,A,No,18.0,,91.0,7.7,4.2,116.7,100.1,46.6,82.2,138.4,83.5,99.0,110.4,108.3,54.5,385.0,119.0,6.0,57.0,64.0,1.0,1.0,0.309,0.353,0.46,0.812,0.411,0.058,0.256,0.313,0.489,0.198,0.091,0.109
Josiah Ragsdale,Cant Park Here (MINORS),STL,Southern League,AA,Yes,22.0,,26.0,12.5,3.7,107.6,180.8,104.4,105.1,86.1,233.1,184.0,110.3,111.2,27.8,96.0,28.0,12.0,28.0,21.0,7.0,1.0,0.292,0.429,0.698,1.126,0.327,0.193,0.294,0.2,0.233,0.567,0.059,0.353
Carson Tinney,Available,MIN,Florida State League,A,Yes,21.0,,24.0,9.1,3.3,99.7,131.1,115.1,69.0,103.9,266.9,143.0,110.3,121.8,18.4,79.0,16.0,8.0,25.0,15.0,1.0,1.0,0.203,0.4,0.532,0.932,0.186,0.219,0.267,0.245,0.327,0.429,0.286,0.381
Joscar Hernandez,Available,ARI,Dominican Summer League,R,Yes,17.0,,49.0,10.5,2.8,103.7,139.9,97.4,147.1,110.2,121.6,137.0,110.3,108.1,30.9,138.0,39.0,3.0,39.0,27.0,31.0,6.0,0.283,0.465,0.449,0.915,0.353,0.17,0.181,0.202,0.495,0.303,0.2,0.1
Alan Angulo,Available,KC,Dominican Summer League,R,Yes,18.0,,45.0,10.0,3.0,97.9,133.1,285.7,122.6,93.3,31.6,128.0,110.3,115.5,42.1,133.0,43.0,1.0,37.0,31.0,14.0,3.0,0.323,0.468,0.421,0.889,0.35,0.202,0.081,0.171,0.477,0.351,0.154,0.026
Donovan Walton,Available,ATH,Pacific Coast League,AAA,Yes,32.0,,43.0,9.2,3.0,83.7,120.4,257.6,114.2,104.2,141.8,127.0,110.3,126.6,33.1,131.0,37.0,7.0,33.0,33.0,3.0,0.0,0.282,0.429,0.481,0.909,0.286,0.19,0.125,0.261,0.423,0.315,0.2,0.2
Daniel Rodriguez,Available,TEX,Arizona Complex League,CPX,Yes,18.0,,46.0,9.3,3.2,108.9,133.2,76.6,142.5,108.8,120.7,113.0,110.3,105.1,23.0,149.0,45.0,4.0,33.0,35.0,13.0,4.0,0.302,0.393,0.49,0.883,0.39,0.103,0.234,0.219,0.562,0.219,0.087,0.174
Wilder Dalis,Available,COL,Northwest League,A+,Yes,19.0,,16.0,7.6,3.7,118.1,106.4,39.4,115.1,104.5,154.9,106.0,110.3,102.5,12.5,59.0,19.0,3.0,9.0,7.0,4.0,0.0,0.322,0.344,0.492,0.836,0.364,0.033,0.197,0.239,0.478,0.283,0.154,0.231
Jancel Villarroel,Available,SF,Eastern League,AA,Yes,21.0,,31.0,5.6,3.4,112.0,89.9,121.4,118.8,114.3,58.6,72.0,110.3,106.3,28.7,106.0,22.0,2.0,12.0,14.0,3.0,0.0,0.208,0.298,0.33,0.628,0.244,0.097,0.185,0.263,0.388,0.35,0.107,0.071
Juan Alva,Available,MIA,Florida Complex League,CPX,Yes,20.0,,39.0,8.9,2.7,96.8,127.9,210.7,94.1,114.8,92.8,148.0,110.2,120.1,33.6,107.0,34.0,4.0,28.0,19.0,13.0,2.0,0.318,0.475,0.458,0.933,0.357,0.216,0.137,0.25,0.35,0.4,0.25,0.125
Murf Gray,Daddy Yankee (MINORS),PIT,South Atlantic League,A+,No,22.0,,43.0,10.7,4.0,99.9,143.8,107.7,76.2,124.5,187.0,142.0,110.2,120.5,45.9,172.0,52.0,15.0,37.0,36.0,3.0,0.0,0.302,0.381,0.61,0.991,0.314,0.112,0.208,0.29,0.321,0.389,0.255,0.294
Aiden Taurek,Available,SEA,Northwest League,A+,Yes,22.0,,30.0,9.5,3.6,102.0,132.9,138.5,111.0,115.0,116.7,134.0,110.2,114.1,22.1,109.0,32.0,4.0,21.0,26.0,2.0,2.0,0.294,0.415,0.505,0.919,0.364,0.163,0.222,0.263,0.45,0.287,0.13,0.174
Deniel Ortiz,Available,STL,Texas League,AA,Yes,21.0,,57.0,8.3,3.4,113.6,113.7,167.0,73.8,101.8,100.4,119.0,110.2,111.2,54.4,196.0,52.0,9.0,33.0,37.0,9.0,4.0,0.265,0.385,0.464,0.85,0.293,0.155,0.188,0.247,0.383,0.37,0.105,0.158
Sawyer Strosnider,Available,MIL,Midwest League,A+,Yes,21.0,,22.0,9.3,4.0,105.0,125.9,65.7,156.5,121.6,93.5,118.0,110.2,105.7,15.0,87.0,24.0,2.0,15.0,14.0,7.0,0.0,0.276,0.388,0.448,0.837,0.4,0.117,0.291,0.273,0.455,0.273,0.333,0.133
Nate Furman,Available,SF,Pacific Coast League,AAA,Yes,24.0,,102.0,8.2,3.9,111.6,108.1,179.9,100.7,102.6,56.7,112.0,110.2,108.8,86.9,399.0,117.0,7.0,63.0,48.0,19.0,5.0,0.293,0.377,0.414,0.791,0.322,0.111,0.118,0.257,0.488,0.254,0.069,0.08
Cam Cauley,Not in Fantrax,TEX,Pacific Coast League,AAA,Yes,23.0,,87.0,10.1,4.0,116.5,132.2,98.5,158.7,83.0,107.7,111.0,110.2,97.4,88.8,346.0,95.0,14.0,73.0,47.0,35.0,1.0,0.275,0.368,0.46,0.828,0.324,0.126,0.209,0.208,0.436,0.355,0.13,0.152
Logan Sauve,Available,ATH,Texas League,AA,Yes,22.0,,8.0,5.0,3.1,108.5,68.4,123.2,73.8,154.5,0.0,106.0,110.2,114.9,6.0,25.0,6.0,0.0,1.0,1.0,2.0,0.0,0.24,0.406,0.32,0.726,0.375,0.212,0.273,0.375,0.25,0.375,0.0,0.0
Edgardo Gutierrez,Available,BOS,Dominican Summer League,R,Yes,16.0,,26.0,7.1,3.2,110.2,95.4,42.4,134.9,103.1,182.4,85.0,110.2,105.0,21.9,82.0,20.0,3.0,16.0,13.0,6.0,0.0,0.244,0.354,0.39,0.744,0.293,0.083,0.219,0.189,0.434,0.377,0.2,0.15
Carlos Colmenarez,Available,TB,International League,AAA,Yes,22.0,,27.0,4.6,2.8,119.0,68.6,26.8,125.1,96.5,176.0,72.0,110.2,100.3,7.8,75.0,17.0,2.0,12.0,10.0,4.0,0.0,0.227,0.31,0.347,0.656,0.441,0.093,0.453,0.229,0.543,0.229,0.25,0.25
Ambioris Tavarez,Available,ATL,Southern League,AA,Yes,22.0,,82.0,4.7,3.0,107.6,68.5,58.0,103.3,108.5,210.0,67.0,110.2,111.4,21.4,245.0,44.0,7.0,39.0,29.0,15.0,6.0,0.18,0.295,0.302,0.597,0.266,0.123,0.347,0.252,0.594,0.154,0.0,0.318
Isaiah Lane,Available,MIN,Florida State League,A,Yes,21.0,,23.0,8.7,3.2,99.7,125.0,135.5,98.0,136.1,77.8,155.0,110.1,117.3,17.3,73.0,21.0,2.0,9.0,18.0,3.0,2.0,0.288,0.43,0.548,0.978,0.373,0.194,0.226,0.321,0.34,0.34,0.222,0.111
Luis Arana,Waivers,MIA,Florida Complex League,CPX,No,18.0,,17.0,10.4,3.2,107.6,149.9,238.2,136.3,91.9,0.0,146.0,110.1,106.5,9.8,54.0,21.0,0.0,11.0,5.0,14.0,3.0,0.389,0.477,0.444,0.921,0.429,0.138,0.092,0.2,0.6,0.2,0.222,0.0
Jesus Castillo,Available,PIT,South Atlantic League,A+,No,22.0,,3.0,13.7,4.3,99.9,183.5,116.1,117.0,156.3,0.0,133.0,110.1,114.7,3.0,13.0,5.0,0.0,3.0,4.0,1.0,0.0,0.385,0.429,0.462,0.89,0.455,0.071,0.143,0.364,0.364,0.273,0.333,0.0
Peyton Graham,Available,DET,Eastern League,AA,Yes,25.0,,110.0,10.5,3.7,94.1,168.3,139.1,177.2,115.1,74.2,132.0,110.1,110.1,100.8,402.0,119.0,9.0,95.0,56.0,65.0,7.0,0.296,0.406,0.435,0.842,0.367,0.13,0.202,0.265,0.399,0.336,0.19,0.09
Kleiver Chauran,Available,TB,Florida Complex League,CPX,Yes,20.0,,54.0,10.3,3.1,96.8,148.3,126.2,146.0,136.9,37.9,132.0,110.1,112.7,40.4,165.0,47.0,2.0,48.0,34.0,23.0,3.0,0.285,0.464,0.4,0.864,0.381,0.227,0.209,0.298,0.36,0.342,0.077,0.051
Murf Gray,Daddy Yankee (MINORS),PIT,Eastern League,AA,Yes,22.0,,39.0,8.0,3.5,106.9,127.5,134.1,66.2,107.3,178.2,129.0,110.1,116.8,34.3,135.0,33.0,8.0,28.0,24.0,1.0,0.0,0.244,0.393,0.467,0.86,0.278,0.156,0.231,0.247,0.371,0.381,0.216,0.216
Zach Ehrhard,Available,LAD,Pacific Coast League,AAA,Yes,23.0,,127.0,9.6,3.8,116.5,125.5,114.5,118.1,98.2,90.7,122.0,110.1,103.0,145.0,487.0,137.0,19.0,105.0,89.0,25.0,11.0,0.281,0.395,0.46,0.855,0.335,0.151,0.208,0.246,0.343,0.412,0.221,0.128
Diego Velasquez,Available,SF,Eastern League,AA,No,22.0,,85.0,7.8,3.3,106.9,124.1,157.8,114.9,112.5,58.6,117.0,110.1,109.9,56.5,281.0,83.0,4.0,55.0,40.0,21.0,4.0,0.295,0.384,0.406,0.79,0.35,0.111,0.165,0.259,0.491,0.25,0.161,0.071
Ethan Salas,The Hot and Steamy Boys (MINORS),SD,Texas League,AA,No,20.0,,72.0,7.6,3.6,119.3,104.0,154.4,83.0,99.3,69.2,110.0,110.1,105.9,62.2,259.0,74.0,7.0,41.0,37.0,14.0,6.0,0.286,0.361,0.417,0.778,0.319,0.11,0.16,0.241,0.463,0.296,0.313,0.109
Raynel Quezada,Not in Fantrax,CLE,Dominican Summer League,R,Yes,17.0,,45.0,7.5,3.1,103.7,100.0,26.7,130.3,127.1,167.8,101.0,110.1,110.1,28.6,139.0,40.0,4.0,28.0,28.0,8.0,1.0,0.288,0.382,0.482,0.864,0.424,0.09,0.319,0.233,0.43,0.337,0.31,0.138
Wellmir Lara,Not in Fantrax,CIN,Dominican Summer League,R,Yes,17.0,,40.0,7.4,3.1,103.7,98.8,53.6,111.9,154.9,60.8,97.0,110.1,112.7,21.7,125.0,35.0,1.0,19.0,24.0,11.0,5.0,0.28,0.391,0.384,0.775,0.386,0.139,0.252,0.284,0.469,0.247,0.25,0.05
Jacob Amaya,Available,ARI,Pacific Coast League,AAA,Yes,27.0,,70.0,6.9,3.5,99.2,90.5,86.3,110.3,132.9,134.7,88.0,110.1,116.0,41.1,245.0,62.0,8.0,47.0,36.0,2.0,0.0,0.253,0.361,0.42,0.781,0.323,0.143,0.249,0.333,0.421,0.246,0.048,0.19
Luiyin Alastre,Available,MIL,Midwest League,A+,Yes,20.0,,76.0,5.0,2.9,110.2,67.4,209.4,78.3,115.3,15.5,75.0,110.1,112.8,46.1,220.0,43.0,1.0,28.0,28.0,6.0,8.0,0.195,0.349,0.277,0.626,0.236,0.186,0.161,0.259,0.483,0.259,0.244,0.022
Ivan Tatis,Available,LAA,Arizona Complex League,CPX,Yes,20.0,,7.0,1.4,1.3,98.0,19.5,131.6,42.6,165.4,100.0,44.0,110.1,126.3,0.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.111,0.333,0.111,0.444,0.167,0.25,0.25,0.333,0.667,0.0,0.0,0.0
Jaxson West,Available,TOR,Florida State League,A,No,22.0,,9.0,9.9,3.8,95.2,142.1,71.2,78.0,160.7,140.1,173.0,110.0,123.1,4.8,34.0,15.0,1.0,9.0,6.0,1.0,1.0,0.441,0.459,0.588,1.048,0.5,0.054,0.162,0.379,0.448,0.172,0.2,0.2
Kaden Carpenter,Available,TEX,Carolina League,A,Yes,23.0,,31.0,9.4,3.4,88.2,136.3,103.1,147.9,110.8,218.8,135.0,110.0,118.2,22.0,105.0,24.0,6.0,30.0,18.0,8.0,2.0,0.229,0.393,0.476,0.869,0.273,0.178,0.252,0.261,0.406,0.333,0.043,0.261
Brett Callahan,Skrrt vs The World (ACTIVE),DET,Eastern League,AA,No,24.0,,60.0,10.0,3.7,98.0,160.8,133.0,149.9,95.1,165.0,133.0,110.0,111.1,56.4,224.0,60.0,12.0,48.0,39.0,20.0,4.0,0.268,0.374,0.504,0.878,0.302,0.128,0.208,0.219,0.426,0.355,0.2,0.2
Dustin Harris,Available,SD,International League,AAA,Yes,26.0,,45.0,8.6,3.5,100.7,128.0,110.2,143.5,116.4,105.6,124.0,110.0,110.2,38.4,157.0,49.0,6.0,32.0,26.0,9.0,4.0,0.312,0.396,0.49,0.886,0.364,0.104,0.191,0.276,0.398,0.325,0.15,0.15
Welbyn Francisca,Available,CLE,Midwest League,A+,Yes,20.0,,65.0,9.7,3.9,110.2,130.7,92.7,105.6,98.9,175.8,123.0,110.0,108.8,63.0,253.0,70.0,17.0,46.0,49.0,11.0,2.0,0.277,0.356,0.538,0.894,0.303,0.111,0.221,0.222,0.418,0.36,0.206,0.25
Angel De Los Santos,Available,DET,Florida Complex League,CPX,No,18.0,,51.0,9.3,3.5,107.6,133.9,68.4,147.6,122.2,78.0,111.0,110.0,104.7,55.9,179.0,54.0,6.0,42.0,27.0,20.0,4.0,0.302,0.373,0.475,0.847,0.343,0.078,0.176,0.266,0.336,0.399,0.246,0.105
Handelfry Encarnacion,Available,MIL,Carolina League,A,Yes,19.0,,111.0,9.1,3.9,106.8,131.1,154.9,96.3,110.8,96.4,111.0,110.0,112.6,104.6,432.0,108.0,12.0,75.0,71.0,27.0,13.0,0.25,0.379,0.405,0.784,0.289,0.162,0.177,0.261,0.424,0.315,0.24,0.115
Carlos  Garces,Available,CLE,Arizona Complex League,CPX,Yes,19.0,,53.0,7.4,2.4,103.2,106.0,205.1,150.7,95.4,36.8,110.0,110.0,107.4,38.8,127.0,31.0,2.0,30.0,15.0,26.0,5.0,0.244,0.417,0.354,0.771,0.287,0.174,0.151,0.192,0.424,0.384,0.237,0.053
Dylan Palmer,Available,PIT,South Atlantic League,A+,Yes,22.0,,60.0,7.4,3.4,99.9,99.9,216.4,132.9,115.5,0.0,108.0,110.0,112.1,38.4,204.0,64.0,0.0,44.0,20.0,16.0,8.0,0.314,0.397,0.392,0.789,0.362,0.119,0.123,0.269,0.514,0.217,0.237,0.0
Santiago Almao,Available,TEX,Arizona Complex League,CPX,Yes,18.0,,43.0,6.3,3.0,108.9,90.2,292.2,93.4,89.9,0.0,88.0,110.0,111.5,38.0,128.0,37.0,0.0,25.0,17.0,5.0,3.0,0.289,0.384,0.344,0.728,0.319,0.131,0.092,0.181,0.491,0.328,0.211,0.0
Julio Acosta,Available,CHC,Dominican Summer League,R,Yes,18.0,,40.0,7.0,2.7,97.9,93.3,32.4,96.5,124.9,257.8,85.0,110.0,118.7,30.6,109.0,26.0,7.0,19.0,19.0,14.0,2.0,0.239,0.333,0.459,0.792,0.292,0.109,0.31,0.229,0.3,0.471,0.212,0.212
Victor Duarte,Available,SDP,Pacific Coast League,AAA,Yes,25.0,,12.0,5.2,3.0,107.2,67.7,19.3,96.8,132.9,177.2,68.0,110.0,112.2,7.2,36.0,9.0,2.0,4.0,4.0,2.0,0.0,0.25,0.289,0.444,0.734,0.368,0.049,0.366,0.333,0.286,0.381,0.125,0.25
Gage Miller,Available,MIA,International League,AAA,Yes,23.0,,45.0,7.5,3.1,113.8,112.4,160.6,86.1,95.3,107.0,139.0,109.9,108.9,43.8,138.0,37.0,7.0,24.0,23.0,7.0,3.0,0.268,0.4,0.486,0.886,0.297,0.153,0.182,0.226,0.34,0.434,0.326,0.152
Jose Cordoba,Available,STL,Texas League,AA,Yes,23.0,,9.0,10.9,3.7,103.7,149.0,79.7,131.0,76.2,282.0,135.0,109.9,109.5,7.7,33.0,9.0,4.0,8.0,7.0,2.0,0.0,0.273,0.314,0.667,0.981,0.217,0.056,0.167,0.185,0.481,0.333,0.333,0.444
Coby Morales,Available,NYY,Eastern League,AA,Yes,24.0,,125.0,8.4,3.6,98.0,134.4,105.2,120.7,112.5,176.5,130.0,109.9,115.0,93.3,451.0,127.0,21.0,83.0,81.0,21.0,10.0,0.282,0.372,0.483,0.855,0.348,0.128,0.247,0.259,0.434,0.306,0.133,0.214
Reed Trimble,Available,BAL,International League,AAA,Yes,26.0,,15.0,10.9,3.7,100.7,163.3,43.3,190.7,79.3,251.4,128.0,109.9,103.4,11.8,55.0,13.0,5.0,13.0,16.0,3.0,0.0,0.236,0.328,0.6,0.928,0.296,0.109,0.375,0.188,0.375,0.438,0.357,0.357
Luis Cova,Available,MIA,Florida Complex League,CPX,No,19.0,,19.0,11.0,3.5,101.9,158.8,118.6,113.5,130.0,78.0,122.0,109.9,113.3,20.6,66.0,19.0,2.0,18.0,8.0,14.0,3.0,0.288,0.405,0.455,0.86,0.34,0.152,0.177,0.283,0.304,0.413,0.263,0.105
Santiago Yanes,Available,BOS,Dominican Summer League,R,Yes,17.0,,41.0,9.2,2.9,103.7,123.4,142.9,127.2,104.2,110.6,111.0,109.9,110.2,34.5,118.0,29.0,3.0,34.0,29.0,11.0,3.0,0.246,0.424,0.381,0.805,0.28,0.215,0.152,0.191,0.438,0.371,0.273,0.091
Ramiro Dominguez,Available,MIN,Florida State League,A,No,19.0,,90.0,8.3,3.9,110.2,119.1,114.1,118.0,116.6,65.9,101.0,109.9,106.9,95.3,350.0,83.0,9.0,60.0,47.0,26.0,6.0,0.237,0.349,0.391,0.74,0.277,0.109,0.184,0.275,0.368,0.357,0.344,0.094
Brock Jones,Available,TB,International League,AAA,Yes,25.0,,54.0,5.1,2.8,104.7,75.5,37.4,186.6,113.0,112.7,74.0,109.9,101.2,24.3,149.0,30.0,4.0,27.0,13.0,15.0,4.0,0.201,0.316,0.342,0.658,0.377,0.115,0.415,0.268,0.38,0.352,0.28,0.16
Braulio Cavero,Available,TEX,Arizona Complex League,CPX,Yes,20.0,,7.0,14.0,3.6,98.0,201.4,190.6,68.8,71.0,346.7,229.0,109.8,122.2,3.6,25.0,12.0,2.0,7.0,8.0,0.0,0.0,0.48,0.552,0.88,1.432,0.526,0.138,0.138,0.143,0.667,0.19,0.25,0.5
Caden Bodine,Je suis Charlie Morton (MINORS),TB,Carolina League,A,No,22.0,,33.0,11.0,4.0,92.2,159.8,519.4,82.5,101.1,93.0,176.0,109.8,124.3,44.3,132.0,50.0,5.0,27.0,27.0,1.0,1.0,0.379,0.433,0.614,1.047,0.363,0.092,0.039,0.238,0.405,0.357,0.222,0.111
Wilberson De Pena,The Hot and Steamy Boys (MINORS),NYY,Florida Complex League,CPX,No,19.0,,56.0,13.8,4.0,101.9,200.0,52.4,118.4,116.7,198.3,152.0,109.8,112.4,57.5,226.0,81.0,16.0,46.0,67.0,23.0,7.0,0.358,0.411,0.677,1.088,0.401,0.069,0.198,0.254,0.391,0.355,0.2,0.267
Moises Acacio,Available,LAD,Arizona Complex League,CPX,Yes,18.0,,25.0,9.4,3.0,108.9,135.5,166.1,59.0,113.3,109.6,145.0,109.8,116.0,20.3,75.0,26.0,3.0,18.0,25.0,1.0,2.0,0.347,0.43,0.573,1.004,0.377,0.103,0.126,0.228,0.439,0.333,0.316,0.158
Alexey Lumpuy,Available,CHC,Midwest League,A+,Yes,22.0,,25.0,10.2,3.6,100.2,138.1,43.7,163.8,122.9,132.2,142.0,109.8,107.3,15.7,91.0,31.0,3.0,17.0,16.0,13.0,2.0,0.341,0.4,0.549,0.949,0.491,0.08,0.31,0.276,0.448,0.276,0.25,0.188
Woody Hadeen,Available,DET,Midwest League,A+,No,23.0,,57.0,9.4,3.7,95.9,126.7,158.0,131.0,142.9,0.0,134.0,109.8,114.9,43.8,212.0,67.0,0.0,58.0,27.0,16.0,2.0,0.316,0.437,0.396,0.833,0.399,0.152,0.179,0.321,0.418,0.261,0.14,0.0
Maikel Garcia,Skrrt vs The World (INJURED_RESERVE),KC,Texas League,AA,Yes,26.0,,4.0,7.4,3.2,91.8,100.9,317.1,120.0,112.5,0.0,127.0,109.8,119.4,1.0,13.0,4.0,0.0,5.0,0.0,1.0,0.0,0.308,0.438,0.385,0.822,0.364,0.188,0.125,0.273,0.636,0.091,0.0,0.0
Enddy Azocar,Je suis Charlie Morton (MINORS),BAL,Carolina League,A,No,19.0,,39.0,9.5,4.3,106.8,137.1,54.6,137.6,121.9,114.0,122.0,109.8,106.4,43.7,166.0,49.0,6.0,31.0,26.0,7.0,2.0,0.295,0.344,0.53,0.875,0.355,0.067,0.222,0.287,0.352,0.361,0.25,0.136
Anthony Seigler,Available,BOS,International League,AAA,Yes,27.0,,42.0,7.9,3.6,96.9,118.6,194.0,100.5,123.5,64.1,121.0,109.8,118.5,32.2,151.0,42.0,3.0,21.0,27.0,4.0,3.0,0.278,0.397,0.43,0.827,0.325,0.163,0.163,0.293,0.439,0.268,0.152,0.091
Cole Mathis,Skrrt vs The World (MINORS),NYM,Midwest League,A+,Yes,22.0,,25.0,10.2,3.8,100.2,138.4,114.1,140.1,127.3,66.1,119.0,109.8,110.7,31.5,96.0,25.0,3.0,22.0,22.0,4.0,2.0,0.26,0.371,0.49,0.86,0.319,0.147,0.224,0.286,0.257,0.457,0.313,0.094
Gabriel Rincones Jr.,Available,PHI,Florida State League,A,No,25.0,,7.0,8.3,3.4,83.7,119.1,141.1,108.9,117.9,233.3,112.0,109.8,126.5,2.8,24.0,6.0,1.0,7.0,4.0,1.0,0.0,0.25,0.379,0.417,0.796,0.294,0.172,0.207,0.278,0.556,0.167,0.0,0.333
Kristian Robinson,Available,ARI,Pacific Coast League,AAA,Yes,25.0,,110.0,7.8,3.6,107.2,102.6,69.6,143.3,103.0,152.4,100.0,109.8,105.3,62.0,397.0,108.0,14.0,76.0,55.0,22.0,5.0,0.272,0.381,0.441,0.821,0.373,0.139,0.284,0.258,0.496,0.246,0.169,0.215
Carlos Rodríguez,Available,SDP,Pacific Coast League,AAA,Yes,25.0,,114.0,8.6,3.9,107.2,112.8,178.4,127.8,105.0,36.1,98.0,109.8,107.5,115.9,442.0,139.0,6.0,60.0,72.0,21.0,5.0,0.314,0.377,0.432,0.809,0.342,0.096,0.106,0.263,0.439,0.298,0.154,0.051
Jayden Lobliner,Available,STL,Florida State League,A,Yes,22.0,,14.0,6.3,3.6,95.2,90.9,17.0,67.2,135.7,311.1,89.0,109.8,124.5,7.9,50.0,11.0,4.0,6.0,10.0,1.0,0.0,0.22,0.278,0.46,0.738,0.318,0.056,0.444,0.32,0.32,0.36,0.222,0.444
Pedro León,Available,PHI,International League,AAA,Yes,28.0,,12.0,8.5,3.8,93.5,127.0,48.1,198.9,171.6,0.0,86.0,109.8,107.1,5.2,46.0,13.0,0.0,9.0,4.0,8.0,0.0,0.283,0.358,0.326,0.685,0.464,0.113,0.358,0.407,0.407,0.185,0.4,0.0
Sam Petersen,Available,WSH,International League,AAA,Yes,23.0,,26.0,6.5,3.7,113.8,97.7,41.0,151.7,107.1,111.3,85.0,109.8,99.5,18.4,97.0,22.0,3.0,13.0,15.0,4.0,0.0,0.227,0.318,0.381,0.7,0.333,0.081,0.333,0.254,0.424,0.322,0.105,0.158
Ronny Cruz,Hand Foot Mouth Disease Guys (MINORS),WSH,Carolina League,A,No,19.0,,14.0,16.5,3.6,106.8,238.3,95.1,165.1,74.7,193.6,184.0,109.7,102.4,12.6,51.0,17.0,3.0,16.0,14.0,15.0,3.0,0.333,0.46,0.627,1.088,0.424,0.143,0.238,0.176,0.441,0.382,0.231,0.231
Rainiel Rodriguez,Cant Park Here (MINORS),STL,Midwest League,A+,No,19.0,,28.0,10.1,3.8,116.0,137.3,145.9,112.8,92.2,78.1,146.0,109.7,103.3,34.2,106.0,33.0,4.0,23.0,21.0,4.0,1.0,0.311,0.43,0.519,0.949,0.372,0.148,0.188,0.207,0.354,0.439,0.333,0.111
Hayden Gilliland,Available,LAD,Texas League,AA,Yes,24.0,,13.0,9.0,3.4,99.4,122.6,68.1,22.1,127.7,317.6,143.0,109.7,127.6,5.6,44.0,13.0,3.0,7.0,13.0,0.0,0.0,0.295,0.38,0.568,0.948,0.37,0.1,0.28,0.31,0.483,0.207,0.0,0.5
Ralphy Velazquez,Cant Park Here (MINORS),CLE,International League,AAA,Yes,21.0,,81.0,8.7,3.8,124.6,130.1,100.8,61.5,90.6,150.7,132.0,109.7,104.5,93.7,304.0,84.0,22.0,51.0,60.0,1.0,0.0,0.276,0.364,0.539,0.903,0.292,0.108,0.21,0.215,0.343,0.442,0.175,0.214
Osmar Torrealba,Available,CLE,Dominican Summer League,R,Yes,19.0,,33.0,7.6,2.6,92.8,101.1,174.8,121.1,124.9,81.5,124.0,109.7,118.4,15.6,87.0,24.0,1.0,23.0,18.0,5.0,2.0,0.276,0.452,0.402,0.854,0.315,0.174,0.113,0.229,0.557,0.214,0.267,0.067
Matthew Miura,Available,STL,Florida State League,A,Yes,22.0,,60.0,8.7,3.5,95.2,124.9,257.7,112.5,103.5,52.5,119.0,109.7,117.8,41.7,208.0,58.0,3.0,36.0,31.0,22.0,5.0,0.279,0.403,0.375,0.778,0.314,0.162,0.123,0.244,0.518,0.238,0.2,0.075
Will Turner,Available,BOS,Eastern League,AA,Yes,23.0,,95.0,7.1,3.2,102.3,113.6,143.0,122.7,100.8,136.1,108.0,109.7,111.5,85.4,308.0,59.0,15.0,65.0,36.0,18.0,6.0,0.192,0.369,0.396,0.765,0.227,0.204,0.251,0.232,0.329,0.44,0.297,0.165
Tony Santa Maria,Available,TB,International League,AAA,Yes,24.0,,13.0,6.7,3.2,109.1,100.5,104.1,106.6,116.4,100.7,71.0,109.7,109.0,7.0,42.0,8.0,1.0,6.0,8.0,3.0,1.0,0.19,0.32,0.31,0.63,0.241,0.14,0.24,0.276,0.483,0.241,0.143,0.143
Santiago Gomez,Available,NYY,Eastern League,AA,Yes,22.0,,7.0,2.9,1.1,106.9,46.9,194.4,38.9,144.7,0.0,202.0,109.6,119.7,3.0,8.0,3.0,0.0,2.0,1.0,0.0,0.0,0.375,0.5,0.625,1.125,0.5,0.2,0.2,0.333,0.167,0.5,0.333,0.0
