Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,AB/G,Age+,FG/G+,Approach+,Speed+,LD%+,HR/FB+,wRC+,5 Tool+,Hitter+,Est FB,AB,H,HR,R,RBI,SB,CS,BA,OBP,SLP,OPS,BABIP,BB%,K%,LD%,GB%,FB%,IFFB%,HR/FB%
Edgardo Figueroa,Available,WSH,Eastern League,AA,Yes,18.0,,1.0,12.0,1.0,130.7,192.1,100.0,99.3,434.5,100.0,891.0,126.3,122.6,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ace Reese,Available,SEA,California League,A,Yes,21.0,2026,21.0,12.6,3.6,100.0,162.8,327.5,73.8,176.9,127.9,195.0,126.0,147.1,18.0,75.0,33.0,3.0,21.0,19.0,2.0,0.0,0.44,0.53,0.667,1.197,0.462,0.19,0.12,0.4,0.323,0.277,0.0,0.167
Mike Sirota,Third Degree Burnes (MINORS),LAD,Midwest League,A+,No,23.0,,35.0,11.1,3.5,95.9,149.9,141.4,132.9,158.5,234.2,179.0,125.1,140.3,19.3,123.0,40.0,7.0,37.0,22.0,8.0,1.0,0.325,0.478,0.602,1.08,0.413,0.201,0.226,0.356,0.402,0.241,0.0,0.333
Stanley Tucker,Available,BOS,Eastern League,AA,Yes,24.0,,6.0,11.5,2.3,98.0,184.1,247.6,146.1,118.6,206.2,251.0,124.9,136.6,4.0,14.0,6.0,1.0,5.0,4.0,3.0,0.0,0.429,0.529,0.857,1.387,0.455,0.118,0.118,0.273,0.364,0.364,0.0,0.25
Daniel Susac,Available,SF,Pacific Coast League,AAA,Yes,25.0,,8.0,14.6,3.5,107.2,190.9,314.0,102.6,95.8,236.0,248.0,124.8,136.1,8.3,28.0,13.0,3.0,7.0,9.0,2.0,0.0,0.464,0.545,0.821,1.367,0.435,0.091,0.061,0.24,0.4,0.36,0.222,0.333
Cam Cannarella,Ben the Hen (MINORS),MIA,International League,AAA,Yes,22.0,,36.0,8.2,3.8,119.0,123.0,109.0,116.9,164.0,117.6,144.0,124.5,125.4,17.8,137.0,42.0,3.0,27.0,10.0,11.0,1.0,0.307,0.424,0.46,0.884,0.415,0.152,0.242,0.389,0.421,0.189,0.0,0.167
Theo Gillen,The Hot and Steamy Boys (MINORS),TB,Southern League,AA,Yes,20.0,,55.0,10.6,3.8,118.3,153.8,146.9,142.0,123.6,160.5,142.0,124.5,122.2,35.3,211.0,62.0,9.0,42.0,43.0,16.0,5.0,0.294,0.402,0.512,0.914,0.346,0.143,0.198,0.287,0.481,0.231,0.054,0.243
Sebastian Walcott,Skrrt vs The World (MINORS),TEX,Texas League,AA,Yes,20.0,,32.0,11.2,4.1,119.3,153.1,104.9,123.6,144.6,153.7,151.0,124.4,124.0,30.3,130.0,41.0,8.0,39.0,18.0,8.0,0.0,0.315,0.399,0.6,0.999,0.371,0.115,0.223,0.351,0.309,0.34,0.424,0.242
Dustin Harris,Available,SD,Pacific Coast League,AAA,Yes,26.0,,29.0,13.1,4.1,103.0,171.6,232.4,162.6,129.4,114.8,149.0,124.4,129.8,35.9,120.0,42.0,6.0,25.0,26.0,10.0,1.0,0.35,0.422,0.617,1.039,0.353,0.104,0.089,0.324,0.324,0.352,0.027,0.162
Sebastian Walcott,Skrrt vs The World (MINORS),TEX,Arizona Complex League,CPX,No,20.0,,2.0,15.8,3.0,98.0,226.6,75.2,122.9,248.4,693.5,278.0,124.3,138.7,0.0,6.0,3.0,1.0,4.0,1.0,1.0,0.0,0.5,0.571,1.167,1.738,0.667,0.143,0.286,0.5,0.5,0.0,0.0,1.0
JoJo Parker,Third Degree Burnes (MINORS),TOR,Northwest League,A+,Yes,19.0,,21.0,8.6,3.8,118.1,120.8,185.3,151.4,150.4,0.0,140.0,124.2,120.7,10.0,79.0,25.0,0.0,17.0,7.0,6.0,1.0,0.316,0.443,0.418,0.861,0.41,0.175,0.186,0.344,0.492,0.164,0.3,0.0
Jake Fox,Available,CLE,Eastern League,AA,Yes,23.0,,40.0,8.4,3.1,102.3,135.1,288.2,122.7,149.0,33.0,162.0,124.0,135.2,25.0,123.0,42.0,1.0,25.0,23.0,6.0,4.0,0.341,0.465,0.488,0.953,0.402,0.195,0.145,0.343,0.412,0.245,0.12,0.04
Luke Adams,Cant Park Here (MINORS),MIL,International League,AAA,Yes,22.0,,67.0,8.5,3.2,119.0,126.4,211.7,127.1,105.4,154.9,148.0,123.9,122.9,54.6,212.0,55.0,13.0,48.0,38.0,7.0,2.0,0.259,0.418,0.509,0.928,0.258,0.143,0.14,0.25,0.415,0.335,0.373,0.22
Trey Ebel,Available,MIL,Carolina League,A,Yes,17.0,,13.0,7.1,3.2,119.4,102.4,160.5,68.8,141.4,167.6,111.0,123.8,130.7,5.2,42.0,8.0,1.0,9.0,5.0,2.0,1.0,0.19,0.424,0.286,0.709,0.25,0.271,0.22,0.333,0.481,0.185,0.2,0.2
Jose Alpuria,Available,ARI,Northwest League,A+,Yes,21.0,,6.0,8.3,2.8,106.8,116.8,687.9,105.0,93.6,223.3,160.0,123.7,134.1,3.0,17.0,4.0,1.0,5.0,1.0,2.0,1.0,0.235,0.48,0.471,0.951,0.214,0.28,0.08,0.214,0.571,0.214,0.0,0.333
Kevin Rivas,Available,CLE,Eastern League,AA,No,23.0,,5.0,4.9,2.2,102.3,78.5,32.4,146.1,173.8,274.7,82.0,123.7,131.5,3.0,11.0,2.0,1.0,2.0,2.0,1.0,0.0,0.182,0.25,0.455,0.705,0.2,0.083,0.417,0.4,0.0,0.6,0.333,0.333
Michael Martinez,Available,ATL,Florida Complex League,CPX,No,19.0,,11.0,12.5,2.9,101.9,180.5,278.0,66.5,114.8,247.3,200.0,123.6,142.7,10.7,32.0,12.0,4.0,10.0,10.0,2.0,1.0,0.375,0.522,0.781,1.303,0.32,0.217,0.109,0.25,0.321,0.429,0.25,0.333
Luis Lara,Daddy Yankee (ACTIVE),MIL,International League,AAA,Yes,21.0,,78.0,9.9,3.7,124.6,147.9,228.3,147.6,96.1,91.5,144.0,123.6,115.5,67.2,287.0,92.0,9.0,67.0,42.0,24.0,7.0,0.321,0.432,0.47,0.902,0.359,0.156,0.139,0.228,0.481,0.291,0.232,0.13
A.J. Ewing,Je suis Charlie Morton (ACTIVE),NYM,Eastern League,AA,No,21.0,,18.0,11.9,3.5,112.0,190.8,222.2,171.4,97.3,150.1,184.0,123.5,120.8,10.5,63.0,22.0,2.0,16.0,7.0,12.0,1.0,0.349,0.481,0.571,1.053,0.426,0.21,0.185,0.224,0.551,0.224,0.0,0.182
Mitch Voit,Third Degree Burnes (MINORS),NYM,Eastern League,AA,Yes,21.0,,26.0,11.4,4.0,112.0,182.9,145.4,149.9,155.5,63.5,170.0,123.5,123.9,25.7,104.0,37.0,2.0,31.0,17.0,7.0,1.0,0.356,0.446,0.548,0.994,0.438,0.115,0.18,0.358,0.321,0.321,0.308,0.077
Josh Smith,Available,TEX,Texas League,AA,No,28.0,,2.0,13.8,2.0,85.2,188.2,351.4,48.0,137.2,635.2,339.0,123.3,156.4,0.7,4.0,2.0,1.0,3.0,2.0,0.0,0.0,0.5,0.714,1.25,1.964,0.5,0.286,0.143,0.333,0.333,0.333,0.0,1.0
Abraham Bastidas,Available,SD,Dominican Summer League,R,No,19.0,,10.0,17.2,3.0,92.8,230.7,121.4,133.3,143.5,607.9,193.0,123.3,139.3,5.7,30.0,9.0,3.0,18.0,14.0,4.0,1.0,0.3,0.571,0.667,1.238,0.333,0.245,0.184,0.263,0.421,0.316,0.333,0.5
Yostin Pena,Hand Foot Mouth Disease Guys (MINORS),NYY,Florida State League,A,Yes,18.0,,24.0,12.4,4.0,116.3,178.8,117.9,163.4,114.1,191.3,141.0,123.2,118.5,21.1,96.0,31.0,6.0,22.0,23.0,10.0,2.0,0.323,0.389,0.552,0.941,0.333,0.083,0.148,0.269,0.449,0.282,0.273,0.273
Angel Genao,Je suis Charlie Morton (MINORS),CLE,Eastern League,AA,No,22.0,,24.0,7.9,3.5,106.9,126.4,220.3,81.8,122.1,225.2,133.0,123.2,136.4,11.0,85.0,23.0,3.0,17.0,11.0,2.0,0.0,0.271,0.418,0.412,0.83,0.313,0.2,0.182,0.281,0.547,0.172,0.091,0.273
Yeferson Portolatin,Available,STL,Florida Complex League,CPX,Yes,18.0,,10.0,9.3,2.7,107.6,135.0,564.0,89.2,191.5,0.0,177.0,123.1,134.9,9.0,27.0,10.0,0.0,10.0,1.0,4.0,1.0,0.37,0.585,0.407,0.993,0.417,0.341,0.073,0.417,0.208,0.375,0.222,0.0
Pablo Martinez,Available,HOU,Dominican Summer League,R,No,18.0,,10.0,9.8,2.7,97.9,130.4,765.1,136.4,159.3,0.0,136.0,123.1,134.9,9.8,27.0,9.0,0.0,5.0,4.0,6.0,0.0,0.333,0.471,0.444,0.915,0.346,0.171,0.029,0.292,0.333,0.375,0.333,0.0
Moises Acacio,Available,LAD,Dominican Summer League,R,No,18.0,,6.0,13.6,3.2,97.9,181.6,258.0,91.9,102.6,404.9,174.0,123.0,141.0,5.2,19.0,6.0,2.0,7.0,4.0,2.0,0.0,0.316,0.519,0.684,1.203,0.286,0.286,0.107,0.188,0.438,0.375,0.167,0.333
Wyatt Sanford,Lászlaró Tóth (MINORS),PIT,South Atlantic League,A+,Yes,20.0,,72.0,11.3,3.8,109.9,151.9,80.2,154.2,124.9,251.2,147.0,122.8,123.6,39.5,274.0,80.0,17.0,73.0,42.0,33.0,1.0,0.292,0.423,0.551,0.974,0.399,0.141,0.293,0.291,0.459,0.25,0.047,0.395
August Cuneo,Available,HOU,Florida Complex League,CPX,No,18.0,,19.0,8.9,2.2,107.6,128.1,159.6,63.3,202.1,185.7,187.0,122.7,137.7,4.3,42.0,12.0,1.0,16.0,13.0,2.0,2.0,0.286,0.571,0.452,1.024,0.407,0.329,0.2,0.44,0.4,0.16,0.0,0.25
Edwin Arroyo,Daddy Yankee (MINORS),CIN,International League,AAA,Yes,22.0,,72.0,9.6,4.0,119.0,143.1,98.3,164.0,129.9,123.9,137.0,122.4,115.3,79.7,285.0,88.0,15.0,53.0,43.0,13.0,0.0,0.309,0.377,0.547,0.924,0.343,0.085,0.183,0.308,0.317,0.374,0.153,0.176
Xavier Isaac,Skrrt vs The World (MINORS),TB,International League,AAA,Yes,22.0,,10.0,9.2,3.4,119.0,136.7,90.7,116.9,120.6,234.5,171.0,122.3,121.7,7.7,34.0,10.0,3.0,9.0,4.0,2.0,0.0,0.294,0.442,0.618,1.06,0.389,0.186,0.302,0.286,0.286,0.429,0.0,0.333
Daniel Bastardo,Not in Fantrax,CHC,Dominican Summer League,R,Yes,17.0,,7.0,13.9,2.9,103.7,185.3,69.7,153.2,126.0,304.0,146.0,122.3,127.2,5.2,20.0,6.0,1.0,9.0,6.0,5.0,0.0,0.3,0.417,0.65,1.067,0.294,0.042,0.083,0.231,0.462,0.308,0.25,0.25
Sebastian Dos Santos,Daddy Yankee (MINORS),STL,Florida Complex League,CPX,No,18.0,,27.0,10.4,3.2,107.6,149.5,94.6,139.5,129.1,247.3,142.0,122.3,126.3,17.1,87.0,23.0,6.0,23.0,16.0,10.0,3.0,0.264,0.429,0.586,1.015,0.315,0.196,0.241,0.281,0.404,0.316,0.167,0.333
Jonah Advincula,Available,CLE,Eastern League,AA,Yes,25.0,,9.0,12.9,3.1,94.1,207.3,245.6,146.1,108.6,225.2,201.0,122.2,134.7,9.6,28.0,9.0,3.0,10.0,7.0,4.0,0.0,0.321,0.424,0.75,1.174,0.286,0.121,0.121,0.25,0.292,0.458,0.182,0.273
Trey Paige,Available,STL,International League,AAA,Yes,25.0,,5.0,9.6,3.6,104.7,143.4,100.0,45.1,164.0,352.1,180.0,122.2,141.5,1.9,18.0,7.0,1.0,4.0,3.0,0.0,0.0,0.389,0.421,0.667,1.088,0.353,0.053,0.0,0.389,0.5,0.111,0.0,0.5
Jesus Flores,Available,TEX,Dominican Summer League,R,Yes,17.0,,19.0,11.1,3.2,103.7,148.5,250.9,114.9,130.9,110.6,187.0,122.0,132.1,11.2,61.0,23.0,1.0,22.0,11.0,2.0,0.0,0.377,0.563,0.574,1.137,0.431,0.253,0.103,0.24,0.54,0.22,0.091,0.091
