Player Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Source Report,Source League ID,Level_advanced,PA_advanced,BB%,K%,BB/K,AVG_advanced,OBP_advanced,SLG,OPS_advanced,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,Source Report_advanced,Level_batted,PA_batted,BABIP_batted,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB%,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,Source Report_batted,League Name,League Level,FGPts_est,Fantasy Points Formula,FGPts_per_game,AB_per_game,BA,OBP,SLP,OPS,BB_K_ratio,BB_pct,K_pct,Approach_score,Speed_score,HR_FB_pct,Estimated BIP,Estimated FB,Team League Max G,Player Team Game Share
Marcos Torres,TEX,A,21,49,186,213,42,21,10,4,7,37,31,22,0,57,3,2,0,3,20,2,0.225806451,sa3018449,standard,9,A,213,0.103286384,0.267605633,0.385964912,0.225806451,0.31455399,0.43548387,0.75003786,0.209677419,9.801613232591382,0.282258064,2.6086127031594515,28.92269936075353,0.5398308472886045,0.3460427794098294,102.89117649556894,advanced,A,213,0.282258064,1.414634146,0.232558139,0.449612403,0.317829457,0.195121951,0.170731707,0.4351145,0.23664122,0.32824427,0.16223067,287.0,502.0,789.0,batted,Carolina League,A,453.5,fantrax_hitting_categories,9.255102040816327,3.795918367346939,0.22580645161290322,0.3145539906103286,0.43548387096774194,0.7500378615780705,0.38596491228070173,0.103286384,0.267605633,0.24281360747368416,9.801613232591382,0.170731707,124.0,39.410852668,50,0.98
Nicandro Aybar,TBR,A,21,32,112,124,24,20,3,1,0,13,9,9,0,16,1,2,0,0,6,2,0.214285714,sa3018544,standard,9,A,124,0.072580645,0.129032258,0.5625,0.214285714,0.274193548,0.258928571,0.533122119,0.044642857,6.466808827011265,0.244897959,-0.0306018870323896,8.385070025523481,-8.138290048042956,0.2610024680053034,53.79968086556877,advanced,A,124,0.244897959,1.88,0.265306122,0.479591836,0.25510204,0.24,0.0,0.42857143,0.25510204,0.31632653,0.08488613,178.0,305.0,483.0,batted,Carolina League,A,159.0,fantrax_hitting_categories,4.96875,3.5,0.21428571428571427,0.27419354838709675,0.25892857142857145,0.5331221198156681,0.5625,0.072580645,0.129032258,0.4490927420625,6.466808827011265,0.0,98.0,24.999999919999997,47,0.6808510638297872
Nick Peoples,WSN,A,21,41,133,168,25,15,3,2,5,22,21,24,0,59,8,2,1,1,7,5,0.187969924,sa3021582,standard,9,A,168,0.142857142,0.351190476,0.406779661,0.187969924,0.341317365,0.353383458,0.694700823,0.165413534,7.078867774783215,0.28169014,-1.395130201242864,21.89951648666431,-0.4869713549418242,0.3392647636864713,96.8895264862194,advanced,A,168,0.28169014,0.878787878,0.184210526,0.381578947,0.434210526,0.303030303,0.151515151,0.46052632,0.22368421,0.31578947,0.17867435,287.0,407.0,694.0,batted,Carolina League,A,252.5,fantrax_hitting_categories,6.158536585365853,3.2439024390243905,0.18796992481203006,0.3413173652694611,0.3533834586466165,0.6947008239160777,0.4067796610169492,0.142857142,0.351190476,0.205811138440678,7.078867774783215,0.151515151,71.0,30.828947346,48,0.8541666666666666
Raylin Ramos,BAL,A,21,35,124,140,27,14,9,3,1,13,15,13,0,30,2,0,1,2,4,2,0.217741935,sa3018561,standard,9,A,140,0.092857142,0.214285714,0.433333333,0.217741935,0.302158273,0.362903225,0.665061498,0.14516129,6.5602671125352625,0.279569892,-0.420552802272141,15.589793005656707,-3.0656135290150774,0.3155630368122951,86.71703005359127,advanced,A,140,0.279569892,2.041666666,0.206521739,0.532608695,0.260869565,0.125,0.041666666,0.48421053,0.23157895,0.28421053,0.1659751,155.0,327.0,482.0,batted,Carolina League,A,197.0,fantrax_hitting_categories,5.628571428571429,3.5428571428571427,0.21774193548387097,0.302158273381295,0.3629032258064516,0.6650614991877466,0.43333333333333335,0.092857142,0.214285714,0.3002380957333334,6.5602671125352625,0.041666666,93.0,24.260869545000002,46,0.7608695652173914
Ricardo Gonzalez,TBR,A,21,2,7,8,1,1,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0.142857142,sa3018529,standard,9,A,8,0.125,0.375,0.333333333,0.142857142,0.25,0.142857142,0.392857142,0.0,5.0,0.25,0.1799018215388059,0.2415286046404372,-0.8244946259122361,0.2143060564994812,25.678330461570734,advanced,A,8,0.25,2.0,0.25,0.5,0.25,0.0,0.0,0.25,0.0,0.75,0.12121212,13.0,20.0,33.0,batted,Carolina League,A,10.5,fantrax_hitting_categories,5.25,3.5,0.14285714285714285,0.25,0.14285714285714285,0.39285714285714285,0.3333333333333333,0.125,0.375,0.16666666666666666,5.0,0.0,4.0,1.0,47,0.0425531914893617
Victor Izturis,CLE,A,21,14,48,54,8,7,1,0,0,1,1,6,0,13,0,0,0,0,1,0,0.166666666,sa3018428,standard,9,A,54,0.111111111,0.24074074,0.461538461,0.166666666,0.259259259,0.1875,0.446759259,0.020833334,2.886241580217085,0.228571428,0.0693618236109614,2.4288808537372484,-4.766775952493297,0.2327550925590374,34.28292792338208,advanced,A,54,0.228571428,1.7,0.205882352,0.5,0.294117647,0.4,0.0,0.34285714,0.22857143,0.42857143,0.09259259,90.0,126.0,216.0,batted,Carolina League,A,31.5,fantrax_hitting_categories,2.25,3.4285714285714284,0.16666666666666666,0.25925925925925924,0.1875,0.44675925925925924,0.46153846153846156,0.111111111,0.24074074,0.29914529953846153,2.886241580217085,0.0,35.0,10.294117645,46,0.30434782608695654
Wady Mendez,TEX,A,21,18,57,68,11,8,1,1,1,5,8,10,0,21,1,0,0,1,0,2,0.192982456,sa3018615,standard,9,A,68,0.147058823,0.308823529,0.476190476,0.192982456,0.323529411,0.298245614,0.621775025,0.105263158,4.315476189880952,0.285714285,-1.1200619069859383,7.293838385094595,-1.767359074603129,0.3104563916430753,81.46046591780505,advanced,A,68,0.285714285,3.5,0.25,0.583333333,0.166666666,0.166666666,0.166666666,0.47222222,0.25,0.27777778,0.12627986,118.0,175.0,293.0,batted,Carolina League,A,75.0,fantrax_hitting_categories,4.166666666666667,3.1666666666666665,0.19298245614035087,0.3235294117647059,0.2982456140350877,0.6217750257997936,0.47619047619047616,0.147058823,0.308823529,0.25910364190476187,4.315476189880952,0.166666666,35.0,5.8333333099999995,50,0.36
Yosweld Vasquez,HOU,A,21,29,83,95,13,11,2,0,0,6,8,8,0,30,2,2,0,1,6,1,0.156626506,sa3022361,standard,9,A,95,0.084210526,0.315789473,0.266666666,0.156626506,0.242105263,0.180722891,0.422828154,0.024096385,5.32129495913025,0.236363636,0.5244045211002231,3.235308124682744,-9.423717738130252,0.2191275916601482,27.58979916909233,advanced,A,95,0.236363636,1.0,0.272727272,0.363636363,0.363636363,0.25,0.0,0.54545455,0.16363636,0.29090909,0.15915119,136.0,241.0,377.0,batted,Carolina League,A,94.5,fantrax_hitting_categories,3.2586206896551726,2.8620689655172415,0.1566265060240964,0.24210526315789474,0.18072289156626506,0.4228281547241598,0.26666666666666666,0.084210526,0.315789473,0.16000000026666666,5.32129495913025,0.0,55.0,19.999999965,44,0.6590909090909091
Adonys Guzman,BOS,A,22,6,17,23,4,2,2,0,0,2,2,4,0,4,1,1,0,0,0,0,0.235294117,sa3032892,standard,9,A,23,0.173913043,0.173913043,1.0,0.235294117,0.391304347,0.352941176,0.744245523,0.117647059,1.08035714,0.285714285,-0.0703436350449919,3.475052580347033,0.4102357925080968,0.3651327102080635,108.4149641418605,advanced,A,23,0.285714285,0.833333333,0.214285714,0.357142857,0.428571428,0.166666666,0.0,0.42857143,0.14285714,0.42857143,0.08421053,38.0,57.0,95.0,batted,Carolina League,A,30.0,fantrax_hitting_categories,5.0,2.8333333333333335,0.23529411764705882,0.391304347826087,0.35294117647058826,0.7442455242966752,1.0,0.173913043,0.173913043,0.652173914,1.08035714,0.0,14.0,5.999999991999999,45,0.13333333333333333
Alex Lodise,ATL,A,22,52,212,240,52,38,5,1,8,33,25,22,0,68,5,1,0,2,10,1,0.245283018,sa3036445,standard,9,A,240,0.091666666,0.283333333,0.323529411,0.245283018,0.329166666,0.391509433,0.720676099,0.146226415,6.329589605205568,0.321167883,0.8822445413097739,31.715484954440477,-0.2652119621397258,0.3415023580193519,100.2582656874536,advanced,A,240,0.321167883,0.868852459,0.197183098,0.373239436,0.429577464,0.262295081,0.13114754,0.36734694,0.29251701,0.34013605,0.12179487,359.0,577.0,936.0,batted,Carolina League,A,378.0,fantrax_hitting_categories,7.269230769230769,4.076923076923077,0.24528301886792453,0.32916666666666666,0.3915094339622642,0.7206761006289308,0.3235294117647059,0.091666666,0.283333333,0.20220588267647063,6.329589605205568,0.13114754,137.0,58.852112568,52,1.0
