Metric,wRC+ Correlation,N
FGPts_per_game,0.7656557606329447,4611
Approach_score,0.35920282424297206,4430
Speed_score,0.2162871458011154,4611
LD%,0.21351052651478866,4543
HR_FB_pct,0.4576147646756844,4543
