Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,AB/G,Age+,FG/G+,Approach+,Speed+,LD%+,HR/FB+,wRC+,5 Tool+,Hitter+,Est FB,AB,H,HR,R,RBI,SB,CS,BA,OBP,SLP,OPS,BABIP (Adv),BB%,K%,PA (Adv),BB/K,AVG (Adv),OBP (Adv),SLG (Adv),OPS (Adv),ISO,Spd,wSB,wRC,wRAA,wOBA,wRC+ (Adv),PA (Batted),BABIP (Batted),GB/FB,LD%,GB%,FB%,IFFB%,HR/FB%,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
Cris Rodriguez,Bobby and the NitWitts (MINORS),DET,Florida Complex League,CPX,No,18.0,,48.0,8.3,3.6,107.6,119.6,33.9,131.4,140.5,167.1,112.0,115.1,115.6,37.1,175.0,48.0,9.0,35.0,30.0,8.0,2.0,0.274,0.35,0.526,0.876,0.379,0.091,0.325,197.0,0.28,0.274,0.35,0.526,0.876,0.251,8.1,-0.1,35,2.9,0.396,112,197.0,0.379,0.93,0.306,0.333,0.36,0.025,0.225,0.434,0.345,0.221,0.178,262.0,461.0,723.0
Cris Rodriguez,Bobby and the NitWitts (MINORS),DET,Florida State League,A,Yes,18.0,,8.0,10.9,4.0,116.3,157.2,12.1,116.2,89.5,262.7,188.0,110.8,104.4,6.7,32.0,11.0,3.0,7.0,9.0,0.0,1.0,0.344,0.364,0.812,1.176,0.5,0.03,0.394,33.0,0.08,0.344,0.364,0.813,1.176,0.469,6.4,-0.5,9,4.1,0.499,188,33.0,0.5,0.88,0.211,0.368,0.421,0.0,0.375,0.474,0.474,0.053,0.242,38.0,86.0,124.0
Elian Peña,Bobby and the NitWitts (MINORS),NYM,Florida State League,A,No,18.0,,96.0,8.4,3.8,116.3,120.6,114.4,118.0,106.0,53.2,111.0,109.5,102.1,105.5,365.0,99.0,8.0,72.0,44.0,28.0,9.0,0.271,0.388,0.397,0.785,0.343,0.139,0.214,439.0,0.65,0.271,0.388,0.397,0.785,0.126,6.5,0.1,70,7.9,0.374,111,439.0,0.343,0.89,0.25,0.352,0.398,0.305,0.076,0.439,0.236,0.325,0.096,670.0,1040.0,1710.0
Miguel Hernández,Bobby and the NitWitts (MINORS),STL,Florida State League,A,Yes,18.0,,25.0,7.8,3.2,116.3,111.5,109.8,127.1,144.2,100.2,163.0,120.6,119.3,14.0,79.0,24.0,2.0,16.0,8.0,7.0,3.0,0.304,0.466,0.494,0.96,0.44,0.194,0.262,103.0,0.74,0.304,0.466,0.494,0.96,0.19,7.0,-0.4,23,8.7,0.453,163,103.0,0.44,1.36,0.34,0.38,0.28,0.214,0.143,0.51,0.176,0.314,0.113,176.0,223.0,399.0
Heriberto Hernández,Bobby and the NitWitts (ACTIVE),MIA,International League,AAA,Yes,26.0,,5.0,12.4,4.4,100.7,185.2,725.5,149.7,140.4,0.0,101.0,121.9,129.1,2.3,22.0,6.0,0.0,8.0,2.0,3.0,0.0,0.273,0.36,0.364,0.724,0.286,0.12,0.04,25.0,3.0,0.273,0.36,0.364,0.724,0.091,7.3,0.5,3,-0.1,0.337,101,25.0,0.286,5.0,0.333,0.556,0.111,1.0,0.0,0.7,0.15,0.15,0.083,42.0,54.0,96.0
Griffin Conine,Bobby and the NitWitts (ACTIVE),MIA,International League,AAA,Yes,28.0,,3.0,11.5,3.3,93.5,171.8,0.0,32.8,105.4,176.0,204.0,91.8,100.3,3.5,10.0,4.0,1.0,2.0,4.0,0.0,0.0,0.4,0.455,0.7,1.155,0.429,0.0,0.182,11.0,0.0,0.4,0.455,0.7,1.155,0.3,1.6,0.0,3,1.5,0.5,204,11.0,0.429,0.5,0.25,0.25,0.5,0.5,0.25,0.125,0.375,0.5,0.088,12.0,22.0,34.0
Carson Roccaforte,Bobby and the NitWitts (MINORS),KC,International League,AAA,Yes,24.0,,17.0,9.3,3.6,109.1,138.4,55.4,94.3,148.0,271.1,120.0,121.6,130.6,11.2,61.0,16.0,5.0,6.0,12.0,6.0,0.0,0.262,0.352,0.541,0.893,0.344,0.123,0.342,73.0,0.36,0.262,0.352,0.541,0.893,0.279,4.6,1.1,12,2.3,0.38,120,73.0,0.344,0.85,0.351,0.297,0.351,0.077,0.385,0.513,0.282,0.205,0.169,104.0,180.0,284.0
Max Clark,Bobby and the NitWitts (MINORS),DET,International League,AAA,Yes,21.0,,90.0,8.7,4.0,124.6,130.0,157.5,133.3,90.6,76.8,117.0,115.4,104.0,99.0,362.0,100.0,11.0,65.0,42.0,21.0,2.0,0.276,0.368,0.434,0.802,0.31,0.12,0.158,418.0,0.76,0.276,0.368,0.434,0.802,0.157,6.5,2.2,63,6.3,0.361,117,418.0,0.31,1.28,0.215,0.44,0.345,0.327,0.109,0.478,0.232,0.29,0.054,700.0,988.0,1688.0
Leo Bernal,Bobby and the NitWitts (MINORS),STL,International League,AAA,Yes,22.0,,101.0,8.6,3.7,119.0,128.3,116.6,94.3,107.1,108.4,115.0,112.2,108.0,98.9,374.0,104.0,16.0,67.0,77.0,9.0,7.0,0.278,0.363,0.468,0.831,0.318,0.118,0.199,432.0,0.59,0.278,0.363,0.468,0.831,0.19,4.6,-2.5,68,9.2,0.368,115,432.0,0.318,1.09,0.254,0.388,0.357,0.183,0.154,0.485,0.259,0.256,0.112,646.0,950.0,1596.0
Jasson Domínguez,Bobby and the NitWitts (MINORS),NYY,International League,AAA,Yes,23.0,,54.0,8.4,3.9,113.8,126.0,112.9,106.6,121.0,85.2,107.0,112.4,110.2,58.1,212.0,60.0,7.0,33.0,30.0,14.0,2.0,0.283,0.361,0.42,0.781,0.331,0.105,0.189,238.0,0.56,0.283,0.361,0.42,0.781,0.137,5.2,1.3,34,2.0,0.353,107,238.0,0.331,0.97,0.287,0.35,0.363,0.19,0.121,0.506,0.226,0.268,0.097,331.0,537.0,868.0
Kyle Stowers,Bobby and the NitWitts (ACTIVE),MIA,International League,AAA,Yes,28.0,,5.0,2.1,3.4,93.5,31.4,30.3,22.6,38.4,0.0,29.0,68.9,63.7,2.0,17.0,3.0,0.0,1.0,1.0,0.0,0.0,0.176,0.263,0.176,0.44,0.273,0.053,0.316,19.0,0.17,0.176,0.263,0.176,0.44,0.0,1.1,0.0,1,-1.9,0.224,29,19.0,0.273,4.0,0.091,0.727,0.182,0.0,0.0,0.636,0.0,0.364,0.211,25.0,46.0,71.0
Eugenio Suárez,Bobby and the NitWitts (ACTIVE),CIN,International League,AAA,Yes,34.0,,2.0,0.5,3.5,77.0,7.5,0.0,2.1,0.0,0.0,-2.0,50.2,46.8,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.143,0.143,0.286,0.429,0.25,0.0,0.429,7.0,0.0,0.143,0.143,0.286,0.429,0.143,0.1,0.0,0,-1.0,0.181,-2,7.0,0.25,1.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.115,7.0,19.0,26.0
