Player,Eligible,Status,Fantasy Points,Average Fantasy Points per Game,GP,AB_per_Game,hitter_score,batters_eye_score,barrel_batted_rate,oz_swing_percent,meatball_swing_percent,FPts_7d,FP/G_7d,hitter_score_7d,batters_eye_score_7d,barrel_batted_rate_7d,barrels_7d,oz_swing_percent_7d,meatball_swing_percent_7d,GP_7d,AB_per_Game_7d,Runs_7d,FPts_14d,FP/G_14d,hitter_score_14d,batters_eye_score_14d,barrel_batted_rate_14d,barrels_14d,oz_swing_percent_14d,meatball_swing_percent_14d,GP_14d,AB_per_Game_14d,Runs_14d,FPts_30d,FP/G_30d,hitter_score_30d,batters_eye_score_30d,barrel_batted_rate_30d,barrels_30d,oz_swing_percent_30d,meatball_swing_percent_30d,GP_30d,AB_per_Game_30d,Runs_30d,hitter_score_2025,batters_eye_score_2025,barrel_batted_rate_2025,oz_swing_percent_2025,meatball_swing_percent_2025
Heriberto Hernandez,LF,ACTIVE,571.5,6.02,95.0,3.275975503062117,1.62,1.26,12.6,25.3,81.9,39.0,7.8,1.62,0.96,20.0,2.0,14.0,75.0,5.0,3.6,2.0,57.5,5.23,1.16,0.72,14.29,3.0,24.07,83.33,11.0,3.73,4.0,141.0,5.88,0.92,0.5,13.21,7.0,25.88,76.47,24.0,3.79,10.0,1.21,1.16,11.0,21.5,80.5
Eugenio Suarez,3B,ACTIVE,495.0,5.21,95.0,3.547010101010101,0.64,0.05,11.5,30.4,74.3,51.5,7.36,0.59,1.51,0.0,0.0,17.39,100.0,7.0,3.29,2.0,110.5,8.5,1.56,1.05,16.13,5.0,28.44,100.0,13.0,3.23,5.0,142.0,5.92,1.59,1.06,16.0,8.0,27.54,92.59,24.0,3.42,7.0,0.67,-0.37,14.3,31.3,76.0
Andruw Monasterio,SS,ACTIVE,447.0,5.2,86.0,2.943176733780761,0.53,0.71,7.9,26.0,76.3,34.0,5.67,0.45,0.83,4.76,1.0,29.31,100.0,6.0,3.83,1.0,94.5,7.27,0.8,1.34,4.88,2.0,24.0,100.0,13.0,3.54,4.0,197.0,7.58,0.21,0.5,5.19,4.0,24.26,73.33,26.0,3.46,11.0,-0.54,-0.21,5.3,26.7,71.7
Griffin Conine,LF,ACTIVE,382.5,6.38,60.0,2.8188758169934642,1.38,-0.1,17.0,31.0,73.2,36.0,6.0,-1.02,-1.59,8.33,1.0,45.95,50.0,6.0,2.83,2.0,112.0,9.33,0.54,-0.79,20.0,5.0,28.74,50.0,12.0,3.0,7.0,183.5,7.06,1.4,0.51,18.52,10.0,24.28,73.68,26.0,3.0,13.0,1.71,1.09,14.8,22.5,81.0
Eduardo Valencia,1B,ACTIVE,169.5,8.48,20.0,2.901710914454277,2.61,0.04,24.4,32.0,76.2,38.0,7.6,0.57,0.57,9.09,1.0,28.12,88.89,5.0,3.4,2.0,56.0,7.0,2.59,0.68,31.25,5.0,26.0,85.71,8.0,3.0,3.0,131.0,9.36,1.96,0.58,24.24,8.0,29.03,84.21,14.0,3.29,9.0,,,,,
Nick Kurtz,1B,INJURED_RESERVE,814.5,8.23,99.0,3.5567341927562923,2.13,0.79,18.0,23.3,73.8,,,,,,,,,,,,,,,,,,,,,,,18.0,2.57,,,14.29,1.0,31.58,50.0,7.0,2.57,1.0,1.97,0.67,18.5,22.4,76.0
Curtis Mead,1B,INJURED_RESERVE,631.5,7.18,88.0,3.240380047505938,0.28,-0.35,10.9,25.1,62.6,,,,,,,,,,,,,,,,,,,,,,,6.0,1.5,,,0.0,0.0,20.0,25.0,4.0,2.5,1.0,-0.54,-0.04,4.5,27.7,75.0
Kyle Stowers,LF,INJURED_RESERVE,597.0,6.35,94.0,3.7334170854271354,0.85,0.38,11.4,32.8,81.3,,,,,,,,,,,,43.5,10.88,-0.48,0.16,0.0,0.0,23.33,66.67,4.0,3.75,2.0,135.0,7.5,0.37,0.07,10.64,5.0,31.37,76.47,18.0,3.78,8.0,2.23,0.92,19.1,27.9,86.2
Jurickson Profar,LF,INJURED_RESERVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.62,7.4,24.0,77.6
Bryce Eldridge,1B,MINORS,496.0,6.05,82.0,3.561693548387097,1.13,0.59,12.3,24.9,73.5,45.5,11.38,0.92,0.16,18.18,2.0,21.62,62.5,4.0,3.75,3.0,67.0,6.7,1.12,0.54,15.38,4.0,18.99,69.23,10.0,3.7,5.0,125.0,5.21,0.7,0.59,10.0,6.0,22.12,71.43,24.0,3.71,11.0,,,,,
Jasson Dominguez,LF,MINORS,270.0,5.09,53.0,3.77037037037037,-0.77,-0.61,5.2,35.4,72.9,,,,,,,,,,,,,,,,,,,,,,,61.0,4.69,-0.83,-0.89,5.13,2.0,30.77,52.94,13.0,4.0,6.0,-0.31,-0.23,7.0,30.8,76.9
Max Clark,CF,MINORS,106.0,5.89,18.0,3.6673584905660372,-0.61,0.35,2.0,33.9,82.4,21.5,3.58,-0.93,-0.64,0.0,0.0,29.17,50.0,6.0,3.5,1.0,53.0,4.42,-0.56,-0.25,2.63,1.0,34.33,75.0,12.0,3.92,3.0,101.0,5.94,-0.35,0.12,2.0,1.0,33.86,82.35,17.0,3.88,7.0,,,,,
Jordan Lawlar,3B,MINORS,80.5,5.75,14.0,3.2857142857142856,-0.39,0.4,3.2,27.8,75.0,-5.0,-2.5,-0.26,0.32,0.0,0.0,21.05,66.67,2.0,4.0,0.0,-5.0,-2.5,,,0.0,0.0,21.05,66.67,2.0,4.0,0.0,-5.0,-2.5,,,0.0,0.0,21.05,66.67,2.0,4.0,0.0,0.19,0.96,4.9,26.6,85.0
Raudi Rodriguez,RF,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wandy Asigen,SS,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shotaro Morii,SS,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elian Pena,SS,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cris Rodriguez,CF,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Mitchell,C,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayson Cunningham,SS,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Hernandez,SS,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Renteria,CF,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marconi German,2B,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Arana,3B,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaison Chourio,CF,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Flewelling,C,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eli Willits,SS,MINORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
