Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,IP/G,Age+,FG/G+,K-BB%+,Weak Contact+,xFIP,Pitching Score,Pitching Score_Previous_League,Pitcher Prospect Score,Est FB,W,L,ERA,GS,SV,IP,SO,WHIP,BABIP,BB%,K%,K-BB%,Weak Contact,LD%,GB%,FB%,IFFB%,HR/FB%
Jatnk Diaz,Available,DET,Florida State League,A,Yes,21.0,,16.0,6.4,1.6,104.5,53.1,41.9,94.2,5.99,89.1,93.8060183053792,95.8,23.8,1.0,1.0,9.23,0.0,1.0,26.3,26.0,2.24,0.419,0.132,0.181,0.049,0.689,0.3,0.444,0.256,0.13,0.043
Carter Holton,Available,KC,Carolina League,A,Yes,23.0,,7.0,21.9,4.8,94.9,167.9,104.1,95.9,4.41,96.8,100.34800158300132,95.7,30.1,2.0,1.0,5.08,6.0,0.0,33.7,30.0,1.37,0.298,0.091,0.21,0.119,0.711,0.237,0.443,0.32,0.194,0.161
Adbert Alzolay,Available,NYM,Florida State League,A,No,31.0,,2.0,4.1,1.0,70.8,34.4,94.9,119.6,6.12,116.5,143.62052820082602,95.5,3.5,0.0,1.0,9.0,0.0,0.0,2.0,1.0,1.5,0.286,0.0,0.111,0.111,0.875,0.0,0.5,0.5,0.25,0.25
Derek Diamond,Available,PIT,Florida State League,A,No,25.0,,2.0,10.2,2.0,87.8,85.5,201.0,91.0,4.45,102.3,116.43107439385624,95.4,4.4,0.0,0.0,2.25,0.0,0.0,4.0,5.0,1.0,0.3,0.059,0.294,0.235,0.666,0.333,0.222,0.444,0.0,0.0
Sam Brodersen,Available,WSH,Carolina League,A,No,24.0,,10.0,8.4,1.0,90.9,64.5,87.5,101.1,4.67,99.7,102.15596688970516,95.4,7.0,2.0,0.0,0.93,0.0,0.0,9.7,12.0,1.34,0.25,0.2,0.3,0.1,0.75,0.25,0.4,0.35,0.143,0.0
Augie Mojica,Available,ARI,California League,A,No,21.0,,23.0,5.8,1.7,104.2,47.4,71.1,90.3,5.97,88.7,109.84756170401404,95.4,33.8,3.0,3.0,9.31,0.0,0.0,38.7,36.0,1.76,0.348,0.109,0.196,0.087,0.681,0.252,0.454,0.294,0.229,0.229
Jean Brito,Available,NYM,Florida State League,A,Yes,20.0,,4.0,4.0,1.5,109.7,33.4,0.0,93.3,6.45,84.1,100.93165125771708,95.4,5.7,0.0,0.0,12.0,0.0,0.0,6.0,6.0,2.67,0.429,0.176,0.176,0.0,0.682,0.273,0.455,0.273,0.333,0.167
Kevin Herget,Available,NYM,Florida State League,A,No,35.0,,1.0,11.8,2.0,62.7,98.0,244.6,109.3,3.45,122.6,107.381741630751,95.1,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,0.2,0.0,0.286,0.286,0.8,0.2,0.4,0.4,0.0,0.0
Zac Lampton,Available,BAL,Carolina League,A,No,26.0,,18.0,8.6,1.2,83.9,66.0,221.4,91.6,3.49,104.8,77.68030596723662,95.0,21.4,1.0,3.0,2.95,0.0,2.0,21.3,30.0,1.17,0.333,0.077,0.33,0.253,0.68,0.3,0.28,0.42,0.286,0.048
Luke Roupe,Available,MIL,Carolina League,A,Yes,19.0,,5.0,5.0,2.6,114.9,38.7,-102.4,99.5,7.64,79.3,86.1418826732206,95.0,12.0,1.0,1.0,11.08,2.0,0.0,13.0,8.0,2.54,0.381,0.235,0.118,-0.117,0.738,0.238,0.476,0.286,0.167,0.083
Gabe Tanner,Available,CHW,Carolina League,A,Yes,24.0,,13.0,18.3,5.1,90.9,140.4,9.6,109.2,5.77,98.9,99.5197264906509,94.9,71.4,5.0,5.0,3.66,13.0,0.0,66.3,29.0,1.36,0.276,0.094,0.105,0.011,0.81,0.163,0.498,0.34,0.233,0.082
Cameron Nohos,Available,SDP,California League,A,Yes,23.0,,7.0,16.7,3.5,95.2,136.4,160.3,87.8,5.09,95.5,106.3483021118582,94.9,25.6,1.0,4.0,9.25,5.0,0.0,24.3,35.0,1.81,0.383,0.103,0.299,0.196,0.662,0.206,0.368,0.426,0.207,0.31
Andres Cova,Available,LAA,California League,A,Yes,21.0,,6.0,4.2,1.1,104.2,34.7,23.7,94.7,7.92,87.8,97.18687366537117,94.8,9.0,0.0,0.0,8.1,0.0,0.0,6.7,7.0,2.1,0.316,0.171,0.2,0.029,0.714,0.19,0.333,0.476,0.1,0.2
Manuel Colon,Not in Fantrax,PHI,Florida State League,A,Yes,19.0,,8.0,7.3,1.0,115.5,60.8,19.7,84.5,7.49,78.5,103.89952849084148,94.8,7.0,3.0,0.0,10.13,0.0,0.0,8.0,9.0,1.88,0.286,0.186,0.209,0.023,0.618,0.333,0.333,0.333,0.143,0.143
Billy Oldham,Available,MIN,Florida State League,A,Yes,25.0,,6.0,6.3,1.2,87.8,52.8,0.0,113.0,6.74,101.3,115.328304375803,94.7,9.6,0.0,0.0,3.68,0.0,0.0,7.3,5.0,1.64,0.273,0.152,0.152,0.0,0.827,0.13,0.435,0.435,0.1,0.1
Redinson Gomez,Available,COL,California League,A,Yes,21.0,,6.0,5.0,1.0,104.2,40.5,31.1,93.7,5.84,87.6,111.07562010374308,94.7,4.0,1.0,0.0,6.0,0.0,0.0,6.0,5.0,1.5,0.294,0.154,0.192,0.038,0.706,0.294,0.471,0.235,0.5,0.0
Caden Wooster,Available,NYM,Florida State League,A,Yes,21.0,,21.0,6.4,1.4,104.5,53.7,46.2,91.7,6.37,87.3,108.58074421313148,94.6,35.2,1.0,0.0,6.37,0.0,0.0,29.7,33.0,1.92,0.321,0.17,0.224,0.054,0.671,0.259,0.306,0.435,0.324,0.162
Leonardo Rossell,Not in Fantrax,DET,Florida State League,A,Yes,21.0,,5.0,1.9,1.3,104.5,16.3,-23.1,99.5,6.78,87.2,106.64471989804149,94.6,6.3,0.0,1.0,9.95,0.0,0.0,6.3,6.0,2.68,0.435,0.194,0.167,-0.027,0.728,0.273,0.455,0.273,0.167,0.0
Deiker Pineda,Not in Fantrax,TOR,Florida State League,A,Yes,20.0,,5.0,10.2,2.1,109.7,84.7,18.8,89.8,6.0,83.0,101.43277606584076,94.6,9.1,2.0,0.0,5.91,0.0,0.0,10.7,7.0,1.59,0.276,0.13,0.152,0.022,0.657,0.25,0.438,0.313,0.0,0.3
Eric Lin,Available,TB,Carolina League,A,Yes,23.0,,3.0,12.3,1.6,94.9,94.4,41.1,101.1,5.42,95.0,127.20403567700788,94.5,3.0,0.0,0.0,1.93,1.0,0.0,4.7,7.0,1.71,0.25,0.286,0.333,0.047,0.75,0.25,0.375,0.375,0.333,0.0
Ryan Degges,Available,CLE,Florida State League,A,No,23.0,,2.0,3.4,2.0,95.4,28.2,0.0,105.2,6.78,94.5,101.59107866669684,94.4,6.0,0.0,1.0,9.0,2.0,0.0,4.0,2.0,1.25,0.154,0.111,0.111,0.0,0.77,0.154,0.385,0.462,0.167,0.167
Michael Salina,Available,SD,California League,A,Yes,22.0,,4.0,6.9,1.3,99.5,56.1,30.3,97.8,5.83,91.1,99.35956407974612,94.4,4.2,1.0,0.0,5.06,0.0,0.0,5.3,4.0,1.88,0.35,0.111,0.148,0.037,0.737,0.263,0.526,0.211,0.0,0.0
Engel Peralta,Available,MIA,Florida State League,A,No,22.0,,14.0,6.5,1.3,99.7,54.2,79.5,91.9,5.92,90.9,96.26155772112932,94.4,16.1,0.0,2.0,10.8,0.0,1.0,18.3,23.0,1.96,0.365,0.144,0.237,0.093,0.673,0.273,0.418,0.309,0.176,0.176
Robert Puason,Available,ATH,California League,A,Yes,23.0,,9.0,7.8,1.8,95.2,63.5,67.0,97.5,7.36,94.6,79.263415366986,94.3,25.9,1.0,0.0,4.5,0.0,0.0,16.0,12.0,1.5,0.277,0.082,0.164,0.082,0.735,0.163,0.286,0.551,0.111,0.185
Joey Broughton,Available,MIL,Carolina League,A,Yes,20.0,,15.0,12.3,3.0,109.1,93.9,28.0,88.5,5.64,82.8,102.85236730672044,94.2,37.6,0.0,6.0,7.09,9.0,2.0,45.7,42.0,1.88,0.341,0.159,0.191,0.032,0.657,0.299,0.416,0.285,0.128,0.154
Joel Díaz,Available,NYM,Florida State League,A,No,22.0,,4.0,5.8,1.6,99.7,48.0,0.0,100.6,6.41,90.5,82.40716088931856,94.1,7.4,0.0,2.0,7.11,3.0,0.0,6.3,5.0,1.89,0.35,0.167,0.167,0.0,0.736,0.263,0.368,0.368,0.714,0.0
Nick Pinto,Available,CHW,Carolina League,A,Yes,26.0,,7.0,15.5,3.6,83.9,118.9,104.1,103.4,4.65,103.4,125.11317061395437,94.0,25.3,0.0,1.0,3.2,7.0,0.0,25.3,20.0,1.14,0.286,0.079,0.198,0.119,0.768,0.217,0.42,0.362,0.2,0.04
Jeronimo Palmeros,Available,SD,California League,A,Yes,19.0,,1.0,-4.2,1.0,115.2,-34.7,-408.8,132.7,19.69,77.5,100.15582467935668,94.0,2.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,5.0,0.25,0.5,0.0,-0.5,1.0,0.0,0.5,0.5,0.0,0.0
Ma'Kale Holden,Available,MIL,Carolina League,A,Yes,19.0,,1.0,0.8,2.7,114.9,5.7,0.0,85.8,6.36,77.7,93.116948080732,93.9,3.0,0.0,1.0,20.25,1.0,0.0,2.7,3.0,3.37,0.545,0.176,0.176,0.0,0.637,0.364,0.364,0.273,0.0,0.0
Yimi García,Available,TOR,Florida State League,A,No,35.0,,3.0,9.8,1.0,62.7,82.1,155.7,117.3,4.45,120.6,88.06835890157743,93.8,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.67,0.143,0.091,0.273,0.182,0.858,0.143,0.429,0.429,0.0,0.0
Ricardo Yan,Available,ARI,California League,A,No,23.0,,24.0,10.3,1.6,95.2,84.1,71.1,96.0,6.24,93.6,93.57342567758778,93.7,31.3,3.0,4.0,5.35,0.0,2.0,38.7,50.0,1.84,0.343,0.169,0.256,0.087,0.723,0.248,0.446,0.307,0.097,0.097
Dylan Questad,Available,MIN,Florida State League,A,Yes,21.0,,15.0,4.6,1.0,104.5,38.4,-41.1,100.1,7.85,85.9,103.62072647916416,93.7,16.6,0.0,0.0,11.93,0.0,0.0,14.3,18.0,2.93,0.45,0.268,0.22,-0.048,0.732,0.22,0.366,0.415,0.059,0.118
Roberto Urdaneta,Available,ATH,California League,A,Yes,20.0,,4.0,4.0,2.8,109.4,32.6,-122.6,104.8,11.35,81.9,88.18556074273593,93.7,22.6,0.0,1.0,10.32,1.0,0.0,11.3,6.0,2.47,0.242,0.25,0.1,-0.15,0.79,0.079,0.237,0.684,0.192,0.192
Sem Robberse,Available,STL,Florida State League,A,Yes,24.0,,3.0,7.4,2.0,91.4,61.9,221.5,82.0,2.0,96.5,138.18263743943209,93.6,1.9,0.0,1.0,9.0,3.0,0.0,6.0,7.0,1.83,0.526,0.0,0.259,0.259,0.6,0.35,0.55,0.1,0.5,0.5
Trennor O'Donnell,Available,BOS,Carolina League,A,No,25.0,,3.0,18.8,3.0,87.3,144.2,218.7,86.2,3.33,99.9,139.7052468526224,93.5,8.8,0.0,1.0,4.0,1.0,1.0,9.0,10.0,1.11,0.273,0.028,0.278,0.25,0.64,0.24,0.36,0.4,0.3,0.3
Alexander Fuentes,Available,SF,California League,A,Yes,21.0,,1.0,5.8,2.7,104.2,46.9,-68.7,103.2,8.98,85.9,107.6531925972646,93.5,4.4,0.0,0.0,6.75,0.0,0.0,2.7,1.0,1.87,0.25,0.167,0.083,-0.084,0.778,0.111,0.333,0.556,0.4,0.2
Ismael Yanez,Available,MIL,Carolina League,A,Yes,20.0,,19.0,3.9,1.1,109.1,29.8,-73.5,99.1,7.68,81.8,98.12764039597306,93.5,21.0,2.0,0.0,10.55,0.0,0.0,21.3,22.0,2.81,0.41,0.269,0.185,-0.084,0.735,0.219,0.438,0.344,0.182,0.136
Jonawel Valdez,Available,MIA,Florida State League,A,Yes,22.0,,8.0,5.1,1.3,99.7,42.2,15.4,97.6,7.25,89.4,101.59983637122338,93.4,16.4,0.0,2.0,7.59,0.0,0.0,10.7,10.0,2.06,0.281,0.164,0.182,0.018,0.714,0.171,0.314,0.514,0.389,0.222
Antonio Florido,Not in Fantrax,DET,Florida State League,A,Yes,21.0,,10.0,5.3,1.1,104.5,44.2,-67.6,102.6,8.16,85.4,106.6212546643353,93.4,9.6,0.0,3.0,10.32,0.0,0.0,11.3,15.0,2.65,0.333,0.313,0.234,-0.079,0.75,0.214,0.429,0.357,0.5,0.1
Ethan Lanthier,Available,NYM,Florida State League,A,Yes,23.0,,11.0,10.5,3.0,95.4,87.8,64.1,95.9,5.49,92.8,82.47030020513745,93.3,31.2,0.0,5.0,7.16,11.0,0.0,32.7,31.0,1.62,0.315,0.137,0.212,0.075,0.702,0.245,0.404,0.351,0.152,0.152
Melvin Pineda,Not in Fantrax,SFG,California League,A,Yes,22.0,,17.0,6.2,1.3,99.5,50.9,75.2,90.8,6.66,89.5,115.57015633325072,93.3,22.4,2.0,2.0,9.13,0.0,0.0,22.7,30.0,1.94,0.361,0.16,0.252,0.092,0.684,0.267,0.367,0.367,0.136,0.136
Candido Cuevas,Available,NYM,Florida State League,A,Yes,22.0,,7.0,5.2,1.0,99.7,43.5,130.0,84.2,4.78,89.3,96.44271067412411,93.3,3.4,0.0,0.0,10.8,0.0,0.0,6.7,12.0,2.1,0.455,0.212,0.364,0.152,0.616,0.231,0.462,0.308,0.25,0.5
Jan Cabrera,Available,STL,Florida State League,A,Yes,21.0,,5.0,11.2,3.7,104.5,93.5,66.7,86.7,5.49,85.1,107.25666484909652,93.2,19.3,0.0,2.0,7.36,3.0,0.0,18.3,16.0,2.07,0.426,0.1,0.178,0.078,0.634,0.317,0.365,0.317,0.2,0.15
Luis Valdez,Available,KCR,Carolina League,A,Yes,21.0,,10.0,5.7,1.3,103.9,43.6,13.1,93.4,6.04,85.5,114.13173099025094,93.1,14.2,0.0,1.0,6.23,0.0,0.0,13.0,13.0,2.15,0.351,0.185,0.2,0.015,0.693,0.231,0.385,0.385,0.267,0.2
Dusty Revis,Available,CIN,Florida State League,A,Yes,22.0,,11.0,13.7,4.2,99.7,114.2,41.9,93.9,5.92,88.9,101.3135776891694,93.0,43.2,1.0,6.0,7.58,8.0,0.0,46.3,38.0,1.86,0.353,0.118,0.167,0.049,0.687,0.275,0.438,0.288,0.273,0.136
Angel Liranzo,Available,PHI,Florida State League,A,Yes,19.0,,4.0,8.5,2.3,115.5,70.9,35.9,79.3,6.25,75.6,100.03046724520482,92.9,10.8,1.0,1.0,9.64,1.0,0.0,9.3,9.0,2.14,0.357,0.149,0.191,0.042,0.58,0.323,0.29,0.387,0.083,0.25
Jose Serrano,Available,HOU,Carolina League,A,No,22.0,,13.0,15.8,3.2,99.2,121.2,56.9,92.3,5.3,89.0,92.78576029102392,92.8,22.6,2.0,3.0,6.0,1.0,1.0,42.0,44.0,1.6,0.297,0.155,0.22,0.065,0.685,0.287,0.509,0.204,0.273,0.136
Anthony Watts,Available,STL,Florida State League,A,Yes,22.0,,17.0,6.8,1.3,99.7,56.3,67.6,90.6,5.33,88.5,75.4010422153253,92.8,18.2,2.0,1.0,7.66,0.0,1.0,22.3,24.0,2.01,0.368,0.132,0.211,0.079,0.663,0.268,0.465,0.268,0.105,0.263
Austin Breedlove,Available,NYY,Florida State League,A,Yes,22.0,,6.0,7.8,1.3,99.7,65.0,-23.9,101.0,6.78,88.4,111.99344277135194,92.8,8.2,0.0,0.0,7.04,0.0,2.0,7.7,5.0,1.7,0.19,0.171,0.143,-0.028,0.739,0.13,0.478,0.391,0.333,0.333
Franklyn Moreta,Not in Fantrax,MIA,Florida State League,A,Yes,22.0,,17.0,7.2,1.8,99.7,60.1,-28.2,101.4,7.29,88.4,81.49453743446887,92.7,22.5,4.0,2.0,8.4,0.0,0.0,30.0,25.0,2.0,0.313,0.199,0.166,-0.033,0.742,0.212,0.518,0.271,0.174,0.174
Williams Montero,Available,BOS,Carolina League,A,Yes,18.0,,6.0,1.7,1.7,121.2,13.1,0.0,77.5,6.04,70.4,124.06077287832262,92.6,6.6,0.0,3.0,18.0,5.0,0.0,10.0,11.0,2.7,0.452,0.196,0.196,0.0,0.575,0.364,0.424,0.212,0.143,0.286
Kendry Garcia,Not in Fantrax,CHW,Carolina League,A,Yes,22.0,,7.0,12.2,2.3,99.2,93.8,-23.6,100.3,6.57,87.9,111.37139253380622,92.1,13.0,3.0,0.0,6.19,0.0,0.0,16.0,15.0,2.06,0.35,0.224,0.197,-0.027,0.744,0.209,0.465,0.326,0.143,0.143
Eligio Arias,Available,PHI,Florida State League,A,Yes,23.0,,1.0,6.0,1.0,95.4,50.1,284.8,68.3,1.77,91.0,100.4838865441617,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.333,0.333,0.5,0.5,0.5,0.0,0.0,0.0
Dailoui Abad,Available,LAD,California League,A,Yes,24.0,,22.0,5.7,1.2,91.2,46.4,11.4,103.6,7.26,94.2,120.6535693785876,91.9,25.3,5.0,2.0,9.79,0.0,0.0,26.7,26.0,2.25,0.398,0.17,0.184,0.014,0.78,0.183,0.512,0.305,0.24,0.12
Harrison Ruiz,Available,CLE,Carolina League,A,Yes,22.0,,9.0,6.8,1.1,99.2,52.3,194.2,74.8,3.08,87.5,116.99006657302874,91.8,6.0,0.0,2.0,5.59,0.0,2.0,9.7,13.0,1.66,0.444,0.067,0.289,0.222,0.555,0.407,0.37,0.222,0.167,0.167
David Sanchez,Not in Fantrax,ARI,California League,A,Yes,19.0,,2.0,4.5,2.2,115.2,36.7,-29.4,85.2,6.87,74.2,96.29167189875852,91.8,1.1,0.0,1.0,14.54,2.0,0.0,4.3,6.0,3.69,0.6,0.25,0.214,-0.036,0.642,0.357,0.571,0.071,0.0,0.0
Noah Millikan,Available,WSH,Carolina League,A,Yes,23.0,,7.0,18.4,3.6,94.9,140.8,91.0,90.4,4.82,90.8,108.8223294231374,91.6,25.3,3.0,2.0,7.11,3.0,0.0,25.3,26.0,1.78,0.394,0.122,0.226,0.104,0.671,0.288,0.356,0.356,0.192,0.115
Jose Cabrera,Available,LAD,California League,A,Yes,21.0,,13.0,3.9,0.9,104.2,31.5,-54.0,98.2,9.86,83.0,107.13009542781862,91.6,8.3,2.0,0.0,24.62,0.0,1.0,11.3,20.0,3.44,0.48,0.329,0.263,-0.066,0.74,0.185,0.481,0.333,0.111,0.222
Isaac Silva,Not in Fantrax,BAL,Carolina League,A,Yes,23.0,,7.0,9.6,2.4,94.9,73.3,98.0,88.9,3.98,90.2,84.00564757995375,91.2,10.8,1.0,0.0,6.48,0.0,0.0,16.7,14.0,1.32,0.286,0.085,0.197,0.112,0.66,0.3,0.48,0.22,0.182,0.182
Josnier Parra,Not in Fantrax,OAK,California League,A,Yes,24.0,,22.0,8.9,2.2,91.2,72.6,94.8,92.5,5.95,92.9,117.4091269067654,91.0,53.0,0.0,2.0,7.61,3.0,0.0,47.3,47.0,1.8,0.382,0.093,0.209,0.116,0.697,0.243,0.388,0.368,0.143,0.161
Brody Fowler,Available,ATL,Carolina League,A,No,22.0,,6.0,16.6,4.4,99.2,127.3,104.1,83.5,4.4,86.0,98.56420807337008,90.8,24.9,2.0,1.0,6.41,4.0,0.0,26.7,18.0,1.54,0.329,0.034,0.153,0.119,0.619,0.283,0.424,0.293,0.111,0.333
Brayden Heidel,Available,TOR,Florida State League,A,Yes,24.0,,14.0,8.0,2.5,91.4,67.1,30.8,99.1,5.83,92.3,18.532580002327705,90.7,31.5,2.0,3.0,7.6,4.0,0.0,34.3,25.0,1.63,0.297,0.116,0.152,0.036,0.725,0.235,0.48,0.284,0.103,0.138
Luis Cesar,Available,MIA,Florida State League,A,No,22.0,,12.0,9.4,1.5,99.7,78.7,0.0,94.5,7.19,85.2,74.61308667204037,90.6,13.6,2.0,1.0,5.4,0.0,1.0,18.3,23.0,2.02,0.295,0.237,0.237,0.0,0.691,0.286,0.405,0.31,0.308,0.077
Jack Crowder,Available,BAL,Carolina League,A,No,23.0,,13.0,10.1,1.5,94.9,77.1,142.6,82.6,3.6,89.1,96.64063637743548,90.5,12.2,0.0,1.0,7.2,0.0,2.0,20.0,27.0,1.7,0.38,0.13,0.293,0.163,0.613,0.327,0.429,0.245,0.167,0.25
L.J. Waco,Available,WSH,Carolina League,A,Yes,24.0,,10.0,9.3,1.2,90.9,71.4,59.5,95.5,5.76,92.0,103.9127265116357,90.3,12.5,0.0,0.0,9.0,0.0,2.0,12.0,19.0,1.92,0.261,0.254,0.322,0.068,0.709,0.208,0.25,0.542,0.154,0.154
Brandon Clarke,Lászlaró Tóth (MINORS),STL,Florida State League,A,No,23.0,,3.0,10.1,1.9,95.4,84.1,30.8,94.6,5.54,88.4,159.93420048500792,90.3,2.8,0.0,0.0,6.35,3.0,0.0,5.7,8.0,1.94,0.25,0.25,0.286,0.036,0.692,0.231,0.538,0.231,0.333,0.333
Mason McConnaughey,Available,TEX,Carolina League,A,Yes,22.0,,5.0,9.8,2.8,99.2,74.6,77.0,85.7,4.93,85.3,102.17169509073923,90.3,15.8,0.0,1.0,4.5,5.0,0.0,14.0,9.0,1.21,0.244,0.07,0.158,0.088,0.636,0.295,0.318,0.386,0.294,0.176
Julius Sanchez,Available,TEX,Carolina League,A,Yes,22.0,,7.0,12.5,1.7,99.2,95.7,84.0,84.8,4.29,85.1,106.9847947997674,90.3,4.1,2.0,0.0,3.75,0.0,0.0,12.0,14.0,1.33,0.25,0.173,0.269,0.096,0.629,0.37,0.481,0.148,0.25,0.0
Cristopher Aranguren,Not in Fantrax,CHC,Carolina League,A,Yes,20.0,,2.0,5.8,2.5,109.1,44.0,70.0,77.0,5.1,77.0,83.96612616056686,90.3,2.6,0.0,0.0,16.2,0.0,0.0,5.0,6.0,2.0,0.333,0.16,0.24,0.08,0.571,0.286,0.5,0.214,0.333,0.667
Victor Zarraga,Not in Fantrax,CHC,Carolina League,A,Yes,22.0,,18.0,9.8,2.4,99.2,74.7,-20.1,96.2,6.34,84.7,108.30332606077474,89.9,32.8,3.0,3.0,6.18,3.0,0.0,43.7,38.0,1.99,0.336,0.201,0.178,-0.023,0.714,0.27,0.468,0.262,0.152,0.061
Zander Mueth,Available,PIT,Florida State League,A,Yes,21.0,,13.0,7.1,2.6,104.5,59.5,-24.8,91.6,7.35,80.2,102.83634749037134,89.9,22.3,0.0,3.0,9.18,9.0,0.0,33.3,28.0,2.07,0.312,0.191,0.162,-0.029,0.67,0.26,0.5,0.24,0.25,0.292
Grayson Rodriguez,Available,LAA,California League,A,No,26.0,,2.0,30.6,4.3,84.2,250.0,233.8,80.7,3.28,96.6,118.02223485253738,89.6,5.0,0.0,0.0,3.12,2.0,0.0,8.7,15.0,1.73,0.522,0.071,0.357,0.286,0.608,0.391,0.391,0.217,0.0,0.0
Jason Shockley,Available,BAL,Carolina League,A,Yes,23.0,,17.0,6.4,1.2,94.9,48.7,85.7,87.5,5.43,87.7,39.945994451036704,89.6,19.3,0.0,2.0,7.84,0.0,1.0,20.7,28.0,2.18,0.397,0.15,0.248,0.098,0.649,0.263,0.404,0.333,0.263,0.263
Micah Ottenbreit,Available,PHI,Florida State League,A,No,23.0,,5.0,9.8,1.8,95.4,81.8,65.0,89.4,5.74,87.3,111.83491031666485,89.6,10.4,0.0,0.0,4.0,0.0,0.0,9.0,7.0,1.33,0.296,0.103,0.179,0.076,0.654,0.346,0.269,0.385,0.1,0.0
Xiomer Guacache,Available,DET,Florida State League,A,Yes,22.0,,19.0,8.4,1.5,99.7,70.2,6.0,92.1,6.4,83.7,99.40961470572744,89.6,29.3,4.0,3.0,5.22,0.0,2.0,29.3,24.0,1.6,0.25,0.169,0.176,0.007,0.674,0.291,0.36,0.349,0.233,0.1
Ryan Mathiesen,Available,HOU,Carolina League,A,Yes,23.0,,18.0,9.8,1.3,94.9,75.3,17.5,95.3,5.89,87.6,66.63307886235877,89.5,21.7,8.0,0.0,3.0,0.0,0.0,24.0,21.0,1.42,0.25,0.184,0.204,0.02,0.707,0.293,0.345,0.362,0.286,0.0
Connor Wilford,Available,SEA,California League,A,Yes,25.0,,8.0,19.8,4.5,87.5,161.2,148.0,86.9,5.18,93.4,97.73801244224626,89.3,36.9,2.0,3.0,7.93,8.0,0.0,36.3,39.0,1.54,0.346,0.047,0.228,0.181,0.655,0.248,0.407,0.345,0.103,0.282
Trey Seeley,Available,SF,California League,A,Yes,24.0,,14.0,14.1,2.9,91.2,115.4,131.6,85.3,5.44,90.4,99.2654670022688,89.3,41.8,3.0,4.0,7.14,8.0,0.0,40.3,47.0,1.49,0.283,0.1,0.261,0.161,0.643,0.229,0.349,0.422,0.196,0.304
Daniel Nunez,Available,ARI,California League,A,Yes,23.0,,25.0,7.3,1.3,95.2,59.9,80.9,87.2,5.76,87.0,112.3819610189827,89.3,33.0,3.0,1.0,5.94,0.0,3.0,33.3,28.0,1.62,0.313,0.086,0.185,0.099,0.657,0.25,0.417,0.333,0.111,0.278
Cristobal Abreu,Available,ATL,Carolina League,A,Yes,20.0,,26.0,6.4,1.2,109.1,49.3,-130.4,98.1,8.55,75.3,88.06835890157743,89.2,27.7,4.0,1.0,3.0,0.0,0.0,30.0,22.0,2.2,0.241,0.292,0.143,-0.149,0.728,0.247,0.403,0.351,0.259,0.074
Jake Faherty,Available,TOR,Florida State League,A,Yes,23.0,,20.0,6.3,0.8,95.4,52.9,-124.9,110.2,9.97,86.3,67.22970014433974,89.0,5.0,1.0,0.0,8.64,0.0,4.0,16.7,20.0,2.34,0.161,0.354,0.208,-0.146,0.806,0.194,0.645,0.161,0.2,0.0
Juan Ledezma,Available,ARI,California League,A,Yes,21.0,,12.0,2.9,1.1,104.2,23.6,21.3,84.8,6.94,78.9,111.2207281708979,88.8,14.4,0.0,1.0,10.54,0.0,0.0,13.7,13.0,2.41,0.378,0.147,0.173,0.026,0.639,0.255,0.426,0.319,0.133,0.333
Johnathan Rogers,Available,DET,Florida State League,A,Yes,21.0,,3.0,9.8,1.4,104.5,81.4,-171.1,106.3,11.01,78.4,97.02567960455232,88.7,5.0,0.0,0.0,2.08,0.0,0.0,4.3,5.0,2.54,0.111,0.4,0.2,-0.2,0.778,0.222,0.222,0.556,0.4,0.0
Brayden Jones,Available,TB,Carolina League,A,Yes,24.0,,10.0,8.0,1.2,90.9,60.9,-14.0,101.1,6.69,89.6,88.00510946773846,88.6,10.6,1.0,3.0,6.75,0.0,1.0,12.0,15.0,2.0,0.222,0.262,0.246,-0.016,0.75,0.179,0.429,0.393,0.091,0.182
Edrwin Veras,Available,TOR,Florida State League,A,Yes,23.0,,6.0,11.8,2.8,95.4,98.7,58.2,88.4,5.08,85.8,110.9986404680606,88.6,12.8,2.0,1.0,4.86,1.0,0.0,16.7,12.0,1.56,0.32,0.096,0.164,0.068,0.647,0.294,0.451,0.255,0.231,0.231
Jeremy Gonzalez,Not in Fantrax,CHW,Carolina League,A,Yes,21.0,,7.0,-0.1,1.0,103.9,-0.5,-120.7,101.1,9.15,78.8,105.72945614475296,88.6,11.4,0.0,1.0,14.14,0.0,0.0,7.0,2.0,2.0,0.28,0.194,0.056,-0.138,0.75,0.25,0.292,0.458,0.364,0.0
Bryce Alewine,Available,DET,Florida State League,A,Yes,21.0,,9.0,4.1,1.4,104.5,33.8,-40.2,91.2,7.18,78.3,97.85417645158545,88.6,11.4,0.0,1.0,8.76,0.0,0.0,12.3,10.0,2.27,0.324,0.203,0.156,-0.047,0.667,0.256,0.436,0.308,0.333,0.25
Pedro Garcia,Available,DET,Florida State League,A,Yes,24.0,,34.0,7.5,1.7,91.4,62.3,28.2,95.5,6.34,88.9,53.35239513902816,88.5,64.3,4.0,5.0,5.75,0.0,1.0,56.3,51.0,1.79,0.311,0.155,0.188,0.033,0.698,0.26,0.355,0.385,0.354,0.108
