Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,IP/G,Age+,FG/G+,K-BB%+,Weak Contact+,xFIP,Pitching Score,Pitching Score_Previous_League,Pitcher Prospect Score,Est FB,W,L,ERA,GS,SV,IP,SO,WHIP,BABIP,BB%,K%,K-BB%,Weak Contact,LD%,GB%,FB%,IFFB%,HR/FB%
Daniel Guerra,Available,TOR,Florida State League,A,No,22.0,,1.0,24.5,3.3,99.7,204.4,285.7,113.9,3.18,130.6,122.61642023265112,120.9,3.0,0.0,0.0,0.0,1.0,0.0,3.3,5.0,0.6,0.167,0.083,0.417,0.334,0.833,0.167,0.333,0.5,0.333,0.0
Jeremiah Estrada,Available,SD,California League,A,No,27.0,,1.0,14.0,1.0,81.1,114.3,272.3,132.7,5.69,145.7,78.03236298144273,120.6,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.333,0.333,1.0,0.0,0.0,1.0,0.5,0.0
Daison Acosta,Available,SD,California League,A,No,27.0,,2.0,12.9,1.3,81.1,105.1,272.3,132.7,3.15,145.7,115.82877600257434,120.6,1.0,0.0,0.0,0.0,0.0,0.0,2.7,4.0,0.37,0.0,0.111,0.444,0.333,1.0,0.0,0.75,0.25,0.0,0.0
Alberto Toribio,Available,KC,Carolina League,A,Yes,19.0,,1.0,18.0,3.0,114.9,137.8,134.7,115.5,3.93,116.9,92.2016483633891,120.1,2.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0,1.33,0.286,0.154,0.308,0.154,0.857,0.143,0.571,0.286,0.0,0.0
Michael Walsh,Available,PIT,Florida State League,A,No,25.0,,3.0,11.9,1.7,87.8,99.4,320.7,119.6,2.24,139.2,101.66308580506232,120.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.2,0.0,0.063,0.438,0.375,0.875,0.125,0.625,0.25,0.5,0.0
Jake Miller,Available,DET,Florida State League,A,No,25.0,,2.0,14.6,2.5,87.8,122.0,189.9,136.7,3.38,139.0,103.20876950045027,119.9,3.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,0.6,0.167,0.056,0.278,0.222,1.0,0.0,0.75,0.25,0.333,0.0
Manuel Rodríguez,Available,TBR,Carolina League,A,No,29.0,,1.0,6.0,1.0,75.2,45.9,291.4,134.7,1.66,149.2,50.491136760453614,119.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.333,0.333,1.0,0.0,1.0,0.0,0.0,0.0
Kevin Verde,Available,NYY,Florida State League,A,No,20.0,,1.0,1.0,0.3,109.7,8.3,0.0,136.7,8.79,120.0,40.75934946045636,119.3,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Neiker Palacios,Available,ARI,California League,A,Yes,19.0,,2.0,21.8,3.0,115.2,177.5,219.9,102.2,4.5,113.9,105.26802418830717,118.3,4.0,0.0,0.0,0.0,2.0,0.0,6.0,9.0,1.0,0.308,0.077,0.346,0.269,0.77,0.231,0.462,0.308,0.5,0.0
Ross Dunn,Available,MIN,Florida State League,A,No,24.0,,1.0,7.0,1.0,91.4,58.4,122.3,136.7,3.77,132.2,124.27347640428437,117.4,0.0,0.0,0.0,18.0,1.0,0.0,1.0,3.0,4.0,1.0,0.286,0.429,0.143,1.0,0.0,1.0,0.0,0.0,0.0
Isaias Uribe,Available,PIT,Florida State League,A,No,23.0,,4.0,9.5,1.5,95.4,79.3,178.8,124.2,4.0,129.0,116.43107439385624,117.4,2.4,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.67,0.154,0.083,0.292,0.209,0.909,0.091,0.727,0.182,0.0,0.0
Josh Owens,Available,TEX,Carolina League,A,Yes,19.0,,2.0,11.5,2.0,114.9,88.0,188.1,104.7,3.46,112.9,102.326715593842,117.4,3.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,0.333,0.071,0.286,0.215,0.777,0.222,0.444,0.333,0.0,0.0
Ricky Tiedemann,Available,TOR,Florida State League,A,No,23.0,,2.0,7.4,1.0,95.4,61.5,366.9,102.5,0.77,128.9,107.21656774501125,117.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.5,0.25,0.0,0.429,0.429,0.75,0.25,0.75,0.0,0.0,0.0
Sann Omosako,Available,TOR,Florida State League,A,Yes,20.0,,2.0,24.6,4.5,109.7,205.5,248.0,102.5,3.26,117.0,99.4658189332269,117.3,8.4,0.0,1.0,1.0,1.0,0.0,9.0,9.0,0.33,0.095,0.0,0.29,0.29,0.75,0.2,0.4,0.4,0.5,0.125
Sadbiel Delzine,Lászlaró Tóth (MINORS),BOS,Carolina League,A,Yes,18.0,,7.0,22.5,3.6,121.2,172.0,252.0,90.6,2.52,107.0,111.96446675072508,117.0,16.3,0.0,1.0,2.52,7.0,0.0,25.0,36.0,1.08,0.322,0.058,0.346,0.288,0.672,0.293,0.431,0.276,0.125,0.125
