Source League ID,League Name,League Level,Age,Players,Total G,Total IP,Total TBF,FGPts_per_game,K_BB_pct,Weak_Contact,xFIP,BB_pct,Average Age
2,International League,AAA,19,1.0,1.0,1.6666666666666665,12.0,2.25,,0.8000000000000002,,,19
2,International League,AAA,20,3.0,9.0,42.666666666666664,172.0,27.555555555555557,0.28089887999999996,0.7031349094306686,2.9664803171048364,0.04494382,20
2,International League,AAA,21,8.0,38.0,166.0,696.0,24.151315789473685,0.18848405639130436,0.7196160462202845,3.839810174993194,0.09731287446107784,21
2,International League,AAA,22,36.0,312.0,1151.666666666667,5128.0,18.55528846153846,0.12858646008280566,0.713771517069924,4.665038438824368,0.11827157474646514,22
2,International League,AAA,23,83.0,793.0,2368.6666666666665,10400.0,15.67875157629256,0.1312513154952637,0.709931578016122,4.730035879461922,0.11324132277673545,23
2,International League,AAA,24,151.0,1892.0,4413.666666666667,19516.0,12.36284355179704,0.12601405654172015,0.7196995562994689,4.749394666125131,0.1141529165750679,24
2,International League,AAA,25,204.0,2502.0,5372.666666666668,23876.0,11.508996401439424,0.12703767602157606,0.7168302723572646,4.752861065557626,0.11498170753845309,25
2,International League,AAA,26,225.0,3240.0,6415.666666666666,28266.0,11.063425925925927,0.13869838829823677,0.7151037378323991,4.632098578804774,0.10369642946416846,26
2,International League,AAA,27,221.0,3273.0,5766.0,25537.0,9.746410021387106,0.12337972748385774,0.7163082252781424,4.8359751296309215,0.11493034029243682,27
2,International League,AAA,28,187.0,2547.0,4556.0,20059.0,9.922359638790734,0.12695570102188491,0.7255969641160547,4.669459793325651,0.10676061397815176,28
2,International League,AAA,29,145.0,2025.0,3360.333333333333,14925.0,9.380246913580248,0.12053681855781401,0.7180552156378534,4.7961220975808185,0.11335685901550908,29
2,International League,AAA,30,108.0,1517.0,2858.0000000000005,12517.0,10.432762030323007,0.1237723823886459,0.7107777842426215,4.757464845612101,0.10000117102603369,30
2,International League,AAA,31,72.0,981.0,1632.6666666666667,7018.0,9.665561224489796,0.1401983248250075,0.716505552572539,4.592614990332912,0.09519599924037303,31
2,International League,AAA,32,58.0,788.0,1391.0,6110.0,9.491751269035532,0.11292878854364005,0.7206530924607826,5.031692882541736,0.10290921561092149,32
2,International League,AAA,33,39.0,479.0,905.6666666666666,3962.0,10.163883089770355,0.11580553403148006,0.7099774837274889,5.094150933050631,0.10774328126183773,33
2,International League,AAA,34,37.0,473.0,768.3333333333333,3355.0,9.349894291754756,0.14504041759709504,0.7062125550843137,4.5112184133489155,0.09622560734197731,34
2,International League,AAA,35,36.0,385.0,589.6666666666666,2586.0,8.961688311688311,0.1450610986040216,0.7206599742554318,4.491451219196761,0.09550908325829384,35
2,International League,AAA,36,15.0,133.0,309.99999999999994,1298.0,12.110902255639099,0.14786979861325117,0.6914685608726008,4.518040163960833,0.07635048484726688,36
2,International League,AAA,37,11.0,78.0,207.0,883.0,13.64102564102564,0.11665345053227635,0.7275583176229581,4.517055609000015,0.10078822471121178,37
2,International League,AAA,38,3.0,23.0,102.33333333333334,436.0,19.152173913043477,0.10321101392201835,0.751000615310889,4.694726205426597,0.0711009136238532,38
2,International League,AAA,39,2.0,10.0,37.333333333333336,154.0,19.0,0.10414285714285712,0.6947483376623377,4.475194805194805,0.08900000000000001,39
2,International League,AAA,40,2.0,8.0,14.0,61.0,8.59375,0.2459016386885246,0.6242881788975411,3.3087214818216992,0.049180329508196716,40
2,International League,AAA,41,2.0,27.0,46.333333333333336,185.0,12.944444444444445,0.22702702702702704,0.7433918192382727,3.6953530494337996,0.08108108108108109,41
2,International League,AAA,43,1.0,2.0,10.666666666666666,43.0,22.625,0.09300000000000001,0.6574269999999999,6.25,0.047,43
2,International League,AAA,45,1.0,9.0,42.0,192.0,25.0,0.11979166999999998,0.6608695635999999,5.041027800525938,0.13020833,45
4,Pacific Coast League,AAA,20,3.0,5.0,9.666666666666666,61.0,4.25,0.016393438032786884,0.6286644163999999,9.303583686976168,0.21319672360655736,20
