Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,IP/G,Age+,FG/G+,K-BB%+,Weak Contact+,xFIP,Pitching Score,Pitcher Prospect Score,Est FB,W,L,ERA,GS,SV,IP,SO,WHIP,BABIP,BB%,K%,K-BB%,Weak Contact,LD%,GB%,FB%,IFFB%,HR/FB%
Javen Coleman,Available,TOR,Florida State League,A,No,24.0,,1.0,22.0,1.7,91.4,183.6,513.2,136.7,1.18,167.5,140.9,1.0,1.0,0.0,0.0,0.0,0.0,1.7,3.0,0.0,0.0,0.0,0.6,0.6,1.0,0.0,0.5,0.5,0.0,0.0
Felix Doroteo,Available,PIT,Florida State League,A,Yes,21.0,,1.0,20.8,2.0,104.5,173.1,366.9,136.7,1.61,156.7,140.9,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.5,0.25,0.0,0.429,0.429,1.0,0.0,0.75,0.25,0.0,0.0
Angel Brachi,Available,MIA,Florida Complex League,CPX,Yes,19.0,,1.0,4.8,0.7,109.2,44.6,361.8,130.4,3.24,152.6,140.8,1.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.5,0.5,0.0,0.333,0.333,1.0,0.0,0.5,0.5,1.0,0.0
Wikelman González,Available,MIA,South Atlantic League,A+,No,24.0,,2.0,9.5,1.2,96.7,76.4,427.0,136.2,1.83,162.7,140.6,3.0,0.0,0.0,0.0,1.0,0.0,2.3,4.0,0.0,0.0,0.0,0.571,0.571,1.0,0.0,0.0,1.0,0.5,0.0
Claudio Estelie,Available,PIT,Florida State League,A,Yes,22.0,,3.0,16.6,1.6,99.7,138.4,398.6,136.7,2.42,159.9,140.4,4.0,0.0,0.0,0.0,0.0,1.0,4.7,8.0,0.21,0.0,0.067,0.533,0.466,1.0,0.0,0.333,0.667,0.75,0.0
Luke Jackson,Available,TBR,Florida Complex League,CPX,No,22.0,,2.0,14.9,1.5,94.3,139.7,651.8,130.4,1.01,163.9,140.1,1.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,0.33,0.0,0.1,0.7,0.6,1.0,0.0,0.5,0.5,1.0,0.0
Tony Santillan,Available,CIN,International League,AAA,Yes,29.0,,3.0,10.0,1.0,93.7,92.5,435.9,139.6,1.38,163.6,139.5,2.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.556,0.556,1.0,0.0,0.5,0.5,0.5,0.0
Armando Lao,Available,DET,Dominican Summer League,R,Yes,19.0,,1.0,6.0,1.0,97.7,62.2,557.1,126.0,6.29,160.1,139.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.25,1.0,0.0,0.5,0.5,1.0,0.0
Nomar Jimenez,Not in Fantrax,KCR,Dominican Summer League,R,Yes,19.0,,1.0,6.0,1.0,97.7,62.2,742.1,126.0,4.1,160.1,139.4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.333,0.333,1.0,0.0,0.0,1.0,0.5,0.0
Zach Crotchfelt,Available,NYM,Florida State League,A,Yes,22.0,,3.0,7.0,1.0,99.7,58.4,379.7,136.7,2.22,158.0,139.1,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.444,0.444,1.0,0.0,0.6,0.4,1.0,0.0
Joel Kuhnel,Available,SF,Pacific Coast League,AAA,Yes,31.0,,2.0,13.4,1.5,87.8,135.1,505.6,141.5,1.52,167.5,138.9,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.33,0.0,0.1,0.6,0.5,1.0,0.0,0.667,0.333,0.0,0.0
Gabe Speier,Available,SEA,Pacific Coast League,AAA,Yes,31.0,,1.0,9.0,1.0,87.8,90.9,674.5,141.5,-0.06,167.5,138.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.667,0.667,1.0,0.0,1.0,0.0,0.0,0.0
