Player,Fantasy Roster,Team,League,Level,Highest League,Age,Draft Class,G,FP/G,IP/G,Age+,FG/G+,K-BB%+,Weak Contact+,xFIP,Pitching Score,Pitcher Prospect Score,Est FB,W,L,ERA,GS,SV,IP,SO,WHIP,BABIP,BB%,K%,K-BB%,Weak Contact,LD%,GB%,FB%,IFFB%,HR/FB%
Winston Santos,Available,TEX,Pacific Coast League,AAA,Yes,24.0,,12.0,14.4,2.8,113.4,145.4,138.5,95.9,5.2,100.3,108.2,28.7,2.0,1.0,6.48,6.0,0.0,33.3,38.0,1.59,0.348,0.11,0.247,0.137,0.678,0.269,0.409,0.323,0.167,0.167
Jose Corniell,Available,TEX,Pacific Coast League,AAA,Yes,23.0,,10.0,11.7,3.5,118.4,117.9,67.8,99.3,5.81,96.1,108.2,38.7,0.0,2.0,6.37,9.0,0.0,35.3,27.0,1.73,0.37,0.097,0.164,0.067,0.702,0.291,0.385,0.325,0.263,0.026
Jose Belisario,Not in Fantrax,ARI,Dominican Summer League,R,Yes,22.0,,19.0,13.7,1.7,84.4,141.9,312.0,103.4,4.48,124.2,108.1,28.6,6.0,1.0,2.48,0.0,4.0,32.7,33.0,1.35,0.326,0.103,0.243,0.14,0.82,0.154,0.513,0.333,0.269,0.077
Logan Martin,Available,SF,Arizona Complex League,CPX,No,24.0,,6.0,18.2,1.7,86.5,170.7,292.5,103.6,3.4,122.4,108.1,5.0,3.0,0.0,0.87,1.0,1.0,10.3,13.0,0.39,0.15,0.029,0.382,0.353,0.8,0.2,0.55,0.25,0.6,0.0
Adam Smith,Available,SEA,Northwest League,A+,No,26.0,,16.0,14.0,1.7,89.1,109.7,191.0,112.8,3.9,120.3,108.1,22.6,3.0,1.0,1.67,0.0,3.0,27.0,31.0,0.96,0.273,0.046,0.287,0.241,0.835,0.119,0.537,0.343,0.13,0.13
Gabriel Barbosa,Available,PHI,South Atlantic League,A+,No,24.0,,9.0,12.2,1.7,96.7,98.2,213.1,102.9,3.33,113.9,108.1,15.8,1.0,1.0,2.35,0.0,1.0,15.3,21.0,1.17,0.385,0.048,0.333,0.285,0.756,0.243,0.351,0.405,0.2,0.0
Erik Tolman,Available,WSH,International League,AAA,Yes,27.0,,32.0,7.6,1.0,100.6,70.4,105.8,111.6,4.43,110.7,108.1,23.0,3.0,2.0,5.23,1.0,3.0,31.0,42.0,1.61,0.319,0.163,0.298,0.135,0.8,0.147,0.533,0.32,0.125,0.167
Jacob Kisting,Available,MIA,South Atlantic League,A+,No,23.0,,18.0,30.8,4.8,100.9,247.9,173.5,103.6,4.12,110.5,108.1,92.9,6.0,0.0,1.67,16.0,1.0,86.0,96.0,0.87,0.237,0.053,0.285,0.232,0.761,0.211,0.357,0.432,0.283,0.065
Luke Stofel,Available,DET,Eastern League,AA,Yes,24.0,,1.0,-0.2,1.0,103.1,-2.0,103.1,109.6,3.45,108.7,108.1,1.2,0.0,0.0,9.0,0.0,0.0,1.0,1.0,3.0,0.5,0.0,0.143,0.143,0.8,0.2,0.6,0.2,0.0,0.0
Misael Almanzar,Not in Fantrax,LAA,Dominican Summer League,R,Yes,18.0,,13.0,7.9,1.7,103.2,81.6,198.3,98.5,5.78,108.6,108.1,32.6,1.0,1.0,3.68,0.0,0.0,22.0,21.0,1.5,0.328,0.119,0.208,0.089,0.782,0.218,0.273,0.509,0.357,0.0
Roldanny Sena,Not in Fantrax,BAL,Dominican Summer League,R,Yes,18.0,,14.0,7.6,1.6,103.2,78.5,140.4,105.2,5.37,108.6,108.1,29.5,2.0,0.0,4.84,0.0,1.0,22.3,17.0,1.88,0.386,0.09,0.153,0.063,0.835,0.164,0.479,0.356,0.308,0.0
Melvin Rodriguez,Available,MIN,Florida Complex League,CPX,No,20.0,,11.0,18.3,3.1,103.8,171.6,128.2,106.0,6.3,108.1,108.1,47.8,3.0,1.0,6.15,4.0,1.0,33.7,40.0,1.43,0.256,0.145,0.263,0.118,0.813,0.113,0.275,0.613,0.184,0.122
Will Gagnon,Available,LAD,Midwest League,A+,Yes,22.0,,4.0,31.3,4.4,104.4,254.9,201.4,97.0,3.38,107.6,108.1,8.0,1.0,1.0,1.53,4.0,0.0,17.7,26.0,1.08,0.222,0.122,0.351,0.229,0.723,0.222,0.556,0.222,0.25,0.25
Jaden Hill,Available,COL,Pacific Coast League,AAA,Yes,26.0,,2.0,6.1,1.0,104.7,61.9,-126.4,141.5,8.55,107.3,108.1,3.0,0.0,0.0,4.5,0.0,0.0,2.0,1.0,1.5,0.2,0.25,0.125,-0.125,1.0,0.0,0.4,0.6,0.333,0.0
Lucas Kelly,Available,SEA,Northwest League,A+,No,22.0,,24.0,9.8,1.3,105.3,77.0,202.1,96.2,3.27,106.9,108.1,15.0,2.0,3.0,4.88,0.0,0.0,31.3,57.0,1.47,0.407,0.149,0.404,0.255,0.712,0.271,0.475,0.254,0.2,0.067
Mavis Graves,Available,PHI,South Atlantic League,A+,No,22.0,,16.0,21.4,3.6,105.5,171.9,168.3,99.8,4.09,106.6,108.1,47.5,1.0,7.0,4.78,16.0,0.0,58.3,86.0,1.35,0.311,0.114,0.339,0.225,0.733,0.176,0.435,0.389,0.235,0.235
Jackson Brockett,Available,CHC,Southern League,AA,Yes,23.0,,4.0,13.1,2.8,107.3,101.7,58.7,110.8,4.25,105.3,108.1,3.9,1.0,1.0,8.18,1.0,0.0,11.0,12.0,1.82,0.355,0.154,0.231,0.077,0.813,0.156,0.719,0.125,0.5,0.25
Derek Diamond,Available,PIT,International League,AAA,Yes,25.0,,25.0,9.0,1.4,108.7,83.4,116.0,102.9,4.42,104.1,108.1,32.8,5.0,0.0,3.75,2.0,1.0,36.0,31.0,1.36,0.336,0.051,0.199,0.148,0.737,0.228,0.474,0.298,0.206,0.118
Cameron Millar,Available,KC,Arizona Complex League,CPX,Yes,19.0,,7.0,15.6,2.4,109.3,147.0,285.0,82.8,3.81,103.5,108.1,12.9,1.0,1.0,4.76,6.0,0.0,17.0,25.0,1.06,0.323,0.047,0.391,0.344,0.639,0.222,0.361,0.417,0.267,0.333
Daviel Hurtado,Available,NYM,South Atlantic League,A+,Yes,21.0,,17.0,25.5,4.5,110.6,204.9,118.2,100.9,3.94,102.6,108.1,45.1,5.0,3.0,2.69,15.0,1.0,77.0,74.0,1.01,0.242,0.085,0.243,0.158,0.741,0.239,0.533,0.228,0.156,0.089
Alexander Alberto,Available,TB,International League,AAA,Yes,24.0,,25.0,7.6,1.1,113.2,70.2,101.9,100.2,3.92,100.4,108.1,14.4,1.0,0.0,5.33,5.0,4.0,27.0,29.0,1.59,0.333,0.106,0.236,0.13,0.718,0.218,0.59,0.192,0.4,0.333
Luke Holman,Available,CIN,Arizona Complex League,CPX,Yes,23.0,,4.0,10.4,1.7,90.3,97.5,245.2,105.3,4.44,119.1,108.0,6.0,0.0,0.0,2.7,4.0,0.0,6.7,9.0,0.9,0.313,0.037,0.333,0.296,0.813,0.188,0.438,0.375,0.167,0.0
Omar Cruz,Available,SD,Texas League,AA,No,27.0,,15.0,14.9,1.9,90.8,126.8,231.1,106.4,3.47,118.7,108.0,22.8,3.0,2.0,3.45,2.0,1.0,28.7,45.0,1.08,0.298,0.085,0.381,0.296,0.766,0.167,0.433,0.4,0.208,0.167
Bryan Perez,Available,COL,Arizona Complex League,CPX,No,22.0,,1.0,-2.8,0.3,94.4,-25.8,0.0,129.5,7.9,115.7,108.0,0.0,0.0,0.0,81.0,0.0,0.0,0.3,1.0,9.0,1.0,0.25,0.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Josh Simpson,Available,SEA,Pacific Coast League,AAA,Yes,28.0,,31.0,7.9,1.1,97.2,80.1,180.0,106.2,4.21,113.4,108.0,21.8,0.0,1.0,3.18,0.0,2.0,34.0,40.0,1.21,0.287,0.096,0.274,0.178,0.75,0.227,0.523,0.25,0.091,0.091
Nathan Arends,Available,ATH,Dominican Summer League,R,Yes,19.0,,7.0,5.1,1.1,97.7,52.6,222.8,100.8,5.22,113.0,108.0,11.0,1.0,0.0,9.0,0.0,0.0,8.0,9.0,2.0,0.4,0.125,0.225,0.1,0.8,0.16,0.4,0.44,0.273,0.091
Jake Eder,Available,LAD,Pacific Coast League,AAA,Yes,27.0,,18.0,6.9,1.2,100.8,69.8,102.1,111.7,5.32,110.4,108.0,18.6,0.0,0.0,4.29,1.0,0.0,21.0,20.0,1.43,0.321,0.124,0.225,0.101,0.789,0.193,0.474,0.333,0.211,0.053
Jhon Cabral,Available,CHC,Arizona Complex League,CPX,No,20.0,,6.0,6.5,0.9,103.9,61.1,171.5,100.8,4.81,107.8,108.0,2.7,0.0,0.0,11.12,0.0,0.0,5.7,13.0,2.12,0.5,0.241,0.448,0.207,0.778,0.111,0.556,0.333,0.0,0.333
Roderic Ramirez,Available,CHW,Dominican Summer League,R,Yes,17.0,,11.0,9.7,3.0,109.2,100.6,133.7,100.2,5.6,103.5,108.0,37.2,0.0,3.0,6.75,11.0,0.0,33.3,27.0,1.83,0.361,0.101,0.161,0.06,0.795,0.196,0.491,0.313,0.143,0.029
Berny Ortiz,Available,BOS,Carolina League,A,Yes,20.0,,5.0,13.1,3.1,109.1,100.3,119.0,101.9,4.54,103.5,108.0,17.4,0.0,2.0,4.02,3.0,0.0,15.7,14.0,1.15,0.283,0.076,0.212,0.136,0.756,0.244,0.378,0.378,0.353,0.0
Hurston Waldrep,Available,ATL,International League,AAA,Yes,24.0,,3.0,17.0,3.6,113.2,157.3,0.0,111.7,5.28,100.1,108.0,6.0,0.0,0.0,0.84,3.0,0.0,10.7,8.0,1.12,0.16,0.195,0.195,0.0,0.8,0.2,0.56,0.24,0.333,0.0
Adrian Martinez,Available,MIN,Dominican Summer League,R,Yes,16.0,,11.0,12.8,2.7,116.1,132.2,104.7,97.0,6.45,97.8,108.0,40.0,1.0,2.0,6.67,10.0,0.0,29.7,35.0,1.85,0.308,0.189,0.236,0.047,0.77,0.192,0.295,0.513,0.275,0.075
Carlos Vargas,Available,SEA,Northwest League,A+,No,26.0,,1.0,3.0,1.0,89.1,23.5,0.0,135.1,3.72,120.0,107.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Joey Danielson,Available,TEX,South Atlantic League,A+,No,25.0,,20.0,11.4,1.1,92.9,92.0,86.0,120.9,5.15,116.8,107.9,20.9,2.0,1.0,1.25,1.0,7.0,21.7,25.0,1.02,0.149,0.172,0.287,0.115,0.888,0.111,0.444,0.444,0.25,0.0
Melvin Pineda,Not in Fantrax,SFG,Arizona Complex League,CPX,No,22.0,,20.0,12.5,1.3,94.4,117.7,218.7,104.2,4.56,115.6,107.9,13.6,3.0,2.0,4.39,0.0,2.0,26.7,54.0,1.42,0.375,0.182,0.446,0.264,0.805,0.171,0.488,0.341,0.429,0.071
Jackson Wolf,Available,DET,International League,AAA,Yes,27.0,,5.0,31.8,4.5,100.6,293.8,181.1,102.6,3.52,110.4,107.9,15.3,2.0,1.0,1.59,4.0,0.0,22.7,30.0,0.93,0.24,0.099,0.33,0.231,0.735,0.265,0.429,0.306,0.267,0.0
Jeff Criswell,Available,COL,Pacific Coast League,AAA,Yes,27.0,,24.0,7.0,1.2,100.8,71.0,117.3,109.9,5.48,110.3,107.9,29.2,1.0,0.0,6.14,1.0,1.0,29.3,32.0,1.53,0.324,0.132,0.248,0.116,0.776,0.171,0.434,0.395,0.2,0.133
Hendry Chivilli,Available,MIN,Florida Complex League,CPX,No,20.0,,8.0,19.5,3.1,103.8,183.4,76.0,111.8,5.54,107.9,107.9,23.7,2.0,0.0,2.52,0.0,2.0,25.0,20.0,1.24,0.262,0.13,0.2,0.07,0.857,0.127,0.508,0.365,0.087,0.043
Sandy Ozuna,Available,COL,Arizona Complex League,CPX,No,20.0,,7.0,12.0,2.0,103.9,112.8,238.6,93.0,4.36,107.8,107.9,12.2,0.0,1.0,4.5,7.0,0.0,14.0,21.0,1.14,0.3,0.068,0.356,0.288,0.718,0.188,0.406,0.406,0.231,0.231
Jose Montero,Available,CIN,Midwest League,A+,No,22.0,,10.0,23.5,4.6,104.4,191.5,90.6,109.5,5.0,107.3,107.9,39.0,3.0,2.0,3.13,8.0,0.0,46.0,41.0,1.2,0.241,0.12,0.223,0.103,0.815,0.143,0.521,0.336,0.225,0.125
Victor Santos,Available,STL,International League,AAA,Yes,25.0,,10.0,7.2,1.6,108.7,66.9,58.8,109.0,6.31,103.7,107.9,23.6,0.0,1.0,2.87,0.0,0.0,15.7,14.0,1.21,0.214,0.134,0.209,0.075,0.781,0.195,0.244,0.561,0.304,0.043
Gage Wood,Lászlaró Tóth (MINORS),PHI,Eastern League,AA,Yes,22.0,,16.0,23.6,4.0,112.5,188.5,198.9,89.4,3.07,100.6,107.9,43.4,0.0,3.0,4.81,16.0,0.0,63.7,94.0,1.29,0.349,0.065,0.341,0.276,0.652,0.265,0.439,0.297,0.109,0.283
Trey Gibson,Available,BAL,International League,AAA,Yes,24.0,,18.0,20.7,4.6,113.2,191.4,91.7,101.1,4.31,100.1,107.9,62.2,3.0,6.0,4.04,18.0,0.0,82.3,72.0,1.4,0.317,0.088,0.205,0.117,0.724,0.243,0.498,0.259,0.206,0.127
Thomas Ireland,Available,TEX,Pacific Coast League,AAA,Yes,24.0,,18.0,9.5,1.9,113.4,95.5,117.3,97.8,5.29,99.8,107.9,38.2,1.0,0.0,4.93,0.0,0.0,34.7,33.0,1.59,0.352,0.096,0.212,0.116,0.691,0.28,0.355,0.364,0.231,0.077
Jarrette Bonet,Available,MIL,Midwest League,A+,Yes,20.0,,2.0,18.1,4.5,114.9,147.6,80.0,100.8,5.25,98.7,107.9,8.6,0.0,0.0,3.0,1.0,0.0,9.0,6.0,0.78,0.13,0.091,0.182,0.091,0.75,0.208,0.417,0.375,0.111,0.111
Florangel Vasquez,Not in Fantrax,SDP,Midwest League,A+,Yes,20.0,,1.0,6.8,2.3,114.9,55.0,0.0,110.0,7.26,98.7,107.9,4.0,0.0,0.0,3.86,0.0,0.0,2.3,1.0,2.14,0.364,0.077,0.077,0.0,0.819,0.182,0.455,0.364,0.25,0.0
Blake Treinen,Available,LAD,Pacific Coast League,AAA,Yes,38.0,,6.0,7.5,0.9,71.6,75.7,184.1,129.6,5.24,134.2,107.8,4.0,0.0,0.0,0.0,0.0,0.0,5.3,6.0,0.75,0.167,0.091,0.273,0.182,0.916,0.083,0.583,0.333,0.25,0.0
Brayan Cabello,Available,SF,Dominican Summer League,R,Yes,22.0,,19.0,12.0,1.9,84.4,124.8,160.4,120.3,5.35,123.7,107.8,35.2,7.0,1.0,1.24,0.0,0.0,36.3,26.0,0.91,0.179,0.114,0.186,0.072,0.955,0.045,0.584,0.371,0.273,0.0
Daison Acosta,Available,SD,Midwest League,A+,No,27.0,,3.0,9.7,1.8,85.1,78.7,138.9,122.1,4.3,123.1,107.8,2.0,0.0,0.0,0.0,0.0,0.0,5.3,5.0,0.75,0.182,0.105,0.263,0.158,0.909,0.091,0.727,0.182,0.5,0.0
Fayon Dumorne,Not in Fantrax,TOR,Dominican Summer League,R,Yes,20.0,,16.0,12.3,1.8,92.9,128.0,220.6,105.3,5.44,116.7,107.8,31.0,4.0,2.0,2.86,1.0,2.0,28.3,33.0,1.27,0.206,0.174,0.273,0.099,0.836,0.131,0.377,0.492,0.233,0.067
Brian Metoyer,Available,NYM,International League,AAA,Yes,29.0,,11.0,12.6,1.1,93.7,116.5,185.0,108.6,3.82,116.0,107.8,7.4,4.0,1.0,3.86,0.0,1.0,11.7,21.0,1.2,0.263,0.176,0.412,0.236,0.778,0.222,0.389,0.389,0.286,0.0
Frankeli Mesta,Available,PIT,Dominican Summer League,R,Yes,19.0,,1.0,14.0,0.7,97.7,145.2,0.0,126.0,6.92,112.6,107.8,2.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Boris Sarduy,Available,SF,Dominican Summer League,R,Yes,19.0,,1.0,1.0,0.3,97.7,10.4,0.0,126.0,4.47,112.6,107.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Jose Marcano,Available,TEX,Dominican Summer League,R,Yes,19.0,,1.0,-8.0,0.0,97.7,-83.0,0.0,126.0,5.29,112.6,107.8,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0
Jackson Steensma,Available,SEA,California League,A,Yes,22.0,,15.0,16.2,2.9,99.5,132.5,238.7,96.9,3.79,111.2,107.8,33.8,0.0,6.0,4.57,12.0,0.0,43.3,61.0,1.06,0.298,0.057,0.349,0.292,0.73,0.19,0.45,0.36,0.306,0.222
Frenny Grant,Available,DET,Florida State League,A,Yes,22.0,,7.0,17.2,1.9,99.7,143.6,253.2,95.0,2.72,111.0,107.8,5.0,1.0,0.0,1.38,0.0,1.0,13.0,23.0,1.08,0.304,0.13,0.426,0.296,0.695,0.304,0.478,0.217,0.4,0.0
Alex McFarlane,Available,PHI,International League,AAA,Yes,25.0,,4.0,10.6,1.1,108.7,97.7,276.8,83.8,2.03,103.6,107.8,2.8,0.0,0.0,0.0,0.0,0.0,4.3,8.0,0.69,0.143,0.118,0.471,0.353,0.6,0.4,0.2,0.4,0.0,0.0
Xavier Mitchell,Available,LAA,Arizona Complex League,CPX,Yes,19.0,,9.0,13.2,2.7,109.3,123.7,111.0,102.2,5.55,103.0,107.8,16.6,0.0,4.0,9.99,9.0,0.0,24.3,40.0,2.05,0.407,0.183,0.317,0.134,0.789,0.158,0.561,0.281,0.063,0.188
Ubaldo Soto,Available,LAA,California League,A,Yes,19.0,,22.0,22.7,4.3,115.2,185.2,136.5,93.7,4.82,98.2,107.8,73.1,5.0,8.0,5.7,21.0,0.0,94.7,118.0,1.64,0.385,0.106,0.273,0.167,0.706,0.248,0.462,0.29,0.132,0.158
Patrick Corbin,Available,TOR,Florida State League,A,Yes,36.0,,1.0,48.8,5.0,60.9,406.8,342.1,121.5,1.44,143.0,107.7,2.2,1.0,0.0,0.0,1.0,0.0,5.0,9.0,1.0,0.4,0.05,0.45,0.4,0.889,0.111,0.667,0.222,0.0,0.0
Enyel De Los Santos,Available,HOU,Pacific Coast League,AAA,Yes,30.0,,2.0,9.0,1.2,90.7,90.9,126.4,118.0,7.35,118.3,107.7,4.0,1.0,0.0,0.0,0.0,0.0,2.3,1.0,0.0,0.0,0.0,0.125,0.125,0.834,0.167,0.167,0.667,0.25,0.0
Brandon Neeck,Available,PIT,Eastern League,AA,No,26.0,,16.0,12.7,1.7,95.2,101.5,167.2,109.1,3.59,114.6,107.7,17.0,1.0,1.0,1.33,1.0,0.0,27.0,42.0,1.15,0.288,0.143,0.375,0.232,0.796,0.204,0.469,0.327,0.188,0.0
Darwin Roa,Available,PIT,Dominican Summer League,R,No,19.0,,3.0,15.4,2.7,97.7,159.9,66.9,118.2,6.21,112.5,107.7,6.0,0.0,0.0,1.13,3.0,0.0,8.0,9.0,1.38,0.188,0.235,0.265,0.03,0.938,0.063,0.563,0.375,0.0,0.0
Todd Kniebbe,Available,BAL,Carolina League,A,No,22.0,,13.0,12.2,1.4,99.2,93.3,236.2,97.3,2.89,111.3,107.7,9.5,1.0,1.0,2.41,0.0,3.0,18.7,27.0,1.07,0.342,0.095,0.365,0.27,0.722,0.278,0.472,0.25,0.222,0.0
Winyer Chourio,Available,SD,California League,A,No,22.0,,12.0,28.1,4.3,99.5,229.4,187.2,102.7,4.35,111.1,107.7,36.3,2.0,1.0,3.31,11.0,0.0,51.7,74.0,1.22,0.321,0.117,0.346,0.229,0.774,0.198,0.468,0.333,0.324,0.081
José Davila,Available,STL,Midwest League,A+,No,23.0,,15.0,8.3,1.3,99.9,67.8,146.8,107.0,4.32,110.8,107.7,14.0,0.0,0.0,6.98,0.0,1.0,19.3,27.0,1.66,0.388,0.133,0.3,0.167,0.797,0.184,0.531,0.286,0.143,0.071
Tayler Montiel,Available,ARI,Northwest League,A+,No,23.0,,14.0,12.7,1.4,100.7,99.7,202.9,99.6,3.28,110.0,107.7,10.9,1.0,2.0,3.66,0.0,2.0,19.7,32.0,1.37,0.316,0.116,0.372,0.256,0.738,0.143,0.571,0.286,0.083,0.417
Pierce George,Available,CHW,South Atlantic League,A+,No,23.0,,15.0,10.8,1.1,100.9,86.7,216.9,97.9,3.6,109.9,107.7,13.1,1.0,1.0,3.18,0.0,4.0,17.0,27.0,1.0,0.233,0.101,0.391,0.29,0.719,0.188,0.375,0.438,0.0,0.214
Zach Root,Available,LAD,Midwest League,A+,No,22.0,,15.0,25.6,4.0,104.4,208.0,178.5,99.0,3.81,107.0,107.7,41.5,3.0,3.0,2.4,15.0,0.0,60.0,79.0,1.18,0.297,0.117,0.32,0.203,0.737,0.256,0.444,0.301,0.15,0.025
Malachi Witherspoon,Available,DET,Florida State League,A,Yes,21.0,,21.0,19.1,3.7,104.5,159.6,164.2,100.6,3.83,106.9,107.7,41.6,3.0,5.0,5.61,21.0,0.0,77.0,93.0,1.36,0.342,0.078,0.27,0.192,0.736,0.221,0.574,0.206,0.286,0.214
Cam Day,Available,LAD,Texas League,AA,Yes,23.0,,46.0,8.5,1.3,106.6,72.4,66.4,109.8,5.42,105.2,107.7,44.5,3.0,2.0,4.45,0.0,8.0,58.7,58.0,1.48,0.301,0.14,0.225,0.085,0.791,0.177,0.532,0.291,0.283,0.109
Blade Tidwell,Available,SF,Pacific Coast League,AAA,Yes,25.0,,16.0,22.7,4.5,108.9,229.6,137.5,99.4,5.04,103.3,107.7,67.0,2.0,3.0,4.38,15.0,0.0,72.0,78.0,1.46,0.323,0.11,0.246,0.136,0.703,0.256,0.395,0.349,0.25,0.118
Tommy Vail,Available,CHW,Arizona Complex League,CPX,No,27.0,,4.0,10.1,1.3,76.9,94.6,264.3,115.1,4.52,129.6,107.6,5.3,0.0,0.0,3.38,0.0,0.0,5.3,10.0,1.31,0.375,0.136,0.455,0.319,0.889,0.0,0.333,0.667,0.0,0.167
David Lorduy,Available,CIN,Arizona Complex League,CPX,No,22.0,,3.0,15.8,2.3,94.4,148.0,275.9,97.1,2.26,115.1,107.6,1.1,0.0,0.0,6.43,1.0,0.0,7.0,13.0,1.57,0.471,0.061,0.394,0.333,0.75,0.188,0.75,0.063,0.0,1.0
Luke Murphy,Available,LAA,Southern League,AA,Yes,26.0,,34.0,13.6,1.1,94.9,105.5,192.3,106.3,3.54,114.7,107.6,30.4,2.0,1.0,0.71,0.0,18.0,38.0,47.0,0.82,0.23,0.068,0.32,0.252,0.779,0.209,0.442,0.349,0.233,0.033
Orlando Gonzalez,Available,PHI,Florida State League,A,Yes,23.0,,10.0,13.1,1.8,95.4,109.1,222.4,102.4,3.55,114.4,107.6,11.7,2.0,0.0,3.57,0.0,0.0,17.7,27.0,1.19,0.343,0.11,0.37,0.26,0.749,0.222,0.444,0.333,0.167,0.083
Jervis Alfaro,Available,CLE,Carolina League,A,No,22.0,,9.0,23.8,3.9,99.2,182.4,189.9,102.5,3.31,111.1,107.6,26.4,3.0,2.0,3.37,1.0,0.0,34.7,43.0,1.44,0.4,0.074,0.291,0.217,0.76,0.207,0.5,0.293,0.444,0.111
Irving Cota,Available,NYM,Florida State League,A,No,22.0,,2.0,6.1,1.0,99.7,51.1,284.8,91.0,2.45,110.7,107.6,2.0,0.0,0.0,4.5,1.0,0.0,2.0,3.0,1.5,0.5,0.0,0.333,0.333,0.666,0.333,0.333,0.333,0.5,0.0
Rafe Schlesinger,Available,CLE,Midwest League,A+,No,23.0,,11.0,25.7,4.1,99.9,209.4,194.3,101.3,3.91,110.6,107.6,37.6,3.0,2.0,4.4,10.0,0.0,45.0,63.0,1.51,0.389,0.089,0.31,0.221,0.754,0.193,0.474,0.333,0.105,0.158
Carson Seymour,Available,SF,Pacific Coast League,AAA,Yes,27.0,,22.0,20.0,3.5,100.8,201.7,124.4,108.4,4.68,109.8,107.6,50.1,5.0,2.0,3.79,9.0,4.0,76.0,70.0,1.29,0.296,0.097,0.22,0.123,0.766,0.205,0.552,0.243,0.157,0.118
Marcus Brown,Available,HOU,Eastern League,AA,Yes,24.0,,1.0,0.2,1.0,103.1,2.0,-120.3,137.1,10.31,107.9,107.6,2.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,3.0,0.4,0.167,0.0,-0.167,1.0,0.0,0.6,0.4,0.0,0.0
Brandon Neeck,Available,PIT,International League,AAA,Yes,26.0,,23.0,10.8,1.6,104.5,99.6,134.9,103.8,4.66,106.8,107.6,32.1,3.0,3.0,3.28,0.0,0.0,35.7,53.0,1.46,0.319,0.166,0.338,0.172,0.743,0.216,0.338,0.446,0.121,0.091
Jagger Haynes,Available,SD,Texas League,AA,No,23.0,,18.0,23.9,5.3,106.6,203.5,85.9,107.4,5.27,105.0,107.6,78.7,3.0,3.0,4.37,18.0,0.0,94.7,85.0,1.27,0.276,0.102,0.212,0.11,0.774,0.192,0.498,0.31,0.148,0.111
Carlos Martorella,Not in Fantrax,COL,Arizona Complex League,CPX,Yes,19.0,,18.0,12.7,2.0,109.3,119.4,81.2,105.4,6.27,102.8,107.6,38.4,3.0,0.0,4.95,0.0,5.0,36.3,32.0,1.51,0.369,0.11,0.208,0.098,0.814,0.186,0.441,0.373,0.184,0.0
Joangel Gonzalez,Available,ARI,Northwest League,A+,Yes,21.0,,34.0,10.4,1.8,110.3,81.4,61.0,106.7,6.01,101.9,107.6,63.6,4.0,3.0,7.08,0.0,2.0,61.0,74.0,1.82,0.311,0.17,0.247,0.077,0.79,0.15,0.455,0.395,0.258,0.152
Jacob Wallace,Available,CHC,South Atlantic League,A+,No,27.0,,2.0,6.2,1.5,86.0,50.2,136.1,121.1,6.1,121.9,107.5,6.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.67,0.222,0.0,0.182,0.182,0.889,0.111,0.222,0.667,0.167,0.0
Kyle Hayes,Available,WSH,Eastern League,AA,Yes,28.0,,1.0,3.0,1.0,88.4,24.0,0.0,137.1,7.31,120.0,107.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,0.667,0.5,0.0
Jordi Infante,Not in Fantrax,TBR,Florida Complex League,CPX,No,21.0,,11.0,16.2,2.4,98.8,152.1,257.5,94.8,3.75,111.3,107.5,21.3,3.0,3.0,4.85,2.0,1.0,26.0,36.0,1.35,0.344,0.079,0.316,0.237,0.727,0.212,0.455,0.333,0.409,0.182
Juan Ledezma,Available,ARI,Arizona Complex League,CPX,No,21.0,,9.0,12.0,1.1,98.9,112.5,237.0,97.1,3.81,111.2,107.5,5.8,0.0,0.0,0.0,0.0,3.0,9.7,15.0,0.93,0.261,0.071,0.357,0.286,0.75,0.25,0.5,0.25,0.0,0.0
Victor Diaz,Available,CIN,Midwest League,A+,No,23.0,,31.0,13.6,1.7,99.9,110.6,149.5,106.4,4.68,110.5,107.5,44.1,3.0,1.0,3.33,0.0,5.0,51.3,76.0,1.44,0.294,0.162,0.332,0.17,0.792,0.162,0.432,0.405,0.356,0.111
Mathias LaCombe,Available,CHW,Southern League,AA,Yes,24.0,,14.0,8.3,1.2,102.8,64.2,117.5,107.1,5.28,108.0,107.5,15.6,0.0,0.0,6.48,1.0,0.0,16.7,22.0,1.44,0.317,0.128,0.282,0.154,0.786,0.19,0.429,0.381,0.063,0.063
