Source League ID,League Name,League Level,Players,Total G,Total IP,Total TBF,Average Age,FGPts_per_game,K_BB_pct,Weak_Contact,xFIP,BB_pct
2,International League,AAA,874.0,12878.0,25529.333333333332,112073.0,27.2447511889572,10.900520307525044,0.13886447343919184,0.717876293741415,4.493692992163264,0.10280696831031526
4,Pacific Coast League,AAA,449.0,6673.0,13141.0,59410.0,27.048342029961287,10.124719016933913,0.10388823437535769,0.7077450062472989,5.5136471150037005,0.11248287654518087
5,Eastern League,AA,438.0,6351.0,14145.999999999998,60309.0,24.706511465950356,12.732952755905512,0.13747533508663717,0.739197098223893,3.8862275592239723,0.10185772993551406
6,Southern League,AA,263.0,4093.0,9415.0,40005.0,24.754705661792276,13.138773515758611,0.12955880449168855,0.7486209836835491,3.729044553224487,0.1059723970612296
7,Texas League,AA,327.0,5571.0,12058.666666666666,52335.0,24.49957007738607,11.980165140908275,0.1256138336403936,0.7323796740177251,4.246050320576937,0.10465806983310659
8,California League,A,290.0,4110.0,9319.666666666664,41637.0,21.708960780075415,12.446859021183345,0.1164349021449672,0.7753196553961053,4.611695822008308,0.11816076380367656
9,Carolina League,A,449.0,5688.0,13428.0,58324.0,21.6844180783211,13.252241561181435,0.12001920319353954,0.7543570652806226,4.049176304600862,0.11822745068376657
10,Florida State League,A,492.0,5059.0,11151.333333333332,49115.0,21.909477756286268,12.134957501482507,0.11155451500946759,0.7384987929099471,4.374959412049752,0.12254397155970671
11,Midwest League,A+,398.0,5913.0,13621.666666666668,59241.0,23.128610253034218,12.605826145780483,0.11243901992977835,0.7601263311318092,4.159034189178643,0.11319538716587518
13,Northwest League,A+,195.0,3132.0,6954.333333333334,30443.0,23.182077981802056,12.387611749680715,0.1260388260171468,0.7554684596066554,4.530107269688021,0.11153605273350697
14,South Atlantic League,A+,459.0,5984.0,13442.666666666668,57541.0,23.22321475122087,13.009776069518717,0.14099511646964774,0.7524477948617625,3.9391799737127142,0.1078919336983287
16,Arizona Complex League,CPX,487.0,3662.0,7369.0,33319.0,20.767399981992256,10.890262223436219,0.12257270616194965,0.7830319252979543,5.212919494244855,0.11763075226667898
17,Florida Complex League,CPX,466.0,3237.0,6690.333333333333,29715.0,20.703886925795054,11.473586654309546,0.10600706705771495,0.7866042432774215,4.449136484297765,0.13241696090905974
30,Dominican Summer League,R,1052.0,10934.0,22612.0,104427.0,18.53830905800224,10.179440278031826,0.06214852604498865,0.794605918255042,5.374078758950168,0.14763885082201905
