Metric,Suggested Threshold,Players,Std Dev,P95,P99,Max,Max Player,Max League,Max AB,Reference Std @300
Age+,25,4124,8.366705016507916,114.14413330642785,121.58454317581548,140.78210262462846,Nelson Rada,Pacific Coast League,161,8.111779996562102
Approach+,125,2127,51.14593659107432,192.3477437945529,281.7450828744831,520.5724875091696,Emmanuel Cedeno,Dominican Summer League,158,46.78090356428668
HR/FB+,200,1146,52.96307654114928,186.595728748733,237.24957734780193,318.0795300318259,Tim Elko,International League,373,49.602140400858644
LD%+,200,1146,14.447546341718033,124.04829838854764,135.26925509702028,152.7468215100592,Sebastian Blanco,Dominican Summer League,203,13.17656448520669
Speed+,75,3090,34.740979221903366,154.6306888915756,169.69990201814494,194.3031859253028,Luis Valdez,Eastern League,127,31.633632147577433
