League Name,League Level,Age,Players,Total PA,Weighted K%,Weighted BB%,Weighted LD%,Weighted wRC+
California League,A,18,19,2118,0.2327667606279509,0.10906515531397544,0.2061357186029273,93.55405088019315
California League,A,19,45,8454,0.24106931588384198,0.108232788693163,0.20359613122498227,99.4597126780036
California League,A,20,53,10651,0.25161956575683037,0.11623321704140456,0.21219558344596753,93.33728450338332
California League,A,21,65,9766,0.2346917874027237,0.1103829607987917,0.21148795013977062,101.65045926300981
California League,A,22,74,13927,0.22826164952825445,0.11754146575687512,0.21058807615121708,104.85657304411083
California League,A,23,52,9558,0.236765013230906,0.12847876083291485,0.20147834009123247,99.13872419102725
California League,A,24,23,3095,0.2465266554274636,0.13634894947334408,0.21562660916284326,100.23082365168301
California League,A,25,11,1023,0.22385141690322577,0.095796675943304,0.19054765599706747,105.46220010792217
California League,A,26,1,6,0.0,0.0,0.166666666,346.94684316087915
California League,A,27,1,20,0.2,0.2,0.166666666,99.30542484561772
California League,A,28,1,8,0.125,0.0,0.428571428,212.6810179838645
California League,A,30,1,10,0.2,0.4,0.0,126.20948871865626
California League,A,32,1,3,0.333333333,0.666666666,0.0,199.54231279008025
Carolina League,A,17,5,403,0.253101736426799,0.09429280358560793,0.2950482671215881,89.84278850122098
Carolina League,A,18,39,6088,0.23291721383459266,0.1115308799144218,0.22584185672503287,98.96582992120321
Carolina League,A,19,115,21667,0.2433193330369225,0.11995200026634972,0.22858826962389808,99.75503457383529
Carolina League,A,20,133,21291,0.24794514068221313,0.11361608141886242,0.2275064248842234,97.35773601126274
Carolina League,A,21,106,12910,0.24399690113338493,0.1254841203476375,0.22527631912726567,97.33731282811424
Carolina League,A,22,100,12217,0.2369648845164934,0.1264631246473766,0.22723338541851515,100.31243252472517
Carolina League,A,23,41,4169,0.2518589585560087,0.13600383735092347,0.22613403135236265,114.94620386400152
Carolina League,A,24,27,3176,0.24086901697512594,0.1268891682459068,0.22751474231643576,107.38094588482366
