Player Name,Team,League Name,AB,wRC+,Age+ RobustZ+,Approach+ RobustZ+,Speed+ RobustZ+,LD%+ RobustZ+,HR/FB+ RobustZ+,5 Tool RobustZ+,Hitter RobustZ+
Gabriel Davalillo,LAA,California League,151,88.46815253107764,137.33845948260998,94.776145670145,64.84493448715762,108.81806367893712,107.66708750980305,102.68893816573055,103.7537656196284
Jose Verdugo,SDP,California League,156,87.67630853207147,137.33845948260998,107.35541552645444,116.20900493881287,128.29513627734315,88.20457015310606,115.4805172756653,107.95170731896788
Breyson Guedez,OAK,California League,209,59.11594576807051,137.33845948260998,83.45648101335793,83.97916725658585,135.51609038918525,94.99809025869367,107.05765768008655,104.65688722041227
Ashly Andujar,COL,California League,31,38.95217700400381,137.33845948260998,115.84402669071645,100.59542974318659,79.42023591962018,112.83108091799663,109.20584655082595,102.69844784277775
Chase Harlan,LAD,California League,165,156.6966761064126,124.38282711909724,129.64459088872567,85.97256879724651,99.25210381282899,131.49351259807233,114.14912064319415,120.13006909987568
Ty Harvey,SDP,California League,47,144.1018532442353,124.38282711909724,114.66103086501249,91.42950269619507,128.41661518530637,74.61752994193085,106.70150116150839,105.89839199741657
Ethan Holliday,COL,California League,122,134.8625448767187,124.38282711909724,100.15751864533176,99.81744324229145,102.32604348620528,176.52033244287014,120.64083298715919,126.33463152480239
Jhonny Level,SFG,California League,191,133.243416287028,124.38282711909724,105.60642685694121,111.46726609722926,87.5862989639802,132.2983615173957,112.26823611092873,108.49702911277238
Emil Morales,LAD,California League,158,132.73369746589745,124.38282711909724,90.714411927625,102.28933703632548,133.2295339246468,117.27451685760985,113.57812537306086,113.73948756996054
Ching-Hsien Ko,LAD,California League,150,124.51130380715342,124.38282711909724,109.09997269098066,75.14186007505893,145.094228981471,156.13977182039892,121.97173213740135,136.77799116428352
Roldy Brito,COL,California League,220,117.76159909382405,124.38282711909724,102.61477902771323,112.8120043419671,96.63739942021539,110.58322472646819,109.40604692709223,103.27846772479893
Hayden Alvarez,LAA,California League,192,115.45627673409962,124.38282711909724,108.59202283749107,114.0697637866912,80.64514570112019,107.13970076424033,106.96589204172801,98.79228976761719
Pedro Blanco,ARI,California League,139,90.69386972093284,124.38282711909724,82.9589266451071,109.82385070028889,119.52467977038398,122.38446866201308,111.81495057937805,108.28935835916805
Truitt Madonna,SDP,California League,171,89.59181416509948,124.38282711909724,97.65130126709549,116.52417457701961,124.38416993064061,82.45620686925946,109.07973595262247,101.49722602233186
Max Durrington,OAK,California League,122,79.77229441795565,124.38282711909724,119.00016049175625,110.85790220982118,86.50907366661994,85.94006355314633,105.33800540808821,97.14976590384083
Carlos Renzullo,COL,California League,87,75.01221194166035,124.38282711909724,105.89118691718552,103.70311873436782,79.42023591962018,88.51336652154185,100.38214704236253,91.27492978611586
Wilder Dalis,COL,California League,85,73.07646539416383,124.38282711909724,94.75566908104093,99.74478272034655,105.16560627551401,146.54891981671395,114.11956100254254,115.49006505775628
Ivan Luciano,ARI,California League,146,71.05755602007889,124.38282711909724,115.69969073288866,88.78380614916591,93.4253957017374,84.47909132635638,101.35416220584912,97.86805925366082
Jeremy Ciriaco,COL,California League,135,67.69047767213576,124.38282711909724,85.4441266933116,96.44376578585822,101.63192805996665,84.47909132635638,98.47634779691802,90.51838202654487
Marlon Quintero,LAA,California League,144,64.52603253210381,124.38282711909724,93.1597870047421,88.9304168082925,118.94951794933145,96.98643761412683,104.48179729911803,103.03191418940013
Jorge Quintana,SDP,California League,157,61.057400092365334,124.38282711909724,87.62438398414986,91.24760841854089,98.11885407614191,86.37554548577798,97.54984381674159,90.70626118202325
Edgar Montero,OAK,California League,122,58.68132253389709,124.38282711909724,89.41495977637916,72.05812326932664,70.71789412010253,106.79736206929977,92.67423327084107,88.97673865526049
Shotaro Morii,OAK,California League,42,33.32691062716558,124.38282711909724,79.17934034223552,124.97497308811461,116.0695278262511,74.61752994193085,103.84483966352586,89.95546603680583
Kyle Sinzza,ARI,California League,38,30.76401215763729,124.38282711909724,100.32988296997523,108.12500841116595,83.04170751313177,74.61752994193085,98.0993911910602,85.99637347501262
Francisco Espinoza,LAD,California League,18,5.361421197166445,124.38282711909724,98.45849859424098,77.13308951552972,-3.873608232330639,74.61752994193085,74.14366738769363,56.40080676794707
Kellon Lindsey,LAD,California League,52,174.906350294576,112.72275799193577,89.39705821860096,120.2256887786874,88.18800919867316,100.09323049073856,102.12534893572717,92.55943263600422
Kayson Cunningham,ARI,California League,163,151.41077577650032,112.72275799193577,125.38380943414674,116.46266609826398,169.27265071334494,87.90919958081598,122.35021676370147,127.52188657610255
Jose Mejia,ARI,California League,107,144.168771608393,112.72275799193577,153.31574767928225,105.37030970938515,137.23596351310144,112.83108091799663,124.29517196234023,134.4609307034601
Derek Bernard,COL,California League,185,116.36594762853068,112.72275799193577,100.3056512086393,99.37614204016715,99.1309932302461,133.78689916560933,109.06448872731953,111.07451453483158
JD Dix,ARI,California League,158,115.38498145199172,112.72275799193577,110.18784954084515,125.5135086323001,118.87521517559543,147.02215276350066,122.86429682083542,125.3617391599804
Easton Shelton,LAD,California League,180,114.6129289686602,112.72275799193577,85.91089634764575,101.98798266881737,97.04008750948329,154.10171597214767,110.35268809800596,112.35089994309222
Carlos Virahonda,ARI,California League,159,111.51299187947112,112.72275799193577,97.45608647872992,103.41415685882906,99.38322365011598,120.47379111320978,106.6900032185641,105.77103374735191
Sebastian De Andrade,SEA,California League,25,104.29620222440252,112.72275799193577,107.03324037720186,91.69993862279881,152.30235017728097,74.61752994193085,107.67516342222966,111.3177068321379
Brendan Tunink,LAD,California League,79,101.677934790506,112.72275799193577,84.37207767815396,100.49015008838924,151.60823475104237,145.16562381643044,118.87176886519035,127.04864541520892
Enyervert Perez,ARI,California League,136,96.87029154557088,112.72275799193577,92.98240889230651,69.17895447219136,79.42023591962018,130.2008765660833,96.90104676842742,100.86784045933666
Lucas Ramirez,LAA,California League,181,93.82490006048934,112.72275799193577,84.02777808827406,108.0662951659981,127.882109089747,105.97223826266215,107.73423571972342,105.96070848022772
Anyelo Marquez,LAA,California League,164,91.0553424775998,112.72275799193577,85.60541538992351,96.92901171988315,100.03752445210301,130.2008765660833,105.09911722398574,105.2812721360366
Joendry Vargas,LAD,California League,214,78.31504146120962,112.72275799193577,88.3501872970214,109.25806039982815,118.7676351782861,108.58513077557728,107.53675432852974,105.23431775029492
Pedro Catuy,ARI,California League,171,73.93036339621617,112.72275799193577,83.59447276427309,111.48546203184814,97.9299791200274,113.81091549569916,103.90871748075672,98.44512245999988
Kale Fountain,SDP,California League,55,58.34409660612562,112.72275799193577,92.26947559241425,100.22814867615085,117.69038089466792,112.83108091799663,107.14836881463307,107.59697913502627
Eliesbert Alejos,ARI,California League,134,47.65937057969189,112.72275799193577,98.40505256223855,68.44302513658727,87.91960794524725,98.13356102962511,93.12480093312679,94.81940717903699
Jesus Freitez,COL,California League,23,-10.089840846952663,112.72275799193577,69.76393751351449,101.31617861944018,48.7330299426979,74.61752994193085,81.43068680190383,64.37149913271442
Felix Morrobel,LAA,California League,27,-25.16999462392348,112.72275799193577,86.21383673882379,94.43481180722186,51.655621368890934,74.61752994193085,83.92891156976064,70.82899601654852
Yimy Tovar,SDP,California League,22,-27.76237966707642,112.72275799193577,107.42554887861405,106.62466158886573,29.443929228544462,74.61752994193085,86.16688552597817,70.49566934969646
Javier Herrera,LAD,California League,33,147.78821821301094,102.17317163878964,122.02069904324054,121.6758111965062,162.71408057133408,74.61752994193085,116.64025847836028,119.78410318550182
Dario Reynoso,SFG,California League,147,146.95105934362437,102.17317163878964,98.96639288139156,111.27267523950766,78.50491886304701,176.52033244287014,113.48749821312121,117.9972147291029
Jaron Elkins,LAD,California League,149,136.92412178297724,102.17317163878964,93.91271216063603,127.20839744140974,101.0766358189284,135.7592115036361,112.02602571267998,110.24951982773352
Jose Alpuria,ARI,California League,138,126.53743020446996,102.17317163878964,89.84498125818092,128.13489785649375,98.35065518136257,135.7592115036361,110.8525834876926,107.98494931439319
Qrey Lott,SDP,California League,82,124.5535281761069,102.17317163878964,96.74374683813146,98.40576279945678,74.21437097247517,138.9771945023771,102.10284935024602,103.31177077099456
Myles Naylor,OAK,California League,84,109.17162436667432,102.17317163878964,87.71036402462727,107.12265619990282,131.47888888941173,151.04463189406243,115.90594252935878,123.41129493603381
Daniel Bucciero,OAK,California League,184,102.81137988488058,102.17317163878964,96.77327454092479,107.54969783898049,126.83365515214884,110.58322472646819,108.78260477946237,111.39671813984728
Mairoshendrick Martinus,LAD,California League,192,95.72192517366209,102.17317163878964,87.1807319298349,118.28020878930856,121.99264523058042,101.20086952540952,106.16552542278461,103.45808222860829
Jonathan Linares,LAA,California League,54,95.0113225168206,102.17317163878964,104.18900410602572,95.49784253656354,111.45632990110329,140.12647438498408,110.68856451349325,118.59060279737103
Abdias De La Cruz,ARI,California League,148,92.19548050923126,102.17317163878964,108.69331481555872,96.18598356640894,106.24367767174655,93.72430542996374,101.40409062449352,102.88709930575634
