Metric,Raw Column,Training Source,Training AB Threshold,Training Rows,Median,Q25,Q75,IQR,Robust Scale,Raw P95,Raw P99,Raw Max
Age+,Age_Plus,2025 vs 2025,25,4124,100.00165889618626,95.073251089743,104.76364265314751,9.690391563404518,7.183388853524476,114.14413330642785,121.58454317581548,140.78210262462846
Approach+,Approach_score_Plus,2025 vs 2025,125,2127,86.68076178400263,62.965630011592104,120.97533995590993,58.00970994431783,43.002008854201506,192.3477437945529,281.7450828744831,520.5724875091696
Speed+,Speed_score_Plus,2025 vs 2025,75,3090,100.47590542094039,75.99326617284686,124.09668330570885,48.10341713286199,35.6585745981186,154.6306888915756,169.69990201814494,194.3031859253028
LD%+,LD%_Plus,2025 vs 2025,200,1146,99.58167343756976,89.8406327515859,109.23954645353666,19.39891370195076,14.380217718273359,124.04829838854764,135.26925509702028,152.7468215100592
HR/FB+,HR_FB_pct_Plus,2025 vs 2025,200,1146,88.61156438455684,53.92865131553469,124.57012163813991,70.64147032260522,52.36580453862507,186.595728748733,237.24957734780193,318.0795300318259
