League Level,Age,Players,Total PA,Weighted K%,Weighted LD%,Weighted wRC+
A,17,7,866,0.2471131636847575,0.2725167486039261,83.26956918605684
A,18,75,10475,0.2291169447257279,0.22073061519780432,97.75478267888617
A,19,217,38437,0.24005515472190858,0.2227505761252179,99.85162923703754
A,20,301,51107,0.24750034196836052,0.22849913610920225,96.0930137066869
A,21,281,36855,0.2427350422727445,0.22369874712617013,98.88569600571567
A,22,293,40103,0.2377627604109917,0.22537986587183,102.56340047484434
A,23,155,20034,0.2387940497149346,0.21496397229809322,103.840104477354
A,24,88,9426,0.23583704592923832,0.2246826453032039,105.46965742311862
A,25,41,2065,0.24939467270605328,0.20984601705714284,110.72645606435994
A,26,16,479,0.25260960307933195,0.21289151140709814,115.12213185664518
A,27,7,95,0.1368421050105263,0.17948279753684213,129.09959598981263
A,28,8,115,0.23478260819130434,0.24596273248695652,125.05882252664865
A,29,5,100,0.11999999967000001,0.30182706125000003,158.2224562741399
A,30,6,85,0.27058823501176466,0.1866515831882353,64.59351575534312
A,31,3,21,0.2857142850952381,0.13756613742857143,74.1259793613848
A,32,1,3,0.333333333,0.0,199.54231279008025
A,33,1,14,0.142857142,0.333333333,117.4205906686167
A,34,1,27,0.11111111099999998,0.263157894,243.74722143862107
A,38,1,17,0.176470588,0.142857142,80.79841933477174
A+,18,9,914,0.21006564495295404,0.21525105914879653,106.23793795720002
A+,19,39,6222,0.21279331358775316,0.21467021034570882,100.53566782112313
A+,20,134,24856,0.23153363327409882,0.22232234047911975,105.18808756280824
A+,21,213,36344,0.24345146330934958,0.21584458040694476,94.88375391374892
A+,22,313,55851,0.23918998715566417,0.21941493249778876,104.18238485662549
A+,23,290,44434,0.2407390731958185,0.21600515003285772,96.46987572723765
A+,24,175,23561,0.24909808531365393,0.21380629272853444,97.79805030085888
A+,25,93,11190,0.24718498608498662,0.21415304613735484,104.14424702899511
A+,26,38,3539,0.2418762357414524,0.22084438793133654,94.91143715488253
A+,27,8,464,0.20905172361637933,0.2246458932176724,102.1787634917419
A+,28,9,163,0.36809815893251535,0.23602590314110428,93.46500948670914
A+,29,2,9,0.3333333333333333,0.4444444443333333,72.60289239384639
A+,30,2,18,0.27777777766666667,0.3333333333333333,50.58795957234608
A+,31,2,14,0.14285714221428572,0.0,94.82244902022974
A+,33,2,18,0.38888888833333335,0.2380952375,264.1772671674628
A+,34,1,25,0.28,0.117647058,-19.62666193165655
AA,18,3,129,0.232558139248062,0.23012181599224804,129.54642783002333
AA,19,12,1822,0.199780460370472,0.23938099285455544,113.00720202795598
AA,20,38,5794,0.18691750032309287,0.2290353710379703,112.5598466076448
AA,21,84,16912,0.21475875070931882,0.23180910167271757,110.52087083038039
AA,22,178,30488,0.23035292526190632,0.22793218163211756,99.25850514123866
AA,23,239,42850,0.24161026787598602,0.22841025179180766,98.25814918898548
AA,24,250,44988,0.24964434911554192,0.22833631073930827,97.03153480350223
AA,25,210,33196,0.2461139891592963,0.2304428763931799,98.64073713728753
