Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Brandon Drury","LAA","CPX",32,27,0.2,0.444444444,0.071428571,0.285714285,0.642857142,0.333333333,0,0.53333333,0.2,0.26666667,0.05504587,53,56,109,"11615"
"Austin Barnes","SFG","CPX",35,9,0.2,1.5,0,0.6,0.4,0,0,0.4,0.4,0.2,0.04761905,22,20,42,"12158"
"Jeimer Candelario","CIN","CPX",31,8,0.6,2,0.4,0.4,0.2,0,0,1,0,0,0.05714286,18,17,35,"13621"
"Chris Taylor","LAA","CPX",34,9,1,0,0.75,0,0.25,0,0,0,0.25,0.75,0.11363636,20,24,44,"13757"
"Harold Castro","KCR","CPX",31,7,0,1.5,0,0.6,0.4,0,0,0.4,0.2,0.4,0,7,15,22,"14691"
"Austin Nola","COL","CPX",35,9,0.125,0.333333333,0,0.25,0.75,0,0,0.375,0.5,0.125,0.04,11,14,25,"15941"
"Yoan Moncada","LAA","CPX",30,13,0.5,0.75,0,0.428571428,0.571428571,0,0.25,0.42857143,0.14285714,0.42857143,0.03846154,29,23,52,"17232"
"Scott Kingery","LAA","CPX",31,19,0.583333333,0.5,0.25,0.25,0.5,0.666666666,0,0.41666667,0.16666667,0.41666667,0.20930233,19,24,43,"17975"
"Jake Cronenworth","SDP","CPX",31,3,0.5,2,0,1,0,0,0,0.5,0,0.5,0.1,4,6,10,"18036"
"Travis Blankenhorn","LAA","CPX",28,20,0.083333333,0.625,0,0.384615384,0.615384615,0,0.125,0.46153846,0.46153846,0.07692308,0.11627907,18,25,43,"18395"
"Rene Pinto","ARI","CPX",28,6,0.2,0.25,0,0.2,0.8,0,0,0.6,0.2,0.2,0.33333333,1,8,9,"19859"
"Blake Perkins","MIL","CPX",28,22,0.5,8,0.307692307,0.615384615,0.076923076,0,0,0.71428571,0.07142857,0.21428571,0.07777778,39,51,90,"19921"
"Eguy Rosario","SDP","CPX",25,49,0.322580645,1.444444444,0.214285714,0.464285714,0.321428571,0,0,0.64516129,0.16129032,0.19354839,0.16447368,52,100,152,"19964"
"Miguel Amaya","CHC","CPX",26,7,0.333333333,0,0.333333333,0,0.666666666,0,0,0.33333333,0.66666667,0,0.05714286,17,18,35,"21693"
"Jerar Encarnacion","SFG","CPX",27,7,0.8,0.333333333,0,0.25,0.75,0.333333333,0,0.4,0,0.6,0.05263158,6,13,19,"21871"
"Sam Huff","SFG","CPX",27,12,0.5,0,0.333333333,0,0.666666666,0,0,0.5,0.5,0,0.20930233,16,27,43,"22209"
"George Valera","CLE","CPX",24,63,0.465116279,0.666666666,0.204545454,0.318181818,0.477272727,0.142857142,0.19047619,0.52272727,0.31818182,0.15909091,0.11707317,81,124,205,"22541"
"Gustavo Campero","LAA","CPX",27,11,0,0,0,0,1,0.2,0,0.2,0.4,0.4,0.16129032,12,19,31,"22707"
"Steward Berroa","MIL","CPX",26,3,0,3,0,1,0,0,0,1,0,0,0,7,6,13,"22766"
"David Fry","CLE","CPX",29,10,0,2,0.4,0.4,0.2,0,0,0.4,0.4,0.2,0.17073171,15,26,41,"24934"
"Cade Marlowe","SEA","CPX",28,16,0.5,1,0.25,0.375,0.375,0,0,0.25,0.25,0.5,0.10169492,28,31,59,"25505"
"Corbin Carroll","ARI","CPX",24,4,0,1,0,0.5,0.5,0,0,0.5,0,0.5,0,6,5,11,"25878"
"Tristin English","ARI","CPX",28,11,0.166666666,0.4,0.125,0.25,0.625,0.2,0.4,0.375,0.25,0.375,0.10869565,16,30,46,"26148"
"Victor Bericoto","SFG","CPX",23,25,0.529411764,0.5,0.368421052,0.210526315,0.421052631,0.375,0.25,0.63157895,0.15789474,0.21052632,0.06741573,36,53,89,"26468"
"Noelvi Marte","CIN","CPX",23,11,0.333333333,3.5,0.1,0.7,0.2,0,0.5,0.7,0,0.3,0,7,15,22,"26517"
"Juan Brito","CLE","CPX",23,26,0.25,0.5,0.25,0.25,0.5,0,0.166666666,0.76923077,0.15384615,0.07692308,0.25,27,45,72,"26693"
"Justin Foscue","TEX","CPX",26,9,0,0.2,0.142857142,0.142857142,0.714285714,0.4,0,0.28571429,0.14285714,0.57142857,0.14705882,14,20,34,"27501"
"Garrett Mitchell","MIL","CPX",26,2,0,0,0,0,0,0,0,,,,0.33333333,2,7,9,"27555"
"Christian Koss","SFG","CPX",27,3,0.666666666,0,0.666666666,0,0.333333333,0,0,0,0.66666667,0.33333333,0.125,3,5,8,"27653"
"Drew Romo","COL","CPX",23,17,0.2,0.625,0.133333333,0.333333333,0.533333333,0.5,0,0.53333333,0.13333333,0.33333333,0.07317073,13,28,41,"27763"
"Zac Veen","COL","CPX",23,11,0.4,3,0.2,0.6,0.2,0,0,0.6,0.2,0.2,0.18604651,19,24,43,"27770"
"Jeferson Quero","MIL","CPX",22,44,0.32,0.733333333,0.103448275,0.379310344,0.517241379,0.2,0.333333333,0.5,0.26666667,0.23333333,0.09352518,66,73,139,"28272"
"Bryce Teodosio","LAA","CPX",26,39,0.423076923,0.538461538,0.259259259,0.259259259,0.481481481,0.307692307,0.076923076,0.25925926,0.37037037,0.37037037,0.15454545,32,78,110,"29524"
"Adrian Del Castillo","ARI","CPX",25,61,0.413793103,0.3,0.1875,0.1875,0.625,0.35,0.15,0.40625,0.21875,0.375,0.14666667,95,130,225,"29554"
"Colson Montgomery","CHW","CPX",23,19,0.23076923,1.4,0.076923076,0.538461538,0.384615384,0.8,0,0.61538462,0.23076923,0.15384615,0.14285714,23,40,63,"29712"
"Brett Harris","OAK","CPX",27,3,1,1,0.5,0.5,0,0,0,0,0,1,0.125,3,5,8,"29788"
"Tyler Black","MIL","CPX",24,39,0.407407407,1.5,0.285714285,0.428571428,0.285714285,0,0.125,0.46428571,0.28571429,0.25,0.06923077,61,69,130,"29949"
