Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Christian Bethancourt","TOR","AAA",33,214,0.051401869,0.261682242,0.196428571,0.173469387,0.219047619,0.331632653,0.550680272,0.158163266,3.310310194713973,0.2,-0.30303632002323866,10.862343975263421,-17.143175832075293,0.2438830106031327,42.47990511493734,"10028"
"Billy Hamilton","CHC","AAA",34,0,0,0,0,0,0,0,0,0,0.5,0,-0.31544627249240875,0,0,0,-100,"10199"
"Rafael Ortega","NYM","AAA",34,40,0.025,0.175,0.142857142,0.236842105,0.25,0.447368421,0.697368421,0.210526316,6.048938702990889,0.233333333,0.14924555085599422,3.817670989133867,-1.4170056103686965,0.29704439640045166,70.01136006557658,"10323"
"Jon Singleton","NYM","AAA",33,224,0.174107142,0.267857142,0.65,0.213114754,0.352678571,0.448087431,0.800766002,0.234972677,3.140963962724691,0.241071428,-0.3075445182621479,33.286407296776474,3.9722183395621236,0.36028895606952055,110.64767190302707,"10441"
"Carlos Perez","CHC","AAA",34,465,0.109677419,0.165591397,0.662337662,0.286069651,0.37204301,0.572139303,0.944182313,0.286069652,2.7629040561131,0.290429042,-1.213598652742803,87.76869772144272,26.915582252225423,0.4080568853244987,138.15310040560578,"10642"
"Rob Brantly","MIA","AAA",35,45,0.044444444,0.177777777,0.25,0.348837209,0.377777777,0.558139534,0.935917311,0.209302325,1.08035714,0.411764705,-0.08459075354039669,8.578091310641096,2.6890801362007117,0.4102868927849664,150.3132468781683,"10655"
"Jurickson Profar","ATL","AAA",32,59,0.13559322,0.101694915,1.333333333,0.333333333,0.406779661,0.583333333,0.990112994,0.25,0.7083333274999999,0.309523809,-0.15226335637271404,11.816360078206417,4.095212093940136,0.42177150815220205,155.81515679930843,"10815"
"Jake Marisnick","ATL","AAA",34,45,0.066666666,0.288888888,0.23076923,0.097560975,0.177777777,0.195121951,0.372899728,0.097560976,6.1135848551228005,0.111111111,0.14924555085599422,-0.15003245473561744,-6.0390436291760015,0.17952674097485014,0.16645038853629635,"11339"
"Yasmani Grandal","BOS","AAA",36,94,0.138297872,0.159574468,0.866666666,0.256410256,0.372340425,0.397435897,0.769776322,0.141025641,0.72753455875,0.29032258,-0.23685410991311073,13.555722183488403,1.2542321746573795,0.3550657287557074,109.36866438834242,"11368"
"Gary Sanchez","BAL","AAA",32,57,0.087719298,0.192982456,0.454545454,0.367346938,0.45614035,0.75510204,1.21124239,0.387755102,1.35609243375,0.375,-0.1607224317267537,15.88365143201638,8.424237277725227,0.51502728985067,216.06373528706195,"11442"
"Mark Canha","KCR","AAA",36,33,0.181818181,0.272727272,0.666666666,0.222222222,0.363636363,0.37037037,0.734006733,0.148148148,1.79058440875,0.294117647,-0.08459075354039669,4.451556838970113,0.13294864438049833,0.3439843040524107,99.69490926178696,"11445"
"Dixon Machado","CHC","AAA",33,331,0.151057401,0.178247734,0.847457627,0.220588235,0.344512195,0.301470588,0.645982783,0.080882353,3.021812006585055,0.264150943,-0.9528947295621037,35.42304391254894,-7.8939049483347725,0.3108174152127126,75.67415437376982,"11472"
"Brandon Drury","CHW","AAA",32,47,0.14893617,0.212765957,0.7,0.179487179,0.319148936,0.282051282,0.601200218,0.102564103,1.4409340587500001,0.214285714,-0.1099679796025157,4.321715612327862,-1.82902939208765,0.2928917496762377,62.14944882415095,"11615"
"Niko Goodrum","NYM","AAA",33,46,0.173913043,0.260869565,0.666666666,0.228571428,0.391304347,0.4,0.791304347,0.171428572,3.9780502308449206,0.304347826,-0.6338733304291964,7.1053198574921606,1.085441768064213,0.3672649342080821,115.12992341198124,"12092"
