Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Chadwick Tromp","BAL","A",30,10,0.25,1.666666666,0,0.625,0.375,0,0,0.25,0.375,0.375,0.08,18,32,50,"16953"
"Livan Soto","BAL","A",25,10,0.2,0,0,0,1,0.6,0,0.4,0,0.6,0.17391304,21,25,46,"22471"
"Greg Jones","HOU","A",27,2,1,1,0,1,0,0,0,1,0,0,0,3,5,8,"25448"
"Yoander Rivero","WSN","A",23,157,0.280898876,1.592592592,0.204545454,0.488636363,0.306818181,0.296296296,0.037037037,0.53846154,0.16483516,0.2967033,0.09707242,274,375,649,"sa3008782"
"Dionmy Salon","KCR","A",23,117,0.265822784,1,0.282051282,0.358974358,0.358974358,0.285714285,0.035714285,0.49382716,0.18518519,0.32098765,0.12010444,134,249,383,"sa3008839"
"Wilber Sanchez","CHW","A",23,25,0.285714285,0.5,0.357142857,0.214285714,0.428571428,0.166666666,0,0.42857143,0.21428571,0.35714286,0.1547619,26,58,84,"sa3008941"
"Jose Colmenares","WSN","A",22,6,0,0,0,0,1,0.666666666,0,0.33333333,0,0.66666667,0.16,14,11,25,"sa3009817"
"Hudson Haskin","BAL","A",26,10,0,1,0.333333333,0.333333333,0.333333333,0,0,0.33333333,0.33333333,0.33333333,0.18604651,16,27,43,"sa3014449"
"Kevin Made","WSN","A",22,21,0.6,1.25,0.4,0.333333333,0.266666666,0.25,0,0.33333333,0.33333333,0.33333333,0.10526316,27,49,76,"sa3014679"
"Roismar Quintana","WSN","A",22,228,0.284023668,1.05,0.267857142,0.375,0.357142857,0.333333333,0.016666666,0.4127907,0.28488372,0.30232558,0.16621622,216,524,740,"sa3014718"
"Blayberg Diaz","MIL","A",22,46,0.333333333,2.111111111,0.263157894,0.5,0.236842105,0.444444444,0,0.35897436,0.17948718,0.46153846,0.08888889,49,86,135,"sa3015352"
"Aldrin Lucas","KCR","A",22,36,0.142857142,1.125,0.19047619,0.428571428,0.38095238,0.25,0,0.33333333,0.33333333,0.33333333,0.0942029,56,82,138,"sa3015554"
"Kelvin Diaz","WSN","A",22,102,0.28,0.625,0.235294117,0.294117647,0.470588235,0.375,0.041666666,0.55769231,0.19230769,0.25,0.16751269,155,239,394,"sa3015670"
"Beycker Barroso","TEX","A",22,198,0.243902439,0.979591836,0.177966101,0.406779661,0.415254237,0.326530612,0,0.56692913,0.25984252,0.17322835,0.08595989,268,430,698,"sa3015672"
"Anderson Suriel","CHC","A",22,109,0.19402985,0.785714285,0.206349206,0.349206349,0.444444444,0.321428571,0,0.49253731,0.31343284,0.19402985,0.15496368,144,269,413,"sa3015683"
"Dilan Granadillo","CHC","A",24,171,0.29347826,1.096774193,0.301075268,0.365591397,0.333333333,0.161290322,0.032258064,0.50537634,0.23655914,0.25806452,0.13803681,246,406,652,"sa3015686"
"Arxy Hernandez","CHW","A",21,151,0.288888888,1.73076923,0.211111111,0.5,0.288888888,0.23076923,0.076923076,0.39130435,0.30434783,0.30434783,0.09271523,257,347,604,"sa3015693"
"Maikol Hernandez","BAL","A",21,268,0.25,0.527777777,0.219858156,0.269503546,0.510638297,0.319444444,0.027777777,0.3630137,0.21917808,0.41780822,0.09450945,458,653,1111,"sa3015712"
"Leonel Espinoza","CHC","A",22,408,0.33935018,1.204081632,0.220216606,0.425992779,0.353790613,0.183673469,0.061224489,0.48943662,0.24295775,0.26760563,0.12723521,518,936,1454,"sa3015735"
"Kevin Guerrero","BAL","A",21,276,0.34375,1.720930232,0.24516129,0.477419354,0.277419354,0.209302325,0.046511627,0.42944785,0.20245399,0.36809816,0.15691736,391,686,1077,"sa3015737"
"Yasmil Bucce","BAL","A",20,339,0.335164835,1.47368421,0.241935483,0.451612903,0.306451612,0.052631578,0.140350877,0.43684211,0.25263158,0.31052632,0.10158501,632,756,1388,"sa3015739"
"Enmanuel Ramirez","WSN","A",21,26,0.2,0.875,0.25,0.35,0.4,0.25,0,0.25,0.15,0.6,0.14285714,28,63,91,"sa3015763"
"Carlos Gutierrez","CLE","A",21,48,0.305555555,1.7,0.228571428,0.485714285,0.285714285,0.3,0,0.33333333,0.27777778,0.38888889,0.13586957,64,120,184,"sa3015783"
"Christopher Espinola","CLE","A",21,183,0.201680672,1.106382978,0.168067226,0.436974789,0.394957983,0.14893617,0.021276595,0.55,0.2,0.25,0.13392857,286,386,672,"sa3015786"
"Derlin Figueroa","KCR","A",21,269,0.305263157,1.028169014,0.221621621,0.394594594,0.383783783,0.225352112,0.056338028,0.37948718,0.3025641,0.31794872,0.12307692,362,613,975,"sa3015851"
"Gabriel Silva","KCR","A",21,77,0.294117647,1,0.243243243,0.378378378,0.378378378,0.214285714,0.285714285,0.61538462,0.17948718,0.20512821,0.21071429,93,187,280,"sa3015865"
"Kelvin Diaz","BOS","A",22,121,0.205479452,1.066666666,0.173333333,0.426666666,0.4,0.333333333,0.133333333,0.55844156,0.22077922,0.22077922,0.14678899,160,276,436,"sa3016122"
"Jose Perez","TBR","A",21,208,0.207407407,2.083333333,0.171641791,0.559701492,0.268656716,0.194444444,0.027777777,0.51824818,0.16788321,0.31386861,0.07218935,371,474,845,"sa3016162"
"Karim Ayubi","BOS","A",21,181,0.381443298,1.913043478,0.294736842,0.463157894,0.242105263,0.260869565,0,0.50515464,0.24742268,0.24742268,0.18767908,271,427,698,"sa3016170"
"Diego Viloria","BOS","A",22,5,0.25,2,0.333333333,0.666666666,0,0,0,0.75,0,0.25,0.18181818,2,9,11,"sa3016299"
"Edgardo Ordonez","MIL","A",21,83,0.210526315,1,0.179487179,0.41025641,0.41025641,0.125,0.0625,0.48717949,0.28205128,0.23076923,0.15217391,153,215,368,"sa3016553"
"Robert Lopez","CLE","A",21,195,0.260162601,1.219512195,0.247933884,0.41322314,0.338842975,0.292682926,0.024390243,0.5483871,0.19354839,0.25806452,0.11372549,290,475,765,"sa3016641"
"Elio Campos","ATL","A",21,99,0.222222222,2.238095238,0.139240506,0.594936708,0.265822784,0.38095238,0.047619047,0.30487805,0.30487805,0.3902439,0.05586592,129,229,358,"sa3016645"
"Frederick Bencosme","BAL","A",22,14,0.125,0.2,0.25,0.125,0.625,0,0,0.5,0.25,0.25,0.16666667,20,34,54,"sa3016779"
"Eric Martinez","MIL","A",21,34,0.45,0.625,0.409090909,0.227272727,0.363636363,0.25,0.25,0.5,0.22727273,0.27272727,0.11111111,47,79,126,"sa3017023"
"Brennon McNair","KCR","A",22,368,0.259615384,0.693877551,0.213270142,0.322274881,0.464454976,0.346938775,0.091836734,0.57990868,0.26027397,0.15981735,0.16762178,517,879,1396,"sa3017405"
"Kay-Lan Nicasia","MIL","A",23,14,0.25,1.5,0,0.6,0.4,0,0.5,0.8,0.2,0,0.15151515,29,37,66,"sa3017629"
"Moises Gallardo","WSN","A",22,95,0.254545454,1.222222222,0.259259259,0.407407407,0.333333333,0.277777777,0.055555555,0.32142857,0.21428571,0.46428571,0.2238806,112,223,335,"sa3017695"
"Christian Olivo","CHC","A",21,348,0.295964125,0.742268041,0.231818181,0.327272727,0.44090909,0.329896907,0.030927835,0.45374449,0.26872247,0.27753304,0.08030303,529,791,1320,"sa3017877"
"Pablo Aldonis","WSN","A",23,0,0,,,,,,,,,,,,,,"sa3018289"
"Alfredo Romero","CHC","A",22,0,0,,,,,,,,,,,,,,"sa3018345"
"Cristhian Vaquero","WSN","A",20,445,0.330855018,0.825,0.200729927,0.361313868,0.437956204,0.291666666,0.066666666,0.49640288,0.26258993,0.24100719,0.178487,610,1082,1692,"sa3018403"
"Alexis Hernandez","CHC","A",20,93,0.229508196,1.421052631,0.220338983,0.457627118,0.322033898,0.315789473,0,0.42622951,0.26229508,0.31147541,0.11878453,130,232,362,"sa3018413"
"Freili Encarnacion","BOS","A",20,193,0.338582677,1.104166666,0.246268656,0.395522388,0.358208955,0.291666666,0.208333333,0.52554745,0.24087591,0.23357664,0.15186246,241,457,698,"sa3018414"
"Braylin Tavera","BAL","A",20,443,0.329059829,0.966666666,0.256302521,0.365546218,0.37815126,0.244444444,0.077777777,0.41975309,0.24691358,0.33333333,0.10625674,773,1081,1854,"sa3018416"
"Jose De Jesus","TEX","A",20,32,0.076923076,1.083333333,0.038461538,0.5,0.461538461,0.416666666,0,0.44444444,0.25925926,0.2962963,0.11578947,35,60,95,"sa3018420"
"Henry Ramos","KCR","A",20,277,0.289017341,2.181818181,0.181286549,0.561403508,0.257309941,0.363636363,0.022727272,0.31460674,0.24719101,0.43820225,0.11519845,394,639,1033,"sa3018432"
"Fraymi De Leon","BOS","A",20,174,0.286956521,2.192307692,0.252252252,0.513513513,0.234234234,0.307692307,0.038461538,0.42372881,0.15254237,0.42372881,0.185,188,412,600,"sa3018436"
"Marcos Torres","TEX","A",20,304,0.320441988,1.596491228,0.19125683,0.497267759,0.311475409,0.385964912,0.105263157,0.35078534,0.27748691,0.37172775,0.12676056,414,722,1136,"sa3018449"
"Yosander Asencio","BOS","A",20,225,0.329545454,0.916666666,0.241758241,0.362637362,0.395604395,0.166666666,0.138888888,0.4516129,0.20430108,0.34408602,0.18944099,403,563,966,"sa3018456"
"Alberto Mendez","CLE","A",20,167,0.309734513,0.851063829,0.216216216,0.36036036,0.423423423,0.382978723,0.021276595,0.49137931,0.23275862,0.27586207,0.12888889,258,417,675,"sa3018458"
"Rafael Ramirez Jr.","WSN","A",19,18,0.181818181,1.5,0.09090909,0.545454545,0.363636363,0,0,0.41666667,0.33333333,0.25,0.13333333,22,38,60,"sa3018476"
