Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Rafael Ortega","NYM","A",34,27,0.444444444,1,0.263157894,0.368421052,0.368421052,0,0.142857142,0.52631579,0.26315789,0.21052632,0.05102041,41,57,98,"10323"
"Jesse Winker","NYM","A",31,5,0,1,0,1,0,0,0,0,0,1,0.2173913,9,14,23,"13590"
"Jeff McNeil","NYM","A",33,14,0.333333333,1,0.333333333,0.333333333,0.333333333,0.666666666,0,0.66666667,0.22222222,0.11111111,0.07894737,16,22,38,"15362"
"Christian Arroyo","PHI","A",30,17,0.214285714,2.666666666,0.153846153,0.615384615,0.23076923,0.333333333,0,0.35714286,0.28571429,0.35714286,0.10526316,19,38,57,"16434"
"Jose Siri","NYM","A",29,8,0.5,3,0.333333333,0.5,0.166666666,0,0,0.5,0.16666667,0.33333333,0.11538462,9,17,26,"17452"
"Weston Wilson","PHI","A",30,14,0.142857142,0.5,0.142857142,0.285714285,0.571428571,0.5,0,0.28571429,0.14285714,0.57142857,0.03030303,32,34,66,"19358"
"Brian Serven","DET","A",30,27,0.416666666,0.4,0.416666666,0.166666666,0.416666666,0,0,0.5,0.41666667,0.08333333,0.16216216,41,70,111,"19422"
"Darick Hall","PIT","A",29,17,0.111111111,2.5,0.222222222,0.555555555,0.222222222,0.5,0,0.55555556,0.11111111,0.33333333,0.1686747,34,49,83,"19717"
"Daulton Varsho","TOR","A",28,14,0.25,0.5,0,0.333333333,0.666666666,0.166666666,0.333333333,0.5,0.4,0.1,0.125,26,38,64,"19918"
"Andres Gimenez","TOR","A",26,15,0.166666666,0.25,0.166666666,0.166666666,0.666666666,0.375,0,0.33333333,0.41666667,0.25,0.1,21,39,60,"19950"
"Bligh Madris","DET","A",29,38,0.24,0.428571428,0.285714285,0.214285714,0.5,0.214285714,0.214285714,0.25,0.32142857,0.42857143,0.09876543,69,93,162,"20054"
"Jared Young","NYM","A",29,15,0.3,0.5,0.181818181,0.272727272,0.545454545,0,0.166666666,0.36363636,0.45454545,0.18181818,0.01694915,25,34,59,"20404"
"Matt Vierling","DET","A",28,8,0.25,2,0.25,0.5,0.25,0,0,0.5,0.25,0.25,0.08823529,16,18,34,"21558"
"Akil Baddoo","DET","A",26,27,0.294117647,1.6,0.277777777,0.444444444,0.277777777,0.4,0.2,0.55555556,0.22222222,0.22222222,0.1010101,43,56,99,"22168"
"Wenceel Perez","DET","A",25,7,0,1,0,0.5,0.5,0,0.5,0.6,0.2,0.2,0.1,12,18,30,"22857"
"Ronny Mauricio","NYM","A",24,16,0.2,2.5,0.3,0.5,0.2,0,0,0.4,0.3,0.3,0.11764706,23,45,68,"23698"
"Leo Jimenez","TOR","A",24,26,0.315789473,1.333333333,0.176470588,0.470588235,0.352941176,0.166666666,0,0.38888889,0.27777778,0.33333333,0.1010101,34,65,99,"23782"
"Parker Meadows","DET","A",25,6,0.333333333,3,0,1,0,0,0,0.33333333,0.33333333,0.33333333,0.2173913,9,14,23,"23800"
"Ji Hwan Bae","PIT","A",25,19,0.454545454,1,0.272727272,0.363636363,0.363636363,0,0,0.54545455,0.36363636,0.09090909,0.11538462,35,43,78,"23818"
"Jose Rodriguez","PHI","A",24,44,0.324324324,2.857142857,0.25,0.555555555,0.194444444,0.428571428,0,0.48648649,0.18918919,0.32432432,0.10884354,40,107,147,"24388"
"Cam Eden","NYY","A",27,18,0.357142857,0.857142857,0.071428571,0.428571428,0.5,0.142857142,0,0.42857143,0.14285714,0.42857143,0.09090909,18,37,55,"25476"
"Victor Mesa Jr.","MIA","A",23,39,0.25,1,0.1875,0.40625,0.40625,0.307692307,0,0.4375,0.3125,0.25,0.112,40,85,125,"25999"
"Jase Bowen","PIT","A",24,16,0.2,2,0.1,0.6,0.3,0,0,0.6,0.2,0.2,0.13559322,22,37,59,"26047"
"Francisco Alvarez","NYM","A",23,12,0.142857142,2,0.142857142,0.571428571,0.285714285,0,0,0.14285714,0.28571429,0.57142857,0.12765957,20,27,47,"26121"
"Deyvison De Los Santos","MIA","A",22,8,0.4,1.5,0,0.6,0.4,0.5,0,0.2,0.2,0.6,0.18518519,11,16,27,"27969"
"Tsung-Che Cheng","PIT","A",23,9,0.166666666,1,0,0.5,0.5,0,0,0.5,0,0.5,0.0952381,8,13,21,"28344"
"Will Wagner","TOR","A",26,3,0,1,0,1,0,0,0,0,0.5,0.5,0.14285714,5,9,14,"29634"
"Nathan Church","STL","A",24,14,0.181818181,1,0.2,0.4,0.4,0.5,0,0.45454545,0.18181818,0.36363636,0.05660377,15,38,53,"31357"
