Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Teoscar Hernandez","LAD","A",32,1,1,3,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,"13066"
"Yoan Moncada","LAA","A",30,2,5,10,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,"17232"
"Sam Huff","SFG","A",27,5,16,20,4,4,0,0,0,1,1,4,0,4,0,0,0,1,0,0,0.25,"22209"
"Christian Moore","LAA","A",22,4,11,16,5,2,2,0,1,3,2,5,0,2,0,0,0,0,1,0,0.454545454,"34979"
"Nick Kurtz","OAK","A",22,1,3,4,2,1,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0.666666666,"35110"
"Diego Cartaya","SFG","A",23,4,17,18,4,2,1,0,1,3,5,0,0,3,1,0,0,0,0,0,0.235294117,"sa3008742"
"Gabriel Moncada","SEA","A",23,57,209,228,42,29,11,1,1,16,21,17,0,68,0,2,0,4,0,1,0.200956937,"sa3008789"
"Victor Duarte","SDP","A",24,17,63,67,13,9,4,0,0,5,5,4,0,13,0,0,0,1,1,0,0.206349206,"sa3008904"
"Jose Caguana","SEA","A",23,68,252,288,58,37,13,0,8,36,47,29,0,68,3,4,0,11,8,1,0.23015873,"sa3009310"
"Daniel Cope","COL","A",28,2,8,8,4,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,"sa3010157"
"Werner Blakely","LAA","A",23,12,35,44,3,2,1,0,0,3,3,7,0,16,1,1,0,0,1,1,0.085714285,"sa3014502"
"Juan Corniel","ARI","A",22,45,139,164,32,23,8,1,0,22,17,18,0,42,1,2,4,4,7,7,0.230215827,"sa3015169"
"Diosfran Cabeza","ARI","A",22,45,137,160,35,29,5,0,1,21,17,18,0,32,4,0,1,4,2,3,0.255474452,"sa3015517"
"Juan Castillo","COL","A",22,68,222,250,52,42,7,0,3,22,27,24,1,54,2,1,1,7,3,1,0.234234234,"sa3015541"
"Jose D. Hernandez","LAD","A",22,3,10,11,7,5,1,0,1,3,5,1,0,2,0,0,0,0,0,1,0.7,"sa3015557"
"Jose Meza","LAD","A",22,117,428,531,95,66,17,4,8,67,66,80,0,125,16,7,0,9,30,10,0.221962616,"sa3015558"
"Carlos Franco","OAK","A",22,61,231,250,56,41,11,1,3,20,38,15,0,43,2,2,0,10,1,0,0.242424242,"sa3015580"
"Carlos Rodriguez","SDP","A",22,46,152,189,42,25,11,2,4,25,26,31,1,36,3,2,1,4,2,1,0.276315789,"sa3015594"
"George Feliz","SEA","A",22,49,152,165,36,28,4,2,2,20,21,9,0,61,2,1,1,4,3,0,0.236842105,"sa3015596"
