Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Ben Gamel","LAA","A+",33,15,0.6,0.25,0.285714285,0.142857142,0.571428571,0,0.5,0.42857143,0.57142857,0,0.10144928,24,45,69,"12160"
"Cade Marlowe","SEA","A+",28,9,0.6,2,0.6,0.4,0,0,0,0.6,0.2,0.2,0.18421053,16,22,38,"25505"
"Kyren Paris","LAA","A+",23,6,0.25,0.333333333,0,0.25,0.75,0.333333333,0,1,0,0,0.13636364,9,13,22,"26420"
"Jonah Cox","SFG","A+",23,597,0.326370757,1.5,0.183937823,0.489637305,0.32642487,0.214285714,0.079365079,0.38847118,0.28070175,0.33082707,0.11994896,810,1541,2351,"33270"
"Colt Emerson","SEA","A+",19,412,0.31598513,1.654320987,0.200743494,0.498141263,0.301115241,0.148148148,0.135802469,0.36131387,0.2080292,0.43065693,0.0753866,623,929,1552,"33575"
"Ryan Waldschmidt","ARI","A+",22,301,0.305084745,0.948051948,0.189189189,0.394594594,0.416216216,0.116883116,0.116883116,0.41935484,0.25268817,0.32795699,0.08097166,550,685,1235,"35061"
"Freuddy Batista","SEA","A+",25,224,0.328467153,1.058823529,0.275862068,0.372413793,0.351724137,0.31372549,0.235294117,0.46621622,0.22972973,0.30405405,0.13142174,329,508,837,"sa3002866"
"Je'Von Ward","TOR","A+",25,229,0.279279279,1.818181818,0.169642857,0.535714285,0.294642857,0.272727272,0.121212121,0.47826087,0.1826087,0.33913043,0.07777778,480,510,990,"sa3004969"
"Alexander Ramirez","LAA","A+",22,141,0.384615384,1.625,0.25,0.464285714,0.285714285,0.3125,0.3125,0.53571429,0.21428571,0.25,0.24826389,205,371,576,"sa3008757"
"Gabriel Martinez","TOR","A+",22,65,0.333333333,1.166666666,0.315789473,0.368421052,0.315789473,0.166666666,0,0.61538462,0.12820513,0.25641026,0.06967213,90,154,244,"sa3008865"
"J.J. D'Orazio","ARI","A+",23,88,0.368421052,1.647058823,0.196428571,0.5,0.303571428,0.176470588,0,0.42372881,0.18644068,0.38983051,0.05413105,121,230,351,"sa3008876"
"Milkar Perez","SEA","A+",23,299,0.276041666,1.360655737,0.246073298,0.434554973,0.319371727,0.229508196,0.032786885,0.38020833,0.265625,0.35416667,0.0765349,498,691,1189,"sa3008883"
"GJ Hill","COL","A+",24,37,0.272727272,0.727272727,0.208333333,0.333333333,0.458333333,0.363636363,0.181818181,0.5,0.125,0.375,0.13571429,47,93,140,"sa3010335"
"Jesus Ordonez","COL","A+",25,91,0.177419354,1.714285714,0.095238095,0.571428571,0.333333333,0.238095238,0.047619047,0.515625,0.140625,0.34375,0.09230769,116,209,325,"sa3010603"
"Jean Perez","COL","A+",23,271,0.234972677,1.762711864,0.132978723,0.553191489,0.313829787,0.220338983,0.101694915,0.47395833,0.23958333,0.28645833,0.20515826,207,646,853,"sa3011632"
"Jesus Bugarin","COL","A+",23,222,0.291666666,1.947368421,0.211267605,0.52112676,0.267605633,0.526315789,0.052631578,0.53424658,0.15068493,0.31506849,0.19003932,226,537,763,"sa3011857"
"David Calabrese","LAA","A+",22,137,0.233333333,0.976190476,0.126315789,0.431578947,0.442105263,0.166666666,0.119047619,0.53684211,0.17894737,0.28421053,0.10567515,192,319,511,"sa3014507"
"Arol Vera","LAA","A+",22,230,0.277027027,1.264150943,0.2,0.446666666,0.353333333,0.226415094,0.094339622,0.46405229,0.22875817,0.30718954,0.11438279,329,554,883,"sa3014687"
"Adrian Placencia","LAA","A+",22,501,0.284,0.766666666,0.187739463,0.352490421,0.459770114,0.191666666,0.133333333,0.4754717,0.23018868,0.29433962,0.17887394,852,1155,2007,"sa3014688"
"Esmerlin Vinicio","SFG","A+",22,0,0,,,,,,,,,,,,,,"sa3014708"
"Jacob Wetzel","TOR","A+",25,48,0.185185185,1.181818181,0.142857142,0.464285714,0.392857142,0.272727272,0.09090909,0.35714286,0.28571429,0.35714286,0.11167513,86,111,197,"sa3015057"
"Juan Corniel","ARI","A+",22,21,0.214285714,1,0.142857142,0.428571428,0.428571428,0.333333333,0,0.46153846,0.30769231,0.23076923,0.12195122,30,52,82,"sa3015169"
"Junior Franco","ARI","A+",22,260,0.324607329,1.22368421,0.146464646,0.469696969,0.383838383,0.328947368,0.092105263,0.50253807,0.17766497,0.31979695,0.07276507,353,609,962,"sa3015170"
"Angel Ortiz","ARI","A+",22,494,0.307692307,0.959183673,0.165217391,0.408695652,0.426086956,0.136054421,0.074829931,0.48997135,0.23495702,0.27507163,0.12159329,670,1238,1908,"sa3015171"
"Jean Walters","ARI","A+",23,69,0.260869565,2.777777777,0.260869565,0.54347826,0.195652173,0.333333333,0,0.4893617,0.17021277,0.34042553,0.10320285,108,173,281,"sa3015236"
"Adrian Pinto","TOR","A+",22,85,0.264150943,2.2,0.186440677,0.559322033,0.254237288,0.2,0.466666666,0.5,0.21666667,0.28333333,0.09846154,134,191,325,"sa3015542"
"Axel Sanchez","SEA","A+",22,48,0.136363636,1.2,0.04347826,0.52173913,0.434782608,0.2,0.1,0.60869565,0.17391304,0.2173913,0.17708333,76,116,192,"sa3015601"
"Onil Perez","SFG","A+",22,177,0.305785123,1.578947368,0.196721311,0.491803278,0.311475409,0.368421052,0.052631578,0.48780488,0.2601626,0.25203252,0.0881459,269,389,658,"sa3015610"
"Victor Arias","TOR","A+",21,318,0.366666666,2.035714285,0.194312796,0.54028436,0.265402843,0.285714285,0.089285714,0.41860465,0.24186047,0.33953488,0.1192,495,755,1250,"sa3015636"
"Alexis Hernandez","TOR","A+",22,106,0.324324324,1.48,0.173333333,0.493333333,0.333333333,0.32,0.12,0.42857143,0.19480519,0.37662338,0.10411622,143,270,413,"sa3015642"
"Anderdson Rojas","ARI","A+",21,474,0.277777777,1.865979381,0.170149253,0.540298507,0.289552238,0.237113402,0.010309278,0.37535817,0.22922636,0.39541547,0.08909195,606,1145,1751,"sa3015818"
"Andy Perez","COL","A+",21,483,0.315789473,1.948979591,0.203856749,0.526170798,0.269972451,0.214285714,0.071428571,0.43817204,0.20430108,0.35752688,0.11022044,466,1031,1497,"sa3015857"
"Kenny Castillo","ARI","A+",21,251,0.262569832,0.962025316,0.138888888,0.422222222,0.438888888,0.316455696,0.050632911,0.56284153,0.21311475,0.22404372,0.11784897,273,601,874,"sa3015863"
"Adrian De Leon","ARI","A+",21,77,0.225,2,0.175,0.55,0.275,0.636363636,0,0.4,0.175,0.425,0.14137931,109,181,290,"sa3015864"
"Jose Ramos","SFG","A+",22,91,0.367346938,1.111111111,0.208333333,0.416666666,0.375,0.277777777,0.055555555,0.5,0.26,0.24,0.08479532,140,202,342,"sa3016541"
"Luis Suisbel","SEA","A+",22,491,0.246323529,0.8046875,0.195121951,0.358885017,0.445993031,0.3046875,0.1796875,0.49488055,0.22866894,0.27645051,0.16144201,675,1239,1914,"sa3016717"
"Edward Duran","TOR","A+",21,140,0.268817204,1.888888888,0.178947368,0.536842105,0.284210526,0.296296296,0.111111111,0.42708333,0.21875,0.35416667,0.09140768,205,342,547,"sa3016719"
"Colin Davis","SEA","A+",26,63,0.235294117,0.933333333,0.147058823,0.411764705,0.44117647,0.133333333,0.066666666,0.51428571,0.31428571,0.17142857,0.17712177,103,168,271,"sa3016806"
"EJ Andrews Jr.","COL","A+",24,217,0.219047619,0.82,0.157407407,0.379629629,0.462962962,0.24,0.1,0.46491228,0.25438596,0.28070175,0.14318976,341,518,859,"sa3017157"
"Vaun Brown","SFG","A+",27,13,0.285714285,0.5,0.142857142,0.285714285,0.571428571,0.25,0,0.42857143,0.14285714,0.42857143,0.24,17,33,50,"sa3017282"
"Nicolas Deschamps","TOR","A+",22,70,0.392857142,2.285714285,0.178571428,0.571428571,0.25,0,0,0.51724138,0.24137931,0.24137931,0.16666667,116,172,288,"sa3017732"
"Anthony Scull","LAA","A+",21,465,0.315789473,1.276190476,0.229032258,0.432258064,0.338709677,0.228571428,0.123809523,0.48417722,0.24683544,0.26898734,0.14486553,549,1087,1636,"sa3017988"
"Guillermo Williamson","SFG","A+",21,97,0.28,1.588235294,0.16981132,0.509433962,0.320754716,0.117647058,0.176470588,0.43396226,0.24528302,0.32075472,0.14457831,184,231,415,"sa3018401"
"Ryan Reckley","SFG","A+",20,1,0,0,0,0,0,0,0,,,,0.16666667,2,4,6,"sa3018404"
"Lazaro Montes","SEA","A+",20,301,0.326666666,1.133333333,0.228915662,0.409638554,0.361445783,0.2,0.3,0.38554217,0.3313253,0.28313253,0.15303644,517,718,1235,"sa3018409"
"Randy De Jesus","LAA","A+",20,483,0.24691358,0.952830188,0.178571428,0.40079365,0.42063492,0.29245283,0.16981132,0.5078125,0.22265625,0.26953125,0.18631579,659,1241,1900,"sa3018426"
"Michael Arroyo","SEA","A+",20,306,0.308641975,0.75,0.217647058,0.335294117,0.447058823,0.210526315,0.197368421,0.44508671,0.29479769,0.26011561,0.11005199,505,649,1154,"sa3018429"
"Modeifi Marte","ARI","A+",22,169,0.305970149,1.170212765,0.227272727,0.416666666,0.356060606,0.319148936,0.042553191,0.44852941,0.23529412,0.31617647,0.07583774,198,369,567,"sa3018445"
"Ruben Santana","ARI","A+",20,73,0.214285714,0.944444444,0.146341463,0.414634146,0.43902439,0.222222222,0,0.39534884,0.1627907,0.44186047,0.14814815,107,190,297,"sa3018468"
