Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Rafael Ortega","NYM","A+",34,6,24,25,2,1,1,0,0,0,2,1,0,7,0,0,0,2,1,1,0.083333333,"10323"
"Jesse Winker","NYM","A+",31,1,1,3,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,"13590"
"Tyler O'Neill","BAL","A+",30,1,3,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.333333333,"15711"
"Chadwick Tromp","BAL","A+",30,3,13,15,2,2,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0.153846153,"16953"
"Juan Yepez","WSN","A+",27,13,42,49,9,2,3,0,4,7,10,5,1,6,1,1,0,2,0,0,0.214285714,"18400"
"Jose Devers","ATL","A+",25,2,6,6,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.166666666,"20540"
"Payton Henry","PHI","A+",28,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"22164"
"David Banuelos","BAL","A+",28,3,9,10,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,"23250"
"Jose Rodriguez","PHI","A+",24,4,12,13,4,4,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0.333333333,"24388"
"Omar Martinez","NYY","A+",23,57,212,249,49,34,7,0,8,28,36,32,1,76,3,2,0,7,1,2,0.231132075,"25369"
"Jase Bowen","PIT","A+",24,2,8,9,4,1,2,0,1,3,3,1,0,2,0,0,0,0,0,1,0.5,"26047"
"Duke Ellis","NYY","A+",27,5,17,21,6,4,0,0,2,4,3,3,0,4,1,0,0,0,1,0,0.352941176,"27543"
"Esmerlyn Valdez","PIT","A+",21,72,277,314,84,45,18,1,20,46,57,31,0,77,6,0,0,4,2,0,0.303249097,"29005"
"Colton Cowser","BAL","A+",25,3,9,11,2,1,0,0,1,3,1,2,0,4,0,0,0,0,0,0,0.222222222,"29591"
"A.J. Ewing","NYM","A+",20,78,299,351,86,64,16,4,2,52,26,46,0,66,4,2,0,7,44,7,0.287625418,"33656"
"Sam Antonacci","CHW","A+",22,64,226,288,63,45,10,4,4,48,29,39,2,37,19,1,3,3,27,7,0.278761061,"35101"
"Carson Benge","NYM","A+",22,60,225,271,68,41,18,5,4,47,37,41,1,50,4,1,0,2,15,2,0.302222222,"35177"
"Konnor Griffin","PIT","A+",19,51,194,234,63,43,11,2,7,48,36,28,1,46,10,2,0,3,33,7,0.324742268,"35376"
"Marcus Smith","TEX","A+",24,16,38,46,6,4,0,1,1,7,4,8,0,15,0,0,0,0,2,0,0.157894736,"sa1169620"
"Dylan Shockley","ATL","A+",28,20,57,69,14,13,0,0,1,13,5,9,0,30,2,1,0,1,1,0,0.245614035,"sa1170874"
"Carlos Arroyo","ATL","A+",23,11,39,41,6,4,2,0,0,1,6,2,0,14,0,0,0,1,1,0,0.153846153,"sa3005576"
"Daniel Vellojin","TBR","A+",25,75,254,300,49,32,10,1,6,30,32,36,0,78,6,3,1,4,4,1,0.192913385,"sa3005587"
"P.J. Hilson","PIT","A+",24,60,185,207,48,32,5,0,11,31,35,11,0,53,6,3,1,0,10,3,0.259459459,"sa3007048"
"Matt Kroon","PHI","A+",28,7,27,29,5,2,2,0,1,2,1,1,0,11,1,0,0,1,2,1,0.185185185,"sa3007502"
"Onix Vega","NYM","A+",26,23,70,78,15,9,4,1,1,8,6,7,0,14,0,1,0,1,0,1,0.214285714,"sa3008007"
"Antonio Gomez","NYY","A+",23,6,19,20,6,4,0,0,2,2,6,1,0,7,0,0,0,1,0,0,0.315789473,"sa3008746"
"Cristian Gonzalez","HOU","A+",23,63,240,259,53,40,10,0,3,23,31,13,0,68,0,6,0,5,1,0,0.220833333,"sa3008771"
"Albert Feliz","BOS","A+",23,63,185,201,33,21,5,0,7,13,24,14,0,85,1,1,0,4,0,0,0.178378378,"sa3008799"
"Elio Prado","PHI","A+",23,43,135,156,30,23,5,0,2,16,20,12,0,39,3,3,3,1,3,1,0.222222222,"sa3008807"
"Luis Pineda","CHW","A+",23,22,76,78,21,17,2,0,2,9,12,1,0,26,0,0,0,3,0,0,0.276315789,"sa3008826"
"Alexander Vargas","NYY","A+",23,47,169,186,38,26,4,2,6,20,22,13,0,23,2,2,0,5,10,1,0.224852071,"sa3008851"
"Maikol Escotto","PIT","A+",23,38,141,156,45,29,9,1,6,32,20,10,0,34,2,1,1,1,18,4,0.319148936,"sa3008878"
"Wilber Sanchez","CHW","A+",23,46,128,144,29,22,5,0,2,11,14,14,0,36,2,0,0,5,6,4,0.2265625,"sa3008941"
"Eduardo Lopez","PHI","A+",23,34,130,144,22,12,4,1,5,17,20,13,0,40,1,0,0,0,3,1,0.169230769,"sa3009275"
"Jose Colmenares","PHI","A+",23,93,324,371,71,40,19,4,8,42,43,38,1,92,6,2,1,5,17,8,0.219135802,"sa3009309"
"Geovanny Planchart","PIT","A+",23,56,150,179,29,20,6,0,3,21,18,23,0,34,3,3,0,2,0,0,0.193333333,"sa3009334"
"Jose Colmenares","WSN","A+",22,10,28,35,6,6,0,0,0,0,0,7,0,6,0,0,0,1,0,0,0.214285714,"sa3009817"
"Stephen Paolini","ATL","A+",24,11,36,44,7,6,0,0,1,7,8,5,0,12,2,1,0,1,4,1,0.194444444,"sa3010720"
"Jeremy De La Rosa","WSN","A+",23,32,101,115,20,16,3,0,1,4,11,12,0,32,0,2,0,0,3,5,0.198019801,"sa3011329"
"Karson Simas","BOS","A+",24,2,5,6,2,2,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0.4,"sa3011739"
"Hudson Haskin","BAL","A+",26,5,18,19,2,1,1,0,0,2,1,1,0,9,0,0,0,0,0,0,0.111111111,"sa3014449"
"Juan Chacon","BOS","A+",22,2,7,8,1,1,0,0,0,1,2,1,0,5,0,0,0,0,0,0,0.142857142,"sa3014676"
"Jhon Diaz","TBR","A+",22,98,332,369,62,39,9,4,10,40,40,31,0,89,3,3,0,5,13,3,0.186746987,"sa3014710"
"Roismar Quintana","WSN","A+",22,6,20,22,2,2,0,0,0,1,1,2,0,6,0,0,0,0,0,0,0.1,"sa3014718"
"Jack Blomgren","HOU","A+",26,10,33,39,4,3,0,0,1,4,3,4,0,7,2,0,0,1,5,0,0.121212121,"sa3014825"
"Bryson Horne","ATL","A+",26,53,187,208,33,23,5,0,5,18,20,16,2,62,2,3,0,4,2,1,0.176470588,"sa3014891"
"TT Bowens","BAL","A+",27,4,13,15,5,3,1,0,1,1,4,1,0,5,1,0,0,0,0,0,0.384615384,"sa3015107"
