Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
"Hudson Head","PIT","AA",24,93,0.064516129,0.344086021,0.1875,0.116279069,0.182795698,0.174418604,0.357214302,0.058139535,6.015931996761871,0.16981132,-0.3747632661834359,0.7259569228561733,-9.902173185261884,0.17563020093466647,4.769784155862851,"sa3010889"
"Kervin Pichardo","PIT","AA",23,361,0.096952908,0.26869806,0.360824742,0.201277955,0.287709497,0.33226837,0.619977867,0.130990415,4.313804750310776,0.258215962,-1.133189618587494,33.974304064238,-7.28112571028478,0.29041412572620967,80.39351206802986,"sa3011260"
"Jeremy De La Rosa","WSN","AA",23,71,0.098591549,0.253521126,0.388888888,0.19047619,0.28169014,0.333333333,0.615023473,0.142857143,8.055794471416444,0.25,0.43644007854163647,6.591825265473189,-1.5221235267459727,0.2887263457540055,84.6964924533734,"sa3011329"
"Cameron Barstad","CLE","AA",24,269,0.074349442,0.304832713,0.243902439,0.207627118,0.289962825,0.309322033,0.599284858,0.101694915,2.252337538541868,0.287581699,-0.5477025359869003,23.99220513134726,-6.749375503961961,0.2838689556352268,81.76404798717101,"sa3011350"
"Marcus Lee Sang","PHI","AA",24,13,0.153846153,0.153846153,1,0.181818181,0.307692307,0.181818181,0.489510488,0,5.223214285714286,0.222222222,0.15326859429478645,0.8579168374680064,-0.6277357582904318,0.2530179757338304,52.30190215927265,"sa3011445"
"Wuilfredo Antunez","CLE","AA",23,133,0.045112781,0.195488721,0.23076923,0.300813008,0.333333333,0.528455284,0.861788617,0.227642276,7.424819752022373,0.347368421,0.2850425196811557,21.79869165810441,6.599322793806545,0.3832304518331181,147.22693198474585,"sa3011578"
"Dasan Brown","TOR","AA",23,276,0.115942028,0.304347826,0.38095238,0.174672489,0.285714285,0.248908296,0.534622581,0.074235807,8.15287714171038,0.258741258,4.629890875890851,20.282776511295545,-11.258770906345141,0.2629857247037099,64.46380439694673,"sa3011717"
"Karson Simas","BOS","AA",24,242,0.074380165,0.264462809,0.28125,0.21719457,0.282157676,0.30316742,0.585325096,0.08597285,6.798148552699908,0.292207792,0.946719340980053,20.201285931847643,-7.454708543040205,0.2762695536079248,70.87615980146408,"sa3011739"
"Erick Brito","PHI","AA",23,112,0.0625,0.241071428,0.259259259,0.242718446,0.297297297,0.320388349,0.617685646,0.077669903,4.709919439518229,0.32,0.2850425196811557,10.490784492628293,-2.308684024675173,0.28982371628821435,76.55083174018215,"sa3011753"
"Christopher Familia","NYY","AA",25,22,0.136363636,0.363636363,0.375,0.157894736,0.272727272,0.368421052,0.641148324,0.210526316,5.14285714,0.272727272,-0.03504855651408434,2.1462508557477884,-0.3679304601511072,0.29499615322459827,89.38982595997219,"sa3011776"
"Trei Cruz","DET","AA",26,323,0.167182662,0.204334365,0.818181818,0.27480916,0.40247678,0.454198473,0.856675253,0.179389313,5.934870859056643,0.338541666,-0.9430014323443174,55.52469122021838,18.61193826406642,0.39387437571649964,152.40073537348476,"sa3014420"
"Hudson Haskin","BAL","AA",26,89,0.11235955,0.247191011,0.454545454,0.210526315,0.318181818,0.315789473,0.633971291,0.105263158,6.298330095811989,0.283018867,0.13177392538636923,9.2548945266373,-0.9161117058627769,0.303548819639466,83.73227881096138,"sa3014449"
"Anthony Servideo","BAL","AA",26,350,0.122857142,0.305714285,0.401869158,0.156146179,0.263768115,0.225913621,0.489681736,0.069767442,5.406392619748066,0.238341968,-1.0738163189962506,20.197075813342842,-19.801263303230492,0.2419956215913745,43.17884495891076,"sa3014472"
"Blaze Jordan","BOS","AA",22,176,0.125,0.107954545,1.157894736,0.32,0.414772727,0.513333333,0.92810606,0.193333333,4.407498255874371,0.333333333,-0.05423971265554428,34.08122004219376,13.967769515002601,0.42278822274370625,167.407864819391,"sa3014537"
"Juan Chacon","BOS","AA",22,151,0.092715231,0.271523178,0.341463414,0.229007633,0.31081081,0.297709923,0.608520733,0.06870229,5.166741562314207,0.329670329,-1.0425098333507776,14.138311759289746,-3.1181145452890364,0.28977515246417074,79.77412818031553,"sa3014676"
"Kevin Made","WSN","AA",22,348,0.077586206,0.155172413,0.5,0.216828478,0.286127167,0.275080906,0.561208073,0.058252428,4.17758660594272,0.24609375,-0.0388147896155715,26.782766902356183,-12.987010276408158,0.26760557879602287,70.78138076306078,"sa3014679"
"Roberto Campos","DET","AA",22,403,0.089330024,0.250620347,0.356435643,0.238888888,0.3075,0.35,0.6575,0.111111112,5.284246898279386,0.317829457,-0.4860257236286998,42.2562143540227,-3.7990161144888726,0.3047013063179819,93.65034894495649,"sa3014683"
"Alex Ramirez","NYM","AA",22,191,0.099476439,0.261780104,0.38,0.222222222,0.303664921,0.298245614,0.601910535,0.076023392,6.058298074780667,0.302521008,1.4304173896089196,17.534649050319562,-4.293016010439029,0.28734561878973275,84.2402005421903,"sa3014695"
"Aeverson Arteaga","SFG","AA",22,474,0.061181434,0.261603375,0.233870967,0.188505747,0.23880597,0.268965517,0.507771487,0.08045977,3.5459344256523915,0.245954692,-0.45097716711461544,26.03147582557753,-28.137703435153213,0.23828872218569205,49.38435928441909,"sa3014707"
"Paul Witt","WSN","AA",27,44,0.113636363,0.113636363,1,0.138888888,0.279069767,0.194444444,0.473514211,0.055555556,2.01785714,0.161290322,-0.11682852171361446,2.6315595438141397,-2.396803087983651,0.24479153821634692,55.75068024896177,"sa3014949"
"TT Bowens","BAL","AA",27,22,0.227272727,0.363636363,0.625,0.058823529,0.272727272,0.058823529,0.331550801,0,0.5595238025,0.111111111,-0.07009711302816868,0.6662508629184343,-1.847930452980461,0.20552545244043524,19.15100174140356,"sa3015107"
"Adrian Sugastey","SFG","AA",22,355,0.067605633,0.109859154,0.615384615,0.231481481,0.284090909,0.342592592,0.626683501,0.111111111,3.3774614552478246,0.239285714,-1.3448724737390876,33.38724010293688,-7.182503858158932,0.2903302286497571,83.67115277161733,"sa3015190"
"Juan Montero","BOS","AA",23,6,0,0.5,0,0,0,0,0,0,0.14285714,0,0,-0.745498707371308,-1.4311845207982794,0,-100,"sa3015314"
