Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Ryan Mountcastle","BAL","AAA",28,9,31,37,12,5,4,0,3,8,10,5,0,5,1,0,0,1,0,0,0.387096774,"18373"
"Juan Yepez","WSN","AAA",27,62,212,235,47,35,8,0,4,23,24,21,0,29,0,2,0,5,0,0,0.221698113,"18400"
"Ronald Acuna Jr.","ATL","AAA",27,5,12,19,5,2,2,0,1,6,1,7,0,2,0,0,0,0,0,0,0.416666666,"18401"
"P.J. Higgins","CIN","AAA",32,111,371,408,89,65,16,1,7,36,42,29,0,75,4,3,1,9,0,1,0.239892183,"18433"
"Ali Sanchez","TOR","AAA",28,57,190,211,52,38,8,0,6,25,32,18,0,50,1,2,0,6,0,0,0.27368421,"18551"
"Andy Ibanez","DET","AAA",32,36,139,160,36,24,9,1,2,11,16,18,0,30,2,1,0,5,4,2,0.258992805,"18819"
"Jose Azocar","NYM","AAA",29,71,261,291,63,44,13,2,4,41,28,24,0,59,4,1,1,9,17,6,0.24137931,"18821"
"Yohel Pozo","STL","AAA",28,5,21,21,7,2,3,0,2,7,6,0,0,2,0,0,0,1,1,0,0.333333333,"18848"
"Jahmai Jones","DET","AAA",27,52,170,205,47,28,9,4,6,33,29,24,0,46,9,1,1,2,8,2,0.276470588,"18872"
"Seby Zavala","BOS","AAA",31,67,212,250,35,15,11,1,8,28,25,32,0,94,1,3,2,4,2,0,0.165094339,"18887"
"Cavan Biggio","KCR","AAA",30,41,151,176,43,26,11,2,4,26,23,20,0,37,3,2,0,1,1,1,0.284768211,"19252"
"Jake Fraley","CIN","AAA",30,7,27,29,5,3,1,0,1,3,2,2,0,4,0,0,0,0,1,0,0.185185185,"19260"
"Stone Garrett","WSN","AAA",29,15,46,51,4,2,2,0,0,1,2,5,0,22,0,0,0,0,1,0,0.086956521,"19273"
"Armando Alvarez","MIN","AAA",30,38,137,153,31,20,7,0,4,19,22,14,0,44,2,0,0,1,0,0,0.226277372,"19292"
"Nick Solak","PIT","AAA",30,111,419,482,139,101,23,1,14,76,73,48,4,66,11,4,0,10,10,3,0.331742243,"19294"
"Donovan Walton","NYM","AAA",31,123,434,504,117,88,16,0,13,69,64,55,1,67,7,7,1,7,4,4,0.269585253,"19314"
"Matt Thaiss","TBR","AAA",30,16,55,65,11,7,3,0,1,3,8,9,0,13,1,0,0,1,0,0,0.2,"19318"
"Jose Rojas","NYY","AAA",32,124,446,517,128,57,35,4,32,77,105,65,1,108,3,3,0,2,15,2,0.286995515,"19331"
"Richard Lovelady","MIN","AAA",29,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19337"
"Nicky Lopez","NYY","AAA",30,46,157,192,42,32,8,2,0,22,13,28,0,28,3,4,0,1,6,2,0.267515923,"19339"
"Sean Murphy","ATL","AAA",30,3,10,10,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0.2,"19352"
"Weston Wilson","PHI","AAA",30,25,104,123,26,17,5,1,3,21,12,18,0,26,1,0,0,3,4,3,0.25,"19358"
"Austin Hays","CIN","AAA",29,3,9,10,2,1,0,0,1,2,2,0,0,5,0,1,0,0,1,0,0.222222222,"19363"
"Brian Serven","DET","AAA",30,62,198,233,46,36,7,0,3,28,28,28,0,59,4,3,0,2,1,0,0.232323232,"19422"
"Yonny Hernandez","NYM","AAA",27,97,314,361,102,82,16,3,1,48,33,35,1,35,7,0,5,3,8,3,0.324840764,"19432"
"Jake Rogers","DET","AAA",30,4,15,18,5,2,3,0,0,5,0,3,0,3,0,0,0,1,0,0,0.333333333,"19452"
"Andruw Monasterio","MIL","AAA",28,30,112,130,28,18,6,0,4,18,11,16,0,31,1,1,0,1,8,3,0.25,"19455"
"Cooper Hummel","NYY","AAA",30,38,124,162,37,21,3,2,11,30,28,33,0,38,4,1,0,4,2,3,0.298387096,"19458"
"Andrew Knizner","WSN","AAA",30,23,68,91,26,20,5,0,1,10,11,13,0,11,8,2,0,0,0,1,0.382352941,"19514"
"Bryan De La Cruz","NYY","AAA",28,102,369,411,97,66,15,1,15,47,49,35,0,103,4,3,0,11,8,1,0.262872628,"19600"
