Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Adrian Sugastey","SFG","AA",22,355,0.239285714,1.182692307,0.200704225,0.433098591,0.366197183,0.23076923,0.076923076,0.41924399,0.2371134,0.34364261,0.07244094,430,840,1270,"sa3015190"
"Juan Montero","BOS","AA",23,6,0,2,0,0.666666666,0.333333333,0,0,0,0.33333333,0.66666667,0.125,9,15,24,"sa3015314"
"Ronald Rosario","BOS","AA",22,402,0.239215686,1.08737864,0.169884169,0.432432432,0.397683397,0.27184466,0.106796116,0.45149254,0.29477612,0.25373134,0.1437866,543,994,1537,"sa3015525"
"Kevin Rivas","CLE","AA",22,2,0,1,0,1,0,0,0,1,0,0,0.28571429,3,4,7,"sa3015539"
"Jefrey De Los Santos","NYM","AA",22,44,0.384615384,0.888888888,0.32,0.32,0.36,0.222222222,0,0.55555556,0.07407407,0.37037037,0.15053763,67,119,186,"sa3015574"
"Javier Rivas","PIT","AA",22,118,0.240963855,0.94117647,0.214285714,0.38095238,0.404761904,0.44117647,0.088235294,0.48275862,0.2183908,0.29885057,0.1852861,88,279,367,"sa3015589"
"Onil Perez","SFG","AA",22,62,0.196078431,0.947368421,0.212765957,0.382978723,0.404255319,0.526315789,0,0.43137255,0.19607843,0.37254902,0.06435644,83,119,202,"sa3015610"
"Victor Arias","TOR","AA",21,150,0.291666666,2.38095238,0.236559139,0.537634408,0.225806451,0,0.095238095,0.36734694,0.25510204,0.37755102,0.16898955,208,366,574,"sa3015636"
"Manuel Palencia","NYY","AA",22,80,0.293103448,1.555555555,0.192982456,0.49122807,0.315789473,0,0,0.40677966,0.22033898,0.37288136,0.12244898,99,195,294,"sa3015659"
"Omar Alfonzo","PIT","AA",21,193,0.309090909,1.6875,0.225225225,0.486486486,0.288288288,0.21875,0.09375,0.50442478,0.26548673,0.2300885,0.13517241,255,470,725,"sa3015665"
"Angel Genao","CLE","AA",21,341,0.305882352,1.481012658,0.216,0.468,0.316,0.202531645,0.025316455,0.40856031,0.26459144,0.32684825,0.08631922,449,779,1228,"sa3015706"
"Abel Bastidas","DET","AA",21,17,0.1,1,0.2,0.4,0.4,0.5,0,0.6,0.1,0.3,0.26470588,20,48,68,"sa3015709"
"Hendry Mendez","PHI","AA",21,349,0.309523809,2.177419354,0.23046875,0.52734375,0.2421875,0.29032258,0.129032258,0.4137931,0.25670498,0.32950192,0.05777055,511,718,1229,"sa3015727"
"Thayron Liranzo","DET","AA",21,394,0.286407766,1.024096385,0.222222222,0.393518518,0.384259259,0.216867469,0.13253012,0.46082949,0.22580645,0.31336406,0.16399507,616,1006,1622,"sa3015790"
"Bryant Betancourt","COL","AA",21,344,0.262931034,1.238095238,0.20338983,0.440677966,0.355932203,0.25,0.119047619,0.46694215,0.20247934,0.33057851,0.10242377,461,818,1279,"sa3015846"
"Luis Valdez","BAL","AA",25,138,0.2875,2.210526315,0.207792207,0.545454545,0.246753246,0.315789473,0,0.30864198,0.43209877,0.25925926,0.1643002,160,333,493,"sa3016076"
"Allan Castro","BOS","AA",22,388,0.328125,1.010526315,0.265384615,0.369230769,0.365384615,0.221052631,0.07368421,0.39543726,0.2661597,0.33840304,0.10324289,583,928,1511,"sa3016084"
"Diego Velasquez","SFG","AA",21,566,0.302798982,1.663551401,0.259740259,0.462337662,0.277922077,0.130841121,0.018691588,0.37092732,0.2556391,0.37343358,0.05349048,842,1364,2206,"sa3016144"
"Enderso Lira","BOS","AA",21,12,0,0.142857142,0,0.125,0.875,0.285714285,0.142857142,0.375,0.125,0.5,0.13953488,20,23,43,"sa3016145"
"Luis Ravelo","BOS","AA",21,108,0.254237288,1.428571428,0.13559322,0.508474576,0.355932203,0.285714285,0.047619047,0.5,0.2,0.3,0.20094563,152,271,423,"sa3016171"
"Ahbram Liendo","BOS","AA",21,463,0.31632653,1.634408602,0.155172413,0.524137931,0.320689655,0.279569892,0.043010752,0.51839465,0.2541806,0.22742475,0.09323882,691,1143,1834,"sa3016173"
"Victor Juarez","COL","AA",22,0,0,,,,,,,,,,,,,,"sa3016226"
"Frederick Bencosme","BAL","AA",22,227,0.202531645,0.985294117,0.161490683,0.416149068,0.422360248,0.382352941,0.088235294,0.46107784,0.19760479,0.34131737,0.0852071,324,521,845,"sa3016779"
"Max Ferguson","BOS","AA",25,392,0.235042735,0.912621359,0.168776371,0.396624472,0.434599156,0.330097087,0.067961165,0.4795082,0.20901639,0.31147541,0.11596091,638,897,1535,"sa3016819"
"Colton Bender","PHI","AA",26,3,0,2,0,1,0,0,0,0.5,0,0.5,0.09090909,4,7,11,"sa3016828"
"Miguel Bleis","BOS","AA",21,118,0.282051282,0.93548387,0.22077922,0.376623376,0.402597402,0.258064516,0.032258064,0.62025316,0.24050633,0.13924051,0.125,154,310,464,"sa3016834"
"Luis Caicuto","PHI","AA",22,3,0,2,0,1,0,0,0,0.5,0,0.5,0.2,2,8,10,"sa3016923"
"Tyler Hardman","NYY","AA",26,453,0.294820717,0.585185185,0.189393939,0.299242424,0.511363636,0.17037037,0.148148148,0.48518519,0.25555556,0.25925926,0.15774805,629,1165,1794,"sa3016955"
"Chris Meyers","DET","AA",26,317,0.314009661,0.837209302,0.261682242,0.336448598,0.401869158,0.104651162,0.116279069,0.46296296,0.27777778,0.25925926,0.1281198,463,739,1202,"sa3016956"
"Corey Rosier","BOS","AA",25,65,0.309523809,0.7,0.209302325,0.325581395,0.465116279,0.2,0.1,0.45454545,0.20454545,0.34090909,0.10344828,88,173,261,"sa3016961"
"Grant Richardson","NYY","AA",25,58,0.23076923,2.125,0.074074074,0.629629629,0.296296296,0.125,0.125,0.27586207,0.31034483,0.4137931,0.1888412,83,150,233,"sa3016964"
"Justice Bigbie","DET","AA",26,452,0.313664596,1.485436893,0.221884498,0.465045592,0.313069908,0.22330097,0.116504854,0.38138138,0.28228228,0.33633634,0.09345794,589,1016,1605,"sa3016971"
"Ben Malgeri","DET","AA",25,285,0.328282828,1.217391304,0.23880597,0.417910447,0.343283582,0.173913043,0.072463768,0.45320197,0.23152709,0.31527094,0.09046693,380,648,1028,"sa3016975"
"Aaron McKeithan","PIT","AA",25,139,0.184782608,0.8,0.234042553,0.340425531,0.425531914,0.425,0.075,0.43298969,0.25773196,0.30927835,0.0625,205,323,528,"sa3016977"
"Alex Binelas","PHI","AA",25,269,0.351351351,1.346153846,0.202614379,0.457516339,0.339869281,0.134615384,0.153846153,0.49044586,0.24203822,0.26751592,0.14069877,433,626,1059,"sa3017044"
"Wyatt Young","NYM","AA",25,333,0.3125,1.348484848,0.236453201,0.438423645,0.325123152,0.106060606,0.015151515,0.32857143,0.2047619,0.46666667,0.06968125,548,801,1349,"sa3017081"
"Tyler Miller","BOS","AA",25,311,0.23880597,1.210526315,0.188405797,0.444444444,0.367149758,0.289473684,0.105263157,0.51674641,0.16746411,0.31578947,0.15654405,394,775,1169,"sa3017109"
"Donta' Williams","WSN","AA",26,55,0.138888888,0.8,0.27027027,0.324324324,0.405405405,0.133333333,0.066666666,0.24324324,0.37837838,0.37837838,0.11160714,86,138,224,"sa3017152"
"Nic Kent","COL","AA",25,384,0.274509803,1.155555555,0.227091633,0.414342629,0.358565737,0.211111111,0.044444444,0.44444444,0.24904215,0.30651341,0.11048557,517,904,1421,"sa3017160"
"Wyatt Hendrie","PIT","AA",26,140,0.213333333,2.111111111,0.263157894,0.5,0.236842105,0.111111111,0.166666666,0.48101266,0.21518987,0.30379747,0.07664884,247,314,561,"sa3017163"
"Zach Kokoska","COL","AA",26,280,0.251851851,0.602739726,0.1875,0.305555555,0.506944444,0.191780821,0.164383561,0.53741497,0.23129252,0.23129252,0.21321586,406,729,1135,"sa3017165"
"Benny Montgomery","COL","AA",22,355,0.319148936,2.282608695,0.188172043,0.564516129,0.247311827,0.086956521,0.086956521,0.40512821,0.24615385,0.34871795,0.18736842,486,939,1425,"sa3017169"
"Reed Trimble","BAL","AA",25,217,0.290076335,0.579710144,0.204379562,0.291970802,0.503649635,0.173913043,0.144927536,0.45714286,0.25714286,0.28571429,0.12470024,314,520,834,"sa3017180"
"Rowdey Jordan","NYM","AA",26,10,0,0.666666666,0.166666666,0.333333333,0.5,0.333333333,0.333333333,0.83333333,0.16666667,0,0.18918919,15,22,37,"sa3017214"
"Vaun Brown","SFG","AA",27,99,0.344262295,1.444444444,0.278688524,0.426229508,0.295081967,0.111111111,0,0.5,0.22580645,0.27419355,0.16042781,136,238,374,"sa3017282"
"Damiano Palmegiani","TOR","AA",25,34,0.315789473,1,0.263157894,0.368421052,0.368421052,0.428571428,0,0.42105263,0.05263158,0.52631579,0.13333333,44,76,120,"sa3017326"
"Braiden Ward","COL","AA",26,205,0.323529411,1.526315789,0.283582089,0.43283582,0.283582089,0.236842105,0.026315789,0.37410072,0.22302158,0.4028777,0.09344491,266,451,717,"sa3017332"
"JT Schwartz","NYM","AA",25,335,0.233480176,0.836734693,0.217391304,0.356521739,0.426086956,0.214285714,0.051020408,0.36051502,0.1888412,0.45064378,0.08895706,494,810,1304,"sa3017371"
"Paul McIntosh","PHI","AA",27,232,0.295597484,0.969230769,0.233532934,0.377245508,0.389221556,0.261538461,0.123076923,0.45508982,0.26347305,0.28143713,0.10352673,352,527,879,"sa3017372"
"Jose Torres","COL","AA",25,272,0.333333333,0.623376623,0.188311688,0.311688311,0.5,0.22077922,0.129870129,0.44936709,0.25316456,0.29746835,0.16714422,343,704,1047,"sa3017396"
"Brenden Dixon","PIT","AA",24,215,0.245762711,0.96226415,0.12605042,0.428571428,0.445378151,0.188679245,0.056603773,0.54166667,0.24166667,0.21666667,0.16393443,342,512,854,"sa3017397"
"Mike Jarvis","PIT","AA",27,204,0.261194029,0.737704918,0.196969696,0.34090909,0.462121212,0.360655737,0.032786885,0.53623188,0.1884058,0.27536232,0.11470985,244,497,741,"sa3017401"
"Kahlil Watson","CLE","AA",22,253,0.326241134,0.96491228,0.238095238,0.374149659,0.387755102,0.157894736,0.140350877,0.48666667,0.34,0.17333333,0.15291751,365,629,994,"sa3017513"
"Branden Boissiere","WSN","AA",25,214,0.372262773,0.706896551,0.29787234,0.290780141,0.411347517,0.206896551,0.068965517,0.4084507,0.26760563,0.32394366,0.15653299,289,484,773,"sa3017558"
"Creed Willems","BAL","AA",22,434,0.282685512,0.765151515,0.215488215,0.34006734,0.444444444,0.204545454,0.121212121,0.45364238,0.23178808,0.31456954,0.13751584,572,1006,1578,"sa3017562"
"Nicolas Deschamps","TOR","AA",22,35,0.15,1.5,0.25,0.45,0.3,0.166666666,0,0.5,0.2,0.3,0.17647059,50,86,136,"sa3017732"
"Jake Fox","CLE","AA",22,330,0.252475247,0.858823529,0.221674876,0.359605911,0.418719211,0.247058823,0.035294117,0.44390244,0.25365854,0.30243902,0.07308503,562,861,1423,"sa3017734"
"Will Bednar","SFG","AA",25,0,0,,,,,,,,,,,,,,"sa3017844"
"Jose Aular","NYM","AA",21,8,0,4,0,1,0,0,0,0.75,0,0.25,0.15384615,9,17,26,"sa3017954"
"Brady Allen","DET","AA",25,90,0.23076923,1.315789473,0.137254901,0.490196078,0.372549019,0.105263157,0.052631578,0.58490566,0.22641509,0.18867925,0.13989637,151,235,386,"sa3018098"
"Dyan Jorge","COL","AA",22,445,0.25,2.023529411,0.160130718,0.562091503,0.277777777,0.258823529,0.023529411,0.42307692,0.25961538,0.31730769,0.09596255,629,1080,1709,"sa3018387"
