Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Max Stassi","SFG","AAA",34,84,0.346938775,1.4375,0.204081632,0.469387755,0.326530612,0.125,0.0625,0.48,0.16,0.36,0.11320755,133,185,318,"10059"
"Tucker Barnhart","TEX","AAA",34,125,0.256410256,1.032258064,0.202531645,0.405063291,0.392405063,0.193548387,0.064516129,0.43209877,0.37037037,0.19753086,0.09663866,204,272,476,"10200"
"Jon Singleton","HOU","AAA",33,248,0.248175182,0.772727272,0.181818181,0.356643356,0.461538461,0.212121212,0.09090909,0.41549296,0.29577465,0.28873239,0.11406844,434,618,1052,"10441"
"Enrique Hernandez","LAD","AAA",33,16,0.454545454,3.5,0.181818181,0.636363636,0.181818181,0.5,0,0.72727273,0.09090909,0.18181818,0.11290323,23,39,62,"10472"
"Gio Urshela","OAK","AAA",33,16,0.666666666,2,0.4,0.4,0.2,0.5,0.5,0.2,0.3,0.5,0.12676056,26,45,71,"10681"
"Yolmer Sanchez","LAA","AAA",33,492,0.32885906,1.25,0.27027027,0.405405405,0.324324324,0.229166666,0.041666666,0.40789474,0.26644737,0.32565789,0.11498258,766,1243,2009,"11602"
"Brandon Drury","LAA","AAA",32,154,0.292929292,1.027027027,0.25,0.38,0.37,0.189189189,0.054054054,0.52475248,0.20792079,0.26732673,0.07890499,253,368,621,"11615"
"Nick Martini","OAK","AAA",35,360,0.294117647,0.988235294,0.255506607,0.370044052,0.374449339,0.176470588,0.117647058,0.46753247,0.26839827,0.26406926,0.06284916,575,857,1432,"12005"
"Eddie Rosario","LAD","AAA",33,69,0.418604651,1.357142857,0.266666666,0.422222222,0.311111111,0,0.142857142,0.32608696,0.36956522,0.30434783,0.11111111,101,178,279,"12155"
"Austin Barnes","SFG","AAA",35,37,0.259259259,3.6,0.148148148,0.666666666,0.185185185,0.2,0,0.37037037,0.07407407,0.55555556,0.06164384,63,83,146,"12158"
"Ben Gamel","LAA","AAA",33,127,0.318181818,1.304347826,0.273972602,0.410958904,0.315068493,0.173913043,0.347826086,0.40540541,0.27027027,0.32432432,0.11523438,221,291,512,"12160"
"Michael Perez","ARI","AAA",32,74,0.355555555,0.809523809,0.191489361,0.361702127,0.44680851,0.285714285,0.095238095,0.5106383,0.38297872,0.10638298,0.08680556,101,187,288,"12977"
"Max Muncy","LAD","AAA",34,25,0.5,1,0.384615384,0.307692307,0.307692307,0,0.25,0.61538462,0.30769231,0.07692308,0.16504854,43,60,103,"13301"
"Ildemaro Vargas","ARI","AAA",33,241,0.263157894,1.961538461,0.197916666,0.53125,0.270833333,0.346153846,0.096153846,0.5255102,0.22959184,0.24489796,0.04068522,352,582,934,"13324"
"Jake Lamb","SFG","AAA",34,176,0.326923076,1.088235294,0.323809523,0.352380952,0.323809523,0.205882352,0.058823529,0.40566038,0.25471698,0.33962264,0.12552891,280,429,709,"13329"
"Omar Narvaez","HOU","AAA",33,232,0.311258278,1.076923076,0.289473684,0.368421052,0.342105263,0.115384615,0.057692307,0.28571429,0.22077922,0.49350649,0.05901639,369,546,915,"13338"
