Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Chris Martin","TEX","AA",39,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,"11847"
"Aaron Brooks","OAK","AA",35,0,1,4.090909090909091,2,2,0,0,0,0,0,11,52,15,6,5,0,6,0,0,0,0,11,"12272"
"Danny Coulombe","TEX","AA",35,0,0,0,2,0,0,0,0,0,0,2,9,2,0,0,0,0,0,1,0,0,2,"13293"
"Lance McCullers Jr.","HOU","AA",31,0,1,2.6999987125402867,2,2,0,0,0,0,0,6.2,30,7,4,2,1,4,0,0,2,0,8,"14120"
"J.B. Wendelken","SDP","AA",32,1,1,7.411764705882353,10,0,0,0,0,1,1,17,76,18,15,14,1,11,0,1,1,0,19,"14506"
"Michael Lorenzen","KCR","AA",33,1,0,7.269228102893791,2,2,0,0,0,0,0,8.2,41,11,7,7,2,6,0,1,1,0,9,"14843"
"Hunter Harvey","KCR","AA",30,0,0,0,2,0,0,0,0,0,1,2,8,2,0,0,0,0,0,0,0,0,4,"15507"
"Cristian Javier","HOU","AA",28,0,0,3,1,1,0,0,0,0,0,3,13,2,1,1,0,2,0,0,0,0,3,"17606"
"Josh Sborz","TEX","AA",31,0,0,3.374995674943506,2,0,0,0,0,0,0,2.2,11,1,1,1,0,2,0,0,2,0,3,"18323"
"Ryan Hendrix","KCR","AA",30,0,1,9,4,0,0,0,0,1,1,4,18,3,4,4,1,3,0,1,2,0,8,"19535"
"Kyle Wright","KCR","AA",29,0,0,4.5,4,4,0,0,0,0,0,10,46,9,6,5,1,5,0,2,0,1,7,"19665"
"CD Pelham","OAK","AA",30,3,4,3.4322038336548673,41,0,0,0,0,1,5,39.1,168,36,20,15,3,15,2,4,4,0,47,"19820"
"Nick Raquet","STL","AA",29,8,1,0.7714285714285715,25,0,0,0,5,1,2,35,142,29,6,3,0,6,0,3,3,0,38,"20333"
"Clayton Kershaw","LAD","AA",37,0,0,3,1,1,0,0,0,0,0,3,15,4,1,1,0,1,0,0,1,0,4,"2036"
"Jose Espada","SDP","AA",28,1,1,2.4179107919252867,17,0,0,0,3,0,1,22.1,86,12,7,6,1,8,0,0,3,0,37,"21131"
"J.P. France","HOU","AA",30,0,1,13.5,1,1,0,0,0,0,0,2,12,5,3,3,0,1,0,0,0,1,3,"21212"
"Daniel Lynch IV","KCR","AA",28,0,0,26.99986401268786,1,0,0,0,0,0,0,0.2,4,1,2,2,0,1,0,0,0,0,1,"21537"
"Cole Ragans","KCR","AA",27,0,0,9.818172667645873,1,1,0,0,0,0,0,3.2,18,7,5,4,1,1,0,0,1,0,6,"21846"
"John King","STL","AA",30,0,0,9,1,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,2,"22051"
"Jonathan Heasley","KCR","AA",28,1,0,4.263156824825481,8,0,0,0,0,1,2,12.2,52,14,6,6,3,2,0,1,1,0,9,"22224"
"Luis Patino","SDP","AA",25,0,1,2.9454550561826975,5,5,0,0,0,0,0,18.1,78,15,7,6,1,8,0,0,0,0,19,"22815"
