Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Erasmo Ramirez","MIN","CPX",35,0,0,4.5,3,1,0,0,0,0,0,4,16,3,2,2,0,1,0,0,0,1,3,"10314"
"Yimi Garcia","TOR","CPX",34,0,0,0,1,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,3,"12095"
"Adrian Sampson","WSN","CPX",33,1,0,0,1,1,0,0,0,0,0,5,17,3,0,0,0,0,0,0,0,0,9,"13339"
"Zach Eflin","BAL","CPX",31,0,0,0,1,1,0,0,0,0,0,4,19,3,5,0,0,1,0,0,0,0,5,"13774"
"Amir Garrett","TOR","CPX",33,0,1,16.200016608255247,3,1,0,0,0,0,0,3.1,17,6,6,6,2,0,0,1,0,0,5,"14375"
"Paul Blackburn","NYM","CPX",31,0,1,2.4545431669114683,1,1,0,0,0,0,0,3.2,15,3,1,1,0,2,0,0,1,0,8,"14739"
"Yacksel Rios","NYM","CPX",32,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,0,0,1,1,0,1,"15007"
"Rob Kaminsky","STL","CPX",30,0,0,0,2,1,0,0,0,0,0,3,12,2,0,0,0,0,0,0,1,0,6,"15792"
"Erik Swanson","TOR","CPX",31,0,0,18,1,0,0,0,0,0,0,0,4,2,4,2,1,0,0,0,0,0,0,"16587"
"Ryan Burr","TOR","CPX",31,0,0,0,2,1,0,0,0,0,0,2.2,8,0,0,0,0,0,0,0,0,0,5,"17536"
"Cristian Javier","HOU","CPX",28,0,1,13.500033393584838,1,1,0,0,0,0,0,1.1,8,1,3,2,0,3,0,0,0,0,2,"17606"
"Connor Overton","TOR","CPX",31,0,0,1.2272732592813576,4,3,0,0,0,0,0,7.1,31,7,2,1,0,2,0,0,0,0,8,"18376"
"Scott Effross","NYY","CPX",31,0,0,0,1,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,"18384"
"Hobie Harris","BOS","CPX",32,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,"18615"
"Keegan Akin","BAL","CPX",30,0,0,0,1,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,"19362"
"Kodi Whitley","TBR","CPX",30,0,0,1.68750100582898,4,0,0,0,0,0,0,5.1,23,5,2,1,1,1,0,0,0,0,8,"19731"
"Alex Faedo","TBR","CPX",29,0,0,0,1,1,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,0,2,"19874"
"Jovani Moran","BOS","CPX",28,0,0,3,2,2,0,0,0,0,0,3,12,1,1,1,0,2,0,0,0,0,6,"20422"
"Nick Sandlin","TOR","CPX",28,0,1,3.85714850621175,2,1,0,0,0,0,0,2.1,10,2,2,1,0,1,0,0,0,0,4,"20517"
"Luis F. Castillo","BAL","CPX",30,0,0,3.374995674943506,2,2,0,0,0,0,0,2.2,11,4,1,1,0,0,0,0,0,0,5,"20638"
"Thomas Szapucki","DET","CPX",29,0,0,0,3,2,0,0,0,0,0,4,14,2,0,0,0,0,0,0,0,0,7,"21065"
"J.P. France","HOU","CPX",30,0,0,0,1,1,0,0,0,0,0,1.1,7,2,0,0,0,1,0,1,0,0,2,"21212"
"Shane McClanahan","TBR","CPX",28,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,"21483"
