Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
"Noah Syndergaard","CHW","CPX",32,15.1,7.043479721127328,0.5869566434272773,12,0,0.2,0.01666667,0.18333333,0.23728814,0.9782610723787956,0.29787234,0.6,2.9347832171363866,3.1277884815951014,-0.1930052644587148,4.120959766503165,"11762"
"Blake Treinen","LAD","CPX",37,1,9,0,1,9,0.25,0,0.25,0.25,1,0,1,9,15.497353982925414,-6.497353982925414,3.393155348300934,"12572"
"Eduardo Rodriguez","ARI","CPX",32,4.2,17.357131033535662,1.9285701148372958,9,5.785710344511887,0.5,0.05555556,0.44444445,0.17647059,0.8571422732610203,0,1,5.785710344511887,9.640207622491538,-3.8544972779796502,2.2428569815819617,"13164"
"Tyler Naquin","CLE","CPX",34,14,5.142857142857143,7.071428571428571,0.72727273,0,0.13333333,0.18333333,-0.05,0.16326531,1.3571428571428572,0.19512195,0.57894737,5.142857142857143,5.71163969721113,-0.5687825543539864,6.79939849802426,"13359"
"Blake Snell","LAD","CPX",32,3,21,0,7,0,0.58333333,0,0.58333333,0.25,1,0.6,0.66666667,3,-0.16931268374125175,3.1693126837412517,0.4278882265090944,"13543"
"Ty Blach","TEX","CPX",34,5,14.4,0,8,0,0.47058824,0,0.47058824,0.17647059,0.6,0.33333333,1,0,1.297353982925415,-1.297353982925415,1.297353982925415,"14361"
"J.B. Wendelken","SDP","CPX",32,5.1,8.437505029144901,1.68750100582898,5,0,0.20833333,0.04166667,0.16666667,0.40909091,1.8750011175877557,0.52941176,0.54545455,8.437505029144901,3.747353535890313,4.6901514932545885,4.2512421042550335,"14506"
"Buck Farmer","CIN","CPX",34,8.1,7.560002883912233,0,7,0,0.20588235,0,0.20588235,0.26470588,1.0800004119874618,0.33333333,0.55555556,4.320001647949847,2.8173533420560304,1.5026483058938167,3.7848191857205213,"14814"
"Jon Gray","TEX","CPX",33,3,6,0,2,0,0.15384615,0,0.15384615,0.46153846,2,0.54545455,0.83333333,3,3.164020649592082,-0.16402064959208218,3.462621104717255,"14916"
"Trevor Gott","SEA","CPX",32,2,13.5,0,3,0,0.42857143,0,0.42857143,0.14285714,0.5,0.25,1,0,1.4973539829254152,-1.4973539829254152,1.9452546656131746,"15046"
"Hunter Harvey","KCR","CPX",30,1,9,0,1,0,0.25,0,0.25,0.25,1,0.33333333,1,0,2.497353982925415,-2.497353982925415,2.497353982925415,"15507"
"Kendall Graveman","ARI","CPX",34,2.1,7.7142970124235,3.85714850621175,2,0,0.18181818,0.09090909,0.09090909,0.4,2.14286028122875,0.5,1,0,4.068781926679665,-4.068781926679665,4.068781926679665,"15514"
"Spencer Turnbull","CHC","CPX",32,4,11.25,4.5,2.5,0,0.33333333,0.13333333,0.2,0.07692308,0.75,0.125,0.66666667,2.25,3.497353982925415,-1.2473539829254152,3.721304324269295,"16207"
"Jeff Brigham","ARI","CPX",33,1,0,18,0,0,0,0.5,-0.5,0,2,0,1,0,10.497353982925414,-10.497353982925414,11.393155348300933,"16631"
"Jake Brentz","CHC","CPX",30,2,9,0,2,0,0.2,0,0.2,0.375,1.5,0.5,0.8,4.5,5.497353982925415,-0.9973539829254152,5.945254665613175,"17783"
