Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Kyle Gibson","BAL","A+",37,1,0,1.8,1,1,0,0,0,0,0,5,19,1,2,1,1,2,0,0,0,0,5,"10123"
"Andrew Kittredge","BAL","A+",35,0,0,9,1,0,0,0,0,0,0,1,5,2,1,1,0,0,0,0,1,0,2,"12828"
"Zach Eflin","BAL","A+",31,0,0,0,1,1,0,0,0,0,0,4,15,2,0,0,0,2,0,0,0,0,4,"13774"
"Frankie Montas","NYM","A+",32,0,0,8.307698402183535,2,2,0,0,0,0,0,4.1,21,4,4,4,0,4,0,0,0,0,4,"14309"
"Paul Blackburn","NYM","A+",31,0,0,5.4,2,2,0,0,0,0,0,5,21,6,3,3,2,2,0,0,0,0,7,"14739"
"Sean Manaea","NYM","A+",33,0,1,9.449995493891004,3,3,0,0,0,0,0,6.2,38,11,8,7,1,3,0,3,1,0,8,"15873"
"JT Brubaker","NYY","A+",31,0,0,0,1,1,0,0,0,0,0,3,10,1,0,0,0,0,0,1,1,0,3,"17578"
"Beau Burrows","PIT","A+",28,0,0,0,3,0,0,0,1,0,0,4.1,18,2,0,0,0,2,0,0,0,1,6,"18873"
"Jesse Scholtens","CHW","A+",31,0,0,5.142857142857143,2,2,0,0,0,0,0,7,31,9,4,4,0,3,0,0,3,0,5,"19205"
"Jose Suarez","ATL","A+",27,1,0,0,1,0,0,0,0,0,0,2.2,9,1,0,0,0,0,0,0,0,0,4,"19911"
"Zack Kelly","BOS","A+",30,0,0,0,2,1,0,0,0,0,0,2,7,0,0,0,0,0,0,1,1,0,2,"20349"
"Jovani Moran","BOS","A+",28,0,2,5.785710344511887,4,2,0,0,0,0,0,4.2,23,4,3,3,0,3,0,2,1,0,11,"20422"
"Jake Cousins","NYY","A+",30,0,0,7.7142970124235,2,0,0,0,0,1,0,2.1,11,4,3,2,0,0,0,0,2,0,4,"21620"
"Josiah Gray","WSN","A+",27,0,0,0,1,1,0,0,0,0,0,1.1,7,0,0,0,0,2,0,1,0,0,1,"24580"
"Kyle Bradish","BAL","A+",28,0,0,4.5,1,1,0,0,0,0,0,2,10,2,1,1,0,1,0,0,0,0,4,"24586"
"Andrew Wantz","TBR","A+",29,0,0,1.5,5,0,0,0,0,0,1,6,23,4,1,1,0,3,0,0,0,0,6,"24933"
"Jayvien Sandridge","NYY","A+",26,0,1,11.57144551863525,2,0,0,0,0,1,0,2.1,12,3,4,3,0,0,0,0,1,1,3,"25158"
"Yaramil Hiraldo","BAL","A+",29,1,0,1.5,3,0,0,0,0,0,0,6,22,4,1,1,0,1,0,0,0,0,6,"25215"
"Levi Stoudt","BAL","A+",27,0,0,1.9285701148372958,3,0,0,0,0,0,1,4.2,16,3,1,1,1,0,0,0,0,0,4,"25650"
"Anthony Nunez","NYM","A+",23,1,1,0.627907116004393,10,0,0,0,1,1,1,14.1,52,3,2,1,0,5,1,0,0,0,24,"25796"
"Amos Willingham","ATL","A+",26,0,0,6,3,0,0,0,0,0,1,3,13,2,2,2,0,2,0,0,0,0,5,"26128"
"Chris Murphy","BOS","A+",27,0,0,0,2,2,0,0,0,0,0,2.1,10,1,0,0,0,2,0,0,1,0,5,"26214"
"Marc Church","TEX","A+",24,0,1,18,1,0,0,0,0,0,0,1,6,3,2,2,0,0,0,0,0,1,3,"26353"
"Walter Pennington","BAL","A+",27,0,1,6.75,3,1,0,0,0,0,0,4,16,1,3,3,0,2,0,0,0,0,6,"27624"
"Zach Brzykcy","WSN","A+",25,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,"27783"
