Name,Team,Level,Age,IP,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Erick Mejia","WSN","A",30,12,0.21428571,1,0.259259259,0.37037037,0.37037037,0.1,0.2,0.33333333,0.33333333,0.33333333,0.18518519,82,134,216,"15817"
"Joan Adon","WSN","A",26,0,0,0,0,0,0,0,0,,,,0.05,16,4,20,"22925"
"Cody Bolton","HOU","A",27,3,0.45454545,1.666666666,0.333333333,0.416666666,0.25,0,0.333333333,0.25,0.66666667,0.08333333,0.08333333,10,26,36,"23265"
"Luis Garcia","HOU","A",28,2,0,1,0,0.5,0.5,0,0,0.75,0.25,0,0.17391304,6,17,23,"23735"
"Chase Solesky","WSN","A",27,3,0.11111111,0.333333333,0.111111111,0.222222222,0.666666666,0.166666666,0,0.11111111,0.44444444,0.44444444,0.06060606,11,22,33,"25480"
"Cade Cavalli","WSN","A",26,4,0.1,8,0.1,0.8,0.1,0,0,0.5,0.3,0.2,0.06521739,17,29,46,"27473"
"Zach Brzykcy","WSN","A",25,2,0.33333333,1,0.333333333,0.333333333,0.333333333,0,0,0.33333333,0,0.66666667,0.15151515,13,20,33,"27783"
"Jake Bennett","WSN","A",24,6,0.33333333,2.666666666,0.214285714,0.571428571,0.214285714,0,0,0.3125,0.1875,0.5,0.17241379,29,58,87,"31959"
"Jorge Juan","ATL","A",26,1,0.5,2,0,1,0,0,0,0,0,1,0.25,7,13,20,"sa3005826"
"Wardquelin Vasquez","CHW","A",23,16,0.29545455,1.266666666,0.260869565,0.413043478,0.326086956,0.133333333,0.133333333,0.35555556,0.31111111,0.33333333,0.08888889,157,158,315,"sa3006502"
"Dionmy Salon","KCR","A",23,1,0,1,0,1,0,0,0,1,0,0,0.1,2,8,10,"sa3008839"
"Reibyn Corona","ATL","A",23,45,0.31092437,1.219512195,0.247933884,0.41322314,0.338842975,0.268292682,0.048780487,0.5,0.2295082,0.2704918,0.13174404,331,466,797,"sa3009521"
"Johan Otanez","WSN","A",23,33.2,0.27058824,2.722222222,0.192771084,0.590361445,0.216867469,0.277777777,0.166666666,0.45454545,0.23863636,0.30681818,0.13747646,213,318,531,"sa3009782"
"Manuel Veloz","CHW","A",24,26,0.29333333,0.967741935,0.197368421,0.394736842,0.407894736,0.161290322,0.032258064,0.50666667,0.26666667,0.22666667,0.11704835,150,243,393,"sa3011349"
"Chris Clarke","CHC","A",27,9,0.34615385,3.75,0.24,0.6,0.16,0.5,0,0.6,0.04,0.36,0.1056338,42,100,142,"sa3011411"
"Noah Song","BOS","A",28,4,0,5,0,0.833333333,0.166666666,0,0,0.66666667,0.16666667,0.16666667,0.20833333,18,30,48,"sa3011695"
"Manuel Medina","BOS","A",23,20,0.35555556,2,0.318181818,0.454545454,0.227272727,0.2,0.1,0.56521739,0.26086957,0.17391304,0.17701863,117,205,322,"sa3011728"
"Nick Lockhart","TEX","A",24,1.1,0.25,3,0.25,0.75,0,0,0,1,0,0,0.13043478,6,17,23,"sa3011743"
"Jean Pinto","HOU","A",24,3,0.4,8,0.1,0.8,0.1,0,0,0.33333333,0.55555556,0.11111111,0.15555556,19,26,45,"sa3011803"
"Kai Wynyard","TEX","A",23,48.2,0.28467153,1.229166666,0.218978102,0.430656934,0.350364963,0.145833333,0.104166666,0.41549296,0.23239437,0.35211268,0.11538462,296,484,780,"sa3015311"
"Adrian Rodriguez","TEX","A",24,9.2,0.5,2,0.347826086,0.434782608,0.217391304,0,0,0.58333333,0.20833333,0.20833333,0.18556701,76,118,194,"sa3015385"
"Andy Luis","WSN","A",22,9.1,0.22222222,2.833333333,0.115384615,0.653846153,0.23076923,0.166666666,0,0.33333333,0.14814815,0.51851852,0.06666667,87,108,195,"sa3015633"
"Grabiel Salazar","BAL","A",24,5.2,0.27777778,0.5,0.210526315,0.263157894,0.526315789,0.1,0.1,0.57894737,0.26315789,0.15789474,0.11904762,31,53,84,"sa3015667"
"Beycker Barroso","TEX","A",22,0.1,0,0,0,0,1,0,0,0,1,0,0.11111111,6,3,9,"sa3015672"
"Gabriel Silva","KCR","A",21,2,0,2,0,1,0,0,0,1,0,0,0.09677419,17,14,31,"sa3015865"
"Jesus Luna","CLE","A",24,10.1,0.11538462,0.833333333,0.153846153,0.384615384,0.461538461,0.25,0,0.53846154,0.19230769,0.26923077,0.09722222,61,83,144,"sa3015925"
"Eurys Martich","HOU","A",22,16.2,0.28,2.166666666,0.24,0.52,0.24,0.5,0,0.48,0.16,0.36,0.16961131,125,158,283,"sa3015933"
"Alexander Alberto","TBR","A",23,13.2,0.22222222,4,0.259259259,0.592592592,0.148148148,0,0,0.59259259,0.14814815,0.25925926,0.19323671,74,133,207,"sa3015986"
"Euri Montero","WSN","A",23,18,0.26315789,1.857142857,0.259259259,0.481481481,0.259259259,0.142857142,0.071428571,0.40677966,0.20338983,0.38983051,0.10784314,64,140,204,"sa3015989"
"Deivy Cruz","BAL","A",21,35.1,0.27777778,1.444444444,0.24137931,0.448275862,0.310344827,0.222222222,0.037037037,0.51648352,0.23076923,0.25274725,0.11715481,320,397,717,"sa3016013"
"Dikember Sanchez","MIL","A",21,15,0.3255814,1,0.288888888,0.355555555,0.355555555,0,0.125,0.55555556,0.11111111,0.33333333,0.11417323,103,151,254,"sa3016033"
"Junior William","TBR","A",25,4,0,0.6,0,0.375,0.625,0,0,0.11111111,0.22222222,0.66666667,0.17241379,22,36,58,"sa3016072"
"Jose Perez","TBR","A",21,2.2,0.36363636,0.4,0.3,0.2,0.5,0,0,0.4,0.4,0.2,0.05263158,22,35,57,"sa3016162"
"Randy Beriguete","BAL","A",22,2.2,0.25,2.5,0.125,0.625,0.25,0,0,0.625,0.375,0,0.11320755,27,26,53,"sa3016199"
"Austin Aldeano","CLE","A",21,32.2,0.28358209,0.476190476,0.184210526,0.263157894,0.552631578,0.357142857,0.238095238,0.41558442,0.24675325,0.33766234,0.13210445,288,363,651,"sa3016259"
"Ismael Michel","KCR","A",23,8.1,0.4,0.727272727,0.296296296,0.296296296,0.407407407,0.181818181,0.181818181,0.40740741,0.18518519,0.40740741,0.08673469,89,107,196,"sa3016270"
"Diego Viloria","BOS","A",22,4.2,0.375,1.75,0.3125,0.4375,0.25,0,0,0.625,0.125,0.25,0.05102041,49,49,98,"sa3016299"
"Nathanael Cruz","BOS","A",22,28.1,0.3375,0.742857142,0.207792207,0.337662337,0.454545454,0.228571428,0.057142857,0.475,0.2625,0.2625,0.09811321,219,311,530,"sa3016457"
"Samuel Mejia","ATL","A",23,67.1,0.25153374,0.895522388,0.225609756,0.365853658,0.408536585,0.328358208,0.089552238,0.55621302,0.17159763,0.27218935,0.1643454,415,662,1077,"sa3016475"
"Alberto Mota","TEX","A",22,16.1,0.23684211,1.9,0.171428571,0.542857142,0.285714285,0.5,0,0.39473684,0.21052632,0.39473684,0.11612903,143,167,310,"sa3016712"
"Gabriel Rodriguez","CHW","A",21,67,0.28426396,0.831325301,0.224489795,0.352040816,0.423469387,0.289156626,0.060240963,0.45,0.28,0.27,0.09248055,472,685,1157,"sa3016784"
"Elvis Novas","KCR","A",22,43,0.37903226,1.457142857,0.283333333,0.425,0.291666666,0.257142857,0.057142857,0.44,0.256,0.304,0.11604585,235,463,698,"sa3016816"
"Bryan Polanco","WSN","A",23,111.2,0.25308642,0.850340136,0.170731707,0.38109756,0.448170731,0.285714285,0.095238095,0.48235294,0.26470588,0.25294118,0.08938547,673,1117,1790,"sa3016915"
"Joel Sierra","CHC","A",23,7.1,0.125,0.625,0.1875,0.3125,0.5,0.5,0.125,0.35294118,0.23529412,0.41176471,0.1015625,59,69,128,"sa3016947"
"Ismael Agreda","TEX","A",21,82.2,0.22395833,1.360655737,0.238095238,0.439153439,0.322751322,0.327868852,0.06557377,0.40101523,0.2284264,0.37055838,0.11683599,582,796,1378,"sa3017010"
"Abel Mercedes","HOU","A",23,41.1,0.35897436,2.1,0.215189873,0.531645569,0.253164556,0.15,0.05,0.50632911,0.20253165,0.29113924,0.16627635,403,451,854,"sa3017013"
"Carlos Tavera","BAL","A",26,6.2,0.52173913,1,0.304347826,0.347826086,0.347826086,0.25,0,0.26086957,0.39130435,0.34782609,0.12,59,91,150,"sa3017536"
"Andy Rodriguez","TBR","A",22,52.2,0.35057471,2.307692307,0.245614035,0.526315789,0.228070175,0.153846153,0.025641025,0.49714286,0.21142857,0.29142857,0.11097257,286,516,802,"sa3017620"
"Tyler Ras","HOU","A",25,5.1,0.46666667,1,0.411764705,0.294117647,0.294117647,0.4,0.4,0.41176471,0.11764706,0.47058824,0.15789474,27,49,76,"sa3017718"
"Mason Auer","TBR","A",24,5.2,0.40909091,0.6,0.238095238,0.285714285,0.476190476,0.1,0,0.5,0.40909091,0.09090909,0.0397351,71,80,151,"sa3017791"
"Walker Powell","CHC","A",29,9,0.28571429,2.5,0.222222222,0.555555555,0.222222222,0.333333333,0,0.42857143,0.07142857,0.5,0.0952381,42,84,126,"sa3017815"
"Yenfri Sosa","KCR","A",21,19.1,0.2,1.294117647,0.048780487,0.536585365,0.414634146,0.176470588,0.117647058,0.64285714,0.23809524,0.11904762,0.19366197,117,167,284,"sa3017823"
"Adam Shoemaker","ATL","A",22,31,0.3,2.105263157,0.233766233,0.519480519,0.246753246,0.315789473,0.052631578,0.45783133,0.26506024,0.27710843,0.14335664,243,329,572,"sa3017888"
"Caden Vire","MIL","A",21,3.2,0.2,0.666666666,0.166666666,0.333333333,0.5,0,0.333333333,0.16666667,0.5,0.33333333,0.09433962,57,49,106,"sa3017967"
"Dominic Hambley","CHC","A",22,33,0.22535211,1.652173913,0.128571428,0.542857142,0.328571428,0.304347826,0.04347826,0.30555556,0.27777778,0.41666667,0.11636364,240,310,550,"sa3017999"
"Madison Jeffrey","CHW","A",25,2.2,0.28571429,1,0.25,0.375,0.375,0,0.333333333,0.375,0.375,0.25,0.12121212,27,39,66,"sa3018206"
"Cam Brown","HOU","A",27,40.2,0.26168224,2.071428571,0.165048543,0.563106796,0.27184466,0.25,0.035714285,0.56603774,0.19811321,0.23584906,0.13452188,230,387,617,"sa3018260"
"Albert Rivas","ATL","A",22,49.2,0.28057554,0.928571428,0.205882352,0.382352941,0.411764705,0.375,0.071428571,0.39583333,0.27777778,0.32638889,0.10471807,348,521,869,"sa3018286"
"Pablo Aldonis","WSN","A",23,26,0.25,0.566666666,0.160714285,0.303571428,0.535714285,0.433333333,0,0.32142857,0.23214286,0.44642857,0.12468193,130,263,393,"sa3018289"
"Eybersson Polanco","BOS","A",21,62,0.32967033,1.826086956,0.261363636,0.477272727,0.261363636,0.152173913,0.04347826,0.47252747,0.2032967,0.32417582,0.13970588,393,695,1088,"sa3018301"
"Brayan Romero","WSN","A",23,60,0.31382979,1.75510204,0.27027027,0.464864864,0.264864864,0.224489795,0.040816326,0.43617021,0.2393617,0.32446809,0.09576427,479,607,1086,"sa3018313"
"Angel Roman","WSN","A",21,79.2,0.35897436,1.849315068,0.251798561,0.48561151,0.262589928,0.232876712,0.09589041,0.46263345,0.20640569,0.33096085,0.07594937,474,790,1264,"sa3018314"
"Raimy Rodriguez","HOU","A",19,92.2,0.24675325,1.5,0.209401709,0.474358974,0.316239316,0.27027027,0.108108108,0.48319328,0.24369748,0.27310924,0.10516373,709,879,1588,"sa3018326"
"Alfredo Romero","CHC","A",22,74.2,0.265,1.323529411,0.20603015,0.452261306,0.341708542,0.352941176,0.029411764,0.43349754,0.28078818,0.28571429,0.11066879,515,741,1256,"sa3018345"
"Juan Sanchez","ATL","A",22,28.1,0.26153846,2,0.142857142,0.571428571,0.285714285,0.111111111,0.111111111,0.43283582,0.2238806,0.34328358,0.15860735,227,290,517,"sa3018360"
"Julio Zapata","CLE","A",22,27.1,0.44705882,1.384615384,0.261904761,0.428571428,0.309523809,0.23076923,0.038461538,0.3372093,0.26744186,0.39534884,0.11410788,183,299,482,"sa3018364"
"Yenrri Rojas","CHC","A",21,48,0.26056338,1.595238095,0.210144927,0.485507246,0.304347826,0.119047619,0,0.47887324,0.29577465,0.22535211,0.08947368,274,486,760,"sa3018366"
"Yunior Marte","KCR","A",21,82,0.26388889,0.9875,0.260465116,0.36744186,0.372093023,0.3125,0.05,0.41818182,0.28181818,0.3,0.15390947,415,800,1215,"sa3018367"
"Fraymi De Leon","BOS","A",20,0.1,0,0,0,0,1,0,0,0,1,0,0.25,4,4,8,"sa3018436"
"Leiker Figueroa","ATL","A",20,2.2,0.38461538,1,0.23076923,0.384615384,0.384615384,0.2,0,0.30769231,0.23076923,0.46153846,0,16,23,39,"sa3018506"
"Esteban Mejia","TEX","A",20,1,0,0.5,0,0.333333333,0.666666666,0.5,0,0.33333333,0.33333333,0.33333333,0.1,4,6,10,"sa3018527"
"Andres Nolaya","BAL","A",20,5,0.26666667,0.272727272,0.066666666,0.2,0.733333333,0.363636363,0,0.66666667,0.2,0.13333333,0.04255319,34,60,94,"sa3018563"
"Jose Contreras","TBR","A",20,0.1,0.5,0,0.5,0,0.5,1,0,0.5,0.5,0,0,3,3,6,"sa3018567"
"Anfernny Reyes","MIL","A",21,44.2,0.33043478,1.261904761,0.181034482,0.456896551,0.362068965,0.285714285,0.047619047,0.54700855,0.15384615,0.2991453,0.11267606,365,487,852,"sa3018807"
"Luis Flores","CLE","A",21,43.1,0.36046512,1.028571428,0.174418604,0.418604651,0.406976744,0.2,0.057142857,0.42222222,0.24444444,0.33333333,0.14827995,352,491,843,"sa3018818"
"Bryan Bautista","BAL","A",21,23,0.37096774,1,0.311475409,0.344262295,0.344262295,0.285714285,0,0.38709677,0.27419355,0.33870968,0.10964912,201,255,456,"sa3018820"
"Jhonly Taveras","ATL","A",20,13.1,0.2972973,1.363636363,0.277777777,0.416666666,0.305555555,0.272727272,0,0.56756757,0.21621622,0.21621622,0.10431655,122,156,278,"sa3018847"
"Danny Hilario","TBR","A",20,18,0.20754717,1.368421052,0.117647058,0.509803921,0.372549019,0.157894736,0,0.50943396,0.28301887,0.20754717,0.0982906,81,153,234,"sa3018865"
"Jeral Vizcaino","CHC","A",23,2,0.44444444,6,0.222222222,0.666666666,0.111111111,0,0,0.66666667,0,0.33333333,0.0212766,23,24,47,"sa3018866"
"Alen Pineda","ATL","A",20,1,0,3,0,1,0,0,0,0.66666667,0.33333333,0,0.1,2,8,10,"sa3018965"
"Luis A. Reyes","CHC","A",21,16.2,0.34545455,1.625,0.222222222,0.481481481,0.296296296,0.25,0,0.49090909,0.2,0.30909091,0.12311558,197,201,398,"sa3019049"
"Kevin Valdez","CHC","A",23,59.1,0.27777778,2.35,0.167701863,0.583850931,0.248447204,0.25,0.05,0.52439024,0.20121951,0.27439024,0.11558855,381,562,943,"sa3019052"
"Miguel Mesa","BAL","A",22,1,0.33333333,1,0.333333333,0.333333333,0.333333333,0,0,0.66666667,0.33333333,0,0.0625,7,9,16,"sa3019066"
"Emmanuel Reyes","KCR","A",21,29,0.24444444,0.815789473,0.25,0.336956521,0.413043478,0.184210526,0.052631578,0.44565217,0.23913043,0.31521739,0.10986547,164,282,446,"sa3019071"
"David Bracho","CHC","A",20,5.1,0.33333333,0.857142857,0.235294117,0.352941176,0.411764705,0.285714285,0,0.44444444,0.33333333,0.22222222,0.05813953,36,50,86,"sa3019080"
"Dawil Almonte","HOU","A",23,45.2,0.24031008,1.452380952,0.188976377,0.48031496,0.330708661,0.309523809,0.047619047,0.38931298,0.26717557,0.34351145,0.10917031,275,412,687,"sa3019084"
"Dylan Heid","BAL","A",27,2.1,0.25,1,0,0.5,0.5,0,0,0.75,0,0.25,0.14285714,16,19,35,"sa3019113"
"Leomar Rosario","HOU","A",22,42,0.26530612,1.189189189,0.15625,0.458333333,0.385416666,0.27027027,0.081081081,0.3960396,0.31683168,0.28712871,0.14425428,354,464,818,"sa3019127"
"Enrique Segura","TEX","A",20,66.1,0.28089888,1.611111111,0.225274725,0.478021978,0.296703296,0.296296296,0.111111111,0.48913043,0.25,0.26086957,0.10745402,371,662,1033,"sa3019147"
"Melkis Hernandez","CLE","A",20,113.2,0.29452055,1.581395348,0.234482758,0.468965517,0.296551724,0.186046511,0.081395348,0.46843854,0.24916944,0.28239203,0.13304489,723,1126,1849,"sa3019148"
"Jose Meneses","MIL","A",20,1.2,0.2,1,0.2,0.4,0.4,0.5,0,0.2,0.4,0.4,0.04444444,28,17,45,"sa3019158"
"Moises Palma","TBR","A",20,8.2,0.34375,1.272727272,0.21875,0.4375,0.34375,0.272727272,0.09090909,0.51515152,0.27272727,0.21212121,0.08284024,71,98,169,"sa3019162"
"Wande Torres","MIL","A",20,86,0.33891213,1.915254237,0.264957264,0.482905982,0.252136752,0.169491525,0.050847457,0.34156379,0.26748971,0.3909465,0.11588275,565,902,1467,"sa3019165"
"Yimi Presinal","KCR","A",20,19.2,0.38461538,2,0.352941176,0.431372549,0.215686274,0.272727272,0.09090909,0.5,0.26923077,0.23076923,0.18158568,149,242,391,"sa3019169"
"Henson Leal","KCR","A",21,68.1,0.29100529,1.338709677,0.198895027,0.458563535,0.342541436,0.225806451,0.064516129,0.52849741,0.22797927,0.24352332,0.11574074,400,680,1080,"sa3019175"
"Yohander Linarez","BOS","A",20,0.1,0,0,0,0,0,0,0,,,,0.2,2,3,5,"sa3019212"
"Cesar Rojas","TBR","A",23,2.1,0.25,2,0.142857142,0.571428571,0.285714285,0.5,0,0.25,0.25,0.5,0.12345679,43,38,81,"sa3019244"
"Wellington Aracena","BAL","A",20,4.2,0.1,2.5,0.222222222,0.555555555,0.222222222,0.5,0,0.4,0.3,0.3,0.140625,18,46,64,"sa3019265"
"Luis Cohen","BOS","A",22,67.1,0.27586207,1.106666666,0.20603015,0.417085427,0.376884422,0.266666666,0.053333333,0.42995169,0.23671498,0.33333333,0.11217641,378,665,1043,"sa3019269"
"Luis De Leon","BAL","A",22,11,0.23076923,2.4,0.291666666,0.5,0.208333333,0.2,0,0.34615385,0.34615385,0.30769231,0.17977528,67,111,178,"sa3019283"
"Ricardo Brizuela","CHW","A",22,86.2,0.30645161,1.08,0.164658634,0.433734939,0.401606425,0.18,0.1,0.53875969,0.29069767,0.17054264,0.10083449,560,878,1438,"sa3019290"
