Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
"Scott Alexander","SFG","AAA",35,5.1,5.06250301748694,3.37500201165796,1.5,1.68750100582898,0.09677419,0.06451613,0.03225806,0.4137931,2.625001564622858,0.44,0.47619048,13.50000804663184,6.403713916242989,7.096294130388852,6.378356026086845,"10591"
"Andrew Bellatti","SDP","AAA",33,4.2,9.642850574186479,9.642850574186479,1,0,0.17857143,0.17857143,0,0.45454545,3.214283524728826,0.58823529,0.625,11.571420689023775,5.680497009900947,5.890923679122828,7.64959128077281,"10657"
"Michael Mariot","SEA","AAA",36,69,6.782608695652174,3.260869565217391,2.08,1.434782608695652,0.16099071,0.07739938,0.08359133,0.31740614,1.710144927536232,0.35652174,0.7063197,5.739130434782608,5.835777680770211,-0.09664724598760266,6.719811092727426,"10835"
"Casey Lawrence","SEA","AAA",37,100,4.86,1.71,2.84210526,1.44,0.1255814,0.04418605,0.08139535,0.27696078,1.32,0.28698225,0.63055062,5.31,5.626212463378907,-0.31621246337890696,5.7699777747690675,"11121"
"David Buchanan","TEX","AAA",36,29,5.896551724137931,3.7241379310344827,1.58333333,1.5517241379310345,0.14179104,0.08955224,0.05223881,0.31404959,1.7241379310344827,0.34020619,0.68181818,5.275862068965517,6.242074532344423,-0.9662124633789064,5.141412680107972,"11176"
"Drew Pomeranz","SEA","AAA",36,9.2,13.03447847219057,5.586205059510244,2.33333333,0,0.3255814,0.13953488,0.18604651,0.17142857,1.2413789021133876,0.28571429,0.57142857,4.655170882925203,3.552419496007777,1.1027513869174261,4.6931365789876756,"11426"
"Yolmer Sanchez","LAA","AAA",33,1.1,0,6.750016696792419,0,0,0,0.08333333,-0.08333333,0.63636364,6.000014841593261,0.63636364,0.375,33.750083483962094,6.21621802897638,27.533865454985715,8.972958705125393,"11602"
"Luke Jackson","SEA","AAA",33,2.1,15.428594024847,0,4,0,0.33333333,0,0.33333333,0.41666667,2.14286028122875,0.625,0.6,7.7142970124235,0.5376360134129068,7.176660999010593,1.3252754118512966,"11752"
"Hector Neris","LAA","AAA",36,4,18,2.25,8,2.25,0.5,0.0625,0.4375,0.2,1,0.33333333,0.76923077,4.5,3.9662124633789064,0.5337875366210936,3.013490677624941,"11804"
"Scott McGough","OAK","AAA",35,40.2,8.852458324396546,2.877048955428877,3.07692308,0.6639343743297409,0.23121387,0.07514451,0.15606936,0.25949367,1.3278687486594818,0.33043478,0.75289575,3.319671871648705,4.064573111427757,-0.7449012397790522,4.506519791142289,"12056"
"Aaron Brooks","OAK","AAA",35,76.1,6.484716589296605,3.419214201629119,1.89655172,1.8864630077953761,0.15988372,0.08430233,0.0755814,0.28205128,1.532751193833743,0.29875519,0.6147541,5.777292961373339,6.50769734888101,-0.7304043875076704,5.2273831275508105,"12272"
"Blake Treinen","LAD","AAA",37,6,13.5,1.5,9,0,0.45,0.05,0.4,0,0.16666666666666666,0,0,0,1.4662124633789069,-1.4662124633789069,1.7725162252783782,"12572"
"Adrian Houser","TEX","AAA",32,39.1,8.466102789682006,3.4322038336548673,2.46666667,0.9152543556412979,0.22839506,0.09259259,0.13580247,0.21126761,1.1440679445516224,0.25742574,0.63063063,5.033898956027138,4.932314283222499,0.10158467280463945,4.684939314169436,"12718"
"Yu Darvish","SDP","AAA",38,4,9,2.25,4,2.25,0.28571429,0.07142857,0.21428571,0.15384615,0.75,0.125,0.625,4.5,5.966212463378906,-1.4662124633789064,3.1756681062281134,"13074"
"Jordan Weems","HOU","AAA",32,29,9.620689655172415,4.0344827586206895,2.38461538,0.6206896551724138,0.24603175,0.1031746,0.14285714,0.24107143,1.3793103448275863,0.3164557,0.70680628,4.0344827586206895,4.173109015103044,-0.13862625648235483,4.670767517542017,"13190"
"Michael Fulmer","SEA","AAA",32,12,13.5,3.75,3.6,0.75,0.36734694,0.10204082,0.26530612,0.15909091,1,0.24,0.94339623,0.75,3.2995457967122404,-2.5495457967122404,3.2882756300270564,"13218"
"Jesse Hahn","SEA","AAA",35,32.1,9.463919014514886,4.453608948007005,2.125,0.8350516777513135,0.22368421,0.10526316,0.11842105,0.28358209,1.670103355502627,0.36082474,0.61776062,5.845361744259194,4.739408461296789,1.105953282962405,4.499500703364174,"13287"
"Dylan Floro","OAK","AAA",34,15.1,7.043479721127328,2.9347832171363866,2.4,1.760869930281832,0.17142857,0.07142857,0.1,0.35384615,1.826087335107085,0.4,0.6302521,7.043479721127328,5.922734608136498,1.1207451129908303,4.338119969037824,"13394"
"Matt Bowman","HOU","AAA",34,10.1,9.58064810865098,2.612904029632085,3.66666667,0.8709680098773618,0.25,0.06818182,0.18181818,0.20512821,1.0645164565167755,0.25925926,0.68965517,3.483872039509447,4.546857803297147,-1.0629857637877,4.533769863765439,"13528"
"Blake Snell","LAD","AAA",32,8.2,13.499995048231327,5.1923057877812795,2.6,0,0.39393939,0.15151515,0.24242424,0.14285714,1.038461157556256,0.26666667,0.88888889,1.038461157556256,2.6969821596990373,-1.6585210021427814,3.333151277990959,"13543"
"Robert Stephenson","LAA","AAA",32,5,12.6,1.8,7,3.6,0.36842105,0.05263158,0.31578947,0.22222222,1,0.22222222,0.90909091,5.4,6.966212463378906,-1.566212463378906,3.9715995490550995,"13594"
"Carl Edwards Jr.","TEX","AAA",33,50.2,10.12499936474001,2.842105084839301,3.5625,1.2434209746171943,0.25791855,0.07239819,0.18552036,0.28571429,1.4605262241535297,0.36690647,0.67975831,4.440789195061408,4.578054530254033,-0.13726533519262585,4.051550418529043,"13607"
"Tayler Scott","ARI","AAA",33,22.2,10.323532416025296,3.9705893907789602,2.6,0.397058939077896,0.26262626,0.1010101,0.16161616,0.26136364,1.4558827766189522,0.36065574,0.67484663,3.9705893907789602,3.7015065039936426,0.26908288678531767,4.425263823836211,"13652"
"Jack Lopez","SEA","AAA",32,1,18,0,2,9,0.4,0,0.4,0.4,2,0.5,1,9,12.966212463378906,-3.9662124633789055,3.641857606172562,"13663"
"JT Chargois","TEX","AAA",34,4.2,13.49999080386107,5.785710344511887,2.33333333,9.642850574186479,0.24137931,0.10344828,0.13793104,0.44,2.999997956413571,0.46153846,0.125,19.285701148372958,17.466203267239976,1.8194978811329818,7.08201101431775,"13767"
"Albert Almora Jr.","ARI","AAA",31,1,0,0,0,0,0,0,0,0.5,2,0.5,0.5,9,3.9662124633789064,5.033787536621094,3.9662124633789064,"14109"
"Lance McCullers Jr.","HOU","AAA",31,11,10.636363636363637,3.272727272727273,3.25,0,0.29545455,0.09090909,0.20454546,0.17948718,1,0.26923077,0.75,2.4545454545454546,2.9662124633789064,-0.5116670088334518,3.968661138686267,"14120"
"Ty Blach","TEX","AAA",34,51,7.0588235294117645,2.2941176470588234,3.07692308,0.8823529411764706,0.17857143,0.05803571,0.12053571,0.29186603,1.4509803921568627,0.34146341,0.68115942,3.8823529411764706,4.554447757496553,-0.6720948163200826,4.829474631419369,"14361"
"Tyler Glasnow","LAD","AAA",31,8.2,12.46153389067507,5.1923057877812795,2.4,1.038461157556256,0.27906977,0.11627907,0.1627907,0.35135135,2.076922315112512,0.5,0.625,8.307689260450047,4.773904474811549,3.533784785638498,4.758299634355885,"14374"
"J.B. Wendelken","SDP","AAA",32,1,9,9,1,0,0.2,0.2,0,0.5,3,0.66666667,1,0,4.966212463378906,-4.966212463378906,4.966212463378906,"14506"
"Jose Ruiz","TEX","AAA",30,23.1,9.257144118328656,2.314286029582164,4,0.385714338263694,0.25806452,0.06451613,0.19354839,0.22093023,1.07142871739915,0.29508197,0.81300813,2.314286029582164,3.3662123816353824,-1.0519263520532185,4.148054647313484,"14552"
"Buck Farmer","LAA","AAA",34,12,8.25,5.25,1.57142857,0.75,0.18644068,0.11864407,0.06779661,0.31372549,1.9166666666666667,0.38461538,0.48672566,9,5.216212463378907,3.7837875366210927,5.051790415743987,"14814"
"Joe Mantiply","ARI","AAA",34,11.1,8.73529656783176,2.382353609408662,3.66666667,3.176471479211549,0.21568627,0.05882353,0.15686275,0.29166667,1.500000420738787,0.3030303,0.70175439,5.55882508862021,7.407389899191418,-1.848564810571208,4.116440202973237,"14857"
"Jon Gray","TEX","AAA",33,5.2,9.529406418852851,3.176468806284284,3,1.588234403142142,0.26086957,0.08695652,0.17391304,0.19047619,1.0588229354280947,0.21428571,0.86956522,3.176468806284284,5.201505888045017,-2.025037081760733,5.177639666100276,"14916"
"German Marquez","COL","AAA",30,7.1,12.272732592813576,1.2272732592813576,10,1.2272732592813576,0.33333333,0.03333333,0.3,0.24137931,1.0909095638056512,0.33333333,0.75757576,3.6818197778440727,3.420757681476081,0.2610620963679917,2.1492541952205713,"15038"
"Lou Trivino","LAD","AAA",33,1,18,9,2,0,0.5,0.25,0.25,0,1,0,1,0,2.9662124633789064,-2.9662124633789064,4.804035034775734,"15043"
"Trevor Gott","SEA","AAA",32,18.2,7.71428440055091,3.857142200275455,2,2.4107138751721595,0.17391304,0.08695652,0.08695652,0.32926829,1.8749996806894573,0.36065574,0.6,8.196427175585342,7.341211888619929,0.8552152869654126,6.12352919288972,"15046"
"Andrew Heaney","LAD","AAA",34,10,11.7,1.8,6.5,0,0.37142857,0.05714286,0.31428571,0.15151515,0.7,0.25,0.85714286,0.9,1.9662124633789064,-1.0662124633789065,3.4364705204963686,"15423"
"Kendall Graveman","ARI","AAA",34,2,4.5,0,1,0,0.14285714,0,0.14285714,0.14285714,0.5,0.16666667,1,0,2.9662124633789064,-2.9662124633789064,3.8851237490773203,"15514"
"Miguel Castro","HOU","AAA",30,19.2,9.152540893467258,3.6610163573869032,2.5,0.9152540893467258,0.25316456,0.10126582,0.15189873,0.21126761,1.1694913363874828,0.26530612,0.84158416,2.2881352233668144,4.474686957460421,-2.186551734093607,4.460933535932109,"15684"
"John Curtiss","ARI","AAA",32,32.2,7.714284513156733,2.479591450657521,3.11111111,1.9285711282891833,0.1971831,0.06338028,0.13380282,0.28571429,1.438775286183994,0.31632653,0.61827957,6.336733707235888,5.864171351536515,0.472562355699373,5.441371866305989,"16128"
"Tyler Mahle","TEX","AAA",30,7.1,12.272732592813576,2.454546518562715,5,1.2272732592813576,0.32258065,0.06451613,0.25806452,0.27586207,1.363636954757064,0.38888889,0.58139535,6.136366296406788,3.8298487679032,2.306517528503588,3.3101821140407,"16358"
"Victor Gonzalez","LAA","AAA",29,39.1,8.008475611861357,7.550848434040708,1.06060606,0.6864407667309734,0.18817204,0.17741935,0.01075269,0.21621622,1.6525425865745655,0.26363636,0.77507599,4.11864460038584,6.076382227774121,-1.9577376273882807,6.766931789196218,"16408"
"Jacob Nottingham","SEA","AAA",30,0.2,0,26.99986401268786,0,0,0,0.33333333,-0.33333333,0.33333333,4.499977335447976,0.33333333,0.5,26.99986401268786,17.466144469722835,9.533719542965024,20.22286444234298,"16448"
"Luis Guillorme","HOU","AAA",30,1,9,0,1,9,0.16666667,0,0.16666667,0.5,3,0.5,0,27,14.966212463378906,12.033787536621094,7.4796801775693895,"16451"
"Austin Gomber","COL","AAA",31,8,11.25,5.625,2,1.125,0.29411765,0.14705882,0.14705882,0.13793103,1.125,0.16666667,0.78947368,2.25,4.966212463378906,-2.7162124633789064,6.097946320474148,"16561"
"J.P. Feyereisen","LAD","AAA",32,14,5.142857142857143,1.9285714285714286,2.66666667,0.6428571428571429,0.12307692,0.04615385,0.07692308,0.35483871,1.7857142857142858,0.39622642,0.80508475,3.857142857142857,4.394783891950335,-0.537641034807478,5.172761993961675,"16610"
"Jeff Brigham","ARI","AAA",33,20.2,13.935481727433707,3.9193542358407303,3.55555556,2.177419019911517,0.37209302,0.10465116,0.26744186,0.20779221,1.209677233284176,0.275,0.61111111,5.225805647787641,5.321050964657183,-0.0952453168695424,3.9544278568659452,"16631"
