Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Blake Snell","LAD","A",32,0,0,0,1,1,0,0,0,0,0,2,8,1,0,0,0,0,0,0,1,0,4,"13543"
"Robert Stephenson","LAA","A",32,1,0,3,3,0,0,0,0,0,0,3,11,2,1,1,1,0,0,0,0,0,2,"13594"
"Victor Gonzalez","LAA","A",29,0,0,0,2,0,0,0,0,0,0,2.1,8,0,0,0,0,1,0,0,2,0,0,"16408"
"Angel Felipe","LAA","A",27,0,1,7.714280459349183,6,0,0,0,0,1,3,4.2,29,6,5,4,0,7,0,1,0,0,4,"21163"
"Michel Otanez","OAK","A",27,0,0,13.49993200634393,1,0,0,0,0,0,0,0.2,3,0,1,1,0,1,0,0,0,0,2,"22533"
"Luis Patino","SDP","A",25,0,0,2,4,4,0,0,0,0,0,9,38,7,4,2,1,5,0,1,0,0,8,"22815"
"Keaton Winn","SFG","A",27,1,0,0,2,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,3,"23499"
"Brady Basso","OAK","A",27,0,0,0,1,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,"25582"
"Ken Waldichuk","OAK","A",27,0,0,0,1,1,0,0,0,0,0,3,11,1,0,0,0,0,0,1,0,0,4,"27681"
"Sam Bachman","LAA","A",25,0,0,0,2,0,0,0,0,0,1,2,8,1,1,0,0,1,0,0,0,0,3,"29754"
"T.J. McFarland","OAK","A",36,0,0,9,1,0,0,0,0,0,0,1,4,2,1,1,1,0,0,0,0,0,1,"3237"
"Luis Garcia","LAD","A",38,0,0,0,1,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,"6984"
"Felix Ramires","COL","A",25,2,4,4.285714285714286,26,0,0,0,1,0,3,42,186,39,25,20,0,25,0,4,4,4,40,"sa3005828"
"Octavio Becerra","LAD","A",24,1,0,4.320001647949847,8,0,0,0,0,0,0,8.1,40,4,4,4,1,10,0,1,2,0,10,"sa3008303"
"Alvin Guzman","ARI","A",23,1,0,3.2079203074358484,22,0,0,0,1,1,4,33.2,149,24,13,12,3,22,0,6,3,1,32,"sa3008748"
"Alejandro Lugo","SDP","A",22,0,0,3.724136706340163,4,0,0,0,1,0,0,9.2,38,6,4,4,0,5,0,1,2,0,7,"sa3009253"
"Jonatan Bernal","ARI","A",23,2,0,3.3157894736842106,7,0,0,0,1,1,0,19,73,15,7,7,3,2,0,0,0,0,13,"sa3009271"
"Manuel Olivares","COL","A",23,2,1,3.3750003657558145,7,7,0,0,0,0,0,29.1,131,30,13,11,2,15,0,1,1,0,27,"sa3009471"
"Harold Melenge","SEA","A",23,6,7,5.003496770445111,22,20,0,0,0,0,0,95.1,444,119,62,53,2,36,0,10,3,0,53,"sa3009747"
"Denny Larrondo","ARI","A",23,1,3,4.0588235294117645,11,11,0,0,0,0,0,51,211,37,24,23,3,21,0,6,5,1,57,"sa3010654"
"Jose Dicochea","OAK","A",24,5,10,4.863971133958159,25,13,0,0,1,0,0,90.2,410,98,59,49,11,39,0,6,9,0,95,"sa3011497"
"Chris Wright","SFG","A",26,0,2,20.249974049661038,4,0,0,0,0,0,1,2.2,15,4,6,6,2,4,0,0,1,0,3,"sa3011531"
"Bodi Rascon","SDP","A",24,2,2,8.640003295899694,4,0,0,0,0,2,0,8.1,43,10,9,8,1,8,0,0,1,0,8,"sa3011849"
"R.J. Dabovich","SFG","A",26,0,0,0,3,0,0,0,0,0,0,3,10,0,0,0,0,1,0,0,1,0,6,"sa3014431"
"Ruben Salinas","SDP","A",22,0,3,12.150002896786427,9,0,0,0,0,0,0,13.1,71,20,19,18,2,8,0,3,4,0,14,"sa3014704"
