Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Fernando Vasquez","SFG","DSL",23,0,0,0,5,0,0,0,1,0,3,7.2,28,5,0,0,0,2,0,0,1,0,8,"sa3015475"
"Fidel Montero","CHW","DSL",21,4,2,4.3953483497987405,16,1,0,0,2,3,0,28.2,128,29,19,14,0,15,0,3,5,2,34,"sa3015856"
"Jose G. Gonzalez","SFG","DSL",23,3,1,5.11578896012668,19,0,0,0,6,3,0,31.2,134,20,19,18,2,21,1,3,14,0,22,"sa3016249"
"Gerardo Hernandez","CHW","DSL",21,1,0,1.8620683531700815,5,1,0,0,0,0,0,9.2,39,9,3,2,1,3,0,0,1,0,5,"sa3016253"
"Wilson Betemit Jr.","KCR","DSL",21,0,4,6.230769230769231,13,8,0,0,0,0,0,26,130,32,23,18,2,18,0,3,5,0,17,"sa3016512"
"Wilfredo Cordero","TOR","DSL",22,1,1,6.352942958423098,14,0,0,0,1,1,0,11.1,60,2,9,8,0,22,0,2,5,0,16,"sa3016529"
"Jose T. Perez","SFG","DSL",21,0,0,0,1,1,0,0,0,0,0,3,10,2,0,0,0,0,0,0,0,0,6,"sa3017966"
"Brayan Cabello","SFG","DSL",21,5,0,3.811765133550883,16,0,0,0,1,4,1,28.1,118,29,14,12,2,8,0,2,4,1,18,"sa3018304"
"Erinson Reyes","DET","DSL",23,0,0,5.4,5,0,0,0,0,0,2,5,20,3,4,3,1,6,0,0,0,0,4,"sa3018369"
"Andy Encarnacion","ARI","DSL",20,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,"sa3018498"
"Agustin Acosta","LAD","DSL",20,0,0,0,1,0,0,0,0,0,0,0.1,4,0,0,0,0,2,0,1,0,0,0,"sa3018627"
"Joldelanio De Los Santos","LAD","DSL",21,2,3,0.9818183520608992,15,0,0,0,1,0,0,18.1,80,14,9,2,0,9,0,1,6,0,23,"sa3018804"
"David Rodriguez","KCR","DSL",21,0,0,0.6428571428571429,4,4,0,0,0,0,0,14,55,11,1,1,0,2,0,2,4,0,17,"sa3018810"
"Ervin Torres","COL","DSL",20,1,0,3.375,6,0,0,0,0,0,0,8,30,6,3,3,1,1,0,0,0,0,6,"sa3018827"
"Alvaro Gamez","TBR","DSL",20,2,0,9.28125138301423,15,0,0,0,1,1,3,21.1,113,17,25,22,3,22,0,8,8,0,25,"sa3018854"
"Yuliangel De La Cruz","LAD","DSL",20,3,1,6.151899476823864,18,0,0,0,0,1,0,26.1,129,17,22,18,0,26,0,6,14,0,28,"sa3018858"
"Ronal Herrera","BAL","DSL",22,1,2,4.153844630225024,5,0,0,0,1,0,0,8.2,31,5,4,4,0,1,0,0,0,0,10,"sa3018862"
"Franklyn Moreta","MIA","DSL",21,3,1,3.272727272727273,12,5,0,0,0,0,0,33,146,27,17,12,1,19,0,6,6,0,49,"sa3018888"
"Rodarni Salvador","CLE","DSL",20,1,0,13.500033393584838,2,0,0,0,0,0,1,1.1,10,5,2,2,1,3,0,0,0,0,2,"sa3018889"
"Eris Albino","NYM","DSL",21,0,0,3,5,4,0,0,0,0,0,12,54,10,8,4,0,7,0,1,2,1,11,"sa3018894"
"Yan Mago","ARI","DSL",21,2,1,6.5172424509184035,17,0,0,0,1,0,1,19.1,101,22,15,14,3,23,0,2,4,0,15,"sa3019047"
"Emmanuel Martinez","TEX","DSL",21,2,2,4.7064211947902725,17,0,0,0,0,2,1,36.1,188,30,33,19,2,43,0,11,14,0,48,"sa3019055"
"Ramon Sanchez","MIA","DSL",23,2,0,3.9375,11,0,0,0,3,1,2,16,71,11,10,7,0,12,0,2,4,1,22,"sa3019132"
"Dermis Ordonez","PIT","DSL",20,0,2,4.499999865889553,7,0,0,0,0,0,0,8,47,8,6,4,0,13,0,2,3,0,13,"sa3019145"
"Elias Moscoso","BAL","DSL",20,0,0,8.709680098773617,8,0,0,0,0,0,1,10.1,50,12,11,10,1,4,0,2,3,0,13,"sa3019159"
"Cristian Rueda","MIA","DSL",20,0,0,9,5,0,0,0,0,1,0,6,35,8,8,6,0,10,0,0,1,2,5,"sa3019172"
"Chariel Radney","TBR","DSL",20,0,0,6.9428552510792185,7,0,0,0,0,1,0,11.2,61,15,14,9,1,12,0,1,7,0,7,"sa3019183"
"Cesar Rojas","TBR","DSL",23,1,0,0,2,1,0,0,0,0,0,4,13,1,0,0,0,0,0,1,0,0,5,"sa3019244"
"Hader Blanco","PIT","DSL",20,1,1,3.951219971728903,13,0,0,0,2,2,1,27.1,114,17,12,12,1,20,0,4,11,0,22,"sa3019266"
