Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Tyler Matzek","NYY","A",34,0,0,9,1,0,0,0,0,0,0,1,5,2,1,1,0,0,0,0,0,0,2,"10058"
"Brooks Raley","NYM","A",37,0,0,0,3,1,0,0,0,0,0,3,12,3,0,0,0,0,0,0,0,0,6,"10061"
"Michael Tonkin","MIN","A",35,0,0,0,1,0,0,0,0,0,0,2,8,2,1,0,0,0,0,0,1,0,3,"10315"
"Yimi Garcia","TOR","A",34,0,0,0,1,1,0,0,0,0,0,1,4,1,1,0,0,0,0,0,0,1,3,"12095"
"Burch Smith","PIT","A",35,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,2,"12784"
"Amir Garrett","TOR","A",33,0,0,0,2,0,0,0,0,0,0,2.1,7,0,0,0,0,0,0,0,0,0,3,"14375"
"Joe Mantiply","TOR","A",34,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,"14857"
"Yacksel Rios","NYM","A",32,0,0,18,1,0,0,0,0,0,0,0,3,2,2,2,0,1,0,0,0,0,0,"15007"
"Tim Mayza","PIT","A",33,0,0,0,2,1,0,0,0,0,0,1.2,7,2,0,0,0,0,0,0,0,0,2,"15042"
"Brady Feigl","MIN","A",34,0,0,4.5,2,0,0,0,0,0,0,2,8,1,1,1,1,1,0,0,0,0,1,"15968"
"Spencer Turnbull","TOR","A",32,0,1,5.55882508862021,3,3,0,0,0,0,0,11.1,54,14,8,7,1,4,0,1,1,2,10,"16207"
"Ryan Borucki","PIT","A",31,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,"16350"
"Erik Swanson","TOR","A",31,0,0,0,2,0,0,0,0,0,0,1.1,6,1,0,0,0,0,0,0,0,0,2,"16587"
"Brock Stewart","MIN","A",33,0,0,0,2,0,0,0,0,0,0,1.2,6,0,0,0,0,0,0,0,0,0,5,"16727"
"Ranger Suarez","PHI","A",29,0,0,1.2857142857142858,2,2,0,0,0,0,0,7,25,4,1,1,0,1,0,0,0,1,11,"17277"
"Ryan Burr","TOR","A",31,0,0,9,2,0,0,0,0,0,0,2,10,3,2,2,0,1,0,0,0,0,1,"17536"
"Justin Lawrence","PIT","A",30,1,0,0,2,0,0,0,0,0,0,2,8,0,0,0,0,1,0,1,0,0,4,"17639"
"Connor Overton","TOR","A",31,0,0,4.5,1,0,0,0,0,0,0,2,9,2,1,1,0,1,0,0,0,0,2,"18376"
"Jose Urquidy","DET","A",30,0,1,1.8,4,4,0,0,0,0,0,5,16,2,1,1,0,0,0,0,0,0,4,"18413"
"Beau Burrows","PIT","A",28,1,0,2.4545431669114683,3,0,0,0,0,1,0,3.2,13,1,1,1,1,1,0,0,0,0,3,"18873"
"Jonathan Loaisiga","NYY","A",30,0,0,2.700002768042541,3,1,0,0,0,0,0,3.1,12,2,1,1,0,0,0,0,0,0,7,"19753"
"Sean Guenther","DET","A",29,0,0,9,1,0,0,0,0,0,1,1,4,2,1,1,0,0,0,0,0,0,1,"20045"
"Oliver Ortega","NYM","A",28,0,1,2.347825113451952,8,3,0,0,0,0,0,7.2,33,4,4,2,0,3,0,1,0,2,12,"21025"
"Thomas Szapucki","DET","A",29,0,0,0,7,0,0,0,1,0,2,8,29,4,0,0,0,2,0,1,0,0,8,"21065"
"Dauri Moreta","PIT","A",29,0,0,0,2,1,0,0,0,0,0,2,7,2,0,0,0,0,0,0,0,0,1,"21101"
"Chase Shugart","PIT","A",28,0,1,9,1,1,0,0,0,0,0,1,5,1,1,1,0,1,0,0,0,0,1,"21544"
"Colin Holderman","PIT","A",29,0,1,9,1,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,3,"22361"
"Johan Oviedo","PIT","A",27,0,1,2.700002768042541,2,2,0,0,0,0,0,3.1,16,2,1,1,0,4,0,0,0,0,7,"22487"
"Ricky Vanasco","DET","A",26,1,0,4.5,3,1,0,0,0,0,0,4,15,1,2,2,0,3,0,0,0,1,6,"23391"
"Ryan Weathers","MIA","A",25,0,0,0,1,1,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,6,"23796"
"Adam Kloffenstein","TOR","A",24,0,0,0,1,1,0,0,0,0,0,4,20,5,3,0,0,1,0,1,2,0,5,"24493"
"Drew Rom","STL","A",25,0,1,1,3,3,0,0,0,0,0,9,33,6,2,1,0,0,0,0,0,0,13,"24602"
"Jayvien Sandridge","NYY","A",26,0,0,0,2,0,0,0,0,0,1,2.2,11,1,0,0,0,2,0,0,0,0,4,"25158"
"Blair Calvo","DET","A",29,1,0,1.4594598356349624,8,0,0,0,2,1,1,12.1,48,6,2,2,1,5,0,1,1,0,13,"25416"
"Declan Cronin","MIA","A",27,0,0,3,2,1,0,0,0,0,1,3,11,2,1,1,1,1,0,0,0,0,3,"25645"
"Tyler Owens","DET","A",24,0,1,108.00107825878908,1,1,0,0,0,0,0,0.1,7,4,4,4,0,2,0,0,1,0,1,"26030"
"Sawyer Gipson-Long","DET","A",27,0,0,0,1,1,0,0,0,0,0,1.1,7,3,0,0,0,0,0,0,0,0,2,"26048"
"Alek Manoah","TOR","A",27,0,0,4.5,1,1,0,0,0,0,0,2,9,3,1,1,0,0,0,0,0,0,2,"26410"
"Clayton Beeter","NYY","A",26,0,0,0,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,4,"27494"
"Bailey Horn","DET","A",27,0,0,16.199967942301292,2,2,0,0,0,0,0,1.2,10,3,4,3,0,1,0,1,1,0,2,"27753"
"Eury Perez","MIA","A",22,0,0,1.8,5,5,0,0,0,0,0,10,42,9,3,2,1,3,0,0,1,0,12,"27768"
"Brandan Bidois","PIT","A",24,1,0,0,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,1,"28052"
"Kendry Rojas","TOR","A",22,1,0,0,4,3,0,0,0,0,0,13,46,5,0,0,0,3,0,2,0,0,18,"29423"
"Hayden Juenger","TOR","A",24,1,0,0,3,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,4,"29640"
"Tyler Samaniego","PIT","A",26,1,1,13.499982699774025,2,0,0,0,0,1,0,2.2,13,6,4,4,1,1,0,0,0,0,3,"30081"
"Andrew Painter","PHI","A",22,0,2,3.9705893490144364,4,4,0,0,0,0,0,11.1,45,10,5,5,2,1,0,0,1,0,12,"30091"
"Dylan Smith","DET","A",25,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,"30145"
"Pierson Ohl","MIN","A",25,1,0,0,2,0,0,0,0,0,0,5,17,2,0,0,0,1,0,0,0,0,10,"30179"
"Trey Yesavage","TOR","A",21,3,0,2.4300003707886306,7,7,0,0,0,0,0,33.1,127,19,13,9,3,8,0,1,1,0,55,"35456"
"Jake Gilbert","CIN","A",28,1,1,6.545454545454546,7,0,0,0,0,2,0,11,49,10,9,8,1,5,0,1,2,0,14,"sa1172846"
"Dalvin Rosario","CIN","A",25,0,1,1.9285701148372958,4,0,0,0,0,0,0,4.2,18,2,1,1,1,3,0,0,0,0,7,"sa3005144"
"Angel Cuenca","STL","A",23,1,1,6.75,22,0,0,0,1,1,1,36,177,37,32,27,3,31,0,6,1,0,33,"sa3006414"
"Alfred Vega","NYM","A",24,1,0,2.8125,11,0,0,0,2,0,1,16,66,6,5,5,0,11,0,1,1,1,20,"sa3006495"
"Irvin Machuca","CIN","A",25,1,0,0,6,0,0,0,1,0,0,12.1,45,1,1,0,0,6,0,1,0,0,17,"sa3008641"
"Antonio Gomez","NYY","A",23,0,1,20.249974049661038,4,0,0,0,0,0,0,2.2,16,6,6,6,0,2,0,0,0,0,4,"sa3008746"
"Edinson Batista","TOR","A",23,0,0,12.27271583455734,3,0,0,0,0,0,0,3.2,22,7,5,5,0,4,0,1,0,1,7,"sa3009266"
"Gabriel Barbosa","PHI","A",23,1,1,3.825,16,4,0,0,0,1,1,40,179,43,19,17,4,17,0,2,3,1,33,"sa3009593"
"Travis Kuhn","DET","A",27,0,0,3,2,0,0,0,0,0,0,3,14,2,1,1,0,3,0,0,0,1,4,"sa3009928"
"Randy Labaut","PIT","A",28,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"sa3010615"
"Julio Bonilla","MIN","A",24,1,0,3.6,8,0,0,0,1,1,1,10,44,10,4,4,1,4,0,0,0,0,12,"sa3011372"
"Yosber Sanchez","DET","A",24,1,0,2.25,3,0,0,0,0,0,1,4,15,1,1,1,0,3,0,0,0,0,3,"sa3011636"
"Matt Allan","NYM","A",24,0,2,3.6,7,7,0,0,0,0,0,15,69,11,6,6,1,11,0,4,1,0,17,"sa3011740"
"Brennan Malone","PIT","A",24,1,0,4.44705932247603,25,0,0,0,0,0,3,28.1,136,27,15,14,3,21,0,7,1,1,26,"sa3011741"
"Woo-Suk Go","MIA","A",26,0,1,7.2,4,0,0,0,0,0,0,5,26,7,4,4,0,5,0,0,3,0,4,"sa3012630"
"Justin Lange","NYY","A",23,1,1,7.94117201571071,6,0,0,0,0,1,0,5.2,30,9,5,5,2,3,0,2,1,0,4,"sa3014517"
"Ian Bedell","STL","A",25,0,1,7.94117201571071,2,2,0,0,0,0,0,5.2,24,4,5,5,1,3,0,0,0,0,8,"sa3014538"
"Robert Dominguez","NYM","A",23,0,1,9,1,0,0,0,0,0,0,1,8,1,1,1,0,3,0,1,0,0,0,"sa3014694"
"Tink Hence","STL","A",22,0,0,0,3,3,0,0,0,0,0,6,24,4,0,0,0,3,0,1,1,0,8,"sa3014709"
"Edwin Nunez","STL","A",23,0,0,1.9285701148372958,5,0,0,0,0,1,0,4.2,23,6,1,1,0,2,1,2,1,0,3,"sa3014813"
"Carson Coleman","NYY","A",27,0,0,0,3,1,0,0,0,0,1,3,10,0,0,0,0,0,0,0,0,0,4,"sa3014857"
"Erubiel Armenta","PHI","A",25,2,0,9,4,0,0,0,0,0,0,4,17,1,4,4,0,4,0,0,0,0,11,"sa3015125"
"Franklin Sanchez","MIA","A",24,0,2,1.3170728643759602,10,0,0,0,0,0,3,13.2,58,4,5,2,0,11,0,3,5,1,23,"sa3015157"
"Wilmer Flores","DET","A",24,0,0,2.25,5,2,0,0,0,0,1,4,17,2,1,1,1,3,0,0,0,0,5,"sa3015223"
"Ignacio Briceno","DET","A",24,4,5,3.06,32,0,0,0,3,2,3,50,218,46,28,17,0,23,1,2,1,4,43,"sa3015459"
"Johan Simon","TOR","A",23,1,2,3.7933889081200096,18,0,0,0,0,2,1,40.1,184,42,22,17,1,16,0,4,5,2,45,"sa3015481"
