period,team_id,team_name,fantrax_id,name,mlb_team,primary_position,roster_position,roster_status,salary,contract
72,aqfyadu2mj90wrl7,Ben the Hen,03fi0,"Albies, Ozzie",ATL,2B,2B,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,04qnc,"Alvarez, Francisco",NYM,C,UT,INJURED_RESERVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,04ysv,"Amador, Adael",COL,2B,2B,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,040b5,"Arozarena, Randy",SEA,LF,OF,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,05rbs,"Ballesteros, Moises",CHC,DH,C,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,05xty,"Beavers, Dylan",BAL,LF,OF,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,04t40,"Bello, Brayan",BOS,SP,P,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,05yci,"Blanco Jr., Tony",PIT,1B,1B,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,05rb3,"Burns, Chase",CIN,SP,P,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,02i2k,"Buxton, Byron",MIN,CF,UT,ACTIVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,06rm6,"Chourio, Kendry",KC,SP,P,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,05unf,"Clarke, Denzel",ATH,CF,OF,INJURED_RESERVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,05u1y,"Collier, Cam",CIN,1B,1B,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,06pll,"Conrad, Ethan",CHC,CF,OF,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,05yj0,"Dollander, Chase",COL,SP,P,INJURED_RESERVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,060ub,"Emerson, Colt",SEA,SS,SS,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,06qyu,"Fien, Gavin",WSH,SS,3B,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,06mh4,"Florentino, Edward",PIT,CF,OF,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,05raw,"Ford, Harry",WSH,C,C,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,02btx,"Glasnow, Tyler",LAD,SP,P,INJURED_RESERVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,0724b,"Gomez, Angeibel",KC,CF,OF,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,05rcs,"Gonzalez, Gabriel",MIN,LF,OF,MINORS,,
72,aqfyadu2mj90wrl7,Ben the Hen,04aea,"Greene, Hunter",CIN,SP,P,INJURED_RESERVE,,
72,aqfyadu2mj90wrl7,Ben the Hen,04nb2,"Greene, Riley",DET,LF,OF,ACTIVE,,
